,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
1,walk,walk,walk,walk,walk,walk,walk
2,-9.826147,-55.10543,44.405823,0.0,0.0,0.0,0.0
3,-9.826147,-55.10543,44.405823,-0.038232423,0.04248047,0.023364259,0.0
4,-7.8752737,-44.072052,35.379776,-0.038232423,0.04248047,0.023364259,0.0
5,-7.8752737,-44.072052,35.379776,-0.03079834,0.026550293,0.014868164,0.0
6,-6.3105707,-35.274673,28.27462,-0.03079834,0.026550293,0.014868164,0.0
7,-6.3105707,-35.274673,28.27462,-0.047790527,0.027612304,0.0031860352,0.0
8,-5.0547066,-28.211548,22.640923,-0.047790527,0.027612304,0.0031860352,0.0
9,-5.0547066,-28.211548,22.640923,-0.04460449,0.015930176,-0.0031860352,0.0
10,-4.036112,-22.509789,18.13615,-0.04460449,0.015930176,-0.0031860352,0.0
11,-4.036112,-22.509789,18.13615,-0.021240234,-0.004248047,-0.011682129,0.0
12,-3.2135696,-17.96186,14.535728,-0.021240234,-0.004248047,-0.011682129,0.0
13,-3.2135696,-17.96186,14.535728,-0.008496094,-0.012744141,-0.020178223,0.0
14,-2.5508118,-14.416485,11.671883,-0.008496094,-0.012744141,-0.020178223,0.0
15,-2.5508118,-14.416485,11.671883,0.0021240234,-0.014868164,-0.027612304,0.0
16,-2.020276,-11.638336,9.400467,0.0021240234,-0.014868164,-0.027612304,0.0
17,-2.020276,-11.638336,9.400467,0.0,-0.019116212,-0.026550293,0.0
18,-2.020276,-11.638336,9.400467,0.004248047,-0.029736329,-0.013806152,0.0
19,-1.6022558,-9.389744,7.568577,0.004248047,-0.029736329,-0.013806152,0.0
20,-1.2847834,-7.5144196,6.0623665,0.004248047,-0.029736329,-0.013806152,0.0
21,-1.2847834,-7.5144196,6.0623665,0.033984374,-0.04991455,0.009558106,0.0
22,-1.0444403,-5.9536743,4.8316193,0.033984374,-0.04991455,0.009558106,0.0
23,-1.0444403,-5.9536743,4.8316193,0.032922365,-0.05628662,0.016992187,0.0
24,-0.8328295,-4.7335434,3.8514023,0.032922365,-0.05628662,0.016992187,0.0
25,-0.8328295,-4.7335434,3.8514023,0.022302246,-0.058410645,0.011682129,0.0
26,-0.8328295,-4.7335434,3.8514023,0.015930176,-0.046728518,0.008496094,0.0
27,-0.6377363,-3.7815475,3.0894089,0.015930176,-0.046728518,0.008496094,0.0
28,-0.47924423,-3.0114899,2.4867477,0.015930176,-0.046728518,0.008496094,0.0
29,-0.47924423,-3.0114899,2.4867477,-0.008496094,-0.03186035,0.007434082,0.0
30,-0.38400555,-2.405922,1.980423,-0.008496094,-0.03186035,0.007434082,0.0
