,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
1,walk,walk,walk,walk,walk,walk,walk
2,-7.761133,-60.92018,36.409863,0.0,0.0,0.0,0.0
3,-7.761133,-60.92018,36.409863,0.36745605,-0.08071289,-0.69349366,0.0
4,-7.761133,-60.92018,36.409863,0.11044922,-0.057348635,-0.6244629,0.0
5,-6.0335646,-48.619236,28.649279,0.11044922,-0.057348635,-0.6244629,0.0
6,-4.7399254,-38.945854,22.682728,0.11044922,-0.057348635,-0.6244629,0.0
7,-4.7399254,-38.945854,22.682728,-0.08496094,-0.06478272,-0.6223389,0.0
8,-3.7818089,-31.333149,18.210379,-0.08496094,-0.06478272,-0.6223389,0.0
9,-3.7818089,-31.333149,18.210379,-0.26868898,-0.07434082,-0.62340087,0.0
10,-3.0186844,-25.237518,14.719963,-0.26868898,-0.07434082,-0.62340087,0.0
11,-3.0186844,-25.237518,14.719963,-0.45454103,-0.0361084,-0.60959476,0.0
12,-2.3699522,-20.396412,11.820076,-0.45454103,-0.0361084,-0.60959476,0.0
13,-2.3699522,-20.396412,11.820076,-0.45029297,-0.019116212,-0.5734863,0.0
14,-1.8149805,-16.537918,9.384174,-0.45029297,-0.019116212,-0.5734863,0.0
15,-1.8149805,-16.537918,9.384174,-0.29948732,-0.047790527,-0.541626,0.0
16,-1.3832588,-13.308594,7.449795,-0.29948732,-0.047790527,-0.541626,0.0
17,-1.3832588,-13.308594,7.449795,-0.20921631,-0.09451904,-0.5012695,0.0
18,-1.0877471,-10.583366,5.9861794,-0.20921631,-0.09451904,-0.5012695,0.0
19,-1.0877471,-10.583366,5.9861794,-0.20284425,-0.15611573,-0.41737062,0.0
20,-0.8970413,-8.430267,4.8784103,-0.20284425,-0.15611573,-0.41737062,0.0
21,-0.8970413,-8.430267,4.8784103,-0.18160401,-0.22302246,-0.31116945,0.0
22,-0.77594566,-6.7676163,4.0089645,-0.18160401,-0.22302246,-0.31116945,0.0
23,-0.77594566,-6.7676163,4.0089645,-0.14974366,-0.24638672,-0.23258057,0.0
24,-0.77594566,-6.7676163,4.0089645,-0.14974366,-0.24638672,-0.23258057,98.0
