,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
1,walk,walk,walk,walk,walk,walk,walk
2,-5.0889525,-64.362625,38.32212,0.0,0.0,0.0,0.0
3,-5.0889525,-64.362625,38.32212,0.021240234,-0.032922365,-0.027612304,0.0
4,-5.0889525,-64.362625,38.32212,-0.04885254,-0.023364259,-0.02442627,0.0
5,-4.1111526,-51.43972,30.661907,-0.04885254,-0.023364259,-0.02442627,0.0
6,-3.3312192,-41.201057,24.641745,-0.04885254,-0.023364259,-0.02442627,0.0
7,-3.3312192,-41.201057,24.641745,-0.046728518,-0.014868164,-0.015930176,0.0
8,-2.6529026,-32.99124,19.74976,-0.046728518,-0.014868164,-0.015930176,0.0
9,-2.6529026,-32.99124,19.74976,-0.010620117,-0.03079834,-0.022302246,0.0
10,-2.081636,-26.392685,15.784828,-0.010620117,-0.03079834,-0.022302246,0.0
11,-2.081636,-26.392685,15.784828,0.0,-0.026550293,-0.028674318,0.0
12,-1.6781139,-21.132935,12.681282,0.0,-0.026550293,-0.028674318,0.0
13,-1.6781139,-21.132935,12.681282,-0.019116212,-0.010620117,-0.02442627,0.0
14,-1.3799667,-16.917797,10.226299,-0.019116212,-0.010620117,-0.02442627,0.0
15,-1.3799667,-16.917797,10.226299,-0.0010620117,-0.0053100586,-0.021240234,0.0
16,-1.0966249,-13.503952,8.169563,-0.0010620117,-0.0053100586,-0.021240234,0.0
17,-1.0966249,-13.503952,8.169563,0.0180542,-0.032922365,-0.019116212,0.0
18,-0.84316874,-10.760788,6.465996,0.0180542,-0.032922365,-0.019116212,0.0
19,-0.84316874,-10.760788,6.465996,0.009558106,-0.028674318,-0.038232423,0.0
20,-0.6889758,-8.624008,5.151886,0.009558106,-0.028674318,-0.038232423,0.0
21,-0.6889758,-8.624008,5.151886,0.0031860352,-0.015930176,-0.019116212,0.0
22,-0.57808495,-6.94149,4.134815,0.0031860352,-0.015930176,-0.019116212,0.0
23,-0.57808495,-6.94149,4.134815,0.0021240234,-0.016992187,-0.0021240234,0.0
24,-0.4406662,-5.553398,3.2929726,0.0021240234,-0.016992187,-0.0021240234,0.0
25,-0.4406662,-5.553398,3.2929726,-0.009558106,-0.023364259,-0.004248047,0.0
26,-0.32594585,-4.411972,2.621254,-0.009558106,-0.023364259,-0.004248047,0.0
27,-0.32594585,-4.411972,2.621254,-0.027612304,-0.016992187,-0.010620117,0.0
28,-0.27625942,-3.5372467,2.1120415,-0.027612304,-0.016992187,-0.010620117,0.0
29,-0.27625942,-3.5372467,2.1120415,-0.008496094,-0.014868164,-0.016992187,0.0
