,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
1,walk,walk,walk,walk,walk,walk,walk
2,-7.64065,-54.067528,31.29872,0.0,0.0,0.0,0.0
3,-7.64065,-54.067528,31.29872,-0.0180542,0.023364259,-0.04248047,0.0
4,-6.108101,-43.243027,25.00786,-0.0180542,0.023364259,-0.04248047,0.0
5,-6.108101,-43.243027,25.00786,-0.007434082,0.020178223,-0.0361084,0.0
6,-4.9023986,-34.567055,19.986599,-0.007434082,0.020178223,-0.0361084,0.0
7,-4.9023986,-34.567055,19.986599,-0.023364259,0.013806152,-0.0361084,0.0
8,-3.936738,-27.658539,15.988657,-0.023364259,0.013806152,-0.0361084,0.0
9,-3.936738,-27.658539,15.988657,-0.027612304,0.0031860352,-0.02442627,0.0
10,-3.1455693,-22.17279,12.802412,-0.027612304,0.0031860352,-0.02442627,0.0
11,-3.1455693,-22.17279,12.802412,-0.013806152,-0.0053100586,-0.013806152,0.0
12,-2.4973025,-17.759838,10.256969,-0.013806152,-0.0053100586,-0.013806152,0.0
13,-2.4973025,-17.759838,10.256969,-0.027612304,-0.0053100586,-0.012744141,0.0
14,-2.0133939,-14.1766815,8.220041,-0.027612304,-0.0053100586,-0.012744141,0.0
15,-2.0133939,-14.1766815,8.220041,-0.040356446,-0.007434082,0.0031860352,0.0
16,-1.6544042,-11.296471,6.605549,-0.040356446,-0.007434082,0.0031860352,0.0
17,-1.6544042,-11.296471,6.605549,-0.050976563,-0.011682129,0.014868164,0.0
18,-1.3360968,-9.039669,5.340996,-0.050976563,-0.011682129,0.014868164,0.0
19,-1.3360968,-9.039669,5.340996,-0.03186035,-0.010620117,0.027612304,0.0
20,-1.0519829,-7.2567215,4.330181,-0.03186035,-0.010620117,0.027612304,0.0
21,-1.0519829,-7.2567215,4.330181,-0.016992187,-0.007434082,0.035046387,0.0
22,-1.0519829,-7.2567215,4.330181,-0.016992187,-0.007434082,0.035046387,87.0
23,-0.8275852,-5.778694,3.4942093,-0.016992187,-0.007434082,0.035046387,87.0
24,-0.8275852,-5.778694,3.4942093,-0.032922365,0.0063720704,0.03186035,87.0
25,-0.6729202,-4.5904007,2.797966,-0.032922365,0.0063720704,0.03186035,87.0
26,-0.6729202,-4.5904007,2.797966,-0.039294433,0.015930176,0.046728518,87.0
27,-0.5416441,-3.679718,2.2336502,-0.039294433,0.015930176,0.046728518,87.0
28,-0.5416441,-3.679718,2.2336502,-0.02442627,0.014868164,0.052038576,87.0
29,-0.4087305,-2.9362564,1.7821465,-0.02442627,0.014868164,0.052038576,87.0
30,-0.4087305,-2.9362564,1.7821465,-0.026550293,0.02442627,0.047790527,87.0
31,-0.3090639,-2.3348846,1.436348,-0.026550293,0.02442627,0.047790527,87.0
32,-0.3090639,-2.3348846,1.436348,-0.0180542,0.028674318,0.060534667,87.0
33,-0.24146461,-1.860405,1.1526909,-0.0180542,0.028674318,0.060534667,87.0
34,-0.24146461,-1.860405,1.1526909,0.011682129,0.025488282,0.060534667,87.0
35,-0.15702629,-1.4465485,0.8951874,0.011682129,0.025488282,0.060534667,87.0
36,-0.15702629,-1.4465485,0.8951874,-0.0053100586,0.025488282,0.052038576,87.0
37,-0.07131195,-1.1050797,0.6453972,-0.0053100586,0.025488282,0.052038576,87.0
38,-0.07131195,-1.1050797,0.6453972,-0.053100586,0.039294433,0.025488282,87.0
39,-0.021222115,-0.89668274,0.43390656,-0.053100586,0.039294433,0.025488282,87.0
40,-0.021222115,-0.89668274,0.43390656,-0.04460449,0.040356446,0.027612304,87.0
41,-0.050266266,-0.7701187,0.31109238,-0.04460449,0.040356446,0.027612304,87.0
42,-0.050266266,-0.7701187,0.31109238,-0.03079834,0.039294433,0.035046387,87.0
43,-0.13017845,-0.6542053,0.26390076,-0.03079834,0.039294433,0.035046387,87.0
44,-0.13017845,-0.6542053,0.26390076,0.0021240234,0.016992187,0.047790527,87.0
45,-0.15546131,-0.524498,0.23070145,0.0021240234,0.016992187,0.047790527,87.0
46,-0.15546131,-0.524498,0.23070145,0.0010620117,0.004248047,0.03186035,87.0
47,-0.08702755,-0.41897583,0.19221497,0.0010620117,0.004248047,0.03186035,87.0
48,-0.08702755,-0.41897583,0.19221497,-0.014868164,0.0053100586,0.019116212,87.0
49,-0.024565697,-0.37754822,0.14168549,-0.014868164,0.0053100586,0.019116212,87.0
50,-0.024565697,-0.37754822,0.14168549,-0.033984374,0.007434082,0.019116212,87.0
51,-0.0012559891,-0.3742447,0.093437195,-0.033984374,0.007434082,0.019116212,87.0
52,-0.0012559891,-0.3742447,0.093437195,-0.03079834,0.0031860352,0.012744141,87.0
53,0.0060510635,-0.3461151,0.08571243,-0.03079834,0.0031860352,0.012744141,87.0
54,0.0060510635,-0.3461151,0.08571243,-0.026550293,-0.0010620117,0.0053100586,87.0
55,0.019672394,-0.28806305,0.13752747,-0.026550293,-0.0010620117,0.0053100586,87.0
56,0.019672394,-0.28806305,0.13752747,-0.007434082,-0.009558106,0.007434082,87.0
57,0.05733967,-0.22244263,0.1828003,-0.007434082,-0.009558106,0.007434082,87.0
58,0.05733967,-0.22244263,0.1828003,-0.010620117,-0.007434082,0.0031860352,87.0
59,0.09183121,-0.15130615,0.16850662,-0.010620117,-0.007434082,0.0031860352,87.0
60,0.09183121,-0.15130615,0.16850662,-0.04141846,-0.0031860352,-0.016992187,87.0
61,0.09261799,-0.10825348,0.12615204,-0.04141846,-0.0031860352,-0.016992187,87.0
62,0.09261799,-0.10825348,0.12615204,-0.040356446,0.0,-0.0180542,87.0
63,0.062607765,-0.10298157,0.1080513,-0.040356446,0.0,-0.0180542,87.0
64,0.062607765,-0.10298157,0.1080513,-0.021240234,0.004248047,-0.007434082,87.0
65,0.04211521,-0.07835388,0.09410858,-0.021240234,0.004248047,-0.007434082,87.0
66,0.04211521,-0.07835388,0.09410858,-0.0180542,0.0010620117,-0.0010620117,87.0
67,0.03751278,-0.023963928,0.039985657,-0.0180542,0.0010620117,-0.0010620117,87.0
68,0.03751278,-0.023963928,0.039985657,-0.04460449,0.0010620117,-0.009558106,87.0
69,0.010857582,-0.01020813,-0.02645874,-0.04460449,0.0010620117,-0.009558106,87.0
70,0.010857582,-0.01020813,-0.02645874,-0.038232423,-0.004248047,-0.0063720704,87.0
71,-0.0257864,-0.05267334,-0.040599823,-0.038232423,-0.004248047,-0.0063720704,87.0
72,-0.0257864,-0.05267334,-0.040599823,-0.0180542,-0.009558106,-0.004248047,87.0
73,-0.0257864,-0.05267334,-0.040599823,-0.019116212,-0.008496094,-0.010620117,87.0
74,-0.04361534,-0.06894684,-0.017147064,-0.019116212,-0.008496094,-0.010620117,87.0
75,-0.042557716,-0.03340149,-0.025718689,-0.019116212,-0.008496094,-0.010620117,87.0
76,-0.042557716,-0.03340149,-0.025718689,-0.029736329,-0.007434082,-0.009558106,87.0
77,-0.05025673,-0.012535095,-0.024799347,-0.029736329,-0.007434082,-0.009558106,87.0
78,-0.05025673,-0.012535095,-0.024799347,-0.02442627,-0.012744141,-0.0053100586,87.0
79,-0.058540344,-0.030220032,0.018306732,-0.02442627,-0.012744141,-0.0053100586,87.0
80,-0.058540344,-0.030220032,0.018306732,-0.025488282,-0.016992187,0.015930176,87.0
81,-0.0350523,-0.03617096,0.07193375,-0.025488282,-0.016992187,0.015930176,87.0
82,-0.0350523,-0.03617096,0.07193375,-0.025488282,-0.016992187,0.032922365,87.0
83,-0.005092621,0.026535034,0.0761261,-0.025488282,-0.016992187,0.032922365,87.0
84,-0.005092621,0.026535034,0.0761261,-0.047790527,-0.014868164,0.040356446,87.0
85,0.00835228,0.111816406,0.03636551,-0.047790527,-0.014868164,0.040356446,87.0
86,0.00835228,0.111816406,0.03636551,-0.07327881,-0.011682129,0.029736329,87.0
87,-7.648468E-4,0.12107849,-0.010360718,-0.07327881,-0.011682129,0.029736329,87.0
88,-7.648468E-4,0.12107849,-0.010360718,-0.05522461,-0.019116212,0.028674318,87.0
89,-0.016431808,0.05921936,-0.031555176,-0.05522461,-0.019116212,0.028674318,87.0
90,-0.016431808,0.05921936,-0.031555176,-0.025488282,-0.021240234,0.03717041,87.0
91,-0.015025139,0.021766663,-0.013233185,-0.025488282,-0.021240234,0.03717041,87.0
92,-0.015025139,0.021766663,-0.013233185,-0.012744141,-0.028674318,0.04991455,87.0
93,0.005191803,0.047843933,0.027805328,-0.012744141,-0.028674318,0.04991455,87.0
94,0.005191803,0.047843933,0.027805328,-0.029736329,-0.02442627,0.04885254,87.0
95,0.022316933,0.077178955,0.06803131,-0.029736329,-0.02442627,0.04885254,87.0
96,0.022316933,0.077178955,0.06803131,-0.027612304,-0.021240234,0.04460449,87.0
97,0.022316933,0.077178955,0.06803131,-0.03186035,-0.010620117,0.038232423,87.0
98,0.022871017,0.08907318,0.084625244,-0.03186035,-0.010620117,0.038232423,87.0
99,0.009569168,0.0749588,0.07865143,-0.03186035,-0.010620117,0.038232423,87.0
100,0.009569168,0.0749588,0.07865143,-0.027612304,-0.0021240234,0.022302246,87.0
101,-0.010935783,0.060836792,0.05814743,-0.027612304,-0.0021240234,0.022302246,87.0
102,-0.010935783,0.060836792,0.05814743,-0.043542482,0.011682129,-0.0021240234,87.0
103,-0.022896767,0.08375549,0.025180817,-0.043542482,0.011682129,-0.0021240234,87.0
104,-0.022896767,0.08375549,0.025180817,-0.070092775,0.03186035,-0.03717041,87.0
105,-0.022896767,0.08375549,0.025180817,-0.02442627,0.045666505,-0.0361084,87.0
106,-0.053058624,0.12878418,0.0069007874,-0.02442627,0.045666505,-0.0361084,87.0
107,0.0018644333,0.19649506,0.047489166,-0.02442627,0.045666505,-0.0361084,87.0
108,0.0018644333,0.19649506,0.047489166,0.012744141,0.04885254,-0.13275146,87.0
109,0.014162064,0.2481842,0.14211655,0.012744141,0.04885254,-0.13275146,87.0
110,0.014162064,0.2481842,0.14211655,-0.039294433,0.10195313,-0.10513916,87.0
111,-0.05080414,0.1259613,0.17209244,-0.039294433,0.10195313,-0.10513916,87.0
112,-0.05080414,0.1259613,0.17209244,0.107263185,0.07540283,-0.10195313,87.0
113,0.015374184,-0.039649963,0.026981354,0.107263185,0.07540283,-0.10195313,87.0
114,0.015374184,-0.039649963,0.026981354,0.045666505,0.10195313,-0.14868164,87.0
115,0.07717991,-0.12911987,-0.19733429,0.045666505,0.10195313,-0.14868164,87.0
116,0.07717991,-0.12911987,-0.19733429,0.04248047,0.08814698,-0.13912354,87.0
117,0.08731747,-0.15504456,-0.35694122,0.04248047,0.08814698,-0.13912354,87.0
118,0.08731747,-0.15504456,-0.35694122,0.027612304,0.0637207,-0.12850343,87.0
119,0.06686306,-0.12715912,-0.41738892,0.027612304,0.0637207,-0.12850343,87.0
120,0.06686306,-0.12715912,-0.41738892,-0.052038576,0.04885254,-0.15930176,87.0
121,0.022789955,-0.14252472,-0.41239166,-0.052038576,0.04885254,-0.15930176,87.0
122,0.022789955,-0.14252472,-0.41239166,-0.05628662,0.012744141,-0.14337158,87.0
123,0.022789955,-0.14252472,-0.41239166,-0.028674318,-0.025488282,-0.11469727,87.0
124,-0.014995575,-0.18863678,-0.36873245,-0.028674318,-0.025488282,-0.11469727,87.0
125,-0.014995575,-0.18863678,-0.36873245,-0.06159668,-0.046728518,-0.12956543,87.0
126,1.6212463E-4,-0.10496521,-0.32214737,-0.06159668,-0.046728518,-0.12956543,87.0
