,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
1,walk,walk,walk,walk,walk,walk,walk
2,0.16253662,0.19250488,0.049707033,0.0,0.0,0.0,0.0
3,0.16253662,0.19250488,0.049707033,-0.078588866,-0.039294433,-0.0541626,0.0
4,0.16253662,0.19250488,0.049707033,-0.078588866,-0.039294433,-0.0541626,90.0
5,0.18050538,0.07139893,0.0957959,-0.078588866,-0.039294433,-0.0541626,90.0
6,0.18050538,0.07139893,0.0957959,-0.15717773,0.04248047,-0.15717773,90.0
7,0.111164555,-0.0056738257,0.06853125,-0.15717773,0.04248047,-0.15717773,90.0
8,0.111164555,-0.0056738257,0.06853125,-0.23258057,0.09451904,-0.21134034,90.0
9,0.010892093,-0.10060839,0.047708303,-0.23258057,0.09451904,-0.21134034,90.0
10,0.010892093,-0.10060839,0.047708303,-0.2899292,0.1359375,-0.24107666,90.0
11,-0.08023896,-0.23207363,0.006696917,-0.2899292,0.1359375,-0.24107666,90.0
12,-0.08023896,-0.23207363,0.006696917,-0.17841797,0.1178833,-0.2347046,90.0
13,-0.13209888,-0.29476535,-0.059083387,-0.17841797,0.1178833,-0.2347046,90.0
14,-0.13209888,-0.29476535,-0.059083387,-0.06796875,0.06690674,-0.14337158,90.0
15,-0.11865518,-0.19396658,-0.09266466,-0.06796875,0.06690674,-0.14337158,90.0
16,-0.11865518,-0.19396658,-0.09266466,-0.0722168,0.04885254,-0.08071289,90.0
17,-0.06889875,-0.08598381,-0.099095106,-0.0722168,0.04885254,-0.08071289,90.0
18,-0.06889875,-0.08598381,-0.099095106,-0.10513916,0.046728518,-0.06159668,90.0
19,-0.029215686,-0.07414593,-0.13065548,-0.10513916,0.046728518,-0.06159668,90.0
20,-0.029215686,-0.07414593,-0.13065548,-0.10195313,0.04460449,-0.045666505,90.0
21,-0.022139639,-0.06194125,-0.17504442,-0.10195313,0.04460449,-0.045666505,90.0
22,-0.022139639,-0.06194125,-0.17504442,-0.087084964,0.03186035,-0.052038576,90.0
23,-0.010350872,-0.02155006,-0.14972791,-0.087084964,0.03186035,-0.052038576,90.0
24,-0.010350872,-0.02155006,-0.14972791,-0.06159668,0.026550293,-0.04248047,90.0
25,-0.010350872,-0.02155006,-0.14972791,-0.07115479,0.028674318,-0.04141846,90.0
26,0.0106890295,0.025338069,-0.05680625,-0.07115479,0.028674318,-0.04141846,90.0
27,0.03656636,0.07672797,0.0446551,-0.07115479,0.028674318,-0.04141846,90.0
28,0.03656636,0.07672797,0.0446551,-0.0998291,0.03717041,-0.023364259,90.0
29,0.054485023,0.11592339,0.06862203,-0.0998291,0.03717041,-0.023364259,90.0
30,0.054485023,0.11592339,0.06862203,-0.11363526,0.043542482,-0.021240234,90.0
31,0.05747962,0.07579535,-0.051535487,-0.11363526,0.043542482,-0.021240234,90.0
32,0.05747962,0.07579535,-0.051535487,-0.012744141,-0.0021240234,0.015930176,90.0
33,0.08021221,-0.018868119,-0.26420203,-0.012744141,-0.0021240234,0.015930176,90.0
34,0.08021221,-0.018868119,-0.26420203,0.026550293,-0.021240234,-0.032922365,90.0
35,0.16221665,-0.1466741,-0.44226983,0.026550293,-0.021240234,-0.032922365,90.0
36,0.16221665,-0.1466741,-0.44226983,0.14337158,-0.1178833,0.3462158,90.0
37,0.11328162,-0.21508098,-0.47993892,0.14337158,-0.1178833,0.3462158,90.0
38,0.11328162,-0.21508098,-0.47993892,0.2442627,-0.23045655,-0.090270996,90.0
39,0.034949034,-0.23428401,-0.3302524,0.2442627,-0.23045655,-0.090270996,90.0
40,0.034949034,-0.23428401,-0.3302524,0.08071289,-0.26444092,0.107263185,90.0
41,0.080986574,-0.38789108,-0.09469509,0.08071289,-0.26444092,0.107263185,90.0
42,0.080986574,-0.38789108,-0.09469509,-0.07115479,-0.26125488,0.22089843,90.0
43,0.080986574,-0.38789108,-0.09469509,-0.25594482,-0.24851075,0.2984253,90.0
44,0.015167668,-0.38127232,0.0027107596,-0.25594482,-0.24851075,0.2984253,90.0
45,-0.15566371,-0.18925858,-8.587241E-4,-0.25594482,-0.24851075,0.2984253,90.0
46,-0.15566371,-0.18925858,-8.587241E-4,-0.29736328,-0.25063476,0.24851075,90.0
47,-0.2676096,0.002340734,0.09727442,-0.29736328,-0.25063476,0.24851075,90.0
48,-0.2676096,0.002340734,0.09727442,-0.26868898,-0.24957275,0.16885987,90.0
49,-0.25647047,0.15719485,0.23372775,-0.26868898,-0.24957275,0.16885987,90.0
50,-0.25647047,0.15719485,0.23372775,-0.28461915,-0.21134034,0.17735596,90.0
51,-0.2037848,0.23212796,0.28948465,-0.28461915,-0.21134034,0.17735596,90.0
52,-0.2037848,0.23212796,0.28948465,-0.2177124,-0.19647217,0.14230958,90.0
53,-0.13723437,0.31512132,0.2797933,-0.2177124,-0.19647217,0.14230958,90.0
54,-0.13723437,0.31512132,0.2797933,-0.21558838,-0.17947999,0.11044922,90.0
55,-0.061044827,0.385642,0.2909733,-0.21558838,-0.17947999,0.11044922,90.0
56,-0.061044827,0.385642,0.2909733,-0.21452637,-0.16248779,0.1083252,90.0
57,-0.0046464056,0.3477714,0.35969517,-0.21452637,-0.16248779,0.1083252,90.0
58,-0.0046464056,0.3477714,0.35969517,-0.1731079,-0.1529297,0.12213135,90.0
59,0.042156897,0.20652524,0.4436033,-0.1731079,-0.1529297,0.12213135,90.0
60,0.042156897,0.20652524,0.4436033,-0.1178833,-0.13699952,0.14124756,90.0
61,0.042156897,0.20652524,0.4436033,-0.052038576,-0.11682129,0.16779785,90.0
62,0.08241937,0.08227341,0.46284163,-0.052038576,-0.11682129,0.16779785,90.0
63,0.112664014,0.04766687,0.40677235,-0.052038576,-0.11682129,0.16779785,90.0
64,0.112664014,0.04766687,0.40677235,0.0010620117,-0.081774905,0.19541016,90.0
65,0.10658629,0.0813586,0.3022123,0.0010620117,-0.081774905,0.19541016,90.0
66,0.10658629,0.0813586,0.3022123,0.046728518,-0.06478272,0.2177124,90.0
67,0.074807614,0.104186,0.20866436,0.046728518,-0.06478272,0.2177124,90.0
68,0.074807614,0.104186,0.20866436,0.10407715,-0.04141846,0.22939454,90.0
69,0.074807614,0.104186,0.20866436,0.15505372,-0.010620117,0.23895264,90.0
70,0.042963766,0.07499919,0.16563755,0.15505372,-0.010620117,0.23895264,90.0
71,0.020528238,0.012330896,0.1484524,0.15505372,-0.010620117,0.23895264,90.0
72,0.020528238,0.012330896,0.1484524,0.20072022,0.03717041,0.25594482,90.0
73,0.0055339187,-0.12012796,0.11120576,0.20072022,0.03717041,0.25594482,90.0
74,0.0055339187,-0.12012796,0.11120576,0.3536499,0.07115479,0.31116945,90.0
75,7.5281877E-4,-0.32881722,0.07081276,0.3536499,0.07115479,0.31116945,90.0
76,7.5281877E-4,-0.32881722,0.07081276,0.61065674,0.06690674,0.3993164,90.0
77,0.029764853,-0.4490035,0.09808087,0.61065674,0.06690674,0.3993164,90.0
78,0.029764853,-0.4490035,0.09808087,0.8050049,0.08283692,0.47790527,90.0
79,0.09696862,-0.49937612,0.20414829,0.8050049,0.08283692,0.47790527,90.0
80,0.09696862,-0.49937612,0.20414829,1.0057251,0.13275146,0.6223389,90.0
81,0.13818282,-0.54289687,0.31019366,1.0057251,0.13275146,0.6223389,90.0
82,0.13818282,-0.54289687,0.31019366,1.1544068,0.16885987,0.7412842,90.0
83,0.12812437,-0.37134147,0.2911725,1.1544068,0.16885987,0.7412842,90.0
84,0.12812437,-0.37134147,0.2911725,1.0450195,0.2516968,0.814563,90.0
85,0.049350083,0.01788044,0.08955419,1.0450195,0.2516968,0.814563,90.0
86,0.049350083,0.01788044,0.08955419,0.8729736,0.31116945,0.8867798,90.0
87,-0.06026359,0.30490494,-0.1214841,0.8729736,0.31116945,0.8867798,90.0
88,-0.06026359,0.30490494,-0.1214841,0.7519043,0.362146,0.9483765,90.0
89,-0.1400932,0.2759186,-0.2002635,0.7519043,0.362146,0.9483765,90.0
90,-0.1400932,0.2759186,-0.2002635,0.76358646,0.38975832,0.9834229,90.0
91,-0.16725034,0.06981936,-0.2044735,0.76358646,0.38975832,0.9834229,90.0
92,-0.16725034,0.06981936,-0.2044735,0.8358032,0.41418457,1.0163453,90.0
93,-0.13445945,-0.029496074,-0.2135666,0.8358032,0.41418457,1.0163453,90.0
94,-0.13445945,-0.029496074,-0.2135666,0.8782837,0.43754885,1.0343994,90.0
95,-0.06675946,0.07399833,-0.24491334,0.8782837,0.43754885,1.0343994,90.0
96,-0.06675946,0.07399833,-0.24491334,0.8315552,0.47471926,1.0259033,90.0
97,0.005589016,0.2507514,-0.28637257,0.8315552,0.47471926,1.0259033,90.0
98,0.005589016,0.2507514,-0.28637257,0.7455322,0.5076416,1.0046631,90.0
99,0.040494163,0.32114556,-0.3286464,0.7455322,0.5076416,1.0046631,90.0
100,0.040494163,0.32114556,-0.3286464,0.6223389,0.5479981,0.97067875,90.0
101,0.031907048,0.22060055,-0.34129846,0.6223389,0.5479981,0.97067875,90.0
102,0.031907048,0.22060055,-0.34129846,0.58410645,0.56392825,0.95368654,90.0
103,0.031907048,0.22060055,-0.34129846,0.58410645,0.56392825,0.95368654,90.0
104,0.01516187,0.044266075,-0.3187297,0.58410645,0.56392825,0.95368654,90.0
105,0.01516187,0.044266075,-0.3187297,0.57561034,0.55755615,0.94625247,90.0
106,0.014570902,-0.043822974,-0.2758456,0.57561034,0.55755615,0.94625247,90.0
107,0.014570902,-0.043822974,-0.2758456,0.542688,0.5522461,0.9303223,90.0
108,0.03807274,-0.037255645,-0.23243184,0.542688,0.5522461,0.9303223,90.0
109,0.03807274,-0.037255645,-0.23243184,0.49277344,0.5501221,0.91757816,90.0
110,0.06894696,-0.05185041,-0.2154865,0.49277344,0.5501221,0.91757816,90.0
111,0.06894696,-0.05185041,-0.2154865,0.4725952,0.53737795,0.9197022,90.0
112,0.06288462,-0.081763536,-0.22766264,0.4725952,0.53737795,0.9197022,90.0
113,0.06288462,-0.081763536,-0.22766264,0.4322388,0.5246338,0.91864014,90.0
114,0.037978597,-0.072051466,-0.24798705,0.4322388,0.5246338,0.91864014,90.0
115,0.037978597,-0.072051466,-0.24798705,0.41737062,0.5012695,0.91757816,90.0
116,0.015038639,-0.013341874,-0.22911474,0.41737062,0.5012695,0.91757816,90.0
117,0.015038639,-0.013341874,-0.22911474,0.36427003,0.49277344,0.91120607,90.0
