,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
1,walk,walk,walk,walk,walk,walk,walk
2,-3.612134,-60.012722,44.645668,0.0,0.0,0.0,0.0
3,-3.612134,-60.012722,44.645668,-0.18585205,-0.0031860352,-0.04885254,0.0
4,-2.7867286,-48.07092,35.607315,-0.18585205,-0.0031860352,-0.04885254,0.0
5,-2.7867286,-48.07092,35.607315,-0.16248779,-0.014868164,-0.06265869,0.0
6,-2.2250738,-38.569016,28.478615,-0.16248779,-0.014868164,-0.06265869,0.0
7,-2.2250738,-38.569016,28.478615,-0.2262085,0.007434082,-0.053100586,0.0
8,-1.8159599,-31.037426,22.836712,-0.2262085,0.007434082,-0.053100586,0.0
9,-1.8159599,-31.037426,22.836712,-0.14549561,-0.010620117,-0.03186035,0.0
10,-1.5030122,-24.947617,18.33044,-0.14549561,-0.010620117,-0.03186035,0.0
11,-1.5030122,-24.947617,18.33044,-0.047790527,-0.078588866,0.03717041,0.0
12,-1.210149,-19.94579,14.680294,-0.047790527,-0.078588866,0.03717041,0.0
13,-1.210149,-19.94579,14.680294,-0.022302246,-0.07752686,0.060534667,0.0
14,-0.9380412,-15.89119,11.699154,-0.022302246,-0.07752686,0.060534667,0.0
15,-0.9380412,-15.89119,11.699154,-0.06584473,-0.060534667,0.09133301,0.0
16,-0.7216244,-12.629395,9.3309555,-0.06584473,-0.060534667,0.09133301,0.0
17,-0.7216244,-12.629395,9.3309555,-0.046728518,-0.05522461,0.021240234,0.0
18,-0.5610032,-10.033798,7.502384,-0.046728518,-0.05522461,0.021240234,0.0
19,-0.5610032,-10.033798,7.502384,-0.032922365,-0.06796875,0.004248047,0.0
20,-0.42514515,-8.007004,6.0655823,-0.032922365,-0.06796875,0.004248047,0.0
21,-0.42514515,-8.007004,6.0655823,-0.053100586,-0.053100586,-0.04991455,0.0
22,-0.42514515,-8.007004,6.0655823,-0.02442627,-0.04885254,-0.08920898,0.0
23,-0.32768917,-6.4869156,4.856018,-0.02442627,-0.04885254,-0.08920898,0.0
24,-0.23596716,-5.29747,3.865284,-0.02442627,-0.04885254,-0.08920898,0.0
25,-0.23596716,-5.29747,3.865284,0.0010620117,-0.04141846,-0.10089111,0.0
26,-0.14443779,-4.2555923,3.1059494,0.0010620117,-0.04141846,-0.10089111,0.0
27,-0.14443779,-4.2555923,3.1059494,0.016992187,-0.029736329,-0.10301514,0.0
28,-0.085740566,-3.323082,2.4944878,0.016992187,-0.029736329,-0.10301514,0.0
29,-0.085740566,-3.323082,2.4944878,-0.038232423,-0.008496094,-0.090270996,0.0
30,-0.085740566,-3.323082,2.4944878,-0.06159668,0.0053100586,-0.08071289,0.0
31,-0.0681653,-2.5845642,1.9675369,-0.06159668,0.0053100586,-0.08071289,0.0
32,-0.11832619,-2.081398,1.5002365,-0.06159668,0.0053100586,-0.08071289,0.0
33,-0.11832619,-2.081398,1.5002365,-0.045666505,0.0021240234,-0.093457036,0.0
34,-0.18178272,-1.7745819,1.1309891,-0.045666505,0.0021240234,-0.093457036,0.0
35,-0.18178272,-1.7745819,1.1309891,0.06796875,-0.052038576,-0.038232423,0.0
36,-0.18769932,-1.5210419,0.8744583,0.06796875,-0.052038576,-0.038232423,0.0
37,-0.18769932,-1.5210419,0.8744583,0.16142578,-0.10620117,-0.022302246,0.0
38,-0.1464243,-1.1841202,0.70285034,0.16142578,-0.10620117,-0.022302246,0.0
39,-0.1464243,-1.1841202,0.70285034,-0.06159668,-0.004248047,0.098767094,0.0
40,-0.15540838,-0.9229202,0.49455643,-0.06159668,-0.004248047,0.098767094,0.0
41,-0.15540838,-0.9229202,0.49455643,-0.5214478,0.23258057,-0.19434814,0.0
42,-0.37783003,-1.1928253,0.38085938,-0.5214478,0.23258057,-0.19434814,0.0
43,-0.37783003,-1.1928253,0.38085938,1.1554688,-0.5851685,0.25063476,0.0
44,-0.34825993,-1.1719742,0.3620224,1.1554688,-0.5851685,0.25063476,0.0
45,-0.34825993,-1.1719742,0.3620224,0.3982544,-0.31116945,-0.025488282,0.0
46,0.11006403,-0.31865692,0.3503723,0.3982544,-0.31116945,-0.025488282,0.0
47,0.11006403,-0.31865692,0.3503723,-0.3695801,0.098767094,0.2262085,0.0
48,0.11006403,-0.31865692,0.3503723,-0.5915405,0.21027832,0.16992188,0.0
49,0.33728218,0.086135864,0.3653679,-0.5915405,0.21027832,0.16992188,0.0
50,0.10199118,-0.1787796,0.49223328,-0.5915405,0.21027832,0.16992188,0.0
51,0.10199118,-0.1787796,0.49223328,-0.33028564,0.05628662,0.24532472,0.0
52,-0.18593645,-0.34895325,0.51017,-0.33028564,0.05628662,0.24532472,0.0
53,-0.18593645,-0.34895325,0.51017,-0.15823975,-0.03079834,0.2347046,0.0
54,-0.1653142,-0.059829712,0.32172394,-0.15823975,-0.03079834,0.2347046,0.0
55,-0.1653142,-0.059829712,0.32172394,0.028674318,-0.07540283,0.23045655,0.0
56,0.09173536,0.29203033,0.088199615,0.028674318,-0.07540283,0.23045655,0.0
57,0.09173536,0.29203033,0.088199615,0.0063720704,-0.05628662,0.19222413,0.0
58,0.27474308,0.33670044,0.02342987,0.0063720704,-0.05628662,0.19222413,0.0
59,0.27474308,0.33670044,0.02342987,-0.11469727,0.025488282,0.09451904,0.0
60,0.32908392,0.064712524,0.113838196,-0.11469727,0.025488282,0.09451904,0.0
61,0.32908392,0.064712524,0.113838196,-0.1178833,0.043542482,0.035046387,0.0
62,0.32903862,-0.17921448,0.1312561,-0.1178833,0.043542482,0.035046387,0.0
63,0.32903862,-0.17921448,0.1312561,-0.007434082,0.027612304,0.09133301,0.0
64,0.24682474,-0.24481201,-0.00466156,-0.007434082,0.027612304,0.09133301,0.0
65,0.24682474,-0.24481201,-0.00466156,0.03186035,0.03079834,0.0637207,0.0
66,0.14067268,-0.18514252,-0.13568878,0.03186035,0.03079834,0.0637207,0.0
67,0.14067268,-0.18514252,-0.13568878,0.03079834,0.0361084,0.045666505,0.0
68,0.06353903,-0.09703064,-0.14290237,0.03079834,0.0361084,0.045666505,0.0
69,0.06353903,-0.09703064,-0.14290237,0.004248047,0.045666505,0.04141846,0.0
70,-0.02469349,-0.059532166,-0.07859421,0.004248047,0.045666505,0.04141846,0.0
71,-0.02469349,-0.059532166,-0.07859421,-0.020178223,0.050976563,0.026550293,0.0
72,-0.07286739,-0.063072205,-0.046432495,-0.020178223,0.050976563,0.026550293,0.0
73,-0.07286739,-0.063072205,-0.046432495,-0.0541626,0.057348635,-0.0021240234,0.0
74,-0.07286739,-0.063072205,-0.046432495,-0.029736329,0.0637207,-0.019116212,0.0
