,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
24212,open,open,open,open,open,open,open
24213,-2.5961595,-2.1573944,-7.1642647,0.008496094,0.06690674,0.1178833,164.0
24214,-2.069591,-1.7267075,-5.728569,0.008496094,0.06690674,0.1178833,164.0
24215,-2.069591,-1.7267075,-5.728569,-0.0063720704,0.04248047,-0.03186035,164.0
24216,-1.6496425,-1.3766403,-4.580803,-0.0063720704,0.04248047,-0.03186035,164.0
24217,-1.6496425,-1.3766403,-4.580803,-0.04248047,0.038232423,-0.023364259,164.0
24218,-0.6546626,-1.447464,3.9875565,-0.04248047,0.038232423,-0.023364259,164.0
24219,-0.6546626,-1.447464,3.9875565,-0.016992187,0.03717041,-0.023364259,164.0
24220,-0.6546626,-1.447464,3.9875565,0.025488282,0.028674318,-0.023364259,164.0
24221,-0.5185666,-1.2720261,3.1845398,0.025488282,0.028674318,-0.023364259,164.0
24222,-0.4345188,-1.0666199,2.5761108,0.025488282,0.028674318,-0.023364259,164.0
24223,-0.4345188,-1.0666199,2.5761108,0.040356446,0.015930176,-0.020178223,164.0
24224,-0.3649001,-0.7904434,2.100048,0.040356446,0.015930176,-0.020178223,164.0
24225,-0.3649001,-0.7904434,2.100048,-0.0021240234,0.008496094,-0.014868164,164.0
24226,-0.29958606,-0.5586395,1.7106285,-0.0021240234,0.008496094,-0.014868164,164.0
24227,-0.29958606,-0.5586395,1.7106285,-0.022302246,-0.0021240234,-0.013806152,164.0
24228,-0.25960302,-0.46606445,1.387352,-0.022302246,-0.0021240234,-0.013806152,164.0
24229,-0.25960302,-0.46606445,1.387352,-0.009558106,-0.013806152,-0.0180542,164.0
24230,-0.22565126,-0.4379654,1.1050339,-0.009558106,-0.013806152,-0.0180542,164.0
24231,-0.22565126,-0.4379654,1.1050339,-0.019116212,-0.023364259,-0.013806152,164.0
24232,-0.18356061,-0.39463806,0.87509155,-0.019116212,-0.023364259,-0.013806152,164.0
24233,-0.18356061,-0.39463806,0.87509155,-0.021240234,-0.023364259,-0.0031860352,164.0
24234,-0.12303257,-0.3629837,0.7143173,-0.021240234,-0.023364259,-0.0031860352,164.0
24235,-0.12303257,-0.3629837,0.7143173,-0.0063720704,-0.019116212,0.016992187,164.0
24236,-0.07755184,-0.3664627,0.5825386,-0.0063720704,-0.019116212,0.016992187,164.0
24237,-0.07755184,-0.3664627,0.5825386,0.03717041,-0.015930176,0.027612304,164.0
24238,-0.06835246,-0.40181732,0.43136215,0.03717041,-0.015930176,0.027612304,164.0
24239,-0.06835246,-0.40181732,0.43136215,0.05522461,-0.015930176,0.06159668,164.0
24240,-0.043488026,-0.44337463,0.2565384,0.05522461,-0.015930176,0.06159668,164.0
24241,-0.043488026,-0.44337463,0.2565384,0.07540283,-0.02442627,0.14549561,164.0
24242,-0.05743456,-0.3900299,0.13499069,0.07540283,-0.02442627,0.14549561,164.0
24243,-0.05743456,-0.3900299,0.13499069,0.06159668,-0.052038576,0.18691407,164.0
24244,-0.12565947,-0.20633698,0.09562683,0.06159668,-0.052038576,0.18691407,164.0
24245,-0.12565947,-0.20633698,0.09562683,0.0031860352,-0.0998291,0.16992188,164.0
24246,-0.12565947,-0.20633698,0.09562683,-0.019116212,-0.115759276,0.19328614,164.0
24247,-0.118667364,-0.034431458,0.12017822,-0.019116212,-0.115759276,0.19328614,164.0
24248,-0.034448147,0.068496704,0.16193771,-0.019116212,-0.115759276,0.19328614,164.0
24249,-0.034448147,0.068496704,0.16193771,-0.04248047,-0.124255374,0.20072022,164.0
24250,0.045097828,0.13228607,0.16879654,-0.04248047,-0.124255374,0.20072022,164.0
24251,0.045097828,0.13228607,0.16879654,-0.0361084,-0.118945315,0.18479005,164.0
24252,0.07921791,0.17533875,0.15180969,-0.0361084,-0.118945315,0.18479005,164.0
24253,0.07921791,0.17533875,0.15180969,-0.025488282,-0.11257324,0.16354981,164.0
24254,0.07921791,0.17533875,0.15180969,-0.03186035,-0.098767094,0.14549561,164.0
24255,0.09290314,0.18019867,0.16947174,-0.03186035,-0.098767094,0.14549561,164.0
24256,0.09882212,0.16091919,0.21113968,-0.03186035,-0.098767094,0.14549561,164.0
24257,0.09882212,0.16091919,0.21113968,-0.04991455,-0.08283692,0.12531738,164.0
24258,0.10546136,0.10046387,0.23748016,-0.04991455,-0.08283692,0.12531738,164.0
24259,0.10546136,0.10046387,0.23748016,-0.043542482,-0.07115479,0.115759276,164.0
24260,0.11275029,0.008079529,0.22494507,-0.043542482,-0.07115479,0.115759276,164.0
24261,0.11275029,0.008079529,0.22494507,-0.023364259,-0.059472658,0.107263185,164.0
24262,0.084523916,-0.06487274,0.17315674,-0.023364259,-0.059472658,0.107263185,164.0
24263,0.084523916,-0.06487274,0.17315674,0.0,-0.058410645,0.10407715,164.0
