,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
27416,open,open,open,open,open,open,open
27417,-0.08178711,-0.18495178,0.30156708,-0.015930176,-0.06584473,0.057348635,137.0
27418,-0.08178711,-0.18495178,0.30156708,-0.03717041,0.028674318,-0.10620117,137.0
27419,-0.06534386,-0.14810944,0.23919296,-0.03717041,0.028674318,-0.10620117,137.0
27420,-0.06534386,-0.14810944,0.23919296,-0.033984374,-0.023364259,-0.011682129,137.0
27421,0.093403816,2.310196,-0.1776886,-0.033984374,-0.023364259,-0.011682129,137.0
27422,0.093403816,2.310196,-0.1776886,-0.008496094,-0.029736329,-0.014868164,137.0
27423,0.04032421,1.8864594,-0.18610764,-0.008496094,-0.029736329,-0.014868164,137.0
27424,0.04032421,1.8864594,-0.18610764,-0.012744141,-0.0180542,-0.013806152,137.0
27425,0.059078217,1.5359726,-0.110580444,-0.012744141,-0.0180542,-0.013806152,137.0
27426,0.059078217,1.5359726,-0.110580444,-0.009558106,0.0031860352,-0.012744141,137.0
27427,0.08173561,1.228775,-0.05014801,-0.009558106,0.0031860352,-0.012744141,137.0
27428,0.08173561,1.228775,-0.05014801,-0.013806152,0.004248047,-0.014868164,137.0
27429,0.0807085,0.9371109,-0.019290924,-0.013806152,0.004248047,-0.014868164,137.0
27430,0.0807085,0.9371109,-0.019290924,0.0180542,-0.0031860352,-0.015930176,137.0
27431,0.0652504,0.6995392,-0.0057029724,0.0180542,-0.0031860352,-0.015930176,137.0
27432,0.0652504,0.6995392,-0.0057029724,0.050976563,0.010620117,-0.023364259,137.0
27433,0.04906273,0.59371185,-0.011325836,0.050976563,0.010620117,-0.023364259,137.0
27434,0.04906273,0.59371185,-0.011325836,0.025488282,0.007434082,-0.019116212,137.0
27435,0.028470993,0.50894165,-0.049137115,0.025488282,0.007434082,-0.019116212,137.0
27436,0.028470993,0.50894165,-0.049137115,0.004248047,0.0053100586,-0.023364259,137.0
27437,0.024949074,0.35176086,-0.088638306,0.004248047,0.0053100586,-0.023364259,137.0
27438,0.024949074,0.35176086,-0.088638306,0.011682129,0.020178223,-0.03186035,137.0
27439,0.009217262,0.21569824,-0.07413101,0.011682129,0.020178223,-0.03186035,137.0
27440,0.009217262,0.21569824,-0.07413101,0.014868164,0.016992187,-0.019116212,137.0
27441,-0.019469261,0.18419647,-0.02532196,0.014868164,0.016992187,-0.019116212,137.0
27442,-0.019469261,0.18419647,-0.02532196,0.023364259,0.0010620117,-0.010620117,137.0
27443,-0.019469261,0.18419647,-0.02532196,0.032922365,0.0021240234,-0.0021240234,137.0
27444,-0.050047874,0.2011795,-0.007549286,0.032922365,0.0021240234,-0.0021240234,137.0
27445,-0.060118675,0.15421295,-0.02450943,0.032922365,0.0021240234,-0.0021240234,137.0
27446,-0.060118675,0.15421295,-0.02450943,0.03079834,0.008496094,-0.0031860352,137.0
27447,-0.036668777,0.09282684,-0.025844574,0.03079834,0.008496094,-0.0031860352,137.0
27448,-0.036668777,0.09282684,-0.025844574,0.008496094,0.012744141,-0.004248047,137.0
27449,-0.008315086,0.079818726,0.020389557,0.008496094,0.012744141,-0.004248047,137.0
27450,-0.008315086,0.079818726,0.020389557,0.02442627,0.0053100586,0.0053100586,137.0
27451,-0.008315086,0.079818726,0.020389557,0.07327881,0.0063720704,0.007434082,137.0
27452,0.006336212,0.046958923,0.059524536,0.07327881,0.0063720704,0.007434082,137.0
27453,-0.005429268,0.009681702,0.05041504,0.07327881,0.0063720704,0.007434082,137.0
27454,-0.005429268,0.009681702,0.05041504,0.07540283,-0.0010620117,0.013806152,137.0
27455,-0.027585983,0.019256592,0.0476532,0.07540283,-0.0010620117,0.013806152,137.0
27456,-0.027585983,0.019256592,0.0476532,0.09770508,0.008496094,0.023364259,137.0
