,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
23162,open,open,open,open,open,open,open
23163,0.08158946,-0.14935303,-0.02545166,-0.11257324,-0.04248047,0.06796875,144.0
23164,0.08158946,-0.14935303,-0.02545166,-0.013806152,-0.007434082,0.0,144.0
23165,0.06536913,-0.12082672,-0.02130127,-0.013806152,-0.007434082,0.0,144.0
23166,0.050781608,-0.10063934,-0.017066956,-0.013806152,-0.007434082,0.0,144.0
23167,0.050781608,-0.10063934,-0.017066956,0.0031860352,-0.014868164,0.038232423,144.0
23168,0.78261757,-1.2044525,-0.212677,0.0031860352,-0.014868164,0.038232423,144.0
23169,0.78261757,-1.2044525,-0.212677,-0.059472658,-0.02442627,0.04141846,144.0
23170,0.6270461,-0.93686676,-0.0927124,-0.059472658,-0.02442627,0.04141846,144.0
23171,0.6270461,-0.93686676,-0.0927124,-0.11363526,-0.057348635,0.046728518,144.0
23172,0.54679084,-0.7762909,0.06367111,-0.11363526,-0.057348635,0.046728518,144.0
23173,0.54679084,-0.7762909,0.06367111,-0.09451904,-0.060534667,0.020178223,144.0
23174,0.50049424,-0.6536865,0.11894226,-0.09451904,-0.060534667,0.020178223,144.0
23175,0.50049424,-0.6536865,0.11894226,-0.07540283,-0.03717041,0.0180542,144.0
23176,0.43517327,-0.5651474,0.078502655,-0.07540283,-0.03717041,0.0180542,144.0
23177,0.43517327,-0.5651474,0.078502655,-0.045666505,-0.021240234,0.023364259,144.0
23178,0.32656884,-0.49327087,0.03565216,-0.045666505,-0.021240234,0.023364259,144.0
23179,0.32656884,-0.49327087,0.03565216,-0.043542482,0.014868164,0.022302246,144.0
23180,0.20096445,-0.4254532,0.051078796,-0.043542482,0.014868164,0.022302246,144.0
23181,0.20096445,-0.4254532,0.051078796,-0.0722168,0.016992187,0.0053100586,144.0
23182,0.13269544,-0.3924179,0.07886124,-0.0722168,0.016992187,0.0053100586,144.0
23183,0.13269544,-0.3924179,0.07886124,-0.118945315,-0.0010620117,0.004248047,144.0
23184,0.124222755,-0.37882996,0.042469025,-0.118945315,-0.0010620117,0.004248047,144.0
23185,0.124222755,-0.37882996,0.042469025,-0.11257324,-0.0010620117,0.016992187,144.0
23186,0.08261776,-0.32881927,-0.08376312,-0.11257324,-0.0010620117,0.016992187,144.0
23187,0.08261776,-0.32881927,-0.08376312,-0.14230958,-0.011682129,0.013806152,144.0
23188,0.01355505,-0.28575134,-0.20980835,-0.14230958,-0.011682129,0.013806152,144.0
23189,0.01355505,-0.28575134,-0.20980835,-0.09451904,-0.04141846,0.0180542,144.0
23190,0.01355505,-0.28575134,-0.20980835,0.015930176,-0.025488282,-0.014868164,144.0
23191,-0.0560503,-0.37431335,-0.28082275,0.015930176,-0.025488282,-0.014868164,144.0
23192,-0.06382227,-0.3119278,-0.24847412,0.015930176,-0.025488282,-0.014868164,144.0
23193,-0.06382227,-0.3119278,-0.24847412,-0.033984374,-0.07646485,-0.058410645,144.0
23194,-0.0046589375,-0.09915161,-0.18766785,-0.033984374,-0.07646485,-0.058410645,144.0
23195,-0.0046589375,-0.09915161,-0.18766785,-0.2516968,-0.040356446,-0.028674318,144.0
23196,0.14638281,-0.008361816,-0.21871185,-0.2516968,-0.040356446,-0.028674318,144.0
23197,0.14638281,-0.008361816,-0.21871185,-0.6552612,-0.3536499,-0.06159668,144.0
23198,0.14638281,-0.008361816,-0.21871185,-0.9696167,-0.36851808,0.3164795,144.0
23199,0.18946958,-0.053504944,-0.03152466,-0.9696167,-0.36851808,0.3164795,144.0
23200,0.17990828,-0.21013641,-0.025341034,-0.9696167,-0.36851808,0.3164795,144.0
23201,0.17990828,-0.21013641,-0.025341034,-1.3317627,-0.5543701,0.3058594,144.0
23202,0.6431699,-0.6991272,0.17014313,-1.3317627,-0.5543701,0.3058594,144.0
23203,0.6431699,-0.6991272,0.17014313,-0.13168946,0.06265869,0.026550293,144.0
23204,0.6367283,-0.5608139,0.18081665,-0.13168946,0.06265869,0.026550293,144.0
23205,0.6367283,-0.5608139,0.18081665,-0.13275146,0.16248779,0.04885254,144.0
23206,0.19323277,0.18743134,0.22151184,-0.13275146,0.16248779,0.04885254,144.0
23207,0.19323277,0.18743134,0.22151184,-0.5851685,0.17629395,-0.17947999,144.0
23208,-0.011685848,0.17630005,0.14064789,-0.5851685,0.17629395,-0.17947999,144.0
23209,-0.011685848,0.17630005,0.14064789,-0.58304447,0.20921631,-0.19328614,144.0
23210,-0.11451244,-0.42650604,-0.02376175,-0.58304447,0.20921631,-0.19328614,144.0
23211,-0.11451244,-0.42650604,-0.02376175,-0.31223145,0.26125488,-0.13168946,144.0
23212,-0.11105585,-0.5382767,-0.03107071,-0.31223145,0.26125488,-0.13168946,144.0
23213,-0.11105585,-0.5382767,-0.03107071,-0.24213867,0.25063476,-0.1359375,144.0
23214,-0.15227246,-0.6270828,-0.14331436,-0.24213867,0.25063476,-0.1359375,144.0
23215,-0.15227246,-0.6270828,-0.14331436,-0.14761963,0.17947999,-0.087084964,144.0
23216,-0.15227246,-0.6270828,-0.14331436,-0.11151123,0.15611573,-0.06903076,144.0
23217,-0.15349507,-0.5059662,-0.18862915,-0.11151123,0.15611573,-0.06903076,144.0
23218,-0.23683429,-0.40626526,-0.40509033,-0.11151123,0.15611573,-0.06903076,144.0
23219,-0.23683429,-0.40626526,-0.40509033,-0.04885254,0.083898924,-0.0180542,144.0
23220,-0.24384975,-0.33970642,-0.3648796,-0.04885254,0.083898924,-0.0180542,144.0
23221,-0.24384975,-0.33970642,-0.3648796,-0.03079834,0.047790527,0.0010620117,144.0
23222,-0.33491135,-0.37471008,-0.2457962,-0.03079834,0.047790527,0.0010620117,144.0
23223,-0.33491135,-0.37471008,-0.2457962,0.07540283,-0.043542482,-0.0010620117,144.0
23224,-0.27267742,-0.30523682,-0.14710236,0.07540283,-0.043542482,-0.0010620117,144.0
23225,-0.27267742,-0.30523682,-0.14710236,0.09451904,-0.053100586,0.0031860352,144.0
23226,-0.180825,-0.1529541,-0.034420013,0.09451904,-0.053100586,0.0031860352,144.0
23227,-0.180825,-0.1529541,-0.034420013,0.03186035,-0.09133301,-0.008496094,144.0
23228,-0.10796571,-0.01676941,-0.030857086,0.03186035,-0.09133301,-0.008496094,144.0
23229,-0.10796571,-0.01676941,-0.030857086,-0.023364259,-0.11469727,-0.03717041,144.0
23230,-0.05352354,0.022789001,-0.11268616,-0.023364259,-0.11469727,-0.03717041,144.0
23231,-0.05352354,0.022789001,-0.11268616,-0.04885254,-0.10620117,-0.04885254,144.0
23232,0.0119662285,0.030960083,-0.20275879,-0.04885254,-0.10620117,-0.04885254,144.0
23233,0.0119662285,0.030960083,-0.20275879,-0.121069334,-0.08602295,-0.057348635,144.0
23234,0.048208237,0.04270172,-0.26308823,-0.121069334,-0.08602295,-0.057348635,144.0
23235,0.048208237,0.04270172,-0.26308823,-0.21558838,-0.07115479,-0.06265869,144.0
23236,0.030094862,0.021583557,-0.29985046,-0.21558838,-0.07115479,-0.06265869,144.0
23237,0.030094862,0.021583557,-0.29985046,-0.31223145,-0.087084964,-0.08920898,144.0
23238,-0.0130701065,-0.02017212,-0.34215164,-0.31223145,-0.087084964,-0.08920898,144.0
23239,-0.0130701065,-0.02017212,-0.34215164,-0.37489015,-0.11363526,-0.10407715,144.0
23240,-0.049982548,-0.05861664,-0.4050827,-0.37489015,-0.11363526,-0.10407715,144.0
23241,-0.049982548,-0.05861664,-0.4050827,-0.45135498,-0.1709839,-0.11044922,144.0
23242,-0.009724855,-0.022453308,-0.59916306,-0.45135498,-0.1709839,-0.11044922,144.0
23243,-0.009724855,-0.022453308,-0.59916306,-0.6403931,-0.24744873,-0.11044922,144.0
23244,0.0436728,-0.0023269653,-0.67163086,-0.6403931,-0.24744873,-0.11044922,144.0
23245,0.0436728,-0.0023269653,-0.67163086,-0.725354,-0.27506104,-0.10620117,144.0
23246,0.08697677,0.07601929,-0.9111481,-0.725354,-0.27506104,-0.10620117,144.0
23247,0.08697677,0.07601929,-0.9111481,-0.904834,-0.36002198,-0.1274414,144.0
23248,0.106068134,0.087768555,-1.1298332,-0.904834,-0.36002198,-0.1274414,144.0
23249,0.106068134,0.087768555,-1.1298332,-1.0248413,-0.4609131,-0.17629395,144.0
23250,0.1337192,0.0345459,-1.1659775,-1.0248413,-0.4609131,-0.17629395,144.0
23251,0.1337192,0.0345459,-1.1659775,-1.0917481,-0.64782715,-0.26444092,144.0
23252,0.3306203,-0.19494629,-0.955307,-1.0917481,-0.64782715,-0.26444092,144.0
23253,0.3306203,-0.19494629,-0.955307,-1.1660889,-0.8485474,-0.44923097,144.0
23254,0.7320256,-0.49720764,-0.7681885,-1.1660889,-0.8485474,-0.44923097,144.0
23255,0.7320256,-0.49720764,-0.7681885,-1.1310425,-0.93775636,-0.5692383,144.0
23256,1.0611453,-0.5610962,-0.9017105,-1.1310425,-0.93775636,-0.5692383,144.0
23257,1.0611453,-0.5610962,-0.9017105,-1.1544068,-1.0365235,-0.6924316,144.0
23258,1.2212307,-0.38594818,-1.3047905,-1.1544068,-1.0365235,-0.6924316,144.0
23259,1.2212307,-0.38594818,-1.3047905,-1.2584839,-1.0715698,-0.7720825,144.0
23260,1.2846506,-0.009407043,-1.7361794,-1.2584839,-1.0715698,-0.7720825,144.0
23261,1.2846506,-0.009407043,-1.7361794,-1.6078857,-1.1204224,-0.81668705,144.0
23262,1.2308578,0.41664124,-1.9535675,-1.6078857,-1.1204224,-0.81668705,144.0
23263,1.2308578,0.41664124,-1.9535675,-2.3130615,-1.2202514,-0.89208984,144.0
23264,1.1888614,0.40525055,-2.0547256,-2.3130615,-1.2202514,-0.89208984,144.0
23265,1.1888614,0.40525055,-2.0547256,-2.613611,-1.4953126,-1.1363525,144.0
23266,1.4222927,-0.6320648,-2.1781425,-2.613611,-1.4953126,-1.1363525,144.0
23267,1.4222927,-0.6320648,-2.1781425,-2.0199463,-1.6832886,-1.4570801,144.0
