,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
32238,open,open,open,open,open,open,open
32239,0.012032509,0.065485,0.28645325,-0.22196046,-0.17523193,0.0021240234,90.0
32240,0.012032509,0.065485,0.28645325,-0.21452637,-0.06796875,0.014868164,90.0
32241,0.2538519,-0.19821167,0.08526611,-0.21452637,-0.06796875,0.014868164,90.0
32242,0.2538519,-0.19821167,0.08526611,0.03079834,0.13912354,0.10938721,90.0
32243,0.2567191,-0.33971024,-0.11505127,0.03079834,0.13912354,0.10938721,90.0
32244,0.2567191,-0.33971024,-0.11505127,0.20284425,0.25806886,0.17523193,90.0
32245,-0.048970222,-0.16503143,-0.11187744,0.20284425,0.25806886,0.17523193,90.0
32246,-0.048970222,-0.16503143,-0.11187744,0.1731079,0.19328614,0.12531738,90.0
32247,-0.048970222,-0.16503143,-0.11187744,0.1731079,0.19328614,0.12531738,90.0
32248,-0.048970222,-0.16503143,-0.11187744,-0.020178223,0.016992187,0.010620117,90.0
32249,-0.3357458,0.13477135,0.028915405,-0.020178223,0.016992187,0.010620117,90.0
32250,-0.2235527,0.24370575,0.05168152,-0.020178223,0.016992187,0.010620117,90.0
32251,-0.2235527,0.24370575,0.05168152,-0.053100586,0.039294433,0.032922365,90.0
32252,0.0029082298,0.18540573,-0.060409546,-0.053100586,0.039294433,0.032922365,90.0
32253,0.0029082298,0.18540573,-0.060409546,-0.045666505,0.019116212,0.026550293,90.0
32254,0.091071606,0.1099453,-0.15524292,-0.045666505,0.019116212,0.026550293,90.0
32255,0.091071606,0.1099453,-0.15524292,0.0031860352,0.019116212,0.016992187,90.0
32256,0.087554455,0.10316467,-0.13627625,0.0031860352,0.019116212,0.016992187,90.0
32257,0.087554455,0.10316467,-0.13627625,0.012744141,0.011682129,0.0010620117,90.0
32258,0.04322481,0.12768555,-0.0287323,0.012744141,0.011682129,0.0010620117,90.0
32259,0.04322481,0.12768555,-0.0287323,-0.007434082,-0.0053100586,-0.012744141,90.0
32260,0.010703087,0.090660095,0.03439331,-0.007434082,-0.0053100586,-0.012744141,90.0
32261,0.010703087,0.090660095,0.03439331,-0.0021240234,-0.014868164,-0.020178223,90.0
32262,-0.009540558,0.008611679,0.030563354,-0.0021240234,-0.014868164,-0.020178223,90.0
32263,-0.009540558,0.008611679,0.030563354,0.007434082,-0.023364259,-0.022302246,90.0
32264,-0.01561594,-0.053340912,0.012023926,0.007434082,-0.023364259,-0.022302246,90.0
32265,-0.01561594,-0.053340912,0.012023926,0.008496094,-0.03186035,-0.020178223,90.0
32266,-0.01561594,-0.053340912,0.012023926,-0.020178223,-0.03717041,-0.009558106,90.0
32267,0.0015211105,-0.057186127,0.04385376,-0.020178223,-0.03717041,-0.009558106,90.0
32268,0.014424801,-0.05209732,0.06636047,-0.020178223,-0.03717041,-0.009558106,90.0
32269,0.014424801,-0.05209732,0.06636047,-0.046728518,-0.04460449,-0.013806152,90.0
32270,0.0048503876,-0.0987339,0.025848389,-0.046728518,-0.04460449,-0.013806152,90.0
32271,0.0048503876,-0.0987339,0.025848389,0.0010620117,-0.04460449,-0.021240234,90.0
32272,-0.0049209595,-0.09308624,-0.01473999,0.0010620117,-0.04460449,-0.021240234,90.0
32273,-0.0049209595,-0.09308624,-0.01473999,0.0031860352,-0.0361084,-0.020178223,90.0
32274,-0.024798393,-0.015863419,-0.0043182373,0.0031860352,-0.0361084,-0.020178223,90.0
32275,-0.024798393,-0.015863419,-0.0043182373,-0.02442627,-0.039294433,-0.015930176,90.0
32276,-0.0401392,0.02822876,-0.010940552,-0.02442627,-0.039294433,-0.015930176,90.0
32277,-0.0401392,0.02822876,-0.010940552,-0.022302246,-0.035046387,-0.019116212,90.0
32278,-0.033612728,-0.0060195923,-0.04017639,-0.022302246,-0.035046387,-0.019116212,90.0
32279,-0.033612728,-0.0060195923,-0.04017639,0.014868164,-0.0361084,-0.028674318,90.0
32280,-0.02826929,0.025421143,-0.056930542,0.014868164,-0.0361084,-0.028674318,90.0
32281,-0.02826929,0.025421143,-0.056930542,0.04141846,-0.009558106,-0.013806152,90.0
32282,-0.07541084,0.1502552,-0.026153564,0.04141846,-0.009558106,-0.013806152,90.0
32283,-0.07541084,0.1502552,-0.026153564,-0.05522461,-0.06903076,-0.029736329,90.0
32284,-0.07541084,0.1502552,-0.026153564,-0.07327881,-0.093457036,-0.081774905,90.0
32285,-0.08669567,0.14293289,-0.011947632,-0.07327881,-0.093457036,-0.081774905,90.0
32286,0.04243517,0.0781765,-0.028213501,-0.07327881,-0.093457036,-0.081774905,90.0
32287,0.04243517,0.0781765,-0.028213501,-0.04991455,-0.045666505,-0.07115479,90.0
32288,0.07934618,0.11802292,-0.063797,-0.04991455,-0.045666505,-0.07115479,90.0
32289,0.07934618,0.11802292,-0.063797,-0.0361084,-0.035046387,-0.07965088,90.0
32290,-0.039416313,0.15052032,-0.14179993,-0.0361084,-0.035046387,-0.07965088,90.0
32291,-0.039416313,0.15052032,-0.14179993,-0.06903076,-0.087084964,-0.11257324,90.0
32292,-0.04641342,0.066986084,-0.16444397,-0.06903076,-0.087084964,-0.11257324,90.0
32293,-0.04641342,0.066986084,-0.16444397,0.019116212,-0.095581055,-0.13275146,90.0
32294,0.092178345,-0.05466461,-0.05101013,0.019116212,-0.095581055,-0.13275146,90.0
32295,0.092178345,-0.05466461,-0.05101013,0.09451904,-0.07646485,-0.1444336,90.0
32296,0.19436026,-0.021026611,0.07839966,0.09451904,-0.07646485,-0.1444336,90.0
32297,0.19436026,-0.021026611,0.07839966,0.057348635,-0.059472658,-0.14124756,90.0
32298,0.1410594,0.18469238,0.06317139,0.057348635,-0.059472658,-0.14124756,90.0
32299,0.1410594,0.18469238,0.06317139,-0.07540283,-0.078588866,-0.12319336,90.0
32300,0.020659924,0.39565468,-0.0761261,-0.07540283,-0.078588866,-0.12319336,90.0
32301,0.020659924,0.39565468,-0.0761261,-0.16142578,-0.11682129,-0.12531738,90.0
32302,-0.06446552,0.43213654,-0.2917328,-0.16142578,-0.11682129,-0.12531738,90.0
32303,-0.06446552,0.43213654,-0.2917328,-0.10620117,-0.1539917,-0.1709839,90.0
32304,-0.17146969,0.54805374,-0.5744171,-0.10620117,-0.1539917,-0.1709839,90.0
32305,-0.17146969,0.54805374,-0.5744171,-0.033984374,-0.17629395,-0.22089843,90.0
32306,-0.4591117,1.0996132,-0.9153137,-0.033984374,-0.17629395,-0.22089843,90.0
32307,-0.4591117,1.0996132,-0.9153137,-0.081774905,-0.270813,-0.31010744,90.0
32308,-0.92490673,1.7945461,-1.3307037,-0.081774905,-0.270813,-0.31010744,90.0
32309,-0.92490673,1.7945461,-1.3307037,-0.18054199,-0.45560303,-0.4694092,90.0
32310,-0.92490673,1.7945461,-1.3307037,-0.08283692,-0.6966797,-0.7168579,90.0
32311,-1.3457725,1.9640427,-1.791153,-0.08283692,-0.6966797,-0.7168579,90.0
32312,-1.4358344,1.5414371,-1.957489,-0.08283692,-0.6966797,-0.7168579,90.0
32313,-1.4358344,1.5414371,-1.957489,0.11469727,-0.9611206,-0.9494385,90.0
32314,-1.1121564,1.0579052,-1.5467224,0.11469727,-0.9611206,-0.9494385,90.0
32315,-1.1121564,1.0579052,-1.5467224,0.20178223,-1.2011353,-1.1597168,90.0
32316,-0.53784513,0.6597519,-0.7358551,0.20178223,-1.2011353,-1.1597168,90.0
32317,-0.53784513,0.6597519,-0.7358551,0.18160401,-1.4687623,-1.3285767,90.0
32318,0.2477634,-0.011932373,0.0155181885,0.18160401,-1.4687623,-1.3285767,90.0
32319,0.2477634,-0.011932373,0.0155181885,0.0541626,-1.629126,-1.355127,90.0
32320,0.95952654,-0.7058964,0.48381042,0.0541626,-1.629126,-1.355127,90.0
32321,0.95952654,-0.7058964,0.48381042,0.1731079,-1.4358399,-1.2552979,90.0
32322,1.0208929,-0.6597004,0.9394531,0.1731079,-1.4358399,-1.2552979,90.0
32323,1.0208929,-0.6597004,0.9394531,0.17416993,-1.2255615,-1.2871583,90.0
32324,0.5087309,0.011741638,1.3914032,0.17416993,-1.2255615,-1.2871583,90.0
32325,0.5087309,0.011741638,1.3914032,-0.13381349,-1.0312134,-1.2351197,90.0
32326,-0.21130133,0.4780712,1.5990448,-0.13381349,-1.0312134,-1.2351197,90.0
32327,-0.21130133,0.4780712,1.5990448,-0.59897465,-0.96643066,-1.1841431,90.0
32328,-0.6143534,0.1907692,1.6609192,-0.59897465,-0.96643066,-1.1841431,90.0
32329,-0.6143534,0.1907692,1.6609192,-0.5809204,-0.9143921,-1.364685,90.0
32330,-0.4600985,-0.41731834,1.8006134,-0.5809204,-0.9143921,-1.364685,90.0
32331,-0.4600985,-0.41731834,1.8006134,-0.4364868,-0.8358032,-1.539917,90.0
32332,-0.24255371,-0.770134,1.853241,-0.4364868,-0.8358032,-1.539917,90.0
32333,-0.24255371,-0.770134,1.853241,-0.6552612,-0.9281983,-1.6567383,90.0
32334,-0.12233901,-1.0736027,1.4434052,-0.6552612,-0.9281983,-1.6567383,90.0
32335,-0.12233901,-1.0736027,1.4434052,-0.86978763,-0.8814697,-1.62594,90.0
32336,0.027299643,-1.3634586,0.75476074,-0.86978763,-0.8814697,-1.62594,90.0
32337,0.027299643,-1.3634586,0.75476074,-1.0014771,-0.7434082,-1.5292969,90.0
32338,0.1155529,-1.4238968,0.15184021,-1.0014771,-0.7434082,-1.5292969,90.0
32339,0.1155529,-1.4238968,0.15184021,-1.1416626,-0.53525394,-1.3774292,90.0
32340,0.038902283,-1.4932785,-0.31051636,-1.1416626,-0.53525394,-1.3774292,90.0
32341,0.038902283,-1.4932785,-0.31051636,-1.0662597,-0.35577393,-1.2191895,90.0
32342,-0.11607051,-1.5821114,-0.49453735,-1.0662597,-0.35577393,-1.2191895,90.0
32343,-0.11607051,-1.5821114,-0.49453735,-1.0152832,-0.22408448,-1.0036011,90.0
32344,-0.11607051,-1.5821114,-0.49453735,-1.0152832,-0.22408448,-1.0036011,90.0
32345,-0.23785162,-1.5434113,-0.4246521,-1.0152832,-0.22408448,-1.0036011,90.0
32346,-0.23785162,-1.5434113,-0.4246521,-0.8644776,-0.18479005,-0.7943848,90.0
32347,-0.31825995,-1.3739624,-0.45942688,-0.8644776,-0.18479005,-0.7943848,90.0
32348,-0.31825995,-1.3739624,-0.45942688,-0.5692383,-0.19541016,-0.5872925,90.0
32349,-0.3577087,-0.99279785,-0.65267944,-0.5692383,-0.19541016,-0.5872925,90.0
32350,-0.3577087,-0.99279785,-0.65267944,-0.20390625,-0.14337158,-0.40250245,90.0
32351,-0.39712882,-0.56615067,-0.78471375,-0.20390625,-0.14337158,-0.40250245,90.0
32352,-0.39712882,-0.56615067,-0.78471375,0.0361084,-0.15080567,-0.23045655,90.0
32353,-0.34859896,-0.38832092,-0.5565491,0.0361084,-0.15080567,-0.23045655,90.0
32354,-0.34859896,-0.38832092,-0.5565491,0.1709839,-0.23789063,-0.14124756,90.0
32355,-0.10162091,-0.4688244,-0.16175842,0.1709839,-0.23789063,-0.14124756,90.0
32356,-0.10162091,-0.4688244,-0.16175842,0.2516968,-0.38869628,-0.028674318,90.0
32357,0.1571188,-0.47247124,-0.17286682,0.2516968,-0.38869628,-0.028674318,90.0
32358,0.1571188,-0.47247124,-0.17286682,0.3717041,-0.45772704,0.03079834,90.0
32359,0.32895422,-0.08741379,-0.46095276,0.3717041,-0.45772704,0.03079834,90.0
32360,0.32895422,-0.08741379,-0.46095276,0.3802002,-0.4630371,0.0541626,90.0
32361,0.3656292,0.33010674,-0.5602112,0.3802002,-0.4630371,0.0541626,90.0
32362,0.3656292,0.33010674,-0.5602112,0.4343628,-0.57242435,0.08283692,90.0
32363,0.20778656,0.4906845,-0.4898224,0.4343628,-0.57242435,0.08283692,90.0
32364,0.20778656,0.4906845,-0.4898224,0.61065674,-0.7827026,0.18479005,90.0
32365,0.031549215,0.59815025,-0.41593933,0.61065674,-0.7827026,0.18479005,90.0
32366,0.031549215,0.59815025,-0.41593933,0.74871826,-1.0110352,0.16248779,90.0
32367,0.06691408,0.585783,-0.37043762,0.74871826,-1.0110352,0.16248779,90.0
32368,0.06691408,0.585783,-0.37043762,0.9409424,-1.1958252,0.0722168,90.0
32369,0.2238071,0.49427223,-0.5134125,0.9409424,-1.1958252,0.0722168,90.0
32370,0.2238071,0.49427223,-0.5134125,1.0280274,-1.3200806,0.045666505,90.0
32371,0.37557888,0.66111565,-0.72499084,1.0280274,-1.3200806,0.045666505,90.0
32372,0.37557888,0.66111565,-0.72499084,1.0736939,-1.2850342,0.029736329,90.0
32373,0.73022366,0.66628265,-0.72447205,1.0736939,-1.2850342,0.029736329,90.0
32374,0.73022366,0.66628265,-0.72447205,1.448584,-1.0673218,-0.1359375,90.0
32375,1.5515373,1.6388245,1.3914185,1.448584,-1.0673218,-0.1359375,90.0
32376,1.5515373,1.6388245,1.3914185,0.30161133,0.62764895,0.015930176,90.0
32377,1.4110785,1.9055538,4.7282867,0.30161133,0.62764895,0.015930176,90.0
32378,1.4110785,1.9055538,4.7282867,-0.098767094,0.51826173,-0.13062744,90.0
32379,-0.079120636,0.29153252,4.7750397,-0.098767094,0.51826173,-0.13062744,90.0
32380,-0.079120636,0.29153252,4.7750397,0.7848267,-0.2081543,0.0021240234,90.0
32381,-1.2607698,-0.66451454,1.7583771,0.7848267,-0.2081543,0.0021240234,90.0
32382,-1.2607698,-0.66451454,1.7583771,2.0305665,-0.9568726,0.16673584,90.0
32383,-1.5768533,-0.7493477,-1.468338,2.0305665,-0.9568726,0.16673584,90.0
32384,-1.5768533,-0.7493477,-1.468338,2.975757,-1.44115,0.019116212,90.0
32385,-1.319942,-0.50707054,-3.0965118,2.975757,-1.44115,0.019116212,90.0
32386,-1.319942,-0.50707054,-3.0965118,2.8291993,-1.7268311,-0.059472658,90.0
32387,-0.7632289,-0.43074226,-2.956833,2.8291993,-1.7268311,-0.059472658,90.0
32388,-0.7632289,-0.43074226,-2.956833,2.1930542,-1.3381348,-0.13806152,90.0
32389,-0.31771207,-0.36748123,-2.1729279,2.1930542,-1.3381348,-0.13806152,90.0
32390,-0.31771207,-0.36748123,-2.1729279,1.1246704,-0.905896,-0.1274414,90.0
32391,-0.021955252,-0.5365143,-1.2265472,1.1246704,-0.905896,-0.1274414,90.0
32392,-0.021955252,-0.5365143,-1.2265472,0.29311523,-0.49383545,-0.20921631,90.0
32393,0.33513355,-0.7660408,0.020889282,0.29311523,-0.49383545,-0.20921631,90.0
32394,0.33513355,-0.7660408,0.020889282,-0.5979126,-0.058410645,-0.35046387,90.0
32395,0.8126259,-0.24802399,1.2266998,-0.5979126,-0.058410645,-0.35046387,90.0
32396,0.8126259,-0.24802399,1.2266998,-1.4761963,0.19541016,-0.5065796,90.0
32397,0.9148345,0.4600773,0.8258362,-1.4761963,0.19541016,-0.5065796,90.0
32398,0.9148345,0.4600773,0.8258362,-1.7501954,0.24744873,-0.5894165,90.0
32399,0.5177684,0.1968689,-1.2212372,-1.7501954,0.24744873,-0.5894165,90.0
32400,0.5177684,0.1968689,-1.2212372,-0.6754395,0.20072022,-0.3727661,90.0
32401,0.12590909,0.73161507,-2.4480743,-0.6754395,0.20072022,-0.3727661,90.0
32402,0.12590909,0.73161507,-2.4480743,-0.25806886,0.083898924,-0.23258057,90.0
32403,-0.03007102,2.4908218,-2.01622,-0.25806886,0.083898924,-0.23258057,90.0
32404,-0.03007102,2.4908218,-2.01622,-0.84111327,0.013806152,-0.09239502,90.0
32405,0.01232028,3.114582,-1.1956177,-0.84111327,0.013806152,-0.09239502,90.0
32406,0.01232028,3.114582,-1.1956177,-1.7406372,0.09664307,0.047790527,90.0
32407,0.16827917,0.77646637,-0.6562042,-1.7406372,0.09664307,0.047790527,90.0
32408,0.16827917,0.77646637,-0.6562042,-0.93350834,0.039294433,0.17416993,90.0
32409,0.21249199,-1.9072208,0.1508789,-0.93350834,0.039294433,0.17416993,90.0
32410,0.21249199,-1.9072208,0.1508789,0.1709839,0.07646485,0.20496826,90.0
32411,-0.15887594,-1.8869572,1.0134277,0.1709839,0.07646485,0.20496826,90.0
32412,-0.15887594,-1.8869572,1.0134277,-0.21452637,-0.06265869,0.23364258,90.0
32413,-0.43270373,-1.0196724,1.4388428,-0.21452637,-0.06265869,0.23364258,90.0
32414,-0.43270373,-1.0196724,1.4388428,-0.8028809,0.10195313,0.271875,90.0
32415,-0.49645615,-0.9395294,1.2914124,-0.8028809,0.10195313,0.271875,90.0
32416,-0.49645615,-0.9395294,1.2914124,-0.92713624,0.18903808,0.29311523,90.0
32417,-0.78500676,-1.2058716,0.561615,-0.92713624,0.18903808,0.29311523,90.0
32418,-0.78500676,-1.2058716,0.561615,-0.7540283,0.1274414,0.29311523,90.0
32419,-0.8913233,-1.2754517,-0.083465576,-0.7540283,0.1274414,0.29311523,90.0
32420,-0.8913233,-1.2754517,-0.083465576,-0.54587406,0.08814698,0.29099122,90.0
32421,-0.48666716,-1.0502567,-0.11103821,-0.54587406,0.08814698,0.29099122,90.0
32422,-0.48666716,-1.0502567,-0.11103821,-0.48746338,0.16461182,0.33240968,90.0
32423,0.066195965,-0.5114212,0.122283936,-0.48746338,0.16461182,0.33240968,90.0
32424,0.066195965,-0.5114212,0.122283936,-0.7147339,0.27293703,0.4067505,90.0
32425,0.36319828,0.0017642975,0.14974976,-0.7147339,0.27293703,0.4067505,90.0
32426,0.36319828,0.0017642975,0.14974976,-0.84111327,0.2803711,0.50233155,90.0
32427,0.39391565,0.06825638,0.06097412,-0.84111327,0.2803711,0.50233155,90.0
32428,0.39391565,0.06825638,0.06097412,-0.63614506,0.26868898,0.6531372,90.0
32429,0.3523519,0.08916283,-0.06593323,-0.63614506,0.26868898,0.6531372,90.0
32430,0.3523519,0.08916283,-0.06593323,-0.5363159,0.3419678,0.7349121,90.0
32431,0.41554856,0.5750294,-0.12971497,-0.5363159,0.3419678,0.7349121,90.0
32432,0.41554856,0.5750294,-0.12971497,-0.7412842,0.5341919,0.7890747,90.0
32433,0.5705247,1.4485359,0.263443,-0.7412842,0.5341919,0.7890747,90.0
32434,0.5705247,1.4485359,0.263443,-1.2425537,0.77526855,0.85385746,90.0
32435,0.635082,2.4369526,1.2054443,-1.2425537,0.77526855,0.85385746,90.0
32436,0.635082,2.4369526,1.2054443,-1.7714356,0.93563235,0.8931519,90.0
32437,0.55088806,2.9762096,2.0052795,-1.7714356,0.93563235,0.8931519,90.0
32438,0.55088806,2.9762096,2.0052795,-2.3587282,1.0726318,1.0078491,90.0
32439,0.47698975,2.5298557,1.760849,-2.3587282,1.0726318,1.0078491,90.0
32440,0.47698975,2.5298557,1.760849,-3.2444458,1.0864381,1.2414917,90.0
32441,0.475708,1.2868118,0.5638275,-3.2444458,1.0864381,1.2414917,90.0
32442,0.475708,1.2868118,0.5638275,-3.256128,1.0216553,1.4793824,90.0
32443,0.5434325,0.21609497,-0.5866089,-3.256128,1.0216553,1.4793824,90.0
32444,0.5434325,0.21609497,-0.5866089,-2.974695,1.2414917,1.5983276,90.0
32445,0.035209894,-0.107580185,-1.6410065,-2.974695,1.2414917,1.5983276,90.0
32446,0.035209894,-0.107580185,-1.6410065,-2.8738039,0.44498292,1.4443359,90.0
32447,-0.54188824,-1.0057411,-3.1039734,-2.8738039,0.44498292,1.4443359,90.0
32448,-0.54188824,-1.0057411,-3.1039734,-1.5569092,0.30267334,1.3827393,90.0
32449,-0.38867426,-2.034464,-3.6994934,-1.5569092,0.30267334,1.3827393,90.0
32450,-0.38867426,-2.034464,-3.6994934,0.07646485,0.14124756,1.5165528,90.0
32451,0.029331684,-1.4951859,-2.406601,0.07646485,0.14124756,1.5165528,90.0
32452,0.029331684,-1.4951859,-2.406601,0.73703617,0.032922365,1.4963745,90.0
32453,0.44502306,-0.17101479,-0.31715393,0.73703617,0.032922365,1.4963745,90.0
32454,0.44502306,-0.17101479,-0.31715393,1.1650269,-0.24320069,1.6471802,90.0
32455,0.76033974,0.94662285,1.2756042,1.1650269,-0.24320069,1.6471802,90.0
32456,0.76033974,0.94662285,1.2756042,0.9122681,-0.41312256,1.5940796,90.0
32457,1.052803,1.4443817,1.9371033,0.9122681,-0.41312256,1.5940796,90.0
32458,1.052803,1.4443817,1.9371033,0.90270996,-0.44498292,1.5855836,90.0
32459,1.052803,1.4443817,1.9371033,0.90270996,-0.44498292,1.5855836,91.0
32460,0.8122864,1.468811,2.0544434,0.90270996,-0.44498292,1.5855836,91.0
32461,0.8122864,1.468811,2.0544434,0.7858887,-0.9632446,1.5144287,91.0
32462,0.16247559,1.3712883,1.9627075,0.7858887,-0.9632446,1.5144287,91.0
32463,0.16247559,1.3712883,1.9627075,0.82836914,-1.4039795,1.4018555,91.0
32464,-0.2093749,1.3798065,1.8385315,0.82836914,-1.4039795,1.4018555,91.0
32465,-0.2093749,1.3798065,1.8385315,0.8527954,-1.8468384,1.2595459,91.0
32466,-0.6264477,2.1163578,1.8907776,0.8527954,-1.8468384,1.2595459,91.0
32467,-0.6264477,2.1163578,1.8907776,-0.07327881,-2.6868896,0.95368654,91.0
32468,-0.93747425,2.8074303,1.7544098,-0.07327881,-2.6868896,0.95368654,91.0
32469,-0.93747425,2.8074303,1.7544098,-0.903772,-3.2359498,0.38338622,91.0
32470,-0.73669815,2.2178078,0.98547363,-0.903772,-3.2359498,0.38338622,91.0
32471,-0.73669815,2.2178078,0.98547363,-1.355127,-3.4579103,-0.12213135,91.0
32472,-0.42853093,0.835392,-0.31617737,-1.355127,-3.4579103,-0.12213135,91.0
32473,-0.42853093,0.835392,-0.31617737,-1.5823975,-3.3856933,-0.7126099,91.0
32474,-0.27705336,0.15559387,-1.1819763,-1.5823975,-3.3856933,-0.7126099,91.0
32475,-0.27705336,0.15559387,-1.1819763,-1.5632813,-3.2136476,-1.4443359,91.0
32476,0.039233685,0.79211426,-0.95173645,-1.5632813,-3.2136476,-1.4443359,91.0
32477,0.039233685,0.79211426,-0.95173645,-1.5112427,-2.8674316,-2.1357057,91.0
32478,0.623904,1.6573372,-0.25868225,-1.5112427,-2.8674316,-2.1357057,91.0
32479,0.623904,1.6573372,-0.25868225,-1.5600952,-2.3799684,-2.5530763,91.0
32480,1.095571,1.679348,0.22850037,-1.5600952,-2.3799684,-2.5530763,91.0
32481,1.095571,1.679348,0.22850037,-1.7767457,-1.9307374,-2.8366334,91.0
32482,1.3722453,0.80582047,0.49717712,-1.7767457,-1.9307374,-2.8366334,91.0
32483,1.3722453,0.80582047,0.49717712,-2.1357057,-1.5016845,-2.9672608,91.0
32484,1.5040827,-0.45785904,0.8010559,-2.1357057,-1.5016845,-2.9672608,91.0
32485,1.5040827,-0.45785904,0.8010559,-2.795215,-1.1342286,-2.9938111,91.0
32486,1.4932928,-1.6830597,1.1812439,-2.795215,-1.1342286,-2.9938111,91.0
32487,1.4932928,-1.6830597,1.1812439,-3.5789795,-0.82730716,-2.9215944,91.0
32488,1.2828054,-2.7585087,1.5180206,-3.5789795,-0.82730716,-2.9215944,91.0
32489,1.2828054,-2.7585087,1.5180206,-4.162024,-0.47684327,-2.7622926,91.0
32490,0.79616594,-3.679987,1.6261444,-4.162024,-0.47684327,-2.7622926,91.0
32491,0.79616594,-3.679987,1.6261444,-4.4020386,-0.0998291,-2.4999757,91.0
