,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
25362,open,open,open,open,open,open,open
25363,-0.19625854,-0.6639824,0.9656296,-0.22833252,-0.0180542,-0.42268068,156.0
25364,-0.19625854,-0.6639824,0.9656296,-0.10089111,0.1901001,-0.5278198,156.0
25365,-0.19625854,-0.6639824,0.9656296,-0.12319336,0.0361084,0.05628662,156.0
25366,-0.15817833,-0.5445404,0.7780571,-0.12319336,0.0361084,0.05628662,156.0
25367,-0.12478542,-0.45121002,0.6297188,-0.12319336,0.0361084,0.05628662,156.0
25368,-0.12478542,-0.45121002,0.6297188,-0.12956543,0.0063720704,0.033984374,156.0
25369,0.027173996,-0.052497864,-0.42282486,-0.12956543,0.0063720704,0.033984374,156.0
25370,0.027173996,-0.052497864,-0.42282486,-0.06584473,0.0063720704,-0.021240234,156.0
25371,0.022288322,-0.12013626,-0.44407272,-0.06584473,0.0063720704,-0.021240234,156.0
25372,0.022288322,-0.12013626,-0.44407272,-0.025488282,0.013806152,-0.052038576,156.0
25373,0.010884285,-0.12384033,-0.24779892,-0.025488282,0.013806152,-0.052038576,156.0
25374,0.010884285,-0.12384033,-0.24779892,-0.040356446,0.027612304,-0.059472658,156.0
25375,-0.012166977,-0.06813812,-0.06629181,-0.040356446,0.027612304,-0.059472658,156.0
25376,-0.012166977,-0.06813812,-0.06629181,-0.05522461,0.026550293,-0.035046387,156.0
25377,-0.03922558,-0.01007843,-0.0010299683,-0.05522461,0.026550293,-0.035046387,156.0
25378,-0.03922558,-0.01007843,-0.0010299683,-0.07115479,0.027612304,-0.0541626,156.0
25379,-0.07625389,-0.03306198,-0.05973816,-0.07115479,0.027612304,-0.0541626,156.0
25380,-0.07625389,-0.03306198,-0.05973816,-0.059472658,0.020178223,-0.0637207,156.0
25381,-0.103178024,-0.12909698,-0.11484146,-0.059472658,0.020178223,-0.0637207,156.0
25382,-0.103178024,-0.12909698,-0.11484146,-0.040356446,-0.0021240234,-0.059472658,156.0
25383,-0.103178024,-0.12909698,-0.11484146,-0.033984374,-0.02442627,-0.053100586,156.0
25384,-0.08254242,-0.17745972,-0.0858078,-0.033984374,-0.02442627,-0.053100586,156.0
