,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18054,open,open,open,open,open,open,open
18055,0.2839594,0.1691103,0.21217346,-0.107263185,0.0180542,-0.23364258,153
18056,0.2839594,0.1691103,0.21217346,0.13381349,-0.0541626,0.07965088,153
18057,0.21779251,0.1216898,0.17562866,0.13381349,-0.0541626,0.07965088,153
18058,0.21779251,0.1216898,0.17562866,0.15717773,-0.070092775,0.09770508,153
18059,0.1643095,0.083008766,0.14672852,0.15717773,-0.070092775,0.09770508,153
18060,0.1643095,0.083008766,0.14672852,0.20603028,-0.10513916,0.107263185,153
18061,4.206765,-0.24988937,-1.4009857,0.20603028,-0.10513916,0.107263185,153
18062,4.206765,-0.24988937,-1.4009857,0.2347046,-0.15823975,0.13699952,153
18063,3.381855,-0.12498474,-1.2044067,0.2347046,-0.15823975,0.13699952,153
18064,3.381855,-0.12498474,-1.2044067,0.19328614,-0.22302246,0.16036378,153
18065,2.782877,-0.06807804,-1.019104,0.19328614,-0.22302246,0.16036378,153
18066,2.782877,-0.06807804,-1.019104,0.090270996,-0.31010744,0.16354981,153
18067,2.32065,-0.068024635,-0.97265625,0.090270996,-0.31010744,0.16354981,153
18068,2.32065,-0.068024635,-0.97265625,-0.09133301,-0.37701416,0.19116211,153
18069,1.9443007,-0.118701935,-0.99443054,-0.09133301,-0.37701416,0.19116211,153
18070,1.9443007,-0.118701935,-0.99443054,-0.17735596,-0.46409914,0.270813,153
18071,1.629427,-0.255167,-0.9232178,-0.17735596,-0.46409914,0.270813,153
18072,1.629427,-0.255167,-0.9232178,-0.17416993,-0.5076416,0.20709229,153
18073,1.3008442,-0.45437813,-0.79299927,-0.17416993,-0.5076416,0.20709229,153
18074,1.3008442,-0.45437813,-0.79299927,-0.2262085,-0.5671143,0.21983643,153
18075,0.9855604,-0.53581715,-0.6785126,-0.2262085,-0.5671143,0.21983643,153
18076,0.9855604,-0.53581715,-0.6785126,-0.28780517,-0.57454836,0.28674316,153
18077,0.7708092,-0.42628574,-0.5818939,-0.28780517,-0.57454836,0.28674316,153
18078,0.7708092,-0.42628574,-0.5818939,-0.3069214,-0.48215333,0.19434814,153
18079,0.7708092,-0.42628574,-0.5818939,-0.025488282,-0.27506104,0.20921631,153
18080,0.6792574,-0.47707653,-0.56707764,-0.025488282,-0.27506104,0.20921631,153
18081,0.71547604,-0.7272787,-0.4985962,-0.025488282,-0.27506104,0.20921631,153
18082,0.71547604,-0.7272787,-0.4985962,0.37382814,-0.3090454,0.42905274,153
18083,0.99618435,-0.5973625,-0.18759155,0.37382814,-0.3090454,0.42905274,153
18084,0.99618435,-0.5973625,-0.18759155,0.5012695,-0.53100586,0.5161377,153
18085,1.232605,-0.090353966,0.16706848,0.5012695,-0.53100586,0.5161377,153
18086,1.232605,-0.090353966,0.16706848,0.46622315,-0.68712157,0.76677245,153
18087,0.792408,0.15735531,0.34875488,0.46622315,-0.68712157,0.76677245,153
18088,0.792408,0.15735531,0.34875488,0.31329346,-0.5883545,0.59472656,153
18089,0.078188896,-0.17821789,0.54693604,0.31329346,-0.5883545,0.59472656,153
18090,0.078188896,-0.17821789,0.54693604,0.2899292,-0.3334717,0.24001466,153
18091,-0.045541763,-0.9267664,0.81503296,0.2899292,-0.3334717,0.24001466,153
18092,-0.045541763,-0.9267664,0.81503296,0.6701294,-0.33984375,0.4258667,153
18093,0.12687206,-1.3445864,0.96791077,0.6701294,-0.33984375,0.4258667,153
18094,0.12687206,-1.3445864,0.96791077,1.0609497,-0.18585205,0.57561034,153
18095,0.15678406,-1.1933937,1.1620026,1.0609497,-0.18585205,0.57561034,153
