,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
22237,open,open,open,open,open,open,open
22238,-0.25675058,-0.30080414,-0.06145096,-0.028674318,-0.027612304,0.045666505,171.0
22239,-0.25675058,-0.30080414,-0.06145096,0.04141846,-0.032922365,0.0053100586,171.0
22240,-0.2041676,-0.23849487,-0.051761627,0.04141846,-0.032922365,0.0053100586,171.0
22241,-0.2041676,-0.23849487,-0.051761627,0.053100586,-0.039294433,-0.004248047,171.0
22242,-0.16240633,-0.18717194,-0.04083252,0.053100586,-0.039294433,-0.004248047,171.0
22243,-0.16240633,-0.18717194,-0.04083252,0.029736329,-0.009558106,-0.026550293,171.0
22244,0.05803883,-4.427803,0.43084717,0.029736329,-0.009558106,-0.026550293,171.0
22245,0.05803883,-4.427803,0.43084717,-0.013806152,-0.004248047,-0.015930176,171.0
22246,0.029560924,-3.4772415,0.34915543,-0.013806152,-0.004248047,-0.015930176,171.0
22247,0.029560924,-3.4772415,0.34915543,-0.087084964,-0.014868164,0.038232423,171.0
22248,-0.07100463,-2.792183,0.35908508,-0.087084964,-0.014868164,0.038232423,171.0
22249,-0.07100463,-2.792183,0.35908508,-0.08071289,-0.050976563,-0.008496094,171.0
22250,-0.07100463,-2.792183,0.35908508,0.04885254,-0.04991455,-0.004248047,171.0
22251,-0.116386175,-2.3248672,0.34981918,0.04885254,-0.04991455,-0.004248047,171.0
22252,-0.03303814,-1.9200897,0.29781342,0.04885254,-0.04991455,-0.004248047,171.0
22253,-0.03303814,-1.9200897,0.29781342,0.08602295,-0.07327881,-0.035046387,171.0
22254,0.062229156,-1.4536362,0.18052292,0.08602295,-0.07327881,-0.035046387,171.0
22255,0.062229156,-1.4536362,0.18052292,0.0010620117,-0.098767094,-0.0361084,171.0
22256,0.062229156,-1.4536362,0.18052292,-0.052038576,-0.118945315,0.0031860352,171.0
22257,0.13746643,-1.0810089,0.05343628,-0.052038576,-0.118945315,0.0031860352,171.0
22258,0.14067388,-0.95630646,0.025917053,-0.052038576,-0.118945315,0.0031860352,171.0
22259,0.14067388,-0.95630646,0.025917053,0.028674318,-0.12213135,-0.014868164,171.0
22260,0.104812026,-0.9021759,0.06725311,0.028674318,-0.12213135,-0.014868164,171.0
22261,0.104812026,-0.9021759,0.06725311,0.1083252,-0.10089111,-0.028674318,171.0
22262,0.07551217,-0.70119476,0.093647,0.1083252,-0.10089111,-0.028674318,171.0
22263,0.07551217,-0.70119476,0.093647,0.12531738,-0.043542482,-0.047790527,171.0
