,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
27743,open,open,open,open,open,open,open
27744,-0.040468216,-0.145195,0.58371735,-0.07434082,-0.028674318,-0.11044922,62.0
27745,-0.035463333,-0.11450958,0.47233582,-0.07434082,-0.028674318,-0.11044922,62.0
27746,-0.035463333,-0.11450958,0.47233582,0.0063720704,-0.0722168,0.03717041,62.0
27747,-0.028821945,-0.09335327,0.3729477,0.0063720704,-0.0722168,0.03717041,62.0
27748,-0.028821945,-0.09335327,0.3729477,-0.04885254,-0.053100586,0.0010620117,62.0
27749,0.11396694,-0.0063705444,-0.17910767,-0.04885254,-0.053100586,0.0010620117,62.0
27750,0.11396694,-0.0063705444,-0.17910767,-0.019116212,-0.038232423,-0.02442627,62.0
27751,0.13006592,-0.03551483,-0.07841873,-0.019116212,-0.038232423,-0.02442627,62.0
27752,0.13006592,-0.03551483,-0.07841873,-0.0010620117,-0.027612304,-0.033984374,62.0
27753,0.1007452,0.007797241,-0.042556763,-0.0010620117,-0.027612304,-0.033984374,62.0
27754,0.1007452,0.007797241,-0.042556763,0.026550293,0.022302246,-0.014868164,62.0
27755,0.1007452,0.007797241,-0.042556763,0.022302246,0.070092775,0.0021240234,62.0
27756,0.06470299,0.061660767,-0.05480957,0.022302246,0.070092775,0.0021240234,62.0
27757,0.047514915,0.100608826,-0.050247192,0.022302246,0.070092775,0.0021240234,62.0
27758,0.047514915,0.100608826,-0.050247192,0.0180542,0.057348635,-0.0063720704,62.0
27759,0.04776573,0.10398865,-0.03452301,0.0180542,0.057348635,-0.0063720704,62.0
27760,0.04776573,0.10398865,-0.03452301,-0.0010620117,0.021240234,-0.014868164,62.0
27761,0.079081535,0.06327057,-0.06021118,-0.0010620117,0.021240234,-0.014868164,62.0
27762,0.079081535,0.06327057,-0.06021118,-0.040356446,0.028674318,-0.019116212,62.0
27763,0.097896576,0.012664795,-0.096473694,-0.040356446,0.028674318,-0.019116212,62.0
27764,0.097896576,0.012664795,-0.096473694,-0.090270996,0.047790527,-0.03079834,62.0
27765,0.07270241,-0.012557983,-0.087776184,-0.090270996,0.047790527,-0.03079834,62.0
27766,0.07270241,-0.012557983,-0.087776184,-0.081774905,0.04248047,-0.04885254,62.0
27767,0.035676003,-0.0041046143,-0.049224854,-0.081774905,0.04248047,-0.04885254,62.0
27768,0.035676003,-0.0041046143,-0.049224854,-0.04141846,0.02442627,-0.046728518,62.0
27769,-0.010069847,0.007583618,-0.014320374,-0.04141846,0.02442627,-0.046728518,62.0
27770,-0.010069847,0.007583618,-0.014320374,-0.023364259,0.0361084,-0.016992187,62.0
27771,-0.052404404,0.0019683838,-2.975464E-4,-0.023364259,0.0361084,-0.016992187,62.0
27772,-0.052404404,0.0019683838,-2.975464E-4,-0.008496094,0.040356446,-0.004248047,62.0
27773,-0.07588291,-0.012832642,0.010761261,-0.008496094,0.040356446,-0.004248047,62.0
27774,-0.07588291,-0.012832642,0.010761261,0.010620117,0.046728518,-0.011682129,62.0
27775,-0.055176735,-0.025917053,0.0034828186,0.010620117,0.046728518,-0.011682129,62.0
27776,-0.055176735,-0.025917053,0.0034828186,-0.0361084,0.057348635,-0.053100586,62.0
27777,-0.023291588,-0.039627075,-0.02785492,-0.0361084,0.057348635,-0.053100586,62.0
27778,-0.023291588,-0.039627075,-0.02785492,-0.1083252,0.06796875,-0.08283692,62.0
27779,-0.042497635,-0.03653717,-0.076107025,-0.1083252,0.06796875,-0.08283692,62.0
27780,-0.042497635,-0.03653717,-0.076107025,-0.12213135,0.07646485,-0.08071289,62.0
27781,-0.10223484,-0.026802063,-0.123176575,-0.12213135,0.07646485,-0.08071289,62.0
27782,-0.10223484,-0.026802063,-0.123176575,-0.13168946,0.10938721,-0.07434082,62.0
27783,-0.12197304,-0.028999329,-0.16648865,-0.13168946,0.10938721,-0.07434082,62.0
27784,-0.12197304,-0.028999329,-0.16648865,-0.18266602,0.13168946,-0.03186035,62.0
27785,-0.07405472,-0.055770874,-0.16113281,-0.18266602,0.13168946,-0.03186035,62.0
27786,-0.07405472,-0.055770874,-0.16113281,-0.20390625,0.10301514,-0.032922365,62.0
27787,-0.007082939,-0.088760376,-0.051296234,-0.20390625,0.10301514,-0.032922365,62.0
27788,-0.007082939,-0.088760376,-0.051296234,-0.1083252,0.07646485,-0.06478272,62.0
27789,0.036068916,-0.092819214,0.07666397,-0.1083252,0.07646485,-0.06478272,62.0
27790,0.036068916,-0.092819214,0.07666397,0.035046387,0.087084964,-0.060534667,62.0
27791,0.040439606,-0.07530975,0.076553345,0.035046387,0.087084964,-0.060534667,62.0
27792,0.040439606,-0.07530975,0.076553345,0.015930176,0.06478272,-0.06478272,62.0
27793,0.023428917,-0.05858612,-0.04720688,0.015930176,0.06478272,-0.06478272,62.0
27794,0.023428917,-0.05858612,-0.04720688,-0.10407715,0.0361084,-0.10620117,62.0
27795,0.011956215,-0.053359985,-0.13411331,-0.10407715,0.0361084,-0.10620117,62.0
27796,0.011956215,-0.053359985,-0.13411331,-0.18691407,0.052038576,-0.14124756,62.0
27797,-0.010685921,-0.06123352,-0.11329651,-0.18691407,0.052038576,-0.14124756,62.0
27798,-0.010685921,-0.06123352,-0.11329651,-0.18266602,0.090270996,-0.1274414,62.0
27799,-0.010685921,-0.06123352,-0.11329651,-0.16248779,0.11151123,-0.121069334,62.0
27800,-0.013212204,-0.08213043,-0.047851562,-0.16248779,0.11151123,-0.121069334,62.0
27801,-0.050937653,-0.05354309,-0.017139435,-0.16248779,0.11151123,-0.121069334,62.0
27802,-0.050937653,-0.05354309,-0.017139435,-0.09133301,0.1444336,-0.14868164,62.0
27803,-0.29050636,-0.006286621,0.012607574,-0.09133301,0.1444336,-0.14868164,62.0
27804,-0.29050636,-0.006286621,0.012607574,0.0021240234,0.043542482,0.12850343,62.0
27805,-0.4148388,-0.061080933,0.041835785,0.0021240234,0.043542482,0.12850343,62.0
27806,-0.4148388,-0.061080933,0.041835785,0.052038576,-0.04141846,0.09664307,62.0
27807,-0.19503021,-0.13731384,-0.06168747,0.052038576,-0.04141846,0.09664307,62.0
27808,-0.19503021,-0.13731384,-0.06168747,0.07646485,-0.04248047,0.039294433,62.0
27809,-0.016608238,-0.13061523,-0.24311066,0.07646485,-0.04248047,0.039294433,62.0
27810,-0.016608238,-0.13061523,-0.24311066,0.03079834,0.095581055,0.025488282,62.0
27811,-0.066215515,-0.07820892,-0.29883575,0.03079834,0.095581055,0.025488282,62.0
27812,-0.066215515,-0.07820892,-0.29883575,-0.028674318,0.013806152,-0.011682129,62.0
27813,-0.17998695,-0.06568909,-0.2669487,-0.028674318,0.013806152,-0.011682129,62.0
27814,-0.17998695,-0.06568909,-0.2669487,-0.087084964,0.026550293,0.020178223,62.0
27815,-0.22785187,-0.08892822,-0.24900818,-0.087084964,0.026550293,0.020178223,62.0
27816,-0.22785187,-0.08892822,-0.24900818,-0.1274414,0.05522461,0.016992187,62.0
27817,-0.26032066,-0.08148193,-0.19390869,-0.1274414,0.05522461,0.016992187,62.0
