,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
20766,open,open,open,open,open,open,open
20767,-2.263609,-0.4808731,-7.4991226,0.039294433,0.004248047,-0.10513916,166.0
20768,-2.263609,-0.4808731,-7.4991226,0.013806152,0.023364259,-0.09770508,166.0
20769,-1.8114004,-0.3817215,-6.0019455,0.013806152,0.023364259,-0.09770508,166.0
20770,-1.8114004,-0.3817215,-6.0019455,-0.02442627,0.020178223,0.011682129,166.0
20771,-0.93666935,-2.546898,2.7104034,-0.02442627,0.020178223,0.011682129,166.0
20772,-0.93666935,-2.546898,2.7104034,-0.023364259,0.025488282,0.010620117,166.0
20773,-0.93666935,-2.546898,2.7104034,-0.014868164,0.009558106,-0.0010620117,166.0
20774,-0.75753784,-1.9973221,2.0012321,-0.014868164,0.009558106,-0.0010620117,166.0
20775,-0.64100266,-1.6059113,1.65699,-0.014868164,0.009558106,-0.0010620117,166.0
20776,-0.64100266,-1.6059113,1.65699,-0.026550293,0.008496094,-0.009558106,166.0
20777,-0.5367279,-1.322609,1.4348793,-0.026550293,0.008496094,-0.009558106,166.0
20778,-0.5367279,-1.322609,1.4348793,-0.06159668,0.014868164,-0.029736329,166.0
20779,-0.3984871,-1.1320724,1.2284203,-0.06159668,0.014868164,-0.029736329,166.0
20780,-0.3984871,-1.1320724,1.2284203,-0.10089111,-0.0361084,-0.043542482,166.0
20781,-0.21750832,-1.0034256,0.99007416,-0.10089111,-0.0361084,-0.043542482,166.0
20782,-0.21750832,-1.0034256,0.99007416,-0.09133301,-0.032922365,-0.009558106,166.0
20783,-0.11533928,-0.8481598,0.7382393,-0.09133301,-0.032922365,-0.009558106,166.0
20784,-0.11533928,-0.8481598,0.7382393,-0.070092775,-0.022302246,0.009558106,166.0
20785,-0.09150219,-0.6820679,0.57507324,-0.070092775,-0.022302246,0.009558106,166.0
20786,-0.09150219,-0.6820679,0.57507324,-0.0637207,-0.019116212,-0.022302246,166.0
20787,-0.060982704,-0.5809097,0.5085945,-0.0637207,-0.019116212,-0.022302246,166.0
20788,-0.060982704,-0.5809097,0.5085945,-0.0031860352,-0.019116212,-0.008496094,166.0
20789,-0.013813019,-0.5146713,0.4556656,-0.0031860352,-0.019116212,-0.008496094,166.0
20790,-0.013813019,-0.5146713,0.4556656,0.06478272,0.007434082,0.027612304,166.0
20791,-0.03351116,-0.3862381,0.37802124,0.06478272,0.007434082,0.027612304,166.0
20792,-0.03351116,-0.3862381,0.37802124,0.028674318,0.0010620117,0.03717041,166.0
20793,-0.11012173,-0.22374725,0.30760574,0.028674318,0.0010620117,0.03717041,166.0
20794,-0.11012173,-0.22374725,0.30760574,-0.021240234,-0.020178223,0.016992187,166.0
20795,-0.12492561,-0.12902069,0.23916245,-0.021240234,-0.020178223,0.016992187,166.0
20796,-0.12492561,-0.12902069,0.23916245,-0.07115479,-0.028674318,0.0031860352,166.0
20797,-0.060585022,-0.13697052,0.17140579,-0.07115479,-0.028674318,0.0031860352,166.0
20798,-0.060585022,-0.13697052,0.17140579,-0.06478272,0.0,0.019116212,166.0
20799,-0.060585022,-0.13697052,0.17140579,-0.0361084,0.06796875,0.0361084,166.0
20800,-0.008295059,-0.1767044,0.10599518,-0.0361084,0.06796875,0.0361084,166.0
20801,-0.044075012,-0.16059113,0.026725769,-0.0361084,0.06796875,0.0361084,166.0
20802,-0.044075012,-0.16059113,0.026725769,0.043542482,0.07752686,0.029736329,166.0
20803,-0.1109314,-0.040512085,-0.09151077,0.043542482,0.07752686,0.029736329,166.0
20804,-0.1109314,-0.040512085,-0.09151077,0.10195313,0.070092775,0.035046387,166.0
20805,-0.10996151,0.064964294,-0.20297241,0.10195313,0.070092775,0.035046387,166.0
20806,-0.10996151,0.064964294,-0.20297241,0.06690674,0.027612304,-0.06478272,166.0
20807,-2.9850006E-4,0.05831909,-0.25172424,0.06690674,0.027612304,-0.06478272,166.0
20808,-2.9850006E-4,0.05831909,-0.25172424,0.40993652,0.17735596,-0.17841797,166.0
20809,-0.08600521,0.059318542,-0.12401199,0.40993652,0.17735596,-0.17841797,166.0
20810,-0.08600521,0.059318542,-0.12401199,0.33984375,0.016992187,-0.19222413,166.0
