,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
21974,open,open,open,open,open,open,open
21975,-0.08830452,-0.14627075,0.04988861,-0.081774905,-0.04141846,0.10513916,145.0
21976,-0.08830452,-0.14627075,0.04988861,-0.043542482,-0.032922365,0.027612304,145.0
21977,-0.062941074,-0.111061096,0.041240692,-0.043542482,-0.032922365,0.027612304,145.0
21978,-0.062941074,-0.111061096,0.041240692,-0.009558106,0.010620117,-0.07327881,145.0
21979,-0.04329729,-0.08332062,0.032173157,-0.009558106,0.010620117,-0.07327881,145.0
21980,-0.04329729,-0.08332062,0.032173157,-0.03079834,0.013806152,-0.06690674,145.0
21981,-0.2586491,1.6923294,-0.46687698,-0.03079834,0.013806152,-0.06690674,145.0
21982,-0.2586491,1.6923294,-0.46687698,-0.013806152,0.023364259,-0.0541626,145.0
21983,-0.23290801,1.3036957,-0.4254532,-0.013806152,0.023364259,-0.0541626,145.0
21984,-0.23290801,1.3036957,-0.4254532,0.0180542,0.028674318,-0.045666505,145.0
21985,-0.17972231,1.083252,-0.26889038,0.0180542,0.028674318,-0.045666505,145.0
21986,-0.17972231,1.083252,-0.26889038,0.0063720704,0.035046387,-0.029736329,145.0
21987,-0.13506198,0.9247818,-0.15062332,0.0063720704,0.035046387,-0.029736329,145.0
21988,-0.13506198,0.9247818,-0.15062332,-0.0031860352,0.03079834,-0.020178223,145.0
21989,-0.09636736,0.7588959,-0.08602524,-0.0031860352,0.03079834,-0.020178223,145.0
21990,-0.09636736,0.7588959,-0.08602524,0.015930176,0.053100586,-0.004248047,145.0
21991,-0.078924894,0.6207504,-0.06757355,0.015930176,0.053100586,-0.004248047,145.0
21992,-0.078924894,0.6207504,-0.06757355,0.015930176,0.057348635,0.007434082,145.0
21993,-0.08563757,0.5320358,-0.071712494,0.015930176,0.057348635,0.007434082,145.0
21994,-0.08563757,0.5320358,-0.071712494,0.0180542,0.059472658,0.021240234,145.0
21995,-0.09622002,0.4485321,-0.06829834,0.0180542,0.059472658,0.021240234,145.0
21996,-0.09622002,0.4485321,-0.06829834,0.0063720704,0.057348635,0.027612304,145.0
21997,-0.08535004,0.32818604,-0.027648926,0.0063720704,0.057348635,0.027612304,145.0
21998,-0.08535004,0.32818604,-0.027648926,0.040356446,0.070092775,0.027612304,145.0
21999,-0.06903684,0.2394638,0.008922577,0.040356446,0.070092775,0.027612304,145.0
22000,-0.06903684,0.2394638,0.008922577,0.057348635,0.07752686,0.025488282,145.0
22001,-0.0595752,0.23387909,0.017879486,0.057348635,0.07752686,0.025488282,145.0
22002,-0.0595752,0.23387909,0.017879486,0.0361084,0.083898924,0.025488282,145.0
22003,-0.048111796,0.24482727,0.008392334,0.0361084,0.083898924,0.025488282,145.0
22004,-0.048111796,0.24482727,0.008392334,0.016992187,0.09770508,0.023364259,145.0
22005,-0.046533823,0.19626617,0.024002075,0.016992187,0.09770508,0.023364259,145.0
22006,-0.046533823,0.19626617,0.024002075,-0.021240234,0.10301514,0.022302246,145.0
22007,-0.032087922,0.1051178,0.068164825,-0.021240234,0.10301514,0.022302246,145.0
22008,-0.032087922,0.1051178,0.068164825,0.0,0.11257324,0.007434082,145.0
22009,-0.003477931,0.041145325,0.09753418,0.0,0.11257324,0.007434082,145.0
22010,-0.003477931,0.041145325,0.09753418,0.013806152,0.14124756,-0.0031860352,145.0
22011,0.020374417,0.048233032,0.11299896,0.013806152,0.14124756,-0.0031860352,145.0
22012,0.020374417,0.048233032,0.11299896,-0.008496094,0.15186767,-0.016992187,145.0
22013,0.062429905,0.10756683,0.14593887,-0.008496094,0.15186767,-0.016992187,145.0
22014,0.062429905,0.10756683,0.14593887,-0.06690674,0.20284425,-0.014868164,145.0
22015,0.096037745,0.16273499,0.22324371,-0.06690674,0.20284425,-0.014868164,145.0
22016,0.096037745,0.16273499,0.22324371,-0.14974366,0.2262085,-0.016992187,145.0
22017,0.096037745,0.16273499,0.22324371,-0.24001466,0.27718505,-0.008496094,145.0
