,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
22286,open,open,open,open,open,open,open
22287,-0.55386615,-0.6655397,-0.47741407,-0.5065796,0.121069334,0.23151855,164.0
22288,-0.55386615,-0.6655397,-0.47741407,-0.31966552,0.11151123,-0.14868164,164.0
22289,-0.42979944,-0.50423354,-0.40374523,-0.31966552,0.11151123,-0.14868164,164.0
22290,-0.42979944,-0.50423354,-0.40374523,-0.21134034,0.06478272,0.023364259,164.0
22291,1.1247761,-3.7679987,0.7730609,-0.21134034,0.06478272,0.023364259,164.0
22292,1.1247761,-3.7679987,0.7730609,-0.15186767,0.03079834,-0.021240234,164.0
22293,0.8709636,-2.991108,0.370646,-0.15186767,0.03079834,-0.021240234,164.0
22294,0.8709636,-2.991108,0.370646,-0.22089843,0.028674318,-0.060534667,164.0
22295,0.6192318,-2.3589873,0.40165597,-0.22089843,0.028674318,-0.060534667,164.0
22296,0.6192318,-2.3589873,0.40165597,-0.20603028,-0.023364259,-0.047790527,164.0
22297,0.36560035,-1.9178419,0.5572623,-0.20603028,-0.023364259,-0.047790527,164.0
22298,0.36560035,-1.9178419,0.5572623,-0.15930176,-0.08814698,-0.021240234,164.0
22299,0.19654524,-1.5660119,0.5933807,-0.15930176,-0.08814698,-0.021240234,164.0
22300,0.19654524,-1.5660119,0.5933807,-0.15717773,-0.14549561,-0.011682129,164.0
22301,0.13565415,-1.2653704,0.51805174,-0.15717773,-0.14549561,-0.011682129,164.0
22302,0.13565415,-1.2653704,0.51805174,-0.16036378,-0.19434814,-0.022302246,164.0
22303,0.13565415,-1.2653704,0.51805174,-0.17947999,-0.20709229,-0.03186035,164.0
22304,0.16598177,-1.0263467,0.45588422,-0.17947999,-0.20709229,-0.03186035,164.0
22305,-0.7101467,3.750456,-1.346694,-0.17947999,-0.20709229,-0.03186035,164.0
22306,-0.7101467,3.750456,-1.346694,-0.19222413,-0.20284425,-0.04460449,164.0
22307,-0.40974337,2.8659778,-0.8791863,-0.19222413,-0.20284425,-0.04460449,164.0
22308,-0.40974337,2.8659778,-0.8791863,-0.2347046,-0.15505372,-0.098767094,164.0
22309,-0.2930535,2.266293,-0.6277142,-0.2347046,-0.15505372,-0.098767094,164.0
22310,-0.2930535,2.266293,-0.6277142,-0.25594482,-0.12531738,-0.12213135,164.0
22311,-0.09635687,1.7402196,-0.33071136,-0.25594482,-0.12531738,-0.12213135,164.0
22312,-0.09635687,1.7402196,-0.33071136,-0.28568116,-0.0361084,-0.13699952,164.0
22313,-0.038401425,1.4806035,-0.25012815,-0.28568116,-0.0361084,-0.13699952,164.0
22314,-0.038401425,1.4806035,-0.25012815,-0.32922363,0.0031860352,-0.1444336,164.0
22315,0.11940092,1.5551006,-0.40780514,-0.32922363,0.0031860352,-0.1444336,164.0
22316,0.11940092,1.5551006,-0.40780514,-0.5299439,0.11151123,-0.19647217,164.0
22317,0.16633373,1.4004526,-0.48710838,-0.5299439,0.11151123,-0.19647217,164.0
22318,0.16633373,1.4004526,-0.48710838,-0.6149048,0.13168946,-0.22302246,164.0
22319,0.22032285,1.1805794,-0.93595135,-0.6149048,0.13168946,-0.22302246,164.0
22320,0.22032285,1.1805794,-0.93595135,-0.69986576,0.14230958,-0.32816163,164.0
22321,0.15680027,1.0466974,-0.837848,-0.69986576,0.14230958,-0.32816163,164.0
22322,0.15680027,1.0466974,-0.837848,-0.6595093,0.12850343,-0.3971924,164.0
22323,-0.048546612,1.3410933,-0.7179835,-0.6595093,0.12850343,-0.3971924,164.0
22324,-0.048546612,1.3410933,-0.7179835,-0.9589966,0.17629395,-0.6860596,164.0
22325,-0.047357798,1.4104601,-0.63995075,-0.9589966,0.17629395,-0.6860596,164.0
22326,-0.047357798,1.4104601,-0.63995075,-1.1055542,0.23895264,-0.82836914,164.0
22327,-0.3545,1.4223012,-0.6180763,-1.1055542,0.23895264,-0.82836914,164.0
22328,-0.3545,1.4223012,-0.6180763,-1.170337,0.34940186,-1.1512207,164.0
22329,-0.3545,1.4223012,-0.6180763,-1.1437867,0.32072756,-1.1873292,164.0
22330,-0.60952777,1.2106802,-0.25971985,-1.1437867,0.32072756,-1.1873292,164.0
22331,-1.5429323,0.94310474,0.43509522,-1.1437867,0.32072756,-1.1873292,164.0
22332,-1.5429323,0.94310474,0.43509522,-1.3965454,0.21346436,-1.3243287,164.0
