,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
22825,open,open,open,open,open,open,open
22826,0.6004863,-0.011978149,-1.4206123,0.54693604,0.10195313,-0.13699952,146.0
22827,0.6004863,-0.011978149,-1.4206123,-0.2081543,0.43861085,-0.19647217,146.0
22828,0.4874816,-0.007835388,-1.1448746,-0.2081543,0.43861085,-0.19647217,146.0
22829,0.4874816,-0.007835388,-1.1448746,0.04460449,0.0010620117,0.033984374,146.0
22830,0.39798117,-0.0039978027,-0.9130211,0.04460449,0.0010620117,0.033984374,146.0
22831,0.39798117,-0.0039978027,-0.9130211,-0.052038576,0.010620117,0.040356446,146.0
22832,-1.7653189,-0.89720535,0.023132324,-0.052038576,0.010620117,0.040356446,146.0
22833,-1.7653189,-0.89720535,0.023132324,-0.09770508,0.04248047,0.038232423,146.0
22834,-1.4416256,-0.8426666,0.09676361,-0.09770508,0.04248047,0.038232423,146.0
22835,-1.4416256,-0.8426666,0.09676361,-0.04460449,0.058410645,0.014868164,146.0
22836,-1.1785936,-0.69947433,0.1470375,-0.04460449,0.058410645,0.014868164,146.0
22837,-1.1785936,-0.69947433,0.1470375,-0.035046387,0.05522461,0.021240234,146.0
22838,-0.9401655,-0.45046234,0.12610245,-0.035046387,0.05522461,0.021240234,146.0
22839,-0.9401655,-0.45046234,0.12610245,-0.06265869,0.046728518,0.033984374,146.0
22840,-0.7055502,-0.28897095,0.073036194,-0.06265869,0.046728518,0.033984374,146.0
22841,-0.7055502,-0.28897095,0.073036194,-0.095581055,0.03717041,0.04141846,146.0
22842,-0.5138178,-0.27850342,0.06520462,-0.095581055,0.03717041,0.04141846,146.0
22843,-0.5138178,-0.27850342,0.06520462,-0.08602295,0.027612304,0.04248047,146.0
22844,-0.41522884,-0.32030106,0.11376953,-0.08602295,0.027612304,0.04248047,146.0
22845,-0.41522884,-0.32030106,0.11376953,-0.0637207,0.014868164,0.03079834,146.0
22846,-0.38163376,-0.30484772,0.1568985,-0.0637207,0.014868164,0.03079834,146.0
22847,-0.38163376,-0.30484772,0.1568985,-0.043542482,0.026550293,0.008496094,146.0
22848,-0.34353924,-0.20166779,0.1399231,-0.043542482,0.026550293,0.008496094,146.0
22849,-0.34353924,-0.20166779,0.1399231,-0.032922365,0.026550293,-0.010620117,146.0
22850,-0.2824726,-0.07701874,0.06807709,-0.032922365,0.026550293,-0.010620117,146.0
22851,-0.2824726,-0.07701874,0.06807709,-0.025488282,0.007434082,-0.022302246,146.0
22852,-0.24012566,-0.039375305,0.014633179,-0.025488282,0.007434082,-0.022302246,146.0
22853,-0.24012566,-0.039375305,0.014633179,0.009558106,-0.010620117,-0.03079834,146.0
22854,-0.21347523,-0.06668091,0.038913727,0.009558106,-0.010620117,-0.03079834,146.0
22855,-0.21347523,-0.06668091,0.038913727,0.046728518,-0.016992187,-0.025488282,146.0
22856,-0.19236183,-0.077114105,0.096084595,0.046728518,-0.016992187,-0.025488282,146.0
22857,-0.19236183,-0.077114105,0.096084595,0.0361084,0.0063720704,-0.03079834,146.0
22858,-0.19236183,-0.077114105,0.096084595,-0.007434082,0.04141846,-0.04885254,146.0
22859,-0.16222668,-0.039974213,0.09622955,-0.007434082,0.04141846,-0.04885254,146.0
22860,-0.1282072,-0.014472961,0.03776169,-0.007434082,0.04141846,-0.04885254,146.0
22861,-0.1282072,-0.014472961,0.03776169,-0.020178223,0.043542482,-0.052038576,146.0
22862,-0.13033676,-0.024394989,-0.01763153,-0.020178223,0.043542482,-0.052038576,146.0
22863,-0.13033676,-0.024394989,-0.01763153,-0.0010620117,0.04248047,-0.04248047,146.0
22864,-0.15357399,-0.028137207,-0.04758835,-0.0010620117,0.04248047,-0.04248047,146.0
22865,-0.15357399,-0.028137207,-0.04758835,-0.0031860352,0.045666505,-0.0361084,146.0
