,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
24929,open,open,open,open,open,open,open
24930,0.3510964,0.2880764,-0.5079651,-0.0021240234,0.035046387,0.67225343,145.0
24931,0.3510964,0.2880764,-0.5079651,-0.23682861,-0.04141846,0.5936646,145.0
24932,0.3510964,0.2880764,-0.5079651,-0.008496094,-0.4885254,-0.059472658,145.0
24933,0.20745182,0.23134041,-0.41508484,-0.008496094,-0.4885254,-0.059472658,145.0
24934,0.090851784,0.1860733,-0.34017944,-0.008496094,-0.4885254,-0.059472658,145.0
24935,0.090851784,0.1860733,-0.34017944,0.0,-0.4970215,-0.07646485,145.0
24936,1.3923712,-1.3555241,-0.3640442,0.0,-0.4970215,-0.07646485,145.0
24937,1.3923712,-1.3555241,-0.3640442,-0.016992187,-0.52038574,-0.08496094,145.0
24938,1.2305961,-0.93980217,-0.09693909,-0.016992187,-0.52038574,-0.08496094,145.0
24939,1.2305961,-0.93980217,-0.09693909,-0.053100586,-0.52675784,-0.12956543,145.0
24940,1.0640788,-0.73405457,0.11117554,-0.053100586,-0.52675784,-0.12956543,145.0
24941,1.0640788,-0.73405457,0.11117554,-0.0722168,-0.5214478,-0.18160401,145.0
24942,0.8376765,-0.604332,0.050125122,-0.0722168,-0.5214478,-0.18160401,145.0
24943,0.8376765,-0.604332,0.050125122,-0.090270996,-0.5076416,-0.2357666,145.0
24944,0.626318,-0.46370316,-0.071014404,-0.090270996,-0.5076416,-0.2357666,145.0
24945,0.626318,-0.46370316,-0.071014404,-0.06903076,-0.47790527,-0.28674316,145.0
24946,0.4655199,-0.28382874,-0.05026245,-0.06903076,-0.47790527,-0.28674316,145.0
24947,0.4655199,-0.28382874,-0.05026245,-0.035046387,-0.45029297,-0.36108398,145.0
24948,0.3652625,-0.10359001,0.07374573,-0.035046387,-0.45029297,-0.36108398,145.0
24949,0.3652625,-0.10359001,0.07374573,-0.03079834,-0.4439209,-0.41418457,145.0
24950,0.2798562,-0.041332245,0.094436646,-0.03079834,-0.4439209,-0.41418457,145.0
24951,0.2798562,-0.041332245,0.094436646,-0.052038576,-0.46622315,-0.48427734,145.0
24952,0.19859219,-0.13641167,-0.036193848,-0.052038576,-0.46622315,-0.48427734,145.0
24953,0.19859219,-0.13641167,-0.036193848,0.013806152,-0.51932377,-0.50233155,145.0
24954,0.17509651,-0.1578598,-0.19706726,0.013806152,-0.51932377,-0.50233155,145.0
24955,0.17509651,-0.1578598,-0.19706726,0.060534667,-0.48427734,-0.540564,145.0
24956,0.13463306,0.07489586,-0.29052734,0.060534667,-0.48427734,-0.540564,145.0
24957,0.13463306,0.07489586,-0.29052734,-0.04141846,-0.41312256,-0.53737795,145.0
24958,0.022977352,0.29496384,-0.32499695,-0.04141846,-0.41312256,-0.53737795,145.0
24959,0.022977352,0.29496384,-0.32499695,-0.20603028,-0.3345337,-0.50870365,145.0
24960,-0.20096636,0.29520035,-0.4315796,-0.20603028,-0.3345337,-0.50870365,145.0
24961,-0.20096636,0.29520035,-0.4315796,-0.26125488,-0.27293703,-0.5033936,145.0
24962,-0.49301147,0.17761421,-0.49813843,-0.26125488,-0.27293703,-0.5033936,145.0
24963,-0.49301147,0.17761421,-0.49813843,-0.22939454,-0.24851075,-0.5522461,145.0
24964,-0.53031015,0.0016994476,-0.16860962,-0.22939454,-0.24851075,-0.5522461,145.0
24965,-0.53031015,0.0016994476,-0.16860962,-0.14655761,-0.27718505,-0.6616333,145.0
24966,-0.2766285,-0.123348236,0.34048462,-0.14655761,-0.27718505,-0.6616333,145.0
24967,-0.2766285,-0.123348236,0.34048462,-0.2347046,-0.37595215,-0.75615233,145.0
