,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
25305,open,open,open,open,open,open,open
25306,0.037222385,1.1759377,1.2440338,0.44498292,0.34940186,0.24001466,137.0
25307,-0.0011787415,0.89649963,0.9953613,0.44498292,0.34940186,0.24001466,137.0
25308,-0.0011787415,0.89649963,0.9953613,-0.1539917,0.098767094,0.28461915,137.0
25309,-0.39912415,-1.8018303,0.5432892,-0.1539917,0.098767094,0.28461915,137.0
25310,-0.39912415,-1.8018303,0.5432892,-0.21983643,-0.045666505,0.33665773,137.0
25311,-0.44837666,-1.5314426,0.31622314,-0.21983643,-0.045666505,0.33665773,137.0
25312,-0.44837666,-1.5314426,0.31622314,-0.27612305,-0.10620117,0.36108398,137.0
25313,-0.760911,-1.3805752,0.13291931,-0.27612305,-0.10620117,0.36108398,137.0
25314,-0.760911,-1.3805752,0.13291931,-0.36851808,-0.22514649,0.46516114,137.0
25315,-0.7560067,-1.230156,0.021102905,-0.36851808,-0.22514649,0.46516114,137.0
25316,-0.7560067,-1.230156,0.021102905,-0.3971924,-0.24532472,0.4970215,137.0
25317,-0.91220284,-1.2303524,-0.20510864,-0.3971924,-0.24532472,0.4970215,137.0
25318,-0.91220284,-1.2303524,-0.20510864,-0.5150757,-0.31435546,0.6042847,137.0
25319,-0.80921745,-1.1818161,-0.23866272,-0.5150757,-0.31435546,0.6042847,137.0
25320,-0.80921745,-1.1818161,-0.23866272,-0.544812,-0.34833986,0.63720703,137.0
25321,-0.54874134,-1.6450253,0.21351624,-0.544812,-0.34833986,0.63720703,137.0
25322,-0.54874134,-1.6450253,0.21351624,-0.48427734,-0.5097656,0.7168579,137.0
25323,-0.3291664,-1.6484051,0.30628967,-0.48427734,-0.5097656,0.7168579,137.0
25324,-0.3291664,-1.6484051,0.30628967,-0.47471926,-0.54587406,0.76677245,137.0
25325,-0.102041245,-1.5573845,0.3751831,-0.47471926,-0.54587406,0.76677245,137.0
25326,-0.102041245,-1.5573845,0.3751831,-0.6064087,-0.5883545,0.88253176,137.0
25327,-0.24254608,-1.0470304,0.06915283,-0.6064087,-0.5883545,0.88253176,137.0
25328,-0.24254608,-1.0470304,0.06915283,-0.8846558,-0.5979126,1.0163453,137.0
25329,-0.64457417,-0.56378365,-0.34832764,-0.8846558,-0.5979126,1.0163453,137.0
25330,-0.64457417,-0.56378365,-0.34832764,-1.1459106,-0.5936646,1.0588257,137.0
25331,-0.9659648,-0.41524887,-0.69381714,-1.1459106,-0.5936646,1.0588257,137.0
25332,-0.9659648,-0.41524887,-0.69381714,-1.3200806,-0.5341919,1.0641358,137.0
25333,-1.0775814,-0.4689541,-0.85417175,-1.3200806,-0.5341919,1.0641358,137.0
25334,-1.0775814,-0.4689541,-0.85417175,-1.6493043,-0.5161377,1.1352905,137.0
25335,-1.0601244,-0.6438637,-0.74661255,-1.6493043,-0.5161377,1.1352905,137.0
25336,-1.0601244,-0.6438637,-0.74661255,-1.8351563,-0.65844727,1.085376,137.0
25337,-0.72814083,-1.1718407,-0.46670532,-1.8351563,-0.65844727,1.085376,137.0
25338,-0.72814083,-1.1718407,-0.46670532,-1.2797241,-0.7423462,0.8262451,137.0
25339,-0.068535805,-1.552927,-0.2713318,-1.2797241,-0.7423462,0.8262451,137.0
25340,-0.068535805,-1.552927,-0.2713318,-0.8814697,-0.60216063,0.6839356,137.0
25341,0.5524101,-1.0084305,-0.15397644,-0.8814697,-0.60216063,0.6839356,137.0
25342,0.5524101,-1.0084305,-0.15397644,-1.4868164,-0.24851075,0.5511841,137.0
25343,1.0225921,-0.43566322,-0.016036987,-1.4868164,-0.24851075,0.5511841,137.0
25344,1.0225921,-0.43566322,-0.016036987,-2.51803,-0.20390625,0.2442627,137.0
25345,1.6815505,-1.1658897,-0.06866455,-2.51803,-0.20390625,0.2442627,137.0
25346,1.6815505,-1.1658897,-0.06866455,-2.1463258,-0.11363526,-0.4163086,137.0
25347,1.6815505,-1.1658897,-0.06866455,-1.4145997,-0.033984374,-0.8782837,137.0
25348,2.4906015,-2.3015966,-0.21054077,-1.4145997,-0.033984374,-0.8782837,137.0
25349,2.9804692,-2.5559998,-0.2197113,-1.4145997,-0.033984374,-0.8782837,137.0
25350,2.9804692,-2.5559998,-0.2197113,-0.9770508,-0.42161867,-1.1937011,137.0
25351,3.2567997,-2.2904902,-0.13684082,-0.9770508,-0.42161867,-1.1937011,137.0
25352,3.2567997,-2.2904902,-0.13684082,-0.35683593,-0.71367186,-1.1883911,137.0
25353,3.5048056,-1.700324,-0.16078186,-0.35683593,-0.71367186,-1.1883911,137.0
25354,3.5048056,-1.700324,-0.16078186,-0.2888672,-0.81668705,-1.2181275,137.0
25355,3.4864979,-0.8520069,-0.7991028,-0.2888672,-0.81668705,-1.2181275,137.0
25356,3.4864979,-0.8520069,-0.7991028,-0.82836914,-0.9781128,-1.2850342,137.0
25357,3.4388685,-0.6172619,-2.0893097,-0.82836914,-0.9781128,-1.2850342,137.0
25358,3.4388685,-0.6172619,-2.0893097,-1.089624,-1.1554688,-1.448584,137.0
25359,3.1206627,-0.5563946,-2.1380768,-1.089624,-1.1554688,-1.448584,137.0
25360,3.1206627,-0.5563946,-2.1380768,-1.1862671,-1.2446778,-1.4984986,137.0
25361,3.043087,-0.6147938,-2.2308807,-1.1862671,-1.2446778,-1.4984986,137.0
25362,3.043087,-0.6147938,-2.2308807,-1.1342286,-1.4294678,-1.5696534,137.0
25363,2.9157562,-0.5123787,-2.3424988,-1.1342286,-1.4294678,-1.5696534,137.0
25364,2.9157562,-0.5123787,-2.3424988,-0.63933104,-1.5770874,-1.5590333,137.0
25365,3.030651,-0.546072,-2.5905914,-0.63933104,-1.5770874,-1.5590333,137.0
25366,3.030651,-0.546072,-2.5905914,0.032922365,-1.8744507,-1.6482422,137.0
25367,2.6842499,-0.29683113,-2.5049286,0.032922365,-1.8744507,-1.6482422,137.0
25368,2.6842499,-0.29683113,-2.5049286,0.121069334,-2.0040162,-1.6588624,137.0
25369,3.6127567,-0.52503777,-2.3560028,0.121069334,-2.0040162,-1.6588624,137.0
25370,3.6127567,-0.52503777,-2.3560028,0.90908206,-0.31860352,-1.5186768,137.0
25371,4.5446854,-1.722228,-0.11503601,0.90908206,-0.31860352,-1.5186768,137.0
25372,4.5446854,-1.722228,-0.11503601,2.9534547,1.3731812,-0.004248047,137.0
25373,1.4566956,0.09935379,4.4602966,2.9534547,1.3731812,-0.004248047,137.0
25374,1.4566956,0.09935379,4.4602966,-0.007434082,1.2329956,-0.7614624,137.0
25375,-0.16610146,1.3603058,4.0341034,-0.007434082,1.2329956,-0.7614624,137.0
25376,-0.16610146,1.3603058,4.0341034,-0.20496826,0.4088745,-0.32497558,137.0
25377,-2.044613,2.9484863,0.58380127,-0.20496826,0.4088745,-0.32497558,137.0
25378,-2.044613,2.9484863,0.58380127,-0.18266602,-0.905896,-0.36851808,137.0
25379,-1.7582607,2.9924927,-4.044876,-0.18266602,-0.905896,-0.36851808,137.0
25380,-1.7582607,2.9924927,-4.044876,1.3838013,-1.1575928,-0.631897,137.0
25381,-1.7582607,2.9924927,-4.044876,3.175415,-1.7586914,-0.79226077,137.0
25382,-0.7821331,1.3913212,-5.5782776,3.175415,-1.7586914,-0.79226077,137.0
25383,-0.5164776,0.30363274,-4.1545105,3.175415,-1.7586914,-0.79226077,137.0
25384,-0.5164776,0.30363274,-4.1545105,4.584705,-1.99552,-0.8602295,137.0
25385,-0.2984972,1.1876564,-1.7887421,4.584705,-1.99552,-0.8602295,137.0
25386,-0.2984972,1.1876564,-1.7887421,4.884192,-1.9615357,-0.97280276,137.0
25387,0.5304413,3.5338898,-0.2631073,4.884192,-1.9615357,-0.97280276,137.0
25388,0.5304413,3.5338898,-0.2631073,4.4721313,-1.5473511,-0.97280276,137.0
25389,1.5929317,5.430933,0.5711975,4.4721313,-1.5473511,-0.97280276,137.0
25390,1.5929317,5.430933,0.5711975,4.601697,-1.2160034,-0.46622315,137.0
25391,3.4741135,4.9216766,4.5726776,4.601697,-1.2160034,-0.46622315,137.0
25392,3.4741135,4.9216766,4.5726776,3.4791505,1.9201173,0.05628662,137.0
25393,2.9200382,3.4676762,8.36644,3.4791505,1.9201173,0.05628662,137.0
25394,2.9200382,3.4676762,8.36644,-0.48215333,-0.03186035,-0.43967286,137.0
25395,0.30418205,2.6263504,4.8526764,-0.48215333,-0.03186035,-0.43967286,137.0
25396,0.30418205,2.6263504,4.8526764,0.4248047,-0.26019287,0.3727661,137.0
25397,-0.5584736,1.0332947,-0.97987366,0.4248047,-0.26019287,0.3727661,137.0
25398,-0.5584736,1.0332947,-0.97987366,0.17523193,-0.2166504,0.17735596,137.0
25399,-0.50967026,-0.6984501,-2.7919464,0.17523193,-0.2166504,0.17735596,137.0
25400,-0.50967026,-0.6984501,-2.7919464,0.3154175,-0.21452637,0.09451904,137.0
25401,-0.16736794,-0.7395344,-2.5093994,0.3154175,-0.21452637,0.09451904,137.0
25402,-0.16736794,-0.7395344,-2.5093994,0.27612305,-0.06796875,0.045666505,137.0
25403,-0.022396088,0.22581673,-1.8310547,0.27612305,-0.06796875,0.045666505,137.0
25404,-0.022396088,0.22581673,-1.8310547,-0.0010620117,0.36639404,0.15717773,137.0
25405,-0.40107155,0.6921406,-0.82899475,-0.0010620117,0.36639404,0.15717773,137.0
25406,-0.40107155,0.6921406,-0.82899475,-0.31966552,0.23045655,0.36002198,137.0
25407,-1.1971512,0.57120514,-0.6372528,-0.31966552,0.23045655,0.36002198,137.0
25408,-1.1971512,0.57120514,-0.6372528,0.24107666,0.27506104,0.37489015,137.0
25409,-1.2128487,-0.26007652,-0.39382935,0.24107666,0.27506104,0.37489015,137.0
25410,-1.2128487,-0.26007652,-0.39382935,-0.098767094,0.44073486,0.3536499,137.0
25411,-0.7796898,-0.96606827,0.31671143,-0.098767094,0.44073486,0.3536499,137.0
25412,-0.7796898,-0.96606827,0.31671143,0.16354981,0.1274414,0.36533204,137.0
25413,-0.38637352,-0.8023472,0.42633057,0.16354981,0.1274414,0.36533204,137.0
25414,-0.38637352,-0.8023472,0.42633057,-0.04141846,0.26337892,0.38232422,137.0
25415,0.14644432,-0.29911613,0.2802887,-0.04141846,0.26337892,0.38232422,137.0
25416,0.14644432,-0.29911613,0.2802887,-0.17947999,0.45454103,0.5150757,137.0
25417,0.322258,-0.14141655,-0.052871704,-0.17947999,0.45454103,0.5150757,137.0
25418,0.322258,-0.14141655,-0.052871704,-0.115759276,0.50020754,0.5968506,137.0
25419,0.0010566711,0.07181549,-0.1816864,-0.115759276,0.50020754,0.5968506,137.0
25420,0.0010566711,0.07181549,-0.1816864,-0.1529297,0.5628662,0.7327881,137.0
25421,-0.48914528,0.16328812,0.33825684,-0.1529297,0.5628662,0.7327881,137.0
25422,-0.48914528,0.16328812,0.33825684,-0.48427734,0.4343628,0.6690674,137.0
25423,-0.6380081,-0.51984596,1.1050873,-0.48427734,0.4343628,0.6690674,137.0
25424,-0.6380081,-0.51984596,1.1050873,-0.36745605,0.29205322,0.7423462,137.0
25425,-0.44498825,-0.90161896,1.1942749,-0.36745605,0.29205322,0.7423462,137.0
25426,-0.44498825,-0.90161896,1.1942749,-0.47471926,0.3090454,0.83049315,137.0
25427,-0.4870577,-0.80415726,0.26498413,-0.47471926,0.3090454,0.83049315,137.0
25428,-0.4870577,-0.80415726,0.26498413,-0.3462158,0.26125488,0.991919,137.0
25429,-0.8512306,-0.9859047,-0.8827362,-0.3462158,0.26125488,0.991919,137.0
25430,-0.8512306,-0.9859047,-0.8827362,0.035046387,0.46834716,1.178833,137.0
25431,-0.9951811,-1.2488918,-0.941452,0.035046387,0.46834716,1.178833,137.0
