,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
24307,open,open,open,open,open,open,open
24308,-0.590729,0.036327362,-0.2322464,0.057348635,0.12956543,-0.04460449,155.0
24309,-0.49440956,0.03414917,-0.18354034,0.057348635,0.12956543,-0.04460449,155.0
24310,-0.49440956,0.03414917,-0.18354034,-0.04141846,-0.0637207,-0.18266602,155.0
24311,-0.41322803,0.036022186,-0.15892792,-0.04141846,-0.0637207,-0.18266602,155.0
24312,-0.41322803,0.036022186,-0.15892792,0.07646485,-0.07115479,-0.13487549,155.0
24313,0.89212275,-1.3530693,-0.5729675,0.07646485,-0.07115479,-0.13487549,155.0
24314,0.89212275,-1.3530693,-0.5729675,0.014868164,-0.050976563,-0.058410645,155.0
24315,0.89212275,-1.3530693,-0.5729675,-0.081774905,-0.029736329,-0.0031860352,155.0
24316,0.8224385,-0.93554306,-0.39070892,-0.081774905,-0.029736329,-0.0031860352,155.0
24317,0.69383955,-0.85614014,-0.29315948,-0.081774905,-0.029736329,-0.0031860352,155.0
24318,0.69383955,-0.85614014,-0.29315948,-0.090270996,-0.0031860352,-0.019116212,155.0
24319,0.5223813,-0.8437004,-0.25154495,-0.090270996,-0.0031860352,-0.019116212,155.0
24320,0.5223813,-0.8437004,-0.25154495,-0.06903076,0.010620117,-0.052038576,155.0
24321,0.36769748,-0.68317413,-0.1694107,-0.06903076,0.010620117,-0.052038576,155.0
24322,0.36769748,-0.68317413,-0.1694107,-0.039294433,0.0021240234,-0.03717041,155.0
24323,0.26243186,-0.44102097,-0.08356476,-0.039294433,0.0021240234,-0.03717041,155.0
24324,0.26243186,-0.44102097,-0.08356476,-0.06159668,-0.010620117,-0.007434082,155.0
24325,0.20324373,-0.25849152,-0.059577942,-0.06159668,-0.010620117,-0.007434082,155.0
24326,0.20324373,-0.25849152,-0.059577942,-0.13699952,-0.028674318,-0.0180542,155.0
24327,0.15075421,-0.2173996,-0.092559814,-0.13699952,-0.028674318,-0.0180542,155.0
24328,0.15075421,-0.2173996,-0.092559814,-0.14868164,-0.010620117,-0.02442627,155.0
24329,0.084055424,-0.2252121,-0.12971497,-0.14868164,-0.010620117,-0.02442627,155.0
