,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
20308,open,open,open,open,open,open,open
20309,0.17483473,0.17868423,0.012989044,-0.03079834,0.046728518,0.107263185,159.0
20310,-0.0035037994,-0.030796051,-0.0896225,-0.03079834,0.046728518,0.107263185,159.0
20311,-0.0035037994,-0.030796051,-0.0896225,0.029736329,-0.035046387,-0.022302246,159.0
20312,-0.002632141,-0.024528503,-0.0783844,0.029736329,-0.035046387,-0.022302246,159.0
20313,-0.002632141,-0.024528503,-0.0783844,0.0053100586,-0.04141846,-0.010620117,159.0
20314,-2.3647888,0.43954468,-0.22081375,0.0053100586,-0.04141846,-0.010620117,159.0
20315,-2.3647888,0.43954468,-0.22081375,-0.047790527,-0.045666505,0.0,159.0
20316,-1.8550024,0.3539276,-0.24453354,-0.047790527,-0.045666505,0.0,159.0
20317,-1.8550024,0.3539276,-0.24453354,-0.046728518,-0.060534667,0.007434082,159.0
20318,-1.4432917,0.17828369,-0.16464233,-0.046728518,-0.060534667,0.007434082,159.0
20319,-1.4432917,0.17828369,-0.16464233,-0.008496094,-0.053100586,0.0031860352,159.0
20320,-1.116108,0.10437012,-0.095581055,-0.008496094,-0.053100586,0.0031860352,159.0
20321,-1.116108,0.10437012,-0.095581055,0.0021240234,-0.05522461,-0.0053100586,159.0
20322,-0.8725617,0.15561676,-0.06762695,0.0021240234,-0.05522461,-0.0053100586,159.0
20323,-0.8725617,0.15561676,-0.06762695,-0.027612304,-0.04460449,0.004248047,159.0
20324,-0.700747,0.19784546,-0.07846832,-0.027612304,-0.04460449,0.004248047,159.0
20325,-0.700747,0.19784546,-0.07846832,-0.06478272,-0.050976563,0.03079834,159.0
20326,-0.5531757,0.14192963,-0.09080124,-0.06478272,-0.050976563,0.03079834,159.0
20327,-0.5531757,0.14192963,-0.09080124,-0.052038576,-0.04248047,0.04885254,159.0
20328,-0.5531757,0.14192963,-0.09080124,-0.02442627,-0.04248047,0.052038576,159.0
20329,-0.43019915,0.06593323,-0.05413437,-0.02442627,-0.04248047,0.052038576,159.0
20330,-0.3441348,0.032554626,-0.015464783,-0.02442627,-0.04248047,0.052038576,159.0
20331,-0.3441348,0.032554626,-0.015464783,-0.022302246,-0.043542482,0.045666505,159.0
20332,-0.24427748,0.036151886,-0.03533554,-0.022302246,-0.043542482,0.045666505,159.0
20333,-0.24427748,0.036151886,-0.03533554,-0.045666505,-0.04991455,0.04991455,159.0
20334,-0.14304161,0.018409729,-0.10019302,-0.045666505,-0.04991455,0.04991455,159.0
20335,-0.14304161,0.018409729,-0.10019302,-0.04141846,-0.03717041,0.06796875,159.0
20336,-0.08131552,3.8528442E-4,-0.11235809,-0.04141846,-0.03717041,0.06796875,159.0
20337,-0.08131552,3.8528442E-4,-0.11235809,-0.052038576,-0.033984374,0.06478272,159.0
20338,-0.058814526,-0.014045715,-0.036514282,-0.052038576,-0.033984374,0.06478272,159.0
20339,-0.058814526,-0.014045715,-0.036514282,-0.06159668,-0.035046387,0.0637207,159.0
20340,-0.055547714,-0.041374207,0.056114197,-0.06159668,-0.035046387,0.0637207,159.0
20341,-0.055547714,-0.041374207,0.056114197,-0.06584473,-0.03186035,0.07434082,159.0
20342,-0.04926014,-0.07073212,0.089214325,-0.06584473,-0.03186035,0.07434082,159.0
20343,-0.04926014,-0.07073212,0.089214325,-0.04991455,-0.04141846,0.0637207,159.0
20344,-0.019315243,-0.10051727,0.047115326,-0.04991455,-0.04141846,0.0637207,159.0
20345,-0.019315243,-0.10051727,0.047115326,-0.020178223,-0.039294433,0.0541626,159.0
20346,-0.019315243,-0.10051727,0.047115326,0.014868164,-0.028674318,0.04991455,159.0
20347,-0.0033550262,-0.104888916,0.024982452,0.014868164,-0.028674318,0.04991455,159.0
20348,-0.012925625,-0.06281662,0.0557518,0.014868164,-0.028674318,0.04991455,159.0
20349,-0.012925625,-0.06281662,0.0557518,0.014868164,-0.04141846,0.058410645,159.0
20350,-0.005177021,-0.017673492,0.035751343,0.014868164,-0.04141846,0.058410645,159.0
20351,-0.005177021,-0.017673492,0.035751343,0.033984374,-0.043542482,0.05522461,159.0
20352,0.02397108,0.0031471252,-0.04257965,0.033984374,-0.043542482,0.05522461,159.0
20353,0.02397108,0.0031471252,-0.04257965,0.04141846,-0.03717041,0.057348635,159.0
20354,0.034118176,0.03227997,-0.058784485,0.04141846,-0.03717041,0.057348635,159.0
20355,0.034118176,0.03227997,-0.058784485,-0.0021240234,-0.03717041,0.040356446,159.0
20356,0.041320324,0.029266357,-0.030353546,-0.0021240234,-0.03717041,0.040356446,159.0
20357,0.041320324,0.029266357,-0.030353546,-0.013806152,-0.035046387,0.03717041,159.0
20358,0.036254406,-0.023391724,-0.026615143,-0.013806152,-0.035046387,0.03717041,159.0
20359,0.036254406,-0.023391724,-0.026615143,-0.012744141,-0.029736329,0.04248047,159.0
20360,0.020348549,-0.069236755,-0.03048706,-0.012744141,-0.029736329,0.04248047,159.0
20361,0.020348549,-0.069236755,-0.03048706,-0.05522461,-0.026550293,0.0361084,159.0
20362,0.008161068,-0.10737991,-0.0048332214,-0.05522461,-0.026550293,0.0361084,159.0
20363,0.008161068,-0.10737991,-0.0048332214,0.019116212,-0.012744141,0.011682129,159.0
20364,-0.03193569,-0.011856079,0.05649948,0.019116212,-0.012744141,0.011682129,159.0
20365,-0.03193569,-0.011856079,0.05649948,-0.081774905,-0.010620117,0.027612304,159.0
20366,-0.06153488,0.07902908,0.12763214,-0.081774905,-0.010620117,0.027612304,159.0
20367,-0.06153488,0.07902908,0.12763214,-0.18054199,-0.05522461,0.060534667,159.0
20368,-0.029672146,-0.042419434,0.19280243,-0.18054199,-0.05522461,0.060534667,159.0
20369,-0.029672146,-0.042419434,0.19280243,-0.1709839,-0.027612304,0.04991455,159.0
20370,0.0037770271,-0.31681824,0.25842667,-0.1709839,-0.027612304,0.04991455,159.0
20371,0.0037770271,-0.31681824,0.25842667,-0.029736329,-0.11682129,0.011682129,159.0
20372,0.0037770271,-0.31681824,0.25842667,-0.02442627,-0.12319336,-0.058410645,159.0
20373,0.01836586,-0.34610748,0.259552,-0.02442627,-0.12319336,-0.058410645,159.0
20374,0.031342983,-0.15261841,0.21969986,-0.02442627,-0.12319336,-0.058410645,159.0
20375,0.031342983,-0.15261841,0.21969986,-0.14230958,-0.20178223,-0.060534667,159.0
20376,0.04652214,-0.092567444,0.20062256,-0.14230958,-0.20178223,-0.060534667,159.0
20377,0.04652214,-0.092567444,0.20062256,-0.098767094,-0.24213867,-0.098767094,159.0
20378,0.10858011,-0.13388062,0.13903809,-0.098767094,-0.24213867,-0.098767094,159.0
20379,0.10858011,-0.13388062,0.13903809,-0.057348635,-0.27293703,-0.118945315,159.0
20380,0.10858011,-0.13388062,0.13903809,0.026550293,-0.21346436,-0.12850343,159.0
20381,0.19877815,-0.11589432,0.015209198,0.026550293,-0.21346436,-0.12850343,159.0
20382,0.21876383,0.069675446,-0.12506485,0.026550293,-0.21346436,-0.12850343,159.0
20383,0.21876383,0.069675446,-0.12506485,-0.033984374,-0.22089843,-0.11257324,159.0
20384,0.1858387,0.23259735,-0.26617432,-0.033984374,-0.22089843,-0.11257324,159.0
20385,0.1858387,0.23259735,-0.26617432,-0.07752686,-0.18372802,-0.10513916,159.0
20386,0.13065338,0.24667358,-0.32432556,-0.07752686,-0.18372802,-0.10513916,159.0
20387,0.13065338,0.24667358,-0.32432556,-0.09770508,-0.1709839,-0.087084964,159.0
20388,0.06694937,0.16753006,-0.262928,-0.09770508,-0.1709839,-0.087084964,159.0
20389,0.06694937,0.16753006,-0.262928,-0.08283692,-0.15611573,-0.059472658,159.0
20390,0.043317795,0.101371765,-0.18255997,-0.08283692,-0.15611573,-0.059472658,159.0
20391,0.043317795,0.101371765,-0.18255997,-0.05628662,-0.15505372,-0.02442627,159.0
20392,0.07712245,0.119205475,-0.14682007,-0.05628662,-0.15505372,-0.02442627,159.0
20393,0.07712245,0.119205475,-0.14682007,-0.12531738,-0.1444336,-0.0053100586,159.0
20394,0.122391224,0.11604309,-0.1126976,-0.12531738,-0.1444336,-0.0053100586,159.0
20395,0.122391224,0.11604309,-0.1126976,-0.1720459,-0.13806152,0.015930176,159.0
20396,0.14899921,0.008800507,-0.052768707,-0.1720459,-0.13806152,0.015930176,159.0
20397,0.14899921,0.008800507,-0.052768707,-0.1720459,-0.118945315,0.027612304,159.0
20398,0.14395523,-0.11947632,0.0018043518,-0.1720459,-0.118945315,0.027612304,159.0
20399,0.14395523,-0.11947632,0.0018043518,-0.13275146,-0.08814698,0.03079834,159.0
20400,0.08292532,-0.18013763,0.01688385,-0.13275146,-0.08814698,0.03079834,159.0
20401,0.08292532,-0.18013763,0.01688385,-0.07752686,-0.07540283,0.033984374,159.0
20402,0.01830554,-0.14402771,0.028522491,-0.07752686,-0.07540283,0.033984374,159.0
20403,0.01830554,-0.14402771,0.028522491,-0.045666505,-0.06159668,0.028674318,159.0
20404,0.01830554,-0.14402771,0.028522491,-0.05628662,-0.06159668,0.016992187,159.0
20405,-0.035001755,-0.0719223,0.076869965,-0.05628662,-0.06159668,0.016992187,159.0
20406,-0.050376892,-0.041374207,0.097263336,-0.05628662,-0.06159668,0.016992187,159.0
20407,-0.050376892,-0.041374207,0.097263336,-0.06903076,-0.0722168,0.023364259,159.0
20408,0.0029478073,-0.059417725,0.051639557,-0.06903076,-0.0722168,0.023364259,159.0
20409,0.0029478073,-0.059417725,0.051639557,-0.06584473,-0.07965088,0.026550293,159.0
20410,0.10008788,-0.108947754,-0.0476532,-0.06584473,-0.07965088,0.026550293,159.0
20411,0.10008788,-0.108947754,-0.0476532,-0.09770508,-0.087084964,0.033984374,159.0
20412,0.17604184,-0.15002441,-0.12938309,-0.09770508,-0.087084964,0.033984374,159.0
20413,0.17604184,-0.15002441,-0.12938309,-0.09664307,-0.07752686,0.04991455,159.0
20414,0.18715906,-0.16011047,-0.12561417,-0.09664307,-0.07752686,0.04991455,159.0
20415,0.18715906,-0.16011047,-0.12561417,-0.12531738,-0.059472658,0.04885254,159.0
20416,0.1528399,-0.16365814,-0.05324936,-0.12531738,-0.059472658,0.04885254,159.0
20417,0.1528399,-0.16365814,-0.05324936,-0.10301514,-0.047790527,0.040356446,159.0
20418,0.107647896,-0.14956665,0.020118713,-0.10301514,-0.047790527,0.040356446,159.0
20419,0.107647896,-0.14956665,0.020118713,-0.10407715,-0.026550293,0.0180542,159.0
20420,0.05738306,-0.10601807,0.07173538,-0.10407715,-0.026550293,0.0180542,159.0
20421,0.05738306,-0.10601807,0.07173538,-0.14868164,-0.039294433,0.0021240234,159.0
20422,0.042244434,-0.08543396,0.10046768,-0.14868164,-0.039294433,0.0021240234,159.0
20423,0.042244434,-0.08543396,0.10046768,-0.16354981,-0.04248047,-0.007434082,159.0
20424,0.091388226,-0.07662201,0.13812637,-0.16354981,-0.04248047,-0.007434082,159.0
20425,0.091388226,-0.07662201,0.13812637,-0.14655761,-0.028674318,-0.0031860352,159.0
20426,0.1306057,-0.03887558,0.2251854,-0.14655761,-0.028674318,-0.0031860352,159.0
20427,0.1306057,-0.03887558,0.2251854,-0.1274414,0.004248047,-0.0021240234,159.0
20428,0.11569071,0.03488922,0.2903061,-0.1274414,0.004248047,-0.0021240234,159.0
20429,0.11569071,0.03488922,0.2903061,-0.1263794,-0.012744141,0.022302246,159.0
20430,0.09117317,0.10343552,0.22525024,-0.1263794,-0.012744141,0.022302246,159.0
20431,0.09117317,0.10343552,0.22525024,-0.16567384,-0.0361084,0.043542482,159.0
20432,0.12159586,0.07859802,0.10929108,-0.16567384,-0.0361084,0.043542482,159.0
20433,0.12159586,0.07859802,0.10929108,-0.21346436,-0.0541626,0.07646485,159.0
20434,0.19677615,-0.0405159,0.05540085,-0.21346436,-0.0541626,0.07646485,159.0
20435,0.19677615,-0.0405159,0.05540085,-0.20603028,-0.043542482,0.11257324,159.0
20436,0.25384426,-0.089286804,0.08866882,-0.20603028,-0.043542482,0.11257324,159.0
20437,0.25384426,-0.089286804,0.08866882,-0.1985962,-0.0361084,0.14974366,159.0
20438,0.27330232,-0.016952515,0.15501785,-0.1985962,-0.0361084,0.14974366,159.0
20439,0.27330232,-0.016952515,0.15501785,-0.2516968,-0.026550293,0.18372802,159.0
20440,0.27762628,0.045082092,0.1797409,-0.2516968,-0.026550293,0.18372802,159.0
20441,0.27762628,0.045082092,0.1797409,-0.27718505,-0.013806152,0.2177124,159.0
20442,0.26922035,0.015266418,0.18414688,-0.27718505,-0.013806152,0.2177124,159.0
20443,0.26922035,0.015266418,0.18414688,-0.27612305,-0.020178223,0.24213867,159.0
20444,0.24599147,-0.060577393,0.18950272,-0.27612305,-0.020178223,0.24213867,159.0
20445,0.24599147,-0.060577393,0.18950272,-0.2623169,-0.025488282,0.2623169,159.0
20446,0.22640753,-0.12742996,0.22622299,-0.2623169,-0.025488282,0.2623169,159.0
20447,0.22640753,-0.12742996,0.22622299,-0.2623169,-0.04248047,0.28568116,159.0
20448,0.21146059,-0.19320297,0.28731155,-0.2623169,-0.04248047,0.28568116,159.0
20449,0.21146059,-0.19320297,0.28731155,-0.2538208,-0.0637207,0.28461915,159.0
20450,0.19433951,-0.24098969,0.31889725,-0.2538208,-0.0637207,0.28461915,159.0
20451,0.19433951,-0.24098969,0.31889725,-0.23364258,-0.10195313,0.26868898,159.0
20452,0.18702674,-0.24386597,0.31765366,-0.23364258,-0.10195313,0.26868898,159.0
20453,0.18702674,-0.24386597,0.31765366,-0.25063476,-0.1539917,0.25594482,159.0
20454,0.20654297,-0.22606277,0.31806183,-0.25063476,-0.1539917,0.25594482,159.0
20455,0.20654297,-0.22606277,0.31806183,-0.2623169,-0.18479005,0.24213867,159.0
20456,0.20194101,-0.19192505,0.3615532,-0.2623169,-0.18479005,0.24213867,159.0
20457,0.20194101,-0.19192505,0.3615532,-0.26975098,-0.2347046,0.23151855,159.0
20458,0.22958279,-0.17258453,0.37551117,-0.26975098,-0.2347046,0.23151855,159.0
20459,0.22958279,-0.17258453,0.37551117,-0.28355715,-0.30054933,0.23364258,159.0
20460,0.35794616,-0.20623016,0.3005066,-0.28355715,-0.30054933,0.23364258,159.0
20461,0.35794616,-0.20623016,0.3005066,-0.28355715,-0.3069214,0.22196046,159.0
20462,0.44165468,-0.24504852,0.22887039,-0.28355715,-0.3069214,0.22196046,159.0
20463,0.44165468,-0.24504852,0.22887039,-0.3154175,-0.34727785,0.22302246,159.0
20464,0.4304111,-0.25206757,0.20533752,-0.3154175,-0.34727785,0.22302246,159.0
20465,0.4304111,-0.25206757,0.20533752,-0.33878174,-0.3791382,0.20072022,159.0
20466,0.4232595,-0.31332397,0.20096588,-0.33878174,-0.3791382,0.20072022,159.0
20467,0.4232595,-0.31332397,0.20096588,-0.3164795,-0.41206056,0.18691407,159.0
20468,0.4445889,-0.43088531,0.14689255,-0.3164795,-0.41206056,0.18691407,159.0
20469,0.4445889,-0.43088531,0.14689255,-0.26019287,-0.43117675,0.19328614,159.0
20470,0.44306135,-0.45985794,0.03511429,-0.26019287,-0.43117675,0.19328614,159.0
20471,0.44306135,-0.45985794,0.03511429,-0.2527588,-0.4715332,0.19434814,159.0
20472,0.43475914,-0.37280655,-0.16828156,-0.2527588,-0.4715332,0.19434814,159.0
20473,0.43475914,-0.37280655,-0.16828156,-0.33028564,-0.53950197,0.19328614,159.0
20474,0.5025803,-0.35560608,-0.40366745,-0.33028564,-0.53950197,0.19328614,159.0
20475,0.5025803,-0.35560608,-0.40366745,-0.3791382,-0.544812,0.16885987,159.0
20476,0.580287,-0.38947678,-0.48342133,-0.3791382,-0.544812,0.16885987,159.0
20477,0.580287,-0.38947678,-0.48342133,-0.41843262,-0.5341919,0.14549561,159.0
20478,0.5321739,-0.3609581,-0.39654922,-0.41843262,-0.5341919,0.14549561,159.0
20479,0.5321739,-0.3609581,-0.39654922,-0.44604492,-0.52888185,0.1274414,159.0
20480,0.57155204,-0.4357643,-0.27579498,-0.44604492,-0.52888185,0.1274414,159.0
20481,0.57155204,-0.4357643,-0.27579498,-0.43117675,-0.49277344,0.10407715,159.0
20482,0.52522266,-0.44089508,-0.24591827,-0.43117675,-0.49277344,0.10407715,159.0
20483,0.52522266,-0.44089508,-0.24591827,-0.3971924,-0.46728516,0.10195313,159.0
20484,0.5078857,-0.5721588,-0.32504272,-0.3971924,-0.46728516,0.10195313,159.0
20485,0.5078857,-0.5721588,-0.32504272,-0.31223145,-0.40250245,0.07327881,159.0
20486,0.41867423,-0.49497223,-0.28850174,-0.31223145,-0.40250245,0.07327881,159.0
20487,0.41867423,-0.49497223,-0.28850174,-0.3058594,-0.38975832,0.060534667,159.0
20488,0.3407011,-0.35197067,-0.34925842,-0.3058594,-0.38975832,0.060534667,159.0
20489,0.3407011,-0.35197067,-0.34925842,-0.3971924,-0.33240968,0.0,159.0
20490,0.28349835,-0.28195572,-0.34135818,-0.3971924,-0.33240968,0.0,159.0
20491,0.28349835,-0.28195572,-0.34135818,-0.41099855,-0.31329346,-0.0180542,159.0
20492,0.21175963,-0.35435867,-0.44256973,-0.41099855,-0.31329346,-0.0180542,159.0
20493,0.21175963,-0.35435867,-0.44256973,-0.3727661,-0.23045655,-0.07434082,159.0
20494,0.13492286,-0.32800293,-0.34960175,-0.3727661,-0.23045655,-0.07434082,159.0
20495,0.13492286,-0.32800293,-0.34960175,-0.33878174,-0.21983643,-0.09664307,159.0
20496,0.053714633,-0.35664368,-0.17745972,-0.33878174,-0.21983643,-0.09664307,159.0
20497,0.053714633,-0.35664368,-0.17745972,-0.20921631,-0.13062744,-0.1731079,159.0
