,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
24264,open,open,open,open,open,open,open
24265,-0.07177067,-0.1326294,0.21412659,-0.1274414,0.019116212,-0.0541626,142.0
24266,-0.07177067,-0.1326294,0.21412659,-0.025488282,-0.035046387,-0.06265869,142.0
24267,-0.06298256,-0.104637146,0.17209625,-0.025488282,-0.035046387,-0.06265869,142.0
24268,-0.06298256,-0.104637146,0.17209625,-0.039294433,-0.020178223,-0.08283692,142.0
24269,-0.05425644,-0.08068085,0.13833618,-0.039294433,-0.020178223,-0.08283692,142.0
24270,0.89225197,2.9271545,-0.13412857,-0.039294433,-0.020178223,-0.08283692,142.0
24271,0.89225197,2.9271545,-0.13412857,-0.0063720704,-0.013806152,-0.09664307,142.0
24272,0.6840534,2.2583618,-0.065151215,-0.0063720704,-0.013806152,-0.09664307,142.0
24273,0.6840534,2.2583618,-0.065151215,0.033984374,-0.0180542,-0.08071289,142.0
24274,0.52867603,1.8461075,-0.025447845,0.033984374,-0.0180542,-0.08071289,142.0
24275,0.52867603,1.8461075,-0.025447845,0.047790527,-0.020178223,-0.09451904,142.0
24276,0.52867603,1.8461075,-0.025447845,0.010620117,-0.022302246,-0.1083252,142.0
24277,0.4267006,1.6040344,-0.081516266,0.010620117,-0.022302246,-0.1083252,142.0
24278,0.32522297,1.3688507,-0.13751602,0.010620117,-0.022302246,-0.1083252,142.0
24279,0.32522297,1.3688507,-0.13751602,-0.019116212,-0.027612304,-0.14337158,142.0
24280,0.23449421,1.0610275,-0.078689575,-0.019116212,-0.027612304,-0.14337158,142.0
24281,0.23449421,1.0610275,-0.078689575,0.0021240234,-0.040356446,-0.12213135,142.0
24282,0.19524956,0.74508667,0.03725815,0.0021240234,-0.040356446,-0.12213135,142.0
24283,0.19524956,0.74508667,0.03725815,0.04991455,-0.04991455,-0.050976563,142.0
24284,0.13991547,0.51042175,0.056941986,0.04991455,-0.04991455,-0.050976563,142.0
24285,0.13991547,0.51042175,0.056941986,0.10195313,-0.059472658,-0.053100586,142.0
24286,0.07382202,0.3965683,-0.030460358,0.10195313,-0.059472658,-0.053100586,142.0
