,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
21843,open,open,open,open,open,open,open
21844,-0.8866811,-0.5453186,0.14570618,-0.24532472,0.16992188,0.28780517,160.0
21845,-0.8866811,-0.5453186,0.14570618,-0.1083252,-0.06478272,0.078588866,160.0
21846,-0.71734047,-0.4185562,0.12155151,-0.1083252,-0.06478272,0.078588866,160.0
21847,-0.5643873,-0.3529606,0.09144592,-0.1083252,-0.06478272,0.078588866,160.0
21848,-0.5643873,-0.3529606,0.09144592,-0.081774905,-0.07752686,0.08920898,160.0
21849,-1.7738609,0.7905941,-0.8717041,-0.081774905,-0.07752686,0.08920898,160.0
21850,-1.7738609,0.7905941,-0.8717041,-0.06796875,-0.08496094,0.07646485,160.0
21851,-1.3370576,0.671196,-0.74508667,-0.06796875,-0.08496094,0.07646485,160.0
21852,-1.3370576,0.671196,-0.74508667,-0.09239502,-0.06690674,0.043542482,160.0
21853,-1.0171804,0.56611824,-0.5237732,-0.09239502,-0.06690674,0.043542482,160.0
21854,-1.0171804,0.56611824,-0.5237732,-0.10938721,-0.046728518,0.025488282,160.0
21855,-0.80058527,0.4231701,-0.37294006,-0.10938721,-0.046728518,0.025488282,160.0
21856,-0.80058527,0.4231701,-0.37294006,-0.095581055,-0.04460449,0.010620117,160.0
21857,-0.65263844,0.2929058,-0.28352356,-0.095581055,-0.04460449,0.010620117,160.0
21858,-0.65263844,0.2929058,-0.28352356,-0.07752686,-0.05628662,0.0021240234,160.0
21859,-0.50630236,0.18322754,-0.18951416,-0.07752686,-0.05628662,0.0021240234,160.0
21860,-0.50630236,0.18322754,-0.18951416,-0.0637207,-0.0637207,0.0053100586,160.0
21861,-0.35813046,0.119140625,-0.09535217,-0.0637207,-0.0637207,0.0053100586,160.0
21862,-0.35813046,0.119140625,-0.09535217,-0.0637207,-0.0637207,0.0021240234,160.0
21863,-0.22057438,0.10434532,-0.031585693,-0.0637207,-0.0637207,0.0021240234,160.0
21864,-0.22057438,0.10434532,-0.031585693,-0.08071289,-0.06265869,0.0,160.0
21865,-0.12338352,0.097940445,-0.0068511963,-0.08071289,-0.06265869,0.0,160.0
21866,-0.12338352,0.097940445,-0.0068511963,-0.098767094,-0.050976563,-0.0021240234,160.0
21867,-0.12338352,0.097940445,-0.0068511963,-0.11044922,-0.04248047,-0.004248047,160.0
21868,-0.06599188,0.08385849,-0.009552002,-0.11044922,-0.04248047,-0.004248047,160.0
21869,-0.047678947,0.028305054,-0.015304565,-0.11044922,-0.04248047,-0.004248047,160.0
21870,-0.047678947,0.028305054,-0.015304565,-0.124255374,-0.038232423,0.0,160.0
21871,-0.072591305,-0.056934357,-0.038619995,-0.124255374,-0.038232423,0.0,160.0
21872,-0.072591305,-0.056934357,-0.038619995,-0.13168946,-0.029736329,0.009558106,160.0
21873,-0.11811924,-0.09183502,-0.118759155,-0.13168946,-0.029736329,0.009558106,160.0
21874,-0.11811924,-0.09183502,-0.118759155,-0.07540283,-0.043542482,-0.012744141,160.0
21875,-0.14792538,-0.030694962,-0.21081543,-0.07540283,-0.043542482,-0.012744141,160.0
21876,-0.14792538,-0.030694962,-0.21081543,-0.07540283,-0.060534667,-0.038232423,160.0
21877,-0.1459527,0.055252075,-0.2516327,-0.07540283,-0.060534667,-0.038232423,160.0
21878,-0.1459527,0.055252075,-0.2516327,-0.10195313,-0.08071289,-0.06796875,160.0
21879,-0.14118862,0.06716347,-0.2400055,-0.10195313,-0.08071289,-0.06796875,160.0
21880,-0.14118862,0.06716347,-0.2400055,-0.1083252,-0.10195313,-0.095581055,160.0
21881,-0.133605,-0.001285553,-0.1904602,-0.1083252,-0.10195313,-0.095581055,160.0
21882,-0.133605,-0.001285553,-0.1904602,-0.10089111,-0.1274414,-0.118945315,160.0
21883,-0.101317406,-0.08575821,-0.12574768,-0.10089111,-0.1274414,-0.118945315,160.0
21884,-0.101317406,-0.08575821,-0.12574768,-0.11151123,-0.14868164,-0.14018555,160.0
21885,-0.101317406,-0.08575821,-0.12574768,-0.11257324,-0.16885987,-0.15611573,160.0
21886,-0.05338049,-0.13741684,-0.0909729,-0.11257324,-0.16885987,-0.15611573,160.0
21887,-0.011381149,-0.20641899,-0.07267761,-0.11257324,-0.16885987,-0.15611573,160.0
21888,-0.011381149,-0.20641899,-0.07267761,-0.08920898,-0.19541016,-0.16142578,160.0
21889,0.054676533,-0.3252926,-0.031951904,-0.08920898,-0.19541016,-0.16142578,160.0
21890,0.054676533,-0.3252926,-0.031951904,-0.04248047,-0.20709229,-0.14124756,160.0
21891,0.16199064,-0.43583298,0.026794434,-0.04248047,-0.20709229,-0.14124756,160.0
21892,0.16199064,-0.43583298,0.026794434,-0.045666505,-0.21346436,-0.12319336,160.0
21893,0.24719524,-0.45931244,0.0771637,-0.045666505,-0.21346436,-0.12319336,160.0
21894,0.24719524,-0.45931244,0.0771637,-0.12213135,-0.20603028,-0.12000733,160.0
21895,0.28528023,-0.39880943,0.11395264,-0.12213135,-0.20603028,-0.12000733,160.0
21896,0.28528023,-0.39880943,0.11395264,-0.25594482,-0.17523193,-0.13381349,160.0
21897,0.3014784,-0.2842102,0.0778656,-0.25594482,-0.17523193,-0.13381349,160.0
21898,0.3014784,-0.2842102,0.0778656,-0.15186767,-0.20178223,-0.14974366,160.0
21899,0.34889793,-0.10078049,-0.047836304,-0.15186767,-0.20178223,-0.14974366,160.0
21900,0.34889793,-0.10078049,-0.047836304,-0.098767094,-0.21134034,-0.17947999,160.0
21901,0.40273905,0.1379795,-0.103302,-0.098767094,-0.21134034,-0.17947999,160.0
21902,0.40273905,0.1379795,-0.103302,-0.14230958,-0.22833252,-0.1539917,160.0
21903,0.41025257,0.26342392,-0.022262573,-0.14230958,-0.22833252,-0.1539917,160.0
21904,0.41025257,0.26342392,-0.022262573,-0.31010744,-0.20390625,-0.21452637,160.0
21905,0.41363907,0.1563797,0.08366394,-0.31010744,-0.20390625,-0.21452637,160.0
21906,0.41363907,0.1563797,0.08366394,-0.28780517,-0.22302246,-0.23789063,160.0
21907,0.3879547,-0.07305336,0.123306274,-0.28780517,-0.22302246,-0.23789063,160.0
21908,0.3879547,-0.07305336,0.123306274,-0.2888672,-0.20284425,-0.25594482,160.0
21909,0.35057402,-0.25515938,0.12825012,-0.2888672,-0.20284425,-0.25594482,160.0
21910,0.35057402,-0.25515938,0.12825012,-0.3525879,-0.19647217,-0.23789063,160.0
21911,0.35057402,-0.25515938,0.12825012,-0.54587406,-0.16567384,-0.18266602,160.0
21912,0.371377,-0.2848282,0.13096619,-0.54587406,-0.16567384,-0.18266602,160.0
21913,0.33524895,-0.20902634,0.11581421,-0.54587406,-0.16567384,-0.18266602,160.0
21914,0.33524895,-0.20902634,0.11581421,-0.47684327,-0.20390625,-0.10195313,160.0
21915,0.19244242,-0.15033913,0.060424805,-0.47684327,-0.20390625,-0.10195313,160.0
21916,0.19244242,-0.15033913,0.060424805,-0.33665773,-0.23258057,-0.14124756,160.0
21917,0.06533098,-0.19644356,-0.030044556,-0.33665773,-0.23258057,-0.14124756,160.0
21918,0.06533098,-0.19644356,-0.030044556,-0.2538208,-0.2442627,-0.15930176,160.0
21919,0.06533098,-0.19644356,-0.030044556,0.0010620117,-0.26868898,-0.1996582,160.0
21920,-0.04474449,-0.3070221,-0.100875854,0.0010620117,-0.26868898,-0.1996582,160.0
21921,-0.0059375763,-0.27865028,-0.123062134,0.0010620117,-0.26868898,-0.1996582,160.0
21922,-0.0059375763,-0.27865028,-0.123062134,0.07115479,-0.29523927,-0.25594482,160.0
21923,0.21910238,-0.13973999,-0.04663086,0.07115479,-0.29523927,-0.25594482,160.0
21924,0.21910238,-0.13973999,-0.04663086,-0.32603762,-0.22514649,-0.26762697,160.0
21925,0.383595,-0.1319828,0.08299255,-0.32603762,-0.22514649,-0.26762697,160.0
21926,0.383595,-0.1319828,0.08299255,-0.34940186,-0.22939454,-0.24001466,160.0
21927,0.39647532,-0.23159981,0.11029053,-0.34940186,-0.22939454,-0.24001466,160.0
21928,0.39647532,-0.23159981,0.11029053,-0.16779785,-0.2527588,-0.24107666,160.0
21929,0.3683033,-0.279274,-0.01777649,-0.16779785,-0.2527588,-0.24107666,160.0
21930,0.3683033,-0.279274,-0.01777649,-0.2814331,-0.2357666,-0.271875,160.0
21931,0.2872815,-0.3184147,-0.19926453,-0.2814331,-0.2357666,-0.271875,160.0
21932,0.2872815,-0.3184147,-0.19926453,-0.18266602,-0.28674316,-0.24107666,160.0
21933,0.14632893,-0.32029724,-0.3510437,-0.18266602,-0.28674316,-0.24107666,160.0
21934,0.14632893,-0.32029724,-0.3510437,-0.0063720704,-0.34727785,-0.27612305,160.0
21935,0.101438046,-0.20490646,-0.39759827,-0.0063720704,-0.34727785,-0.27612305,160.0
21936,0.101438046,-0.20490646,-0.39759827,-0.13381349,-0.39506838,-0.31860352,160.0
21937,0.18504477,-0.057640076,-0.32635498,-0.13381349,-0.39506838,-0.31860352,160.0
