,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
23865,open,open,open,open,open,open,open
23866,-1.0034788,-0.5659914,0.14352417,-1.3668091,0.81881106,0.8931519,184.0
23867,-1.0034788,-0.5659914,0.14352417,-0.9133301,0.15823975,0.3154175,184.0
23868,-0.80009747,-0.45835876,0.12632751,-0.9133301,0.15823975,0.3154175,184.0
23869,-0.80009747,-0.45835876,0.12632751,0.08283692,0.13699952,0.033984374,184.0
23870,-0.6436424,-0.3725834,0.114471436,0.08283692,0.13699952,0.033984374,184.0
23871,-0.6436424,-0.3725834,0.114471436,0.090270996,0.12956543,0.083898924,184.0
23872,-0.6436424,-0.3725834,0.114471436,0.043542482,0.008496094,0.026550293,184.0
23873,2.7369905,-6.4038534,0.14578247,0.043542482,0.008496094,0.026550293,184.0
23874,2.1702442,-5.1782227,0.15582275,0.043542482,0.008496094,0.026550293,184.0
23875,2.1702442,-5.1782227,0.15582275,0.08814698,-0.04460449,-0.010620117,184.0
23876,1.8894058,-4.2471313,0.26654053,0.08814698,-0.04460449,-0.010620117,184.0
23877,1.8894058,-4.2471313,0.26654053,0.12956543,0.0053100586,-0.025488282,184.0
23878,1.6333021,-3.2418337,0.31184387,0.12956543,0.0053100586,-0.025488282,184.0
23879,1.6333021,-3.2418337,0.31184387,0.04141846,0.021240234,-0.007434082,184.0
23880,1.2521617,-2.3986912,0.27009583,0.04141846,0.021240234,-0.007434082,184.0
23881,1.2521617,-2.3986912,0.27009583,-0.014868164,-0.070092775,-0.04141846,184.0
23882,0.9259725,-1.9314165,0.21736145,-0.014868164,-0.070092775,-0.04141846,184.0
23883,0.9259725,-1.9314165,0.21736145,-0.009558106,-0.115759276,-0.10195313,184.0
23884,0.77885175,-1.6180944,0.18894958,-0.009558106,-0.115759276,-0.10195313,184.0
23885,0.77885175,-1.6180944,0.18894958,-0.02442627,-0.052038576,-0.050976563,184.0
23886,0.62830603,-1.2727594,0.17520142,-0.02442627,-0.052038576,-0.050976563,184.0
23887,0.62830603,-1.2727594,0.17520142,-0.07646485,-0.08814698,-0.10620117,184.0
23888,0.39628494,-1.0256786,0.10105896,-0.07646485,-0.08814698,-0.10620117,184.0
23889,0.39628494,-1.0256786,0.10105896,-0.3440918,-0.26868898,0.050976563,184.0
23890,0.39628494,-1.0256786,0.10105896,-0.023364259,-0.13699952,-0.271875,184.0
23891,0.3467399,-1.0814319,-0.013473511,-0.023364259,-0.13699952,-0.271875,184.0
23892,0.40041447,-1.1274991,-0.045822144,-0.023364259,-0.13699952,-0.271875,184.0
23893,0.40041447,-1.1274991,-0.045822144,0.08496094,0.009558106,0.022302246,184.0
23894,0.27434766,-0.884995,0.046722412,0.08496094,0.009558106,0.022302246,184.0
23895,0.27434766,-0.884995,0.046722412,0.087084964,0.025488282,0.020178223,184.0
23896,0.07033253,-0.5097904,0.16838074,0.087084964,0.025488282,0.020178223,184.0
23897,0.07033253,-0.5097904,0.16838074,-0.045666505,-0.057348635,-0.090270996,184.0
23898,0.015909553,-0.20753908,0.1772461,-0.045666505,-0.057348635,-0.090270996,184.0
23899,0.015909553,-0.20753908,0.1772461,-0.1720459,-0.0722168,-0.019116212,184.0
23900,0.0867511,-0.20045519,0.029754639,-0.1720459,-0.0722168,-0.019116212,184.0
23901,0.0867511,-0.20045519,0.029754639,-0.095581055,-0.032922365,-0.007434082,184.0
23902,0.084305644,-0.35650682,-0.100875854,-0.095581055,-0.032922365,-0.007434082,184.0
23903,0.084305644,-0.35650682,-0.100875854,0.029736329,-0.0021240234,-0.0053100586,184.0
23904,-0.0040277243,-0.26647997,-0.06265259,0.029736329,-0.0021240234,-0.0053100586,184.0
23905,-0.0040277243,-0.26647997,-0.06265259,0.0637207,0.009558106,0.04885254,184.0
23906,-0.12222862,0.07932091,0.0440979,0.0637207,0.009558106,0.04885254,184.0
23907,-0.12222862,0.07932091,0.0440979,-0.04991455,0.022302246,0.0541626,184.0
23908,-0.25085902,0.24150848,0.09272766,-0.04991455,0.022302246,0.0541626,184.0
23909,-0.25085902,0.24150848,0.09272766,-0.16673584,-0.08920898,-0.0010620117,184.0
23910,-0.26737428,0.03060913,0.08779907,-0.16673584,-0.08920898,-0.0010620117,184.0
23911,-0.26737428,0.03060913,0.08779907,-0.07327881,-0.09239502,-0.10620117,184.0
23912,-0.16835499,-0.22452402,0.08406067,-0.07327881,-0.09239502,-0.10620117,184.0
23913,-0.16835499,-0.22452402,0.08406067,0.13168946,0.06265869,-0.07965088,184.0
23914,-0.21001363,-0.17972946,0.11582947,0.13168946,0.06265869,-0.07965088,184.0
23915,-0.21001363,-0.17972946,0.11582947,0.19328614,0.118945315,0.10301514,184.0
23916,-0.21001363,-0.17972946,0.11582947,0.25913087,0.07965088,0.087084964,184.0
23917,-0.3623346,0.10166359,0.20028687,0.25913087,0.07965088,0.087084964,184.0
23918,-0.36065626,0.28876495,0.2937622,0.25913087,0.07965088,0.087084964,184.0
23919,-0.36065626,0.28876495,0.2937622,0.29099122,0.10938721,0.039294433,184.0
23920,-0.21793175,0.25059223,0.26235962,0.29099122,0.10938721,0.039294433,184.0
23921,-0.21793175,0.25059223,0.26235962,0.31116945,0.1444336,0.07540283,184.0
23922,-0.11893767,0.28860855,0.012802124,0.31116945,0.1444336,0.07540283,184.0
23923,-0.11893767,0.28860855,0.012802124,0.30267334,0.2814331,0.1178833,184.0
23924,-0.23698366,0.6920686,-0.3334961,0.30267334,0.2814331,0.1178833,184.0
23925,-0.23698366,0.6920686,-0.3334961,0.14761963,0.34090576,0.17947999,184.0
23926,-0.5451289,0.9582572,-0.3059082,0.14761963,0.34090576,0.17947999,184.0
23927,-0.5451289,0.9582572,-0.3059082,0.08496094,0.09451904,0.09770508,184.0
23928,-0.6457345,0.48879814,0.1721344,0.08496094,0.09451904,0.09770508,184.0
23929,-0.6457345,0.48879814,0.1721344,-0.07965088,-0.059472658,-0.0637207,184.0
23930,-0.48881662,-0.11920357,0.48587036,-0.07965088,-0.059472658,-0.0637207,184.0
23931,-0.48881662,-0.11920357,0.48587036,0.0063720704,0.05628662,0.18054199,184.0
23932,-0.520753,0.08697367,0.36161804,0.0063720704,0.05628662,0.18054199,184.0
23933,-0.520753,0.08697367,0.36161804,0.12000733,0.11682129,0.4630371,184.0
23934,-0.96867764,1.0506706,0.1600647,0.12000733,0.11682129,0.4630371,184.0
23935,-0.96867764,1.0506706,0.1600647,0.124255374,0.28461915,0.632959,184.0
23936,-1.7053987,1.5334196,0.20579529,0.124255374,0.28461915,0.632959,184.0
23937,-1.7053987,1.5334196,0.20579529,-0.22514649,0.3982544,0.7688965,184.0
23938,-2.4788454,0.6957178,0.38989258,-0.22514649,0.3982544,0.7688965,184.0
23939,-2.4788454,0.6957178,0.38989258,-0.3536499,-0.023364259,0.6924316,184.0
23940,-2.7513623,-0.41515446,0.61990356,-0.3536499,-0.023364259,0.6924316,184.0
23941,-2.7513623,-0.41515446,0.61990356,0.27399904,-0.85704345,0.26337892,184.0
23942,-1.9877234,-0.5494089,0.82099915,0.27399904,-0.85704345,0.26337892,184.0
23943,-1.9877234,-0.5494089,0.82099915,0.35683593,-1.178833,-0.09664307,184.0
23944,-0.617681,-0.3821659,0.67778015,0.35683593,-1.178833,-0.09664307,184.0
23945,-0.617681,-0.3821659,0.67778015,0.20284425,-1.2956543,-0.13168946,184.0
23946,0.5664022,-0.9047437,0.16993713,0.20284425,-1.2956543,-0.13168946,184.0
23947,0.5664022,-0.9047437,0.16993713,0.86978763,-1.4815063,-0.3069214,184.0
23948,1.4015105,-0.9263344,-0.18405151,0.86978763,-1.4815063,-0.3069214,184.0
23949,1.4015105,-0.9263344,-0.18405151,1.6843506,-1.0662597,-0.5533081,184.0
23950,1.6987964,0.2408781,-0.09666443,1.6843506,-1.0662597,-0.5533081,184.0
23951,1.6987964,0.2408781,-0.09666443,1.3455689,-0.9165161,-0.56817627,184.0
23952,1.5038491,0.7463398,0.091156006,1.3455689,-0.9165161,-0.56817627,184.0
23953,1.5038491,0.7463398,0.091156006,1.4719483,-1.5877075,-0.81243896,184.0
23954,1.8128572,0.23618317,0.16389465,1.4719483,-1.5877075,-0.81243896,184.0
23955,1.8128572,0.23618317,0.16389465,1.814978,-1.7438233,-1.3445069,184.0
23956,2.784673,0.32023287,0.19352722,1.814978,-1.7438233,-1.3445069,184.0
23957,2.784673,0.32023287,0.19352722,1.0630738,-1.6376221,-1.1448487,184.0
23958,3.4006267,0.44960642,-0.12057495,1.0630738,-1.6376221,-1.1448487,184.0
23959,3.4006267,0.44960642,-0.12057495,0.52250975,-2.0571167,-0.4715332,184.0
23960,3.7515683,-0.49684572,-0.7515259,0.52250975,-2.0571167,-0.4715332,184.0
23961,3.7515683,-0.49684572,-0.7515259,1.075818,-1.716211,-0.63826907,184.0
23962,4.0433445,-1.095768,-0.9034729,1.075818,-1.716211,-0.63826907,184.0
23963,4.0433445,-1.095768,-0.9034729,1.9084351,-0.9430664,-0.75615233,184.0
23964,3.7835283,-0.37926292,0.0856781,1.9084351,-0.9430664,-0.75615233,184.0
23965,3.7835283,-0.37926292,0.0856781,1.6131958,-1.2956543,-0.7126099,184.0
23966,3.4364176,0.3376174,1.3356018,1.6131958,-1.2956543,-0.7126099,184.0
23967,3.4364176,0.3376174,1.3356018,1.3784913,-1.5600952,-0.90908206,184.0
23968,3.4608898,0.6031995,1.5947266,1.3784913,-1.5600952,-0.90908206,184.0
23969,3.4608898,0.6031995,1.5947266,1.9222412,-1.178833,-0.8644776,184.0
23970,3.0113387,1.092411,0.98353577,1.9222412,-1.178833,-0.8644776,184.0
23971,3.0113387,1.092411,0.98353577,1.7650635,-0.7784546,-0.2357666,184.0
23972,1.7186413,1.5252838,0.2995453,1.7650635,-0.7784546,-0.2357666,184.0
23973,1.7186413,1.5252838,0.2995453,1.1533448,-0.8262451,0.20284425,184.0
23974,1.062767,0.8321657,0.33676147,1.1533448,-0.8262451,0.20284425,184.0
23975,1.062767,0.8321657,0.33676147,1.1321045,0.023364259,0.5703003,184.0
23976,1.3311462,-0.2958393,1.3514557,1.1321045,0.023364259,0.5703003,184.0
23977,1.3311462,-0.2958393,1.3514557,1.2361816,0.22408448,0.86766356,184.0
23978,0.95721436,-0.44439888,2.0450745,1.2361816,0.22408448,0.86766356,184.0
23979,0.95721436,-0.44439888,2.0450745,1.4177856,0.3058594,0.86766356,184.0
23980,-0.17142296,0.366539,1.4923706,1.4177856,0.3058594,0.86766356,184.0
23981,-0.17142296,0.366539,1.4923706,0.83474123,0.55755615,0.77951664,184.0
23982,-1.1706586,1.2812443,1.0071259,0.83474123,0.55755615,0.77951664,184.0
23983,-1.1706586,1.2812443,1.0071259,-0.42268068,0.1720459,1.273352,184.0
23984,-1.0559115,1.1960039,1.4279785,-0.42268068,0.1720459,1.273352,184.0
23985,-1.0559115,1.1960039,1.4279785,-0.0063720704,0.026550293,1.0736939,184.0
23986,-0.5929222,0.78375626,1.5446472,-0.0063720704,0.026550293,1.0736939,184.0
23987,-0.5929222,0.78375626,1.5446472,0.6552612,0.32391357,0.9600586,184.0
23988,-1.2850676,1.0347929,-0.1762085,0.6552612,0.32391357,0.9600586,184.0
23989,-1.2850676,1.0347929,-0.1762085,0.06159668,0.4078125,1.2160034,184.0
23990,-2.102065,0.5330715,-1.5015717,0.06159668,0.4078125,1.2160034,184.0
23991,-2.102065,0.5330715,-1.5015717,0.2538208,-0.27399904,1.176709,184.0
23992,-2.002697,-1.1889725,0.113220215,0.2538208,-0.27399904,1.176709,184.0
23993,-2.002697,-1.1889725,0.113220215,2.6921997,-0.028674318,1.0195312,184.0
23994,-1.4180636,-1.244525,2.989502,2.6921997,-0.028674318,1.0195312,184.0
23995,-1.4180636,-1.244525,2.989502,2.5647583,0.3971924,-0.12956543,184.0
23996,-1.130044,1.5990944,3.1859589,2.5647583,0.3971924,-0.12956543,184.0
23997,-1.130044,1.5990944,3.1859589,1.088562,-0.21983643,0.20178223,184.0
23998,-1.434907,3.3551302,0.263031,1.088562,-0.21983643,0.20178223,184.0
23999,-1.434907,3.3551302,0.263031,0.5341919,-0.47684327,0.68712157,184.0
24000,-1.4694343,1.3462133,-1.3829956,0.5341919,-0.47684327,0.68712157,184.0
24001,-1.4694343,1.3462133,-1.3829956,1.5781494,-0.6669434,0.44923097,184.0
24002,-0.961668,-0.86808586,-0.91452026,1.5781494,-0.6669434,0.44923097,184.0
24003,-0.961668,-0.86808586,-0.91452026,2.9056642,-0.47896728,-0.1359375,184.0
24004,-0.5282333,0.26184273,0.19667053,2.9056642,-0.47896728,-0.1359375,184.0
24005,-0.5282333,0.26184273,0.19667053,3.347461,-0.32603762,-0.67225343,184.0
24006,-0.2729895,3.151247,1.2506256,3.347461,-0.32603762,-0.67225343,184.0
24007,-0.2729895,3.151247,1.2506256,2.7686646,-0.5692383,-0.32922363,184.0
24008,0.32556581,4.5343647,1.6433563,2.7686646,-0.5692383,-0.32922363,184.0
24009,0.32556581,4.5343647,1.6433563,2.2227905,-0.6265869,-0.18160401,184.0
24010,1.374857,3.566677,1.5245972,2.2227905,-0.6265869,-0.18160401,184.0
24011,1.374857,3.566677,1.5245972,2.0369384,-0.23364258,-0.2081543,184.0
24012,2.583394,1.9642544,2.0585938,2.0369384,-0.23364258,-0.2081543,184.0
24013,2.583394,1.9642544,2.0585938,1.9774659,0.31329346,-0.24744873,184.0
24014,3.4963298,2.0573902,3.262268,1.9774659,0.31329346,-0.24744873,184.0
24015,3.4963298,2.0573902,3.262268,0.22302246,0.6839356,-0.23151855,184.0
24016,1.7987847,3.1874409,2.81633,0.22302246,0.6839356,-0.23151855,184.0
24017,1.7987847,3.1874409,2.81633,-0.14124756,0.42799073,0.58410645,184.0
24018,-1.2430277,1.7576675,1.2816925,-0.14124756,0.42799073,0.58410645,184.0
24019,-1.2430277,1.7576675,1.2816925,-0.1178833,-0.30054933,-0.23895264,184.0
24020,-1.4671273,-0.052960396,0.362854,-0.1178833,-0.30054933,-0.23895264,184.0
24021,-1.4671273,-0.052960396,0.362854,0.45347902,-0.083898924,-0.2782471,184.0
24022,-0.23704433,0.8665552,-0.78196716,0.45347902,-0.083898924,-0.2782471,184.0
24023,-0.23704433,0.8665552,-0.78196716,-0.35471192,-0.026550293,0.4354248,184.0
24024,-0.03207922,1.1015205,-1.7234039,-0.35471192,-0.026550293,0.4354248,184.0
24025,-0.03207922,1.1015205,-1.7234039,-0.5798584,-0.08071289,0.16885987,184.0
24026,-0.17980146,-0.08490944,-1.5879517,-0.5798584,-0.08071289,0.16885987,184.0
24027,-0.17980146,-0.08490944,-1.5879517,0.081774905,0.22727051,0.16036378,184.0
24028,0.18417358,-0.32797432,-0.23085022,0.081774905,0.22727051,0.16036378,184.0
24029,0.18417358,-0.32797432,-0.23085022,-0.5798584,0.36851808,0.13275146,184.0
24030,0.23343468,-0.06572342,0.36053467,-0.5798584,0.36851808,0.13275146,184.0
24031,0.23343468,-0.06572342,0.36053467,-1.2128174,0.5065796,0.54906005,184.0
24032,-0.9434767,-1.0503197,-0.19160461,-1.2128174,0.5065796,0.54906005,184.0
24033,-0.9434767,-1.0503197,-0.19160461,-0.53737795,0.3717041,0.31223145,184.0
24034,-1.6169033,-2.0739355,-0.06736755,-0.53737795,0.3717041,0.31223145,184.0
24035,-1.6169033,-2.0739355,-0.06736755,-0.09451904,0.2177124,-0.010620117,184.0
24036,-0.9572921,-1.0184135,0.34303284,-0.09451904,0.2177124,-0.010620117,184.0
24037,-0.9572921,-1.0184135,0.34303284,-0.3717041,0.14124756,0.23364258,184.0
24038,-0.18556023,0.15305424,0.122787476,-0.3717041,0.14124756,0.23364258,184.0
24039,-0.18556023,0.15305424,0.122787476,-0.7168579,0.16673584,0.22408448,184.0
24040,0.063344,-0.16158962,-0.06718445,-0.7168579,0.16673584,0.22408448,184.0
24041,0.063344,-0.16158962,-0.06718445,-0.38232422,0.1731079,0.1539917,184.0
24042,0.07816553,-0.41866398,-0.13328552,-0.38232422,0.1731079,0.1539917,184.0
24043,0.07816553,-0.41866398,-0.13328552,-0.53100586,0.2793091,0.16248779,184.0
24044,0.25862646,-0.050787926,-0.20594788,-0.53100586,0.2793091,0.16248779,184.0
24045,0.25862646,-0.050787926,-0.20594788,-0.74871826,0.5671143,0.4439209,184.0
24046,0.24382734,-0.031633377,0.28497314,-0.74871826,0.5671143,0.4439209,184.0
24047,0.24382734,-0.031633377,0.28497314,-1.0174073,0.7625244,0.47684327,184.0
24048,-0.18660307,-0.38438797,1.2771912,-1.0174073,0.7625244,0.47684327,184.0
24049,-0.18660307,-0.38438797,1.2771912,-1.4284058,0.59897465,0.45135498,184.0
24050,-0.43170452,-0.48807716,1.0058899,-1.4284058,0.59897465,0.45135498,184.0
24051,-0.43170452,-0.48807716,1.0058899,-2.1983643,0.994043,0.42055663,184.0
24052,-0.78204584,-0.6676836,-0.5786133,-2.1983643,0.994043,0.42055663,184.0
24053,-0.78204584,-0.6676836,-0.5786133,-2.4713013,1.0354614,1.089624,184.0
24054,-1.411623,-1.2739182,-1.523056,-2.4713013,1.0354614,1.089624,184.0
24055,-1.411623,-1.2739182,-1.523056,-1.902063,0.8963379,0.5713623,184.0
24056,-1.5706313,-1.3346739,-1.2700348,-1.902063,0.8963379,0.5713623,184.0
24057,-1.5706313,-1.3346739,-1.2700348,-1.8829468,0.6754395,0.6860596,184.0
24058,-1.1641102,-1.0874414,-0.7154999,-1.8829468,0.6754395,0.6860596,184.0
24059,-1.1641102,-1.0874414,-0.7154999,-2.0146363,0.45454103,0.80394286,184.0
24060,-0.65750885,-1.0237494,-1.5331268,-2.0146363,0.45454103,0.80394286,184.0
24061,-0.65750885,-1.0237494,-1.5331268,-2.1091554,0.90058595,0.8814697,184.0
24062,-0.60070205,-1.1243706,-2.3460236,-2.1091554,0.90058595,0.8814697,184.0
24063,-0.60070205,-1.1243706,-2.3460236,-1.99552,0.8878418,1.183081,184.0
24064,-1.1504102,-1.3627043,-1.6890259,-1.99552,0.8878418,1.183081,184.0
24065,-1.1504102,-1.3627043,-1.6890259,-1.8786987,0.8421753,0.8708496,184.0
24066,-1.9157383,-1.5359154,-0.34996033,-1.8786987,0.8421753,0.8708496,184.0
24067,-1.9157383,-1.5359154,-0.34996033,-2.0549927,0.41312256,1.171399,184.0
24068,-2.245164,-1.9856787,0.34794617,-2.0549927,0.41312256,1.171399,184.0
24069,-2.245164,-1.9856787,0.34794617,-1.5197388,-0.18797608,1.3275146,184.0
24070,-2.409791,-1.495635,-1.4821625,-1.5197388,-0.18797608,1.3275146,184.0
24071,-2.409791,-1.495635,-1.4821625,-1.175647,-1.0673218,1.1374146,184.0
24072,-2.3561897,-0.9295654,-3.9715576,-1.175647,-1.0673218,1.1374146,184.0
24073,-2.3561897,-0.9295654,-3.9715576,-0.14018555,-0.36851808,1.4050416,184.0
24074,-0.9831329,-1.3691158,-3.6395416,-0.14018555,-0.36851808,1.4050416,184.0
24075,-0.9831329,-1.3691158,-3.6395416,-0.64570314,-0.08602295,1.3137085,184.0
24076,0.48475832,-0.79805183,-0.73332214,-0.64570314,-0.08602295,1.3137085,184.0
24077,0.48475832,-0.79805183,-0.73332214,-0.13062744,0.0010620117,2.2100465,184.0
24078,0.9674087,0.57917404,1.8622589,-0.13062744,0.0010620117,2.2100465,184.0
24079,0.9674087,0.57917404,1.8622589,-0.7858887,-0.42905274,1.3455689,184.0
24080,0.9319104,1.710825,1.8116608,-0.7858887,-0.42905274,1.3455689,184.0
24081,0.9319104,1.710825,1.8116608,-0.63826907,-0.09664307,1.893567,184.0
24082,0.47162694,2.1169014,-0.12867737,-0.63826907,-0.09664307,1.893567,184.0
24083,0.47162694,2.1169014,-0.12867737,-0.67437744,0.7083618,2.983191,184.0
24084,-0.27604318,1.4363918,-1.0973663,-0.67437744,0.7083618,2.983191,184.0
24085,-0.27604318,1.4363918,-1.0973663,-0.13062744,1.0418335,2.8642457,184.0
24086,-0.6823336,0.48913956,-0.6793518,-0.13062744,1.0418335,2.8642457,184.0
24087,-0.6823336,0.48913956,-0.6793518,0.08496094,1.3275146,2.7877808,184.0
24088,-0.82456565,0.3061924,-0.28424072,0.08496094,1.3275146,2.7877808,184.0
24089,-0.82456565,0.3061924,-0.28424072,0.31223145,1.6439942,3.0235474,184.0
24090,-1.6560392,0.8796339,-0.12878418,0.31223145,1.6439942,3.0235474,184.0
24091,-1.6560392,0.8796339,-0.12878418,0.4056885,1.8436524,3.432422,184.0
24092,-2.94927,1.7204552,0.41038513,0.4056885,1.8436524,3.432422,184.0
24093,-2.94927,1.7204552,0.41038513,-0.043542482,1.5792115,3.3697631,184.0
24094,-3.9409223,2.5379848,0.96684265,-0.043542482,1.5792115,3.3697631,184.0
24095,-3.9409223,2.5379848,0.96684265,-0.6425171,1.1501588,3.3177247,184.0
24096,-3.9409223,2.5379848,0.96684265,-0.6425171,1.1501588,3.3177247,0.0
24097,-4.7474766,3.1671553,0.7723541,-0.6425171,1.1501588,3.3177247,0.0
24098,-4.7474766,3.1671553,0.7723541,-1.3413209,1.0397094,3.0808961,0.0
24099,-5.4655595,2.9928913,0.19166565,-1.3413209,1.0397094,3.0808961,0.0
24100,-5.4655595,2.9928913,0.19166565,-2.5573242,0.40250245,2.5976808,0.0
24101,-5.548888,1.2997084,-1.0375366,-2.5573242,0.40250245,2.5976808,0.0
24102,-5.548888,1.2997084,-1.0375366,-3.439856,0.32072756,1.808606,0.0
24103,-5.0217276,-1.0047398,-2.8326569,-3.439856,0.32072756,1.808606,0.0
24104,-5.0217276,-1.0047398,-2.8326569,-2.3905885,0.8867798,0.79226077,0.0
24105,-4.539037,-1.347127,-3.7470856,-2.3905885,0.8867798,0.79226077,0.0
24106,-4.539037,-1.347127,-3.7470856,-1.4209718,1.2829102,0.83049315,0.0
24107,-4.373686,0.30741882,-3.2338257,-1.4209718,1.2829102,0.83049315,0.0
24108,-4.373686,0.30741882,-3.2338257,-1.5176147,1.1161743,0.80181885,0.0
24109,-4.249754,1.2854366,-2.1365204,-1.5176147,1.1161743,0.80181885,0.0
24110,-4.249754,1.2854366,-2.1365204,-1.8383423,0.7678345,0.26868898,0.0
24111,-3.7024403,0.5899334,-1.4920502,-1.8383423,0.7678345,0.26868898,0.0
