,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
23341,open,open,open,open,open,open,open
23342,1.8262129,0.22156525,-7.701599,-0.09664307,0.0722168,-0.070092775,146.0
23343,1.4514494,0.17641449,-6.135414,-0.09664307,0.0722168,-0.070092775,146.0
23344,1.4514494,0.17641449,-6.135414,0.19541016,0.022302246,0.07540283,146.0
23345,1.4514494,0.17641449,-6.135414,0.115759276,-0.04141846,0.06796875,146.0
23346,1.1486835,0.1431961,-4.8871765,0.115759276,-0.04141846,0.06796875,146.0
23347,-0.7800884,-1.7475281,3.3115234,0.115759276,-0.04141846,0.06796875,146.0
23348,-0.7800884,-1.7475281,3.3115234,0.07965088,-0.039294433,0.009558106,146.0
23349,-0.5132675,-1.4355621,2.743431,0.07965088,-0.039294433,0.009558106,146.0
23350,-0.5132675,-1.4355621,2.743431,0.098767094,-0.0031860352,-0.009558106,146.0
23351,-0.41906166,-1.2924194,2.3729324,0.098767094,-0.0031860352,-0.009558106,146.0
23352,-0.41906166,-1.2924194,2.3729324,0.16885987,0.0063720704,0.03079834,146.0
23353,-0.41906166,-1.2924194,2.3729324,0.19541016,-0.0063720704,0.04248047,146.0
23354,-0.39295197,-1.1238556,2.0411568,0.19541016,-0.0063720704,0.04248047,146.0
23355,-0.3150816,-0.8013458,1.6988907,0.19541016,-0.0063720704,0.04248047,146.0
23356,-0.3150816,-0.8013458,1.6988907,0.11682129,0.0021240234,0.023364259,146.0
23357,-0.2451191,-0.49041748,1.3690033,0.11682129,0.0021240234,0.023364259,146.0
23358,-0.2451191,-0.49041748,1.3690033,0.032922365,0.028674318,0.027612304,146.0
23359,-0.25238228,-0.39929962,1.0951881,0.032922365,0.028674318,0.027612304,146.0
23360,-0.25238228,-0.39929962,1.0951881,0.032922365,0.008496094,0.0063720704,146.0
23361,-0.2543354,-0.4373932,0.84848785,0.032922365,0.008496094,0.0063720704,146.0
23362,-0.2543354,-0.4373932,0.84848785,0.070092775,-0.03079834,-0.039294433,146.0
23363,-0.1815939,-0.38143158,0.628109,0.070092775,-0.03079834,-0.039294433,146.0
23364,-0.1815939,-0.38143158,0.628109,0.07965088,-0.0361084,-0.03717041,146.0
23365,-0.09757042,-0.21714783,0.48161316,0.07965088,-0.0361084,-0.03717041,146.0
23366,-0.09757042,-0.21714783,0.48161316,0.095581055,0.015930176,-0.014868164,146.0
23367,-0.10028553,-0.11319733,0.393322,0.095581055,0.015930176,-0.014868164,146.0
23368,-0.10028553,-0.11319733,0.393322,0.0998291,0.021240234,0.016992187,146.0
23369,-0.13648987,-0.13127899,0.29878616,0.0998291,0.021240234,0.016992187,146.0
23370,-0.13648987,-0.13127899,0.29878616,0.13381349,-0.012744141,0.004248047,146.0
23371,-0.09718037,-0.09346771,0.2019577,0.13381349,-0.012744141,0.004248047,146.0
23372,-0.09718037,-0.09346771,0.2019577,0.06903076,-0.047790527,-0.035046387,146.0
23373,0.022987366,-0.025245667,0.15240097,0.06903076,-0.047790527,-0.035046387,146.0
23374,0.022987366,-0.025245667,0.15240097,0.0031860352,-0.032922365,-0.06265869,146.0
23375,0.1177063,-0.06334686,0.17092133,0.0031860352,-0.032922365,-0.06265869,146.0
23376,0.1177063,-0.06334686,0.17092133,0.027612304,-0.011682129,-0.07115479,146.0
23377,0.11748028,-0.1693039,0.20493698,0.027612304,-0.011682129,-0.07115479,146.0
23378,0.11748028,-0.1693039,0.20493698,0.13168946,0.021240234,-0.06584473,146.0
23379,0.11748028,-0.1693039,0.20493698,0.18797608,0.046728518,-0.03079834,146.0
23380,0.057338715,-0.2080841,0.18577576,0.18797608,0.046728518,-0.03079834,146.0
23381,-0.0065336227,-0.19730377,0.13165283,0.18797608,0.046728518,-0.03079834,146.0
23382,-0.0065336227,-0.19730377,0.13165283,0.22302246,0.08071289,-0.045666505,146.0
23383,-0.059963226,-0.07589722,0.15722656,0.22302246,0.08071289,-0.045666505,146.0
23384,-0.059963226,-0.07589722,0.15722656,0.1985962,0.11257324,-0.07752686,146.0
23385,-0.050045967,0.11307526,0.26735687,0.1985962,0.11257324,-0.07752686,146.0
23386,-0.050045967,0.11307526,0.26735687,0.1178833,0.098767094,-0.17523193,146.0
23387,0.04229927,0.12784576,0.31550598,0.1178833,0.098767094,-0.17523193,146.0
23388,0.04229927,0.12784576,0.31550598,0.23151855,0.14868164,-0.3525879,146.0
23389,0.04229927,0.12784576,0.31550598,0.33984375,0.0637207,-0.6956177,146.0
23390,0.03424263,0.1507721,0.06188965,0.33984375,0.0637207,-0.6956177,146.0
23391,-0.24313831,0.20037842,-0.030323029,0.33984375,0.0637207,-0.6956177,146.0
