,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
22331,open,open,open,open,open,open,open
22332,1.6997354,-0.5261078,-1.8661346,-1.3296387,0.08071289,-0.20178223,172.0
22333,1.6997354,-0.5261078,-1.8661346,-0.725354,0.2623169,-0.37701416,172.0
22334,1.6997354,-0.5261078,-1.8661346,0.07646485,-0.060534667,-0.32391357,172.0
22335,1.3894026,-0.4267702,-1.4836426,0.07646485,-0.060534667,-0.32391357,172.0
22336,1.1336901,-0.34557915,-1.1799469,0.07646485,-0.060534667,-0.32391357,172.0
22337,1.1336901,-0.34557915,-1.1799469,0.070092775,-0.010620117,-0.2538208,172.0
22338,-0.32039165,-1.0386457,-0.39770508,0.070092775,-0.010620117,-0.2538208,172.0
22339,-0.32039165,-1.0386457,-0.39770508,-0.08496094,-0.03186035,-0.04991455,172.0
22340,-0.32151103,-0.6996536,0.032485962,-0.08496094,-0.03186035,-0.04991455,172.0
22341,-0.32151103,-0.6996536,0.032485962,-0.15611573,0.0063720704,-0.15611573,172.0
22342,-0.4049871,-0.6026058,0.36213684,-0.15611573,0.0063720704,-0.15611573,172.0
22343,-0.4049871,-0.6026058,0.36213684,-0.18691407,-0.0021240234,-0.032922365,172.0
22344,-0.47043753,-0.57092667,0.40849304,-0.18691407,-0.0021240234,-0.032922365,172.0
22345,-0.47043753,-0.57092667,0.40849304,-0.2888672,-0.078588866,-0.06265869,172.0
22346,-0.34431887,-0.527298,0.19999695,-0.2888672,-0.078588866,-0.06265869,172.0
22347,-0.34431887,-0.527298,0.19999695,-0.28674316,-0.10513916,-0.06796875,172.0
22348,-0.0488317,-0.43561935,-0.061447144,-0.28674316,-0.10513916,-0.06796875,172.0
22349,-0.0488317,-0.43561935,-0.061447144,-0.19753419,-0.08602295,-0.14230958,172.0
22350,0.25249958,-0.2852745,-0.18359375,-0.19753419,-0.08602295,-0.14230958,172.0
22351,0.25249958,-0.2852745,-0.18359375,-0.07434082,-0.053100586,-0.17735596,172.0
22352,0.25249958,-0.2852745,-0.18359375,0.009558106,-0.03079834,-0.19541016,172.0
22353,0.44534683,-0.07154274,-0.121536255,0.009558106,-0.03079834,-0.19541016,172.0
22354,0.49540114,0.13850594,0.012435913,0.009558106,-0.03079834,-0.19541016,172.0
22355,0.49540114,0.13850594,0.012435913,0.0021240234,-0.020178223,-0.18691407,172.0
22356,0.39407492,0.15489674,0.10449219,0.0021240234,-0.020178223,-0.18691407,172.0
22357,0.39407492,0.15489674,0.10449219,0.035046387,-0.004248047,-0.10301514,172.0
22358,0.1462903,-0.07837677,0.1648407,0.035046387,-0.004248047,-0.10301514,172.0
22359,0.1462903,-0.07837677,0.1648407,0.12956543,-0.010620117,-0.04885254,172.0
22360,0.1462903,-0.07837677,0.1648407,0.13062744,-0.05522461,-0.06478272,172.0
22361,-0.06164217,-0.2599678,0.22201538,0.13062744,-0.05522461,-0.06478272,172.0
22362,-0.13382292,-0.23329163,0.21179199,0.13062744,-0.05522461,-0.06478272,172.0
22363,-0.13382292,-0.23329163,0.21179199,0.07965088,-0.09133301,-0.06690674,172.0
22364,-0.17685819,-0.11376953,0.14242554,0.07965088,-0.09133301,-0.06690674,172.0
22365,-0.17685819,-0.11376953,0.14242554,0.17629395,-0.058410645,-0.027612304,172.0
22366,-0.21557093,0.031079292,0.13996887,0.17629395,-0.058410645,-0.027612304,172.0
22367,-0.21557093,0.031079292,0.13996887,0.09664307,-0.098767094,-0.008496094,172.0
22368,-0.15561104,0.1138525,0.19252014,0.09664307,-0.098767094,-0.008496094,172.0
22369,-0.15561104,0.1138525,0.19252014,-0.045666505,-0.19116211,-0.06265869,172.0
