,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
19357,open,open,open,open,open,open,open
19358,-0.08227444,0.547205,-0.64930725,0.36851808,0.13062744,-0.24638672,163.0
19359,-0.08227444,0.547205,-0.64930725,-0.09133301,-0.038232423,-0.022302246,163.0
19360,-0.06454992,0.43492126,-0.5195465,-0.09133301,-0.038232423,-0.022302246,163.0
19361,-0.054643154,0.35263824,-0.41319275,-0.09133301,-0.038232423,-0.022302246,163.0
19362,-0.054643154,0.35263824,-0.41319275,-0.025488282,0.019116212,-0.07115479,163.0
19363,1.7988148,-3.098198,-0.18437195,-0.025488282,0.019116212,-0.07115479,163.0
19364,1.7988148,-3.098198,-0.18437195,0.046728518,0.057348635,-0.09664307,163.0
19365,1.4035778,-2.3035698,0.0043182373,0.046728518,0.057348635,-0.09664307,163.0
19366,1.4035778,-2.3035698,0.0043182373,0.05522461,0.0722168,-0.08283692,163.0
19367,1.0545635,-1.6917953,0.24821472,0.05522461,0.0722168,-0.08283692,163.0
19368,1.0545635,-1.6917953,0.24821472,0.026550293,0.0722168,-0.05522461,163.0
19369,0.79526234,-1.2327576,0.33416748,0.026550293,0.0722168,-0.05522461,163.0
19370,0.79526234,-1.2327576,0.33416748,-0.028674318,0.06265869,-0.050976563,163.0
19371,0.6372719,-0.90729904,0.3294525,-0.028674318,0.06265869,-0.050976563,163.0
19372,0.6372719,-0.90729904,0.3294525,-0.078588866,0.02442627,-0.014868164,163.0
19373,0.52883625,-0.6528282,0.29104614,-0.078588866,0.02442627,-0.014868164,163.0
19374,0.52883625,-0.6528282,0.29104614,-0.118945315,0.013806152,0.023364259,163.0
19375,0.41431618,-0.4799652,0.23348999,-0.118945315,0.013806152,0.023364259,163.0
19376,0.41431618,-0.4799652,0.23348999,-0.18479005,-0.012744141,0.11044922,163.0
19377,0.40219307,-0.5822029,0.13735962,-0.18479005,-0.012744141,0.11044922,163.0
19378,0.40219307,-0.5822029,0.13735962,-0.08920898,-0.039294433,0.31966552,163.0
19379,0.40061188,-0.6648598,0.01776123,-0.08920898,-0.039294433,0.31966552,163.0
19380,0.40061188,-0.6648598,0.01776123,-0.115759276,0.059472658,0.26550293,163.0
19381,0.3159485,-0.6099644,-0.09158325,-0.115759276,0.059472658,0.26550293,163.0
19382,0.3159485,-0.6099644,-0.09158325,-0.31860352,0.016992187,0.38975832,163.0
19383,0.29859638,-0.7117386,-0.1634674,-0.31860352,0.016992187,0.38975832,163.0
19384,0.29859638,-0.7117386,-0.1634674,-0.05628662,0.07752686,-0.013806152,163.0
19385,0.30286598,-0.82849693,-0.1353302,-0.05628662,0.07752686,-0.013806152,163.0
19386,0.30286598,-0.82849693,-0.1353302,-0.052038576,0.087084964,0.121069334,163.0
19387,0.2414875,-0.6882744,-0.11784363,-0.052038576,0.087084964,0.121069334,163.0
19388,0.2414875,-0.6882744,-0.11784363,0.0063720704,0.12850343,0.020178223,163.0
19389,0.19155502,-0.4652691,-0.14022827,0.0063720704,0.12850343,0.020178223,163.0
19390,0.19155502,-0.4652691,-0.14022827,-0.13381349,0.1359375,0.0361084,163.0
19391,0.092476845,-0.33799934,-0.09213257,-0.13381349,0.1359375,0.0361084,163.0
19392,0.092476845,-0.33799934,-0.09213257,-0.271875,0.13487549,0.010620117,163.0
19393,0.008991241,-0.43210602,0.014526367,-0.271875,0.13487549,0.010620117,163.0
19394,0.008991241,-0.43210602,0.014526367,-0.13168946,0.1720459,-0.07434082,163.0
