,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
20917,open,open,open,open,open,open,open
20918,-0.8677559,-0.51711273,0.03169632,-0.18691407,0.28674316,0.5256958,148.0
20919,-0.67270803,-0.41693878,0.038661957,-0.18691407,0.28674316,0.5256958,148.0
20920,-0.67270803,-0.41693878,0.038661957,-0.07965088,0.057348635,0.1263794,148.0
20921,1.2112598,-1.6137772,1.4631195,-0.07965088,0.057348635,0.1263794,148.0
20922,1.2112598,-1.6137772,1.4631195,-0.038232423,0.039294433,0.16036378,148.0
20923,1.06465,-1.5000191,1.1239624,-0.038232423,0.039294433,0.16036378,148.0
20924,1.06465,-1.5000191,1.1239624,-0.020178223,0.027612304,0.18903808,148.0
20925,0.9436269,-1.2643471,0.97968674,-0.020178223,0.027612304,0.18903808,148.0
20926,0.9436269,-1.2643471,0.97968674,-0.03717041,0.0180542,0.22089843,148.0
20927,0.9436269,-1.2643471,0.97968674,-0.052038576,0.014868164,0.23258057,148.0
20928,0.85007954,-1.0074883,0.86372757,-0.052038576,0.014868164,0.23258057,148.0
20929,0.79192877,-0.8409653,0.75736237,-0.052038576,0.014868164,0.23258057,148.0
20930,0.79192877,-0.8409653,0.75736237,-0.038232423,0.0180542,0.24532472,148.0
20931,0.72891665,-0.69607544,0.635746,-0.038232423,0.0180542,0.24532472,148.0
20932,0.72891665,-0.69607544,0.635746,-0.052038576,0.028674318,0.22727051,148.0
20933,0.651505,-0.46412277,0.5215454,-0.052038576,0.028674318,0.22727051,148.0
20934,0.651505,-0.46412277,0.5215454,-0.10089111,0.028674318,0.20284425,148.0
20935,0.6066289,-0.2739334,0.4492073,-0.10089111,0.028674318,0.20284425,148.0
20936,0.6066289,-0.2739334,0.4492073,-0.1444336,0.04460449,0.19222413,148.0
20937,0.5722413,-0.2513237,0.42009354,-0.1444336,0.04460449,0.19222413,148.0
20938,0.5722413,-0.2513237,0.42009354,-0.16567384,0.07434082,0.16885987,148.0
20939,0.48247528,-0.3321228,0.4001999,-0.16567384,0.07434082,0.16885987,148.0
20940,0.48247528,-0.3321228,0.4001999,-0.11682129,0.081774905,0.14230958,148.0
20941,0.39564848,-0.37060547,0.36863327,-0.11682129,0.081774905,0.14230958,148.0
20942,0.39564848,-0.37060547,0.36863327,-0.070092775,0.08814698,0.14549561,148.0
