,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
19832,open,open,open,open,open,open,open
19833,0.04503405,0.8216952,-0.5131828,-0.84748536,0.06478272,-0.3154175,139.0
19834,0.036039412,0.65213156,-0.41297546,-0.84748536,0.06478272,-0.3154175,139.0
19835,0.036039412,0.65213156,-0.41297546,0.007434082,-0.038232423,0.06584473,139.0
19836,0.024888694,0.51153684,-0.3361665,0.007434082,-0.038232423,0.06584473,139.0
19837,0.024888694,0.51153684,-0.3361665,0.0541626,-0.07327881,0.06159668,139.0
19838,1.4644667,2.7648935,0.31435537,0.0541626,-0.07327881,0.06159668,139.0
19839,1.4644667,2.7648935,0.31435537,0.004248047,-0.0541626,0.046728518,139.0
19840,1.4644667,2.7648935,0.31435537,0.070092775,-0.052038576,0.05522461,139.0
19841,1.1651403,2.298121,0.18124506,0.070092775,-0.052038576,0.05522461,139.0
19842,0.9099443,1.9028034,0.303956,0.070092775,-0.052038576,0.05522461,139.0
19843,0.9099443,1.9028034,0.303956,-0.060534667,-0.038232423,0.10089111,139.0
19844,0.76827526,1.5860367,0.3924812,-0.060534667,-0.038232423,0.10089111,139.0
19845,0.76827526,1.5860367,0.3924812,-0.0361084,-0.06796875,0.15930176,139.0
19846,0.735836,1.3091736,0.2971881,-0.0361084,-0.06796875,0.15930176,139.0
19847,0.735836,1.3091736,0.2971881,-0.22939454,-0.12956543,-0.2262085,139.0
19848,0.6187959,1.0955443,0.112689435,-0.22939454,-0.12956543,-0.2262085,139.0
19849,0.6187959,1.0955443,0.112689435,-0.29948732,-0.06796875,-0.010620117,139.0
19850,-1.8503491,-2.4974048,-0.8960545,-0.29948732,-0.06796875,-0.010620117,139.0
19851,-1.8503491,-2.4974048,-0.8960545,-0.16885987,-0.14868164,-0.06584473,139.0
19852,-1.50296,-2.1785636,-0.60406286,-0.16885987,-0.14868164,-0.06584473,139.0
19853,-1.50296,-2.1785636,-0.60406286,-0.060534667,-0.18691407,-0.08814698,139.0
19854,-1.2376951,-1.8413249,-0.3317,-0.060534667,-0.18691407,-0.08814698,139.0
19855,-1.2376951,-1.8413249,-0.3317,-0.11044922,-0.20496826,-0.08071289,139.0
19856,-1.0519847,-1.4108896,-0.23596546,-0.11044922,-0.20496826,-0.08071289,139.0
19857,-1.0519847,-1.4108896,-0.23596546,-0.1359375,-0.23151855,-0.081774905,139.0
19858,-0.94421226,-0.9205086,-0.31214884,-0.1359375,-0.23151855,-0.081774905,139.0
19859,-0.94421226,-0.9205086,-0.31214884,-0.22196046,-0.26444092,-0.10407715,139.0
19860,-0.857677,-0.57272285,-0.36863998,-0.22196046,-0.26444092,-0.10407715,139.0
19861,-0.857677,-0.57272285,-0.36863998,-0.23045655,-0.2824951,-0.1178833,139.0
19862,-0.7424282,-0.53894,-0.2864525,-0.23045655,-0.2824951,-0.1178833,139.0
19863,-0.7424282,-0.53894,-0.2864525,-0.17416993,-0.32178956,-0.10938721,139.0
19864,-0.61338836,-0.6061398,-0.15162295,-0.17416993,-0.32178956,-0.10938721,139.0
19865,-0.61338836,-0.6061398,-0.15162295,-0.15823975,-0.35152587,-0.1178833,139.0
19866,-0.52689236,-0.56298804,-0.057504416,-0.15823975,-0.35152587,-0.1178833,139.0
19867,-0.52689236,-0.56298804,-0.057504416,-0.13699952,-0.38338622,-0.13062744,139.0
19868,-0.45393577,-0.46762678,0.0182909,-0.13699952,-0.38338622,-0.13062744,139.0
19869,-0.45393577,-0.46762678,0.0182909,-0.124255374,-0.37595215,-0.1539917,139.0
19870,-0.32566082,-0.47884998,0.11621963,-0.124255374,-0.37595215,-0.1539917,139.0
19871,-0.32566082,-0.47884998,0.11621963,-0.10089111,-0.362146,-0.1539917,139.0
19872,-0.20072642,-0.51635635,0.15626916,-0.10089111,-0.362146,-0.1539917,139.0
19873,-0.20072642,-0.51635635,0.15626916,-0.11257324,-0.33984375,-0.15823975,139.0
19874,-0.15385509,-0.42363197,0.07077949,-0.11257324,-0.33984375,-0.15823975,139.0
19875,-0.15385509,-0.42363197,0.07077949,-0.1731079,-0.32285157,-0.1539917,139.0
19876,-0.18079889,-0.20832697,-0.100383244,-0.1731079,-0.32285157,-0.1539917,139.0
19877,-0.18079889,-0.20832697,-0.100383244,-0.25063476,-0.31860352,-0.1444336,139.0
19878,-0.22680464,0.021460995,-0.26370502,-0.25063476,-0.31860352,-0.1444336,139.0
19879,-0.22680464,0.021460995,-0.26370502,-0.35471192,-0.3536499,-0.15611573,139.0
19880,-0.2645492,0.13356285,-0.3527487,-0.35471192,-0.3536499,-0.15611573,139.0
19881,-0.2645492,0.13356285,-0.3527487,-0.43117675,-0.39188233,-0.18903808,139.0
19882,-0.25274044,0.1239035,-0.3713469,-0.43117675,-0.39188233,-0.18903808,139.0
19883,-0.25274044,0.1239035,-0.3713469,-0.51826173,-0.43967286,-0.20921631,139.0
19884,-0.22101563,0.054872304,-0.32621568,-0.51826173,-0.43967286,-0.20921631,139.0
19885,-0.22101563,0.054872304,-0.32621568,-0.5522461,-0.4630371,-0.22514649,139.0
19886,-0.1577695,-0.17899035,-0.1935165,-0.5522461,-0.4630371,-0.22514649,139.0
19887,-0.1577695,-0.17899035,-0.1935165,-0.45135498,-0.4609131,-0.19434814,139.0
19888,-0.08511448,-0.46168593,-0.0636999,-0.45135498,-0.4609131,-0.19434814,139.0
19889,-0.08511448,-0.46168593,-0.0636999,-0.33240968,-0.50445557,-0.15186767,139.0
19890,-0.029944658,-0.48115295,-0.06604782,-0.33240968,-0.50445557,-0.15186767,139.0
19891,-0.029944658,-0.48115295,-0.06604782,-0.30479738,-0.51188964,-0.18054199,139.0
19892,0.04254818,-0.31304735,-0.16210341,-0.30479738,-0.51188964,-0.18054199,139.0
19893,0.04254818,-0.31304735,-0.16210341,-0.32285157,-0.53100586,-0.18903808,139.0
19894,0.098662555,-0.19081879,-0.21750015,-0.32285157,-0.53100586,-0.18903808,139.0
19895,0.098662555,-0.19081879,-0.21750015,-0.3802002,-0.53950197,-0.20178223,139.0
19896,0.12674499,-0.18612671,-0.13686633,-0.3802002,-0.53950197,-0.20178223,139.0
19897,0.12674499,-0.18612671,-0.13686633,-0.42055663,-0.5511841,-0.20603028,139.0
19898,0.1835249,-0.28009033,0.082157314,-0.42055663,-0.5511841,-0.20603028,139.0
19899,0.1835249,-0.28009033,0.082157314,-0.39613038,-0.5501221,-0.21027832,139.0
19900,0.28837264,-0.34661865,0.3317537,-0.39613038,-0.5501221,-0.21027832,139.0
19901,0.28837264,-0.34661865,0.3317537,-0.3971924,-0.55968016,-0.23151855,139.0
19902,0.39313707,-0.22615963,0.5527321,-0.3971924,-0.55968016,-0.23151855,139.0
19903,0.39313707,-0.22615963,0.5527321,-0.5129517,-0.53737795,-0.2824951,139.0
19904,0.5076615,0.12872803,0.792027,-0.5129517,-0.53737795,-0.2824951,139.0
19905,0.5076615,0.12872803,0.792027,-0.92076415,-0.42268068,-0.32178956,139.0
