,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
22955,open,open,open,open,open,open,open
22956,0.81416464,-3.042282,-6.7291603,-0.16354981,-0.098767094,-0.038232423,160.0
22957,0.63537693,-2.4587631,-5.395672,-0.16354981,-0.098767094,-0.038232423,160.0
22958,0.63537693,-2.4587631,-5.395672,-0.16885987,0.039294433,0.1083252,160.0
22959,0.48940516,-1.9927216,-4.3282585,-0.16885987,0.039294433,0.1083252,160.0
22960,0.48940516,-1.9927216,-4.3282585,-0.1731079,0.059472658,0.11469727,160.0
22961,-0.38013124,0.17503357,3.57156,-0.1731079,0.059472658,0.11469727,160.0
22962,-0.38013124,0.17503357,3.57156,-0.17947999,0.098767094,0.13806152,160.0
22963,-0.36185646,0.105033875,2.8706512,-0.17947999,0.098767094,0.13806152,160.0
22964,-0.36185646,0.105033875,2.8706512,-0.17735596,0.11044922,0.13912354,160.0
22965,-0.37836456,0.0012283325,2.5010529,-0.17735596,0.11044922,0.13912354,160.0
22966,-0.37836456,0.0012283325,2.5010529,-0.16036378,0.15611573,0.13912354,160.0
22967,-0.34819937,-0.031303406,2.072815,-0.16036378,0.15611573,0.13912354,160.0
22968,-0.34819937,-0.031303406,2.072815,-0.15611573,0.1709839,0.13806152,160.0
22969,-0.34987307,-0.041030884,1.8207283,-0.15611573,0.1709839,0.13806152,160.0
22970,-0.34987307,-0.041030884,1.8207283,-0.17416993,0.18160401,0.15611573,160.0
22971,-0.3176794,-0.05995941,1.4738464,-0.17416993,0.18160401,0.15611573,160.0
22972,-0.3176794,-0.05995941,1.4738464,-0.16885987,0.18160401,0.16354981,160.0
22973,-0.3176794,-0.05995941,1.4738464,-0.13275146,0.18691407,0.19222413,160.0
22974,-0.2638359,-0.114997864,1.252636,-0.13275146,0.18691407,0.19222413,160.0
22975,-0.24411345,-0.13788605,1.034996,-0.13275146,0.18691407,0.19222413,160.0
22976,-0.24411345,-0.13788605,1.034996,-0.124255374,0.18691407,0.18585205,160.0
22977,-0.2780547,-0.18832397,0.9008255,-0.124255374,0.18691407,0.18585205,160.0
22978,-0.2780547,-0.18832397,0.9008255,-0.08814698,0.1731079,0.20284425,160.0
22979,-0.28076887,-0.1927948,0.717083,-0.08814698,0.1731079,0.20284425,160.0
22980,-0.28076887,-0.1927948,0.717083,-0.090270996,0.16461182,0.19434814,160.0
22981,-0.28076887,-0.1927948,0.717083,-0.070092775,0.16248779,0.18372802,160.0
22982,-0.25109196,-0.19725037,0.5794754,-0.070092775,0.16248779,0.18372802,160.0
22983,-0.23526096,-0.124069214,0.48127747,-0.070092775,0.16248779,0.18372802,160.0
22984,-0.23526096,-0.124069214,0.48127747,-0.098767094,0.1529297,0.19647217,160.0
22985,-0.27744198,-0.044456482,0.34851074,-0.098767094,0.1529297,0.19647217,160.0
22986,-0.27744198,-0.044456482,0.34851074,-0.17629395,0.1444336,0.2177124,160.0
22987,-0.3657403,-0.07347107,0.12706375,-0.17629395,0.1444336,0.2177124,160.0
22988,-0.3657403,-0.07347107,0.12706375,-0.21027832,0.13275146,0.23895264,160.0
22989,-0.39889097,-0.1891861,-0.07038498,-0.21027832,0.13275146,0.23895264,160.0
22990,-0.39889097,-0.1891861,-0.07038498,-0.17523193,0.12000733,0.26019287,160.0
22991,-0.2776699,-0.26720428,-0.09408951,-0.17523193,0.12000733,0.26019287,160.0
22992,-0.2776699,-0.26720428,-0.09408951,-0.107263185,0.14655761,0.28355715,160.0
22993,-0.14303446,-0.20570374,0.046409607,-0.107263185,0.14655761,0.28355715,160.0
22994,-0.14303446,-0.20570374,0.046409607,-0.09451904,0.16992188,0.3090454,160.0
22995,-0.18307972,-0.113204956,0.10509491,-0.09451904,0.16992188,0.3090454,160.0
22996,-0.18307972,-0.113204956,0.10509491,-0.16992188,0.18160401,0.3451538,160.0
22997,-0.3831339,-0.114601135,-0.025886536,-0.16992188,0.18160401,0.3451538,160.0
22998,-0.3831339,-0.114601135,-0.025886536,-0.23364258,0.18372802,0.3802002,160.0
22999,-0.3831339,-0.114601135,-0.025886536,-0.22514649,0.18160401,0.39506838,160.0
