,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
26418,open,open,open,open,open,open,open
26419,0.025511742,0.021453857,0.48378754,0.039294433,-0.057348635,0.053100586,163.0
26420,0.025511742,0.021453857,0.48378754,0.19753419,0.0,0.16673584,163.0
26421,0.02363205,0.01802063,0.39056778,0.19753419,0.0,0.16673584,163.0
26422,0.02363205,0.01802063,0.39056778,-0.0021240234,-0.0637207,0.0031860352,163.0
26423,0.020492554,0.014724731,0.31513977,-0.0021240234,-0.0637207,0.0031860352,163.0
26424,0.020492554,0.014724731,0.31513977,-0.0053100586,-0.043542482,-0.0053100586,163.0
26425,2.7749262,1.5402489,0.2956276,-0.0053100586,-0.043542482,-0.0053100586,163.0
26426,2.7749262,1.5402489,0.2956276,-0.013806152,-0.020178223,-0.0180542,163.0
26427,2.2222366,1.254219,0.12834549,-0.013806152,-0.020178223,-0.0180542,163.0
26428,2.2222366,1.254219,0.12834549,-0.029736329,-0.007434082,-0.023364259,163.0
26429,1.7624702,0.96097946,0.1316452,-0.029736329,-0.007434082,-0.023364259,163.0
26430,1.7624702,0.96097946,0.1316452,-0.020178223,-0.0031860352,-0.014868164,163.0
26431,1.3869905,0.680954,0.14896774,-0.020178223,-0.0031860352,-0.014868164,163.0
26432,1.3869905,0.680954,0.14896774,0.022302246,-0.0063720704,-0.004248047,163.0
26433,1.1008768,0.5004616,0.12201691,0.022302246,-0.0063720704,-0.004248047,163.0
26434,1.1008768,0.5004616,0.12201691,0.026550293,-0.015930176,0.008496094,163.0
26435,0.8956423,0.43645477,0.07258606,0.026550293,-0.015930176,0.008496094,163.0
26436,0.8956423,0.43645477,0.07258606,0.0031860352,-0.013806152,0.011682129,163.0
26437,0.7538185,0.41531372,0.031921387,0.0031860352,-0.013806152,0.011682129,163.0
26438,0.7538185,0.41531372,0.031921387,-0.011682129,-0.012744141,0.004248047,163.0
26439,0.63164425,0.37101746,0.008396149,-0.011682129,-0.012744141,0.004248047,163.0
26440,0.63164425,0.37101746,0.008396149,-0.023364259,-0.0053100586,-0.0010620117,163.0
26441,0.5252371,0.30108643,-0.013595581,-0.023364259,-0.0053100586,-0.0010620117,163.0
26442,0.5252371,0.30108643,-0.013595581,0.0063720704,-0.008496094,-0.0053100586,163.0
26443,0.420434,0.22603607,-0.01802063,0.0063720704,-0.008496094,-0.0053100586,163.0
26444,0.420434,0.22603607,-0.01802063,0.019116212,-0.0180542,-0.010620117,163.0
