,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
27385,open,open,open,open,open,open,open
27386,-0.012675762,-0.099998474,0.13083649,-0.058410645,-0.011682129,-0.04248047,158.0
27387,-0.013973713,-0.07467651,0.10549927,-0.058410645,-0.011682129,-0.04248047,158.0
27388,-0.013973713,-0.07467651,0.10549927,-0.047790527,-0.03079834,-0.0021240234,158.0
27389,-0.016122818,-0.055236816,0.08453369,-0.047790527,-0.03079834,-0.0021240234,158.0
27390,-0.016122818,-0.055236816,0.08453369,-0.040356446,-0.039294433,-0.008496094,158.0
27391,0.65857387,1.9223785,0.026683807,-0.040356446,-0.039294433,-0.008496094,158.0
27392,0.65857387,1.9223785,0.026683807,-0.053100586,-0.016992187,-0.021240234,158.0
27393,0.51708126,1.5289078,-0.005886078,-0.053100586,-0.016992187,-0.021240234,158.0
27394,0.51708126,1.5289078,-0.005886078,-0.081774905,-0.013806152,-0.04248047,158.0
27395,0.41278613,1.2014084,0.07551575,-0.081774905,-0.013806152,-0.04248047,158.0
27396,0.41278613,1.2014084,0.07551575,-0.09239502,-0.028674318,-0.04141846,158.0
27397,0.41278613,1.2014084,0.07551575,-0.08920898,-0.04141846,-0.026550293,158.0
27398,0.34303403,0.9426117,0.15900803,-0.08920898,-0.04141846,-0.026550293,158.0
27399,0.30332124,0.7385483,0.17210388,-0.08920898,-0.04141846,-0.026550293,158.0
27400,0.30332124,0.7385483,0.17210388,-0.08496094,-0.033984374,-0.023364259,158.0
27401,0.24719799,0.57681274,0.12501144,-0.08496094,-0.033984374,-0.023364259,158.0
27402,0.24719799,0.57681274,0.12501144,-0.06265869,-0.016992187,-0.026550293,158.0
27403,0.18896937,0.45597076,0.09446716,-0.06265869,-0.016992187,-0.026550293,158.0
27404,0.18896937,0.45597076,0.09446716,-0.04248047,-0.0063720704,-0.03079834,158.0
27405,0.15840209,0.37948608,0.09209061,-0.04248047,-0.0063720704,-0.03079834,158.0
27406,0.15840209,0.37948608,0.09209061,-0.026550293,0.0021240234,-0.020178223,158.0
27407,0.1458745,0.3287735,0.07077026,-0.026550293,0.0021240234,-0.020178223,158.0
27408,0.1458745,0.3287735,0.07077026,-0.027612304,0.0021240234,-0.015930176,158.0
27409,0.12819862,0.27546692,0.030200958,-0.027612304,0.0021240234,-0.015930176,158.0
27410,0.12819862,0.27546692,0.030200958,-0.016992187,0.0021240234,-0.013806152,158.0
27411,0.09489286,0.20505524,0.016494751,-0.016992187,0.0021240234,-0.013806152,158.0
27412,0.09489286,0.20505524,0.016494751,-0.0063720704,0.0,-0.011682129,158.0
27413,0.09489286,0.20505524,0.016494751,-0.007434082,0.0053100586,-0.012744141,158.0
27414,0.056761384,0.16403961,0.028514862,-0.007434082,0.0053100586,-0.012744141,158.0
27415,0.026988745,0.1618805,0.034553528,-0.007434082,0.0053100586,-0.012744141,158.0
27416,0.026988745,0.1618805,0.034553528,-0.0180542,0.007434082,-0.016992187,158.0
27417,0.016354203,0.15130615,0.033416748,-0.0180542,0.007434082,-0.016992187,158.0
27418,0.016354203,0.15130615,0.033416748,-0.032922365,0.019116212,-0.0180542,158.0
27419,0.0251683,0.1056366,0.018310547,-0.032922365,0.019116212,-0.0180542,158.0
27420,0.0251683,0.1056366,0.018310547,-0.03717041,0.03079834,-0.009558106,158.0
27421,0.0251683,0.1056366,0.018310547,-0.0361084,0.023364259,-0.010620117,158.0
27422,0.004949093,0.053634644,-0.0016365051,-0.0361084,0.023364259,-0.010620117,158.0
27423,-0.023897171,0.032798767,-0.02658081,-0.0361084,0.023364259,-0.010620117,158.0
27424,-0.023897171,0.032798767,-0.02658081,-0.019116212,0.014868164,-0.008496094,158.0
27425,-0.021009803,0.012588501,-0.06747055,-0.019116212,0.014868164,-0.008496094,158.0
27426,-0.021009803,0.012588501,-0.06747055,0.007434082,-0.004248047,0.016992187,158.0
27427,-0.005125761,0.011062622,-0.114170074,0.007434082,-0.004248047,0.016992187,158.0
27428,-0.005125761,0.011062622,-0.114170074,0.025488282,-0.028674318,0.043542482,158.0
27429,0.01641941,0.04158783,-0.11366272,0.025488282,-0.028674318,0.043542482,158.0
27430,0.01641941,0.04158783,-0.11366272,-0.0021240234,-0.058410645,0.070092775,158.0
27431,0.02992022,0.060195923,-0.053100586,-0.0021240234,-0.058410645,0.070092775,158.0
27432,0.02992022,0.060195923,-0.053100586,-0.08283692,-0.09239502,0.06796875,158.0
27433,0.050230026,-0.011962891,0.03918457,-0.08283692,-0.09239502,0.06796875,158.0
27434,0.050230026,-0.011962891,0.03918457,-0.118945315,-0.10407715,0.010620117,158.0
27435,0.11890721,-0.15307617,0.08841324,-0.118945315,-0.10407715,0.010620117,158.0
27436,0.11890721,-0.15307617,0.08841324,-0.04141846,-0.052038576,-0.07115479,158.0
27437,0.071566224,-0.068618774,0.102882385,-0.04141846,-0.052038576,-0.07115479,158.0
