,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
22947,open,open,open,open,open,open,open
22948,0.118450165,-0.04901886,0.039402008,-0.57242435,0.14974366,-0.22089843,169.0
22949,0.075107574,0.027542114,0.013320923,-0.57242435,0.14974366,-0.22089843,169.0
22950,0.075107574,0.027542114,0.013320923,-0.14549561,0.045666505,0.4056885,169.0
22951,1.2240143,-0.55036926,-0.514328,-0.14549561,0.045666505,0.4056885,169.0
22952,1.2240143,-0.55036926,-0.514328,-0.059472658,-0.04885254,0.46409914,169.0
22953,1.0437622,-0.5187149,-0.34715652,-0.059472658,-0.04885254,0.46409914,169.0
22954,1.0437622,-0.5187149,-0.34715652,0.010620117,-0.115759276,0.64995116,169.0
22955,0.7598505,-0.33718872,-0.23471832,0.010620117,-0.115759276,0.64995116,169.0
22956,0.7598505,-0.33718872,-0.23471832,-0.2262085,0.019116212,0.44073486,169.0
22957,0.7598505,-0.33718872,-0.23471832,-0.21877442,0.016992187,0.47896728,169.0
22958,0.497859,-0.13289642,-0.19273376,-0.21877442,0.016992187,0.47896728,169.0
22959,0.36005497,-0.017913818,-0.19110107,-0.21877442,0.016992187,0.47896728,169.0
22960,0.36005497,-0.017913818,-0.19110107,-0.16885987,-0.015930176,0.4991455,169.0
22961,0.23794651,0.10965729,-0.20007324,-0.16885987,-0.015930176,0.4991455,169.0
22962,0.23794651,0.10965729,-0.20007324,-0.1985962,0.012744141,0.43754885,169.0
22963,0.17310905,0.12710571,-0.18901443,-0.1985962,0.012744141,0.43754885,169.0
22964,0.17310905,0.12710571,-0.18901443,-0.18585205,0.011682129,0.4088745,169.0
22965,0.099803925,0.0969162,-0.12332916,-0.18585205,0.011682129,0.4088745,169.0
22966,0.099803925,0.0969162,-0.12332916,-0.10301514,-0.02442627,0.362146,169.0
22967,0.053756714,0.17003632,-0.05921173,-0.10301514,-0.02442627,0.362146,169.0
22968,0.053756714,0.17003632,-0.05921173,-0.118945315,-0.004248047,0.35895997,169.0
22969,0.07469559,0.19062805,-0.022918701,-0.118945315,-0.004248047,0.35895997,169.0
22970,0.07469559,0.19062805,-0.022918701,-0.08920898,-0.014868164,0.35577393,169.0
22971,0.12037659,0.06587219,-0.031772614,-0.08920898,-0.014868164,0.35577393,169.0
22972,0.12037659,0.06587219,-0.031772614,-0.10301514,-0.010620117,0.30161133,169.0
22973,0.12854004,-0.05934143,-0.09803772,-0.10301514,-0.010620117,0.30161133,169.0
22974,0.12854004,-0.05934143,-0.09803772,-0.115759276,-0.007434082,0.25700685,169.0
22975,0.04635048,-0.12703705,-0.14548492,-0.115759276,-0.007434082,0.25700685,169.0
22976,0.04635048,-0.12703705,-0.14548492,-0.05522461,-0.04460449,0.26762697,169.0
22977,-0.103422165,-0.10309601,-0.08861923,-0.05522461,-0.04460449,0.26762697,169.0
22978,-0.103422165,-0.10309601,-0.08861923,0.033984374,-0.11363526,0.30161133,169.0
22979,-0.18525219,0.05696106,0.02619934,0.033984374,-0.11363526,0.30161133,169.0
22980,-0.18525219,0.05696106,0.02619934,-0.043542482,-0.08071289,0.34833986,169.0
22981,-0.15863895,0.12778473,0.1836052,-0.043542482,-0.08071289,0.34833986,169.0
22982,-0.15863895,0.12778473,0.1836052,0.03186035,-0.13168946,0.2623169,169.0
22983,-0.15863895,0.12778473,0.1836052,-0.028674318,-0.078588866,0.28568116,169.0
22984,-0.06968498,0.06336975,0.27062607,-0.028674318,-0.078588866,0.28568116,169.0
22985,0.12002087,-0.0949707,0.1798935,-0.028674318,-0.078588866,0.28568116,169.0
22986,0.12002087,-0.0949707,0.1798935,-0.121069334,-0.045666505,-0.0021240234,169.0
22987,0.21711063,-0.28094482,0.06224823,-0.121069334,-0.045666505,-0.0021240234,169.0
22988,0.21711063,-0.28094482,0.06224823,-0.12213135,0.019116212,-0.0063720704,169.0
22989,0.07052708,-0.18650055,0.021282196,-0.12213135,0.019116212,-0.0063720704,169.0
22990,0.07052708,-0.18650055,0.021282196,-0.008496094,-0.022302246,-0.07965088,169.0
22991,0.07052708,-0.18650055,0.021282196,-0.08283692,0.03717041,-0.098767094,169.0
22992,-0.035949707,0.07282257,-0.014259338,-0.08283692,0.03717041,-0.098767094,169.0
22993,-0.010473251,0.19611359,-0.088127136,-0.08283692,0.03717041,-0.098767094,169.0
22994,-0.010473251,0.19611359,-0.088127136,-0.118945315,0.08602295,-0.14974366,169.0
22995,-0.004081726,0.08506775,-0.16211319,-0.118945315,0.08602295,-0.14974366,169.0
22996,-0.004081726,0.08506775,-0.16211319,-0.06903076,0.08283692,-0.18585205,169.0
22997,-0.01651001,-0.08081055,-0.20895004,-0.06903076,0.08283692,-0.18585205,169.0
22998,-0.01651001,-0.08081055,-0.20895004,-0.020178223,0.08814698,-0.22196046,169.0
22999,-0.01651001,-0.08081055,-0.20895004,0.047790527,0.06690674,-0.26762697,169.0
23000,0.004968643,-0.18650818,-0.21169281,0.047790527,0.06690674,-0.26762697,169.0
23001,0.074165344,-0.17752838,-0.19039917,0.047790527,0.06690674,-0.26762697,169.0
23002,0.074165344,-0.17752838,-0.19039917,0.0637207,0.052038576,-0.35895997,169.0
23003,0.19074059,-0.10033417,-0.15058517,0.0637207,0.052038576,-0.35895997,169.0
23004,0.19074059,-0.10033417,-0.15058517,0.027612304,0.045666505,-0.4630371,169.0
23005,0.3258953,-0.09831238,-0.06348419,0.027612304,0.045666505,-0.4630371,169.0
23006,0.3258953,-0.09831238,-0.06348419,0.03186035,0.035046387,-0.55543214,169.0
23007,0.43019867,-0.1980133,0.057746887,0.03186035,0.035046387,-0.55543214,169.0
23008,0.43019867,-0.1980133,0.057746887,-0.004248047,0.053100586,-0.61915284,169.0
23009,0.43019867,-0.1980133,0.057746887,-0.10195313,0.095581055,-0.69136965,169.0
23010,0.4538021,-0.29585266,0.11096573,-0.10195313,0.095581055,-0.69136965,169.0
23011,0.37061024,-0.30870056,0.04735565,-0.10195313,0.095581055,-0.69136965,169.0
23012,0.37061024,-0.30870056,0.04735565,-0.18797608,0.10513916,-0.76464844,169.0
23013,0.27013302,-0.28914642,-0.07738495,-0.18797608,0.10513916,-0.76464844,169.0
23014,0.27013302,-0.28914642,-0.07738495,-0.22939454,0.1263794,-0.8050049,169.0
23015,0.19194794,-0.33263397,-0.1763382,-0.22939454,0.1263794,-0.8050049,169.0
23016,0.19194794,-0.33263397,-0.1763382,-0.21027832,0.1083252,-0.813501,169.0
23017,0.12298012,-0.3411789,-0.2060852,-0.21027832,0.1083252,-0.813501,169.0
23018,0.12298012,-0.3411789,-0.2060852,-0.1901001,0.093457036,-0.815625,169.0
23019,0.07646084,-0.23080444,-0.21773529,-0.1901001,0.093457036,-0.815625,169.0
23020,0.07646084,-0.23080444,-0.21773529,-0.23045655,0.07646485,-0.81031495,169.0
23021,0.07026291,-0.14234924,-0.23815155,-0.23045655,0.07646485,-0.81031495,169.0
23022,0.07026291,-0.14234924,-0.23815155,-0.26975098,0.052038576,-0.8007569,169.0
23023,0.0542202,-0.2295456,-0.2482605,-0.26975098,0.052038576,-0.8007569,169.0
23024,0.0542202,-0.2295456,-0.2482605,-0.2442627,0.0053100586,-0.81881106,169.0
23025,0.054533005,-0.46240997,-0.18429184,-0.2442627,0.0053100586,-0.81881106,169.0
23026,0.054533005,-0.46240997,-0.18429184,-0.10513916,-0.06690674,-0.8687256,169.0
23027,0.14043999,-0.61221313,0.010025024,-0.10513916,-0.06690674,-0.8687256,169.0
23028,0.14043999,-0.61221313,0.010025024,0.0031860352,-0.1263794,-0.8952759,169.0
23029,0.261034,-0.50975037,0.24359131,0.0031860352,-0.1263794,-0.8952759,169.0
23030,0.261034,-0.50975037,0.24359131,-0.022302246,-0.12213135,-0.8931519,169.0
23031,0.36986256,-0.33277893,0.3563118,-0.022302246,-0.12213135,-0.8931519,169.0
23032,0.36986256,-0.33277893,0.3563118,-0.05522461,-0.10407715,-0.8485474,169.0
23033,0.43822384,-0.2398758,0.29455566,-0.05522461,-0.10407715,-0.8485474,169.0
23034,0.43822384,-0.2398758,0.29455566,0.027612304,-0.12850343,-0.7763306,169.0
23035,0.44589233,-0.14806366,0.15646744,0.027612304,-0.12850343,-0.7763306,169.0
23036,0.44589233,-0.14806366,0.15646744,0.107263185,-0.1263794,-0.74871826,169.0
23037,0.34953594,-0.045921326,0.05022049,0.107263185,-0.1263794,-0.74871826,169.0
23038,0.34953594,-0.045921326,0.05022049,0.16567384,-0.09133301,-0.725354,169.0
23039,0.19364262,-0.09597778,0.06536102,0.16567384,-0.09133301,-0.725354,169.0
23040,0.19364262,-0.09597778,0.06536102,0.2888672,-0.0722168,-0.7104859,169.0
23041,0.06112671,-0.19248962,0.16409302,0.2888672,-0.0722168,-0.7104859,169.0
23042,0.06112671,-0.19248962,0.16409302,0.36639404,-0.050976563,-0.6839356,169.0
23043,0.014074326,-0.06517029,0.18634033,0.36639404,-0.050976563,-0.6839356,169.0
23044,0.014074326,-0.06517029,0.18634033,0.24213867,0.035046387,-0.71154785,169.0
23045,0.02157402,0.19451904,0.051403046,0.24213867,0.035046387,-0.71154785,169.0
23046,0.02157402,0.19451904,0.051403046,0.11682129,0.07965088,-0.75721437,169.0
23047,0.015636444,0.401268,-0.17864227,0.11682129,0.07965088,-0.75721437,169.0
23048,0.015636444,0.401268,-0.17864227,0.028674318,0.07752686,-0.8336792,169.0
23049,-0.1018219,0.6423416,-0.3917656,0.028674318,0.07752686,-0.8336792,169.0
23050,-0.1018219,0.6423416,-0.3917656,-0.11682129,0.026550293,-0.9600586,169.0
23051,-0.2860222,0.76921844,-0.3994484,-0.11682129,0.026550293,-0.9600586,169.0
23052,-0.2860222,0.76921844,-0.3994484,-0.23682861,0.0021240234,-1.1108643,169.0
23053,-0.3055992,0.59336853,-0.15124893,-0.23682861,0.0021240234,-1.1108643,169.0
23054,-0.3055992,0.59336853,-0.15124893,-0.24957275,-0.06265869,-1.2383057,169.0
23055,-0.14461422,0.3532257,0.06347275,-0.24957275,-0.06265869,-1.2383057,169.0
23056,-0.14461422,0.3532257,0.06347275,-0.39506838,-0.06159668,-1.3880494,169.0
23057,-0.027312279,0.154068,-0.02583313,-0.39506838,-0.06159668,-1.3880494,169.0
23058,-0.027312279,0.154068,-0.02583313,-0.54906005,-0.0541626,-1.4825684,169.0
23059,-0.05294037,-0.115249634,-0.26656723,-0.54906005,-0.0541626,-1.4825684,169.0
23060,-0.05294037,-0.115249634,-0.26656723,-0.49383545,-0.14124756,-1.5813354,169.0
23061,-0.08529663,-0.35842133,-0.32576752,-0.49383545,-0.14124756,-1.5813354,169.0
23062,-0.08529663,-0.35842133,-0.32576752,-0.4704712,-0.25063476,-1.6801026,169.0
23063,0.12878418,-0.6506424,-0.11499405,-0.4704712,-0.25063476,-1.6801026,169.0
