,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
24531,open,open,open,open,open,open,open
24532,0.11628723,-0.13376617,0.09590149,-0.107263185,-0.058410645,-0.025488282,147.0
24533,0.09769249,-0.120342255,0.10610962,-0.107263185,-0.058410645,-0.025488282,147.0
24534,0.09769249,-0.120342255,0.10610962,0.053100586,0.18054199,0.06159668,147.0
24535,0.09769249,-0.120342255,0.10610962,0.02442627,0.1731079,0.028674318,147.0
24536,0.083244324,-0.10457611,0.11306763,0.02442627,0.1731079,0.028674318,147.0
24537,-0.21294498,1.6386051,-1.0843048,0.02442627,0.1731079,0.028674318,147.0
24538,-0.21294498,1.6386051,-1.0843048,0.11044922,0.12850343,0.025488282,147.0
24539,-0.17824173,1.3510933,-0.91589355,0.11044922,0.12850343,0.025488282,147.0
24540,-0.17824173,1.3510933,-0.91589355,0.093457036,0.11151123,-0.008496094,147.0
24541,-0.115615845,1.1938019,-0.66218567,0.093457036,0.11151123,-0.008496094,147.0
24542,-0.115615845,1.1938019,-0.66218567,-0.028674318,0.10301514,-0.03186035,147.0
24543,-0.115615845,1.1938019,-0.66218567,-0.08496094,0.08071289,-0.057348635,147.0
24544,-0.05777645,0.97473145,-0.47120667,-0.08496094,0.08071289,-0.057348635,147.0
24545,-0.070013046,0.6716671,-0.38339233,-0.08496094,0.08071289,-0.057348635,147.0
24546,-0.070013046,0.6716671,-0.38339233,-0.043542482,0.06584473,-0.022302246,147.0
24547,-0.08466053,0.39795303,-0.33364868,-0.043542482,0.06584473,-0.022302246,147.0
24548,-0.08466053,0.39795303,-0.33364868,0.08602295,0.025488282,-0.038232423,147.0
24549,-0.07466221,0.28539276,-0.2579193,0.08602295,0.025488282,-0.038232423,147.0
24550,-0.07466221,0.28539276,-0.2579193,0.124255374,0.007434082,-0.028674318,147.0
24551,-0.101428986,0.3082943,-0.17707825,0.124255374,0.007434082,-0.028674318,147.0
24552,-0.101428986,0.3082943,-0.17707825,0.015930176,0.0063720704,-0.015930176,147.0
24553,-0.12034035,0.25099373,-0.12797546,0.015930176,0.0063720704,-0.015930176,147.0
24554,-0.12034035,0.25099373,-0.12797546,0.020178223,-0.02442627,0.0031860352,147.0
24555,-0.1128006,0.08601189,-0.0745697,0.020178223,-0.02442627,0.0031860352,147.0
24556,-0.1128006,0.08601189,-0.0745697,-0.03186035,-0.0180542,0.021240234,147.0
24557,-0.07996178,-0.008436203,-6.713867E-4,-0.03186035,-0.0180542,0.021240234,147.0
24558,-0.07996178,-0.008436203,-6.713867E-4,0.0053100586,-0.020178223,0.013806152,147.0
24559,-0.07216072,0.06688309,0.06440735,0.0053100586,-0.020178223,0.013806152,147.0
24560,-0.07216072,0.06688309,0.06440735,-0.025488282,-0.004248047,0.009558106,147.0
24561,-0.054579735,0.16838646,0.13179016,-0.025488282,-0.004248047,0.009558106,147.0
24562,-0.054579735,0.16838646,0.13179016,-0.014868164,0.0053100586,0.019116212,147.0
24563,0.029480934,0.19121552,0.2602234,-0.014868164,0.0053100586,0.019116212,147.0
24564,0.029480934,0.19121552,0.2602234,-0.043542482,0.047790527,0.023364259,147.0
24565,0.12485409,0.14384079,0.3542328,-0.043542482,0.047790527,0.023364259,147.0
24566,0.12485409,0.14384079,0.3542328,-0.04885254,0.093457036,0.040356446,147.0
24567,0.15591335,0.05616188,0.41241455,-0.04885254,0.093457036,0.040356446,147.0
24568,0.15591335,0.05616188,0.41241455,0.011682129,0.15717773,0.08283692,147.0
