,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
21995,run,run,run,run,run,run,run
21996,-0.08628708,-0.30321732,-0.114233404,-0.19222413,0.07115479,0.021240234,93.0
21997,-0.08628708,-0.30321732,-0.114233404,-0.016992187,0.022302246,-0.06690674,93.0
21998,-0.06863904,-0.24690735,-0.09330323,-0.016992187,0.022302246,-0.06690674,93.0
21999,-0.054007918,-0.20115137,-0.07659572,-0.016992187,0.022302246,-0.06690674,93.0
22000,-0.054007918,-0.20115137,-0.07659572,0.0,0.022302246,-0.04991455,93.0
22001,-2.2314754,1.5088787,1.2660428,0.0,0.022302246,-0.04991455,93.0
22002,-2.2314754,1.5088787,1.2660428,-0.027612304,0.03079834,-0.03079834,93.0
22003,-1.8137815,1.2587754,1.0084764,-0.027612304,0.03079834,-0.03079834,93.0
22004,-1.8137815,1.2587754,1.0084764,-0.04248047,0.020178223,-0.045666505,93.0
22005,-1.8137815,1.2587754,1.0084764,-0.020178223,0.012744141,-0.007434082,93.0
22006,-1.4231932,0.9884168,0.88681036,-0.020178223,0.012744141,-0.007434082,93.0
22007,-1.1138842,0.74507916,0.74980474,-0.020178223,0.012744141,-0.007434082,93.0
22008,-1.1138842,0.74507916,0.74980474,-0.014868164,0.021240234,0.053100586,93.0
22009,-0.90839255,0.56658334,0.5867945,-0.014868164,0.021240234,0.053100586,93.0
22010,-0.90839255,0.56658334,0.5867945,0.0031860352,0.010620117,0.06265869,93.0
22011,1.3307079,-0.6748095,-0.7327739,0.0031860352,0.010620117,0.06265869,93.0
22012,1.3307079,-0.6748095,-0.7327739,-0.014868164,0.010620117,0.090270996,93.0
22013,1.0659091,-0.47349018,-0.59359217,-0.014868164,0.010620117,0.090270996,93.0
22014,1.0659091,-0.47349018,-0.59359217,-0.04141846,0.009558106,0.10407715,93.0
22015,0.93297637,-0.41923404,-0.4317463,-0.04141846,0.009558106,0.10407715,93.0
22016,0.93297637,-0.41923404,-0.4317463,-0.06159668,-0.0010620117,-0.04885254,93.0
22017,0.79030204,-0.46158352,-0.26086336,-0.06159668,-0.0010620117,-0.04885254,93.0
22018,0.79030204,-0.46158352,-0.26086336,-0.026550293,0.0053100586,0.11469727,93.0
22019,0.81332076,-0.50127363,-0.074083745,-0.026550293,0.0053100586,0.11469727,93.0
22020,0.81332076,-0.50127363,-0.074083745,-0.31966552,-0.0063720704,0.52038574,93.0
22021,0.60523427,-0.7528256,-0.013612688,-0.31966552,-0.0063720704,0.52038574,93.0
