,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18802,run,run,run,run,run,run,run
18803,-2.3347054,0.5156555,-7.4823,0.038232423,0.03717041,0.009558106,113.0
18804,-1.8680086,0.4143448,-5.98584,0.038232423,0.03717041,0.009558106,113.0
18805,-1.8680086,0.4143448,-5.98584,-0.04991455,-0.032922365,-0.013806152,113.0
18806,-1.4946508,0.33330536,-4.7886734,-0.04991455,-0.032922365,-0.013806152,113.0
18807,-1.1955261,0.26637268,-3.827156,-0.04991455,-0.032922365,-0.013806152,113.0
18808,-1.1955261,0.26637268,-3.827156,-0.04991455,-0.015930176,-0.004248047,113.0
18809,-0.95633507,0.21282959,-3.0605888,-0.04991455,-0.015930176,-0.004248047,113.0
18810,-0.95633507,0.21282959,-3.0605888,-0.025488282,-0.009558106,0.0021240234,113.0
18811,0.86276436,-2.2834702,4.8992233,-0.025488282,-0.009558106,0.0021240234,113.0
18812,0.86276436,-2.2834702,4.8992233,-0.012744141,-0.0063720704,0.010620117,113.0
18813,0.68974686,-1.869278,3.980671,-0.012744141,-0.0063720704,0.010620117,113.0
18814,0.68974686,-1.869278,3.980671,-0.009558106,-0.0053100586,0.023364259,113.0
18815,0.5856228,-1.5404205,3.2534943,-0.009558106,-0.0053100586,0.023364259,113.0
18816,0.5856228,-1.5404205,3.2534943,-0.009558106,-0.015930176,0.038232423,113.0
18817,0.48289108,-1.213562,2.557827,-0.009558106,-0.015930176,0.038232423,113.0
18818,0.48289108,-1.213562,2.557827,-0.014868164,-0.028674318,0.04991455,113.0
18819,0.377573,-0.9002075,1.961544,-0.014868164,-0.028674318,0.04991455,113.0
18820,0.377573,-0.9002075,1.961544,-0.009558106,-0.035046387,0.04141846,113.0
18821,0.377573,-0.9002075,1.961544,0.0031860352,-0.04248047,0.035046387,113.0
18822,0.30113125,-0.6693344,1.547226,0.0031860352,-0.04248047,0.035046387,113.0
18823,0.25167084,-0.5508728,1.2742691,0.0031860352,-0.04248047,0.035046387,113.0
18824,0.25167084,-0.5508728,1.2742691,-0.012744141,-0.04460449,0.03717041,113.0
18825,0.21213913,-0.4676361,1.0564423,-0.012744141,-0.04460449,0.03717041,113.0
18826,0.21213913,-0.4676361,1.0564423,-0.025488282,-0.038232423,0.033984374,113.0
18827,0.18052673,-0.37449646,0.86982346,-0.025488282,-0.038232423,0.033984374,113.0
18828,0.18052673,-0.37449646,0.86982346,-0.029736329,-0.029736329,0.014868164,113.0
18829,0.15930176,-0.29860687,0.7073555,-0.029736329,-0.029736329,0.014868164,113.0
18830,0.15930176,-0.29860687,0.7073555,-0.04248047,0.0010620117,-0.0010620117,113.0
18831,0.14251709,-0.23285675,0.5625038,-0.04248047,0.0010620117,-0.0010620117,113.0
18832,0.14251709,-0.23285675,0.5625038,-0.06584473,0.016992187,-0.016992187,113.0
18833,0.090893745,-0.1559906,0.45005035,-0.06584473,0.016992187,-0.016992187,113.0
18834,0.090893745,-0.1559906,0.45005035,-0.13912354,0.0,-0.032922365,113.0
18835,0.042344093,-0.08217621,0.4181099,-0.13912354,0.0,-0.032922365,113.0
