,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18508,run,run,run,run,run,run,run
18509,0.19647217,0.21998596,0.08395386,0.12531738,0.10938721,-0.015930176,89.0
18510,0.11940861,0.10840988,0.02035141,0.12531738,0.10938721,-0.015930176,89.0
18511,0.11940861,0.10840988,0.02035141,-0.0180542,0.0053100586,0.012744141,89.0
18512,0.09719944,0.08753204,0.016281128,-0.0180542,0.0053100586,0.012744141,89.0
18513,0.09719944,0.08753204,0.016281128,-0.008496094,0.0031860352,0.0,89.0
18514,7.3173466,-0.38500214,-0.274498,-0.008496094,0.0031860352,0.0,89.0
18515,7.3173466,-0.38500214,-0.274498,-0.0541626,0.0063720704,-0.0063720704,89.0
18516,5.870345,-0.34744263,-0.16649628,-0.0541626,0.0063720704,-0.0063720704,89.0
18517,5.870345,-0.34744263,-0.16649628,-0.07965088,0.010620117,0.013806152,89.0
18518,4.7221184,-0.32723236,-0.06967163,-0.07965088,0.010620117,0.013806152,89.0
18519,4.7221184,-0.32723236,-0.06967163,-0.058410645,-0.0010620117,0.019116212,89.0
18520,3.7844944,-0.27587128,-0.05437088,-0.058410645,-0.0010620117,0.019116212,89.0
18521,3.7844944,-0.27587128,-0.05437088,-0.0541626,-0.0031860352,0.012744141,89.0
18522,3.0298176,-0.20866013,-0.053203583,-0.0541626,-0.0031860352,0.012744141,89.0
18523,3.0298176,-0.20866013,-0.053203583,-0.05628662,0.0031860352,0.007434082,89.0
18524,2.434535,-0.18343353,-0.03916931,-0.05628662,0.0031860352,0.007434082,89.0
18525,2.434535,-0.18343353,-0.03916931,-0.0361084,-0.004248047,0.015930176,89.0
18526,1.962203,-0.15873337,-0.024974823,-0.0361084,-0.004248047,0.015930176,89.0
18527,1.962203,-0.15873337,-0.024974823,-0.03186035,-0.0053100586,0.015930176,89.0
18528,1.5769768,-0.11779785,-0.01492691,-0.03186035,-0.0053100586,0.015930176,89.0
18529,1.5769768,-0.11779785,-0.01492691,-0.060534667,0.0053100586,0.019116212,89.0
18530,1.2502656,-0.10814285,0.012752533,-0.060534667,0.0053100586,0.019116212,89.0
18531,1.2502656,-0.10814285,0.012752533,-0.05628662,-0.0031860352,0.021240234,89.0
