,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
19054,run,run,run,run,run,run,run
19055,-0.18699455,0.09526634,0.45539856,-0.0998291,0.029736329,-0.035046387,105.0
19056,-0.14084291,0.080703735,0.3545227,-0.0998291,0.029736329,-0.035046387,105.0
19057,-0.14084291,0.080703735,0.3545227,0.05522461,0.04885254,0.06903076,105.0
19058,-0.10508156,0.06972504,0.276062,0.05522461,0.04885254,0.06903076,105.0
19059,-0.10508156,0.06972504,0.276062,0.035046387,0.035046387,0.0637207,105.0
19060,-0.10508156,0.06972504,0.276062,0.060534667,0.023364259,0.07540283,105.0
19061,-0.21098137,-3.2334785,0.03388977,0.060534667,0.023364259,0.07540283,105.0
19062,-0.13831663,-2.5659084,0.035369873,0.060534667,0.023364259,0.07540283,105.0
19063,-0.13831663,-2.5659084,0.035369873,0.06584473,0.019116212,0.09133301,105.0
19064,-0.13446903,-1.9505177,0.13394165,0.06584473,0.019116212,0.09133301,105.0
19065,-0.13446903,-1.9505177,0.13394165,0.0361084,0.014868164,0.07646485,105.0
19066,-0.17128372,-1.4465485,0.23709106,0.0361084,0.014868164,0.07646485,105.0
19067,-0.17128372,-1.4465485,0.23709106,-0.06903076,0.019116212,0.039294433,105.0
19068,-0.17128372,-1.4465485,0.23709106,-0.087084964,0.012744141,0.0,105.0
19069,-0.12325764,-1.1716919,0.31498718,-0.087084964,0.012744141,0.0,105.0
19070,-0.020505428,-1.0822258,0.36686707,-0.087084964,0.012744141,0.0,105.0
19071,-0.020505428,-1.0822258,0.36686707,-0.08920898,0.0053100586,0.0031860352,105.0
19072,-0.075706005,-1.030941,0.38275146,-0.08920898,0.0053100586,0.0031860352,105.0
19073,-0.075706005,-1.030941,0.38275146,-0.078588866,-0.012744141,0.04991455,105.0
19074,-0.20836782,-0.92591286,0.36180115,-0.078588866,-0.012744141,0.04991455,105.0
19075,-0.20836782,-0.92591286,0.36180115,-0.015930176,-0.009558106,0.0998291,105.0
19076,-0.18352747,-0.6701374,0.29371643,-0.015930176,-0.009558106,0.0998291,105.0
19077,-0.18352747,-0.6701374,0.29371643,-0.02442627,0.0063720704,0.16992188,105.0
19078,-0.04594326,-0.32364655,0.17694092,-0.02442627,0.0063720704,0.16992188,105.0
19079,-0.04594326,-0.32364655,0.17694092,-0.04885254,0.022302246,0.1720459,105.0
19080,0.040650368,-0.10398483,0.030700684,-0.04885254,0.022302246,0.1720459,105.0
19081,0.040650368,-0.10398483,0.030700684,-0.038232423,0.010620117,0.16673584,105.0
19082,0.030603886,-0.010152817,-0.08607483,-0.038232423,0.010620117,0.16673584,105.0
19083,0.030603886,-0.010152817,-0.08607483,-0.008496094,-0.009558106,0.13699952,105.0
19084,0.05124092,0.06210327,-0.121170044,-0.008496094,-0.009558106,0.13699952,105.0
19085,0.05124092,0.06210327,-0.121170044,-0.007434082,-0.011682129,0.1274414,105.0
19086,0.05124092,0.06210327,-0.121170044,0.0063720704,-0.008496094,0.098767094,105.0
19087,0.124964714,0.11690712,-0.082107544,0.0063720704,-0.008496094,0.098767094,105.0
19088,0.204916,0.14292717,-0.045944214,0.0063720704,-0.008496094,0.098767094,105.0
19089,0.204916,0.14292717,-0.045944214,-0.028674318,-0.008496094,0.06690674,105.0
19090,0.20420408,0.096458435,-0.043395996,-0.028674318,-0.008496094,0.06690674,105.0
19091,0.20420408,0.096458435,-0.043395996,0.047790527,-0.03079834,0.04460449,105.0
19092,0.13516521,0.046051025,-0.055130005,0.047790527,-0.03079834,0.04460449,105.0
19093,0.13516521,0.046051025,-0.055130005,0.0722168,-0.029736329,0.004248047,105.0
19094,0.13516521,0.046051025,-0.055130005,0.087084964,-0.019116212,-0.010620117,105.0
19095,0.15718031,0.1151371,-0.07817078,0.087084964,-0.019116212,-0.010620117,105.0
19096,0.3057127,0.25728226,-0.10345459,0.087084964,-0.019116212,-0.010620117,105.0
19097,0.3057127,0.25728226,-0.10345459,0.025488282,0.004248047,-0.053100586,105.0
19098,0.37306118,0.18911552,-0.11477661,0.025488282,0.004248047,-0.053100586,105.0
19099,0.37306118,0.18911552,-0.11477661,-0.0180542,0.022302246,-0.10513916,105.0
19100,0.23162794,-0.1353035,-0.10801697,-0.0180542,0.022302246,-0.10513916,105.0
19101,0.23162794,-0.1353035,-0.10801697,0.12213135,0.015930176,-0.115759276,105.0
19102,0.08101797,-0.28172874,-0.11164856,0.12213135,0.015930176,-0.115759276,105.0
19103,0.08101797,-0.28172874,-0.11164856,0.19434814,0.015930176,-0.10620117,105.0
19104,0.085773945,-0.17871475,-0.15621948,0.19434814,0.015930176,-0.10620117,105.0
19105,0.085773945,-0.17871475,-0.15621948,0.17947999,0.009558106,-0.0541626,105.0
19106,0.19736671,-0.029090881,-0.18440247,0.17947999,0.009558106,-0.0541626,105.0
19107,0.19736671,-0.029090881,-0.18440247,0.14655761,-0.0053100586,-0.03186035,105.0
19108,0.36803722,0.046503067,-0.11003113,0.14655761,-0.0053100586,-0.03186035,105.0
19109,0.36803722,0.046503067,-0.11003113,0.17629395,0.027612304,-0.046728518,105.0
19110,0.6326256,0.09923935,0.011856079,0.17629395,0.027612304,-0.046728518,105.0
19111,0.6326256,0.09923935,0.011856079,0.20072022,0.107263185,-0.0541626,105.0
19112,0.6326256,0.09923935,0.011856079,0.12000733,0.1731079,-0.087084964,105.0
19113,0.87983084,0.26918602,-0.01512146,0.12000733,0.1731079,-0.087084964,105.0
19114,1.0544138,0.54343796,-0.2132721,0.12000733,0.1731079,-0.087084964,105.0
19115,1.0544138,0.54343796,-0.2132721,-0.07752686,0.23258057,-0.1901001,105.0
19116,1.4584727,0.7599945,-0.41055298,-0.07752686,0.23258057,-0.1901001,105.0
19117,1.4584727,0.7599945,-0.41055298,-0.35895997,0.34940186,-0.3536499,105.0
19118,2.2751646,0.75886154,-0.60954285,-0.35895997,0.34940186,-0.3536499,105.0
19119,2.2751646,0.75886154,-0.60954285,-0.67437744,0.53737795,-0.5766724,105.0
19120,3.0965354,0.63562965,-0.9949646,-0.67437744,0.53737795,-0.5766724,105.0
19121,3.0965354,0.63562965,-0.9949646,-1.0375855,0.64782715,-0.79226077,105.0
