,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18886,run,run,run,run,run,run,run
18887,0.047857285,-0.00365448,-0.0019836426,0.03079834,-0.18797608,0.15930176,105.0
18888,0.112589836,0.055854797,0.08103943,0.03079834,-0.18797608,0.15930176,105.0
18889,0.091073036,0.034370422,0.055519104,0.03079834,-0.18797608,0.15930176,105.0
18890,0.091073036,0.034370422,0.055519104,-0.14018555,-0.17735596,0.18585205,105.0
18891,-2.227117,-0.67150116,-0.8093338,-0.14018555,-0.17735596,0.18585205,105.0
18892,-2.227117,-0.67150116,-0.8093338,-0.2357666,-0.18160401,0.19328614,105.0
18893,-1.727006,-0.8340759,-0.6973839,-0.2357666,-0.18160401,0.19328614,105.0
18894,-1.727006,-0.8340759,-0.6973839,-0.16885987,-0.24107666,0.2357666,105.0
18895,-1.3992682,-1.0738144,-0.38505554,-0.16885987,-0.24107666,0.2357666,105.0
18896,-1.3992682,-1.0738144,-0.38505554,-0.09239502,-0.270813,0.31329346,105.0
18897,-1.2003841,-1.1222076,-0.10391998,-0.09239502,-0.270813,0.31329346,105.0
18898,-1.2003841,-1.1222076,-0.10391998,0.04248047,-0.32178956,0.4248047,105.0
18899,-1.0601854,-0.90584564,-0.008148193,0.04248047,-0.32178956,0.4248047,105.0
18900,-1.0601854,-0.90584564,-0.008148193,0.1359375,-0.38551027,0.52038574,105.0
18901,-0.9310217,-0.5107727,-0.0811882,0.1359375,-0.38551027,0.52038574,105.0
18902,-0.9310217,-0.5107727,-0.0811882,0.10195313,-0.42374268,0.58623046,105.0
18903,-0.9310217,-0.5107727,-0.0811882,0.060534667,-0.44816896,0.63933104,105.0
18904,-0.8416805,-0.2079544,-0.16779327,0.060534667,-0.44816896,0.63933104,105.0
18905,-0.80788994,-0.17469788,-0.1670723,0.060534667,-0.44816896,0.63933104,105.0
18906,-0.80788994,-0.17469788,-0.1670723,0.13699952,-0.49064943,0.71579593,105.0
18907,-0.72634125,-0.22098541,-0.113845825,0.13699952,-0.49064943,0.71579593,105.0
18908,-0.72634125,-0.22098541,-0.113845825,0.16673584,-0.5256958,0.73703617,105.0
18909,-0.5499077,-0.102241516,-0.067554474,0.16673584,-0.5256958,0.73703617,105.0
18910,-0.5499077,-0.102241516,-0.067554474,0.023364259,-0.48640138,0.7126099,105.0
18911,-0.36961365,0.010391235,-0.095523834,0.023364259,-0.48640138,0.7126099,105.0
18912,-0.36961365,0.010391235,-0.095523834,-0.10938721,-0.41737062,0.66588134,105.0
18913,-0.29758263,-0.022567749,-0.19582748,-0.10938721,-0.41737062,0.66588134,105.0
18914,-0.29758263,-0.022567749,-0.19582748,0.016992187,-0.43754885,0.66481936,105.0
18915,-0.3082323,0.07836914,-0.3639145,0.016992187,-0.43754885,0.66481936,105.0
18916,-0.3082323,0.07836914,-0.3639145,-0.015930176,-0.4067505,0.6924316,105.0
18917,-0.3082323,0.07836914,-0.3639145,-0.11257324,-0.36745605,0.7104859,105.0
18918,-0.32853127,0.3119278,-0.60520935,-0.11257324,-0.36745605,0.7104859,105.0
18919,-0.3601637,0.28069305,-0.77188873,-0.11257324,-0.36745605,0.7104859,105.0
18920,-0.3601637,0.28069305,-0.77188873,-0.028674318,-0.3695801,0.74871826,105.0
18921,-0.4314661,0.0038528442,-0.60451126,-0.028674318,-0.3695801,0.74871826,105.0
18922,-0.4314661,0.0038528442,-0.60451126,0.19116211,-0.4322388,0.85598147,105.0
18923,-0.5330515,-0.045547485,-0.10975647,0.19116211,-0.4322388,0.85598147,105.0
18924,-0.5330515,-0.045547485,-0.10975647,0.3355957,-0.55543214,0.9165161,105.0
18925,-0.47426796,0.27716064,0.39598465,0.3355957,-0.55543214,0.9165161,105.0
18926,-0.47426796,0.27716064,0.39598465,0.2166504,-0.6202149,0.9165161,105.0
18927,-0.15634346,0.57188416,0.64504623,0.2166504,-0.6202149,0.9165161,105.0
18928,-0.15634346,0.57188416,0.64504623,-0.010620117,-0.63720703,0.8878418,105.0
18929,0.28277493,0.4950409,0.59580994,-0.010620117,-0.63720703,0.8878418,105.0
18930,0.28277493,0.4950409,0.59580994,-0.15930176,-0.6138428,0.86341554,105.0
18931,0.6364002,0.17871094,0.35624695,-0.15930176,-0.6138428,0.86341554,105.0
18932,0.6364002,0.17871094,0.35624695,-0.23789063,-0.6180908,0.8772217,105.0
18933,0.80493355,-0.084877014,0.044116974,-0.23789063,-0.6180908,0.8772217,105.0
18934,0.80493355,-0.084877014,0.044116974,-0.3355957,-0.6287109,0.87191164,105.0
18935,0.80493355,-0.084877014,0.044116974,-0.5076416,-0.6637573,0.86341554,105.0
18936,0.79321384,-0.14393616,-0.20919037,-0.5076416,-0.6637573,0.86341554,105.0
18937,0.6913223,-0.050834656,-0.33410263,-0.5076416,-0.6637573,0.86341554,105.0
18938,0.6913223,-0.050834656,-0.33410263,-0.8241211,-0.7104859,0.8219971,105.0
18939,0.60305786,-0.0035095215,-0.418396,-0.8241211,-0.7104859,0.8219971,105.0
18940,0.60305786,-0.0035095215,-0.418396,-1.2160034,-0.7497803,0.7476563,105.0
18941,0.56884766,-0.27721405,-0.61008453,-1.2160034,-0.7497803,0.7476563,105.0
18942,0.56884766,-0.27721405,-0.61008453,-1.5112427,-0.8294312,0.65207523,105.0
18943,0.56884766,-0.27721405,-0.61008453,-1.5887696,-0.94625247,0.56817627,105.0
18944,0.588953,-0.9276047,-0.8854294,-1.5887696,-0.94625247,0.56817627,105.0
18945,0.6781454,-1.606575,-1.0543518,-1.5887696,-0.94625247,0.56817627,105.0
18946,0.6781454,-1.606575,-1.0543518,-1.545227,-1.1629028,0.41099855,105.0
18947,0.89570236,-1.9496536,-0.90057373,-1.545227,-1.1629028,0.41099855,105.0
18948,0.89570236,-1.9496536,-0.90057373,-1.44646,-1.4740723,0.16142578,105.0
18949,1.421957,-1.9705734,-0.3422737,-1.44646,-1.4740723,0.16142578,105.0
18950,1.421957,-1.9705734,-0.3422737,-1.4252198,-1.8022339,-0.09664307,105.0
18951,2.2987719,-1.9686432,0.38160324,-1.4252198,-1.8022339,-0.09664307,105.0
18952,2.2987719,-1.9686432,0.38160324,-1.4517701,-2.0369384,-0.32072756,105.0
18953,3.136344,-1.9534302,0.7633629,-1.4517701,-2.0369384,-0.32072756,105.0
18954,3.136344,-1.9534302,0.7633629,-1.4751343,-2.1495118,-0.5564942,105.0
18955,3.4998837,-1.6498413,0.53752136,-1.4751343,-2.1495118,-0.5564942,105.0
18956,3.4998837,-1.6498413,0.53752136,-1.532483,-2.255713,-0.7742066,105.0
18957,3.558025,-1.1608658,-0.04774475,-1.532483,-2.255713,-0.7742066,105.0
18958,3.558025,-1.1608658,-0.04774475,-1.6482422,-2.253589,-0.91864014,105.0
18959,3.6039395,-0.87841797,-0.6465454,-1.6482422,-2.253589,-0.91864014,105.0
18960,3.6039395,-0.87841797,-0.6465454,-1.7140869,-2.0932252,-0.9430664,105.0
18961,3.498569,-0.8445282,-1.2547493,-1.7140869,-2.0932252,-0.9430664,105.0
18962,3.498569,-0.8445282,-1.2547493,-1.7300171,-1.8595825,-0.90908206,105.0
18963,3.0725124,-0.89813995,-1.9975967,-1.7300171,-1.8595825,-0.90908206,105.0
18964,3.0725124,-0.89813995,-1.9975967,-1.4326538,-1.6801026,-1.0099732,105.0
18965,2.5403342,-0.9017029,-2.6702805,-1.4326538,-1.6801026,-1.0099732,105.0
18966,2.5403342,-0.9017029,-2.6702805,-1.0938721,-1.4390259,-1.174585,105.0
18967,2.2809613,-0.62397766,-2.780182,-1.0938721,-1.4390259,-1.174585,105.0
18968,2.2809613,-0.62397766,-2.780182,-1.3052124,-1.1225464,-1.2956543,105.0
18969,2.3412852,-0.80796814,-2.310936,-1.3052124,-1.1225464,-1.2956543,105.0
18970,2.3412852,-0.80796814,-2.310936,-1.1161743,-0.9791748,-1.3062744,105.0
18971,2.7676573,-0.8727417,-1.9531784,-1.1161743,-0.9791748,-1.3062744,105.0
18972,2.7676573,-0.8727417,-1.9531784,-1.4135376,-0.3175415,-1.531421,105.0
18973,2.9399192,0.21586609,-2.1492386,-1.4135376,-0.3175415,-1.531421,105.0
18974,2.9399192,0.21586609,-2.1492386,-2.430945,0.1901001,-1.4878784,105.0
18975,2.2867377,0.9834595,-2.4509583,-2.430945,0.1901001,-1.4878784,105.0
18976,2.2867377,0.9834595,-2.4509583,-2.8748658,0.5033936,-1.6057618,105.0
18977,1.2233598,0.33561707,-2.1111946,-2.8748658,0.5033936,-1.6057618,105.0
18978,1.2233598,0.33561707,-2.1111946,-2.3183715,0.811377,-1.5877075,105.0
18979,0.060572624,-1.4403076,-0.8069496,-2.3183715,0.811377,-1.5877075,105.0
18980,0.060572624,-1.4403076,-0.8069496,-0.51082766,1.2935303,-1.3126465,105.0
18981,-1.4544473,-2.4781494,0.85453796,-0.51082766,1.2935303,-1.3126465,105.0
18982,-1.4544473,-2.4781494,0.85453796,1.2744141,0.9568726,-0.83049315,105.0
18983,-2.1406941,-0.40298462,1.6210938,1.2744141,0.9568726,-0.83049315,105.0
18984,-2.1406941,-0.40298462,1.6210938,1.2043213,0.7508423,-0.62340087,105.0
18985,-0.8451358,2.9083557,1.2195435,1.2043213,0.7508423,-0.62340087,105.0
18986,-0.8451358,2.9083557,1.2195435,0.7975708,0.998291,-0.7688965,105.0
18987,1.1254172,3.6008224,0.40924072,0.7975708,0.998291,-0.7688965,105.0
18988,1.1254172,3.6008224,0.40924072,0.9143921,1.1246704,-0.8251831,105.0
18989,2.1939862,1.643219,-0.05228424,0.9143921,1.1246704,-0.8251831,105.0
