,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
17742,run,run,run,run,run,run,run
17743,-0.15934658,0.4018898,-0.60110474,-0.13699952,0.14337158,0.14230958,68.0
17744,-0.15934658,0.4018898,-0.60110474,-0.09770508,0.10938721,0.19222413,68.0
17745,-0.088219166,0.40071106,-0.48110962,-0.09770508,0.10938721,0.19222413,68.0
17746,-0.088219166,0.40071106,-0.48110962,-0.14337158,0.06478272,0.54587406,68.0
17747,-0.025897503,0.40797043,-0.38719177,-0.14337158,0.06478272,0.54587406,68.0
17748,-0.025897503,0.40797043,-0.38719177,-0.1996582,0.08283692,0.61065674,68.0
17749,-2.2076077,0.29693222,0.29841614,-0.1996582,0.08283692,0.61065674,68.0
17750,-2.2076077,0.29693222,0.29841614,-0.23682861,0.035046387,0.5341919,68.0
17751,-1.6251802,0.318758,0.43197632,-0.23682861,0.035046387,0.5341919,68.0
17752,-1.6251802,0.318758,0.43197632,-0.25913087,0.009558106,0.5331299,68.0
17753,-1.1625834,0.3189335,0.47366333,-0.25913087,0.009558106,0.5331299,68.0
17754,-1.1625834,0.3189335,0.47366333,-0.16142578,0.06903076,0.5320679,68.0
17755,-0.70277166,0.31724358,0.54341125,-0.16142578,0.06903076,0.5320679,68.0
17756,-0.70277166,0.31724358,0.54341125,-0.16248779,0.043542482,0.47365722,68.0
17757,-0.48410416,0.33887863,0.3861084,-0.16248779,0.043542482,0.47365722,68.0
17758,-0.48410416,0.33887863,0.3861084,-0.15505372,0.04460449,0.44073486,68.0
17759,-0.14700031,0.46944237,-0.1292572,-0.15505372,0.04460449,0.44073486,68.0
17760,-0.14700031,0.46944237,-0.1292572,-0.21240234,0.05522461,0.3993164,68.0
17761,-0.14700031,0.46944237,-0.1292572,-0.24107666,0.020178223,0.39506838,68.0
17762,-0.030759811,0.4771042,-0.26774597,-0.24107666,0.020178223,0.39506838,68.0
17763,0.21682262,0.38290405,-0.6600647,-0.24107666,0.020178223,0.39506838,68.0
17764,0.21682262,0.38290405,-0.6600647,-0.28355715,-0.06159668,0.35471192,68.0
17765,0.30459833,0.29798508,-0.5823822,-0.28355715,-0.06159668,0.35471192,68.0
17766,0.30459833,0.29798508,-0.5823822,-0.2782471,-0.08814698,0.32285157,68.0
17767,0.63165474,0.16763496,-0.47525024,-0.2782471,-0.08814698,0.32285157,68.0
17768,0.63165474,0.16763496,-0.47525024,-0.24213867,-0.12956543,0.20921631,68.0
17769,0.631227,0.15387154,-0.3348236,-0.24213867,-0.12956543,0.20921631,68.0
17770,0.631227,0.15387154,-0.3348236,-0.23682861,-0.14230958,0.16461182,68.0
17771,0.6940808,0.3036766,-0.31965637,-0.23682861,-0.14230958,0.16461182,68.0
17772,0.6940808,0.3036766,-0.31965637,-0.32072756,-0.19328614,0.026550293,68.0
17773,0.5727453,0.31626892,-0.28938293,-0.32072756,-0.19328614,0.026550293,68.0
17774,0.5727453,0.31626892,-0.28938293,-0.36745605,-0.24213867,-0.033984374,68.0
17775,0.5025568,0.27274132,-0.37734985,-0.36745605,-0.24213867,-0.033984374,68.0
17776,0.5025568,0.27274132,-0.37734985,-0.38763428,-0.3079834,-0.17416993,68.0
17777,0.470881,-0.0116539,-0.43156433,-0.38763428,-0.3079834,-0.17416993,68.0
17778,0.470881,-0.0116539,-0.43156433,-0.3695801,-0.35577393,-0.34727785,68.0
17779,0.43838692,-0.40727234,-0.3380127,-0.3695801,-0.35577393,-0.34727785,68.0
17780,0.43838692,-0.40727234,-0.3380127,-0.2984253,-0.42268068,-0.541626,68.0
17781,0.43117857,-0.6924801,-0.044570923,-0.2984253,-0.42268068,-0.541626,68.0
17782,0.43117857,-0.6924801,-0.044570923,-0.23364258,-0.49277344,-0.7604004,68.0
17783,0.54565096,-0.7733078,0.3901825,-0.23364258,-0.49277344,-0.7604004,68.0
17784,0.54565096,-0.7733078,0.3901825,-0.38763428,-0.634021,-1.0365235,68.0
17785,0.9704566,-0.9258003,0.78611755,-0.38763428,-0.634021,-1.0365235,68.0
17786,0.9704566,-0.9258003,0.78611755,-0.72641605,-0.71579593,-1.3200806,68.0
17787,0.9704566,-0.9258003,0.78611755,-1.0131592,-0.6180908,-1.5462891,68.0
17788,1.5417337,-1.3603172,0.84754944,-1.0131592,-0.6180908,-1.5462891,68.0
17789,1.665992,-1.8234215,0.47821045,-1.0131592,-0.6180908,-1.5462891,68.0
17790,1.665992,-1.8234215,0.47821045,-1.0938721,-0.544812,-1.6588624,68.0
17791,1.3500178,-1.9221287,-0.112472534,-1.0938721,-0.544812,-1.6588624,68.0
17792,1.3500178,-1.9221287,-0.112472534,-1.2096313,-0.5734863,-1.7640015,68.0
17793,1.1184664,-1.6671944,-0.7508545,-1.2096313,-0.5734863,-1.7640015,68.0
17794,1.1184664,-1.6671944,-0.7508545,-1.4592041,-0.5968506,-1.9275513,68.0
17795,1.1991553,-1.3434963,-1.2737427,-1.4592041,-0.5968506,-1.9275513,68.0
17796,1.1991553,-1.3434963,-1.2737427,-1.8786987,-0.6000366,-2.081543,68.0
17797,1.4775984,-1.2166424,-1.4528656,-1.8786987,-0.6000366,-2.081543,68.0
17798,1.4775984,-1.2166424,-1.4528656,-2.5976808,-0.5692383,-2.2780151,68.0
