,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
23167,run,run,run,run,run,run,run
23168,-2.1734917,2.8849258,-7.134123,-0.09133301,-0.05522461,0.09451904,106.0
23169,-2.1734917,2.8849258,-7.134123,0.0,-0.010620117,-0.07965088,106.0
23170,-1.7432489,2.304718,-5.7070665,0.0,-0.010620117,-0.07965088,106.0
23171,-1.7432489,2.304718,-5.7070665,-0.015930176,-0.013806152,-0.08602295,106.0
23172,1.6330743,-0.546167,2.1503136,-0.015930176,-0.013806152,-0.08602295,106.0
23173,1.6330743,-0.546167,2.1503136,-0.008496094,-0.020178223,-0.09133301,106.0
23174,1.3460712,-0.49009526,1.7899654,-0.008496094,-0.020178223,-0.09133301,106.0
23175,1.3460712,-0.49009526,1.7899654,-0.0010620117,-0.021240234,-0.08602295,106.0
23176,1.3460712,-0.49009526,1.7899654,-0.0053100586,-0.029736329,-0.08283692,106.0
23177,1.1040909,-0.41929793,1.543801,-0.0053100586,-0.029736329,-0.08283692,106.0
23178,0.87692505,-0.28484023,1.2602483,-0.0053100586,-0.029736329,-0.08283692,106.0
23179,0.87692505,-0.28484023,1.2602483,-0.04141846,-0.023364259,-0.07965088,106.0
23180,0.68644,-0.19162947,0.96513224,-0.04141846,-0.023364259,-0.07965088,106.0
23181,0.68644,-0.19162947,0.96513224,-0.04248047,-0.032922365,-0.08496094,106.0
23182,-0.4480404,-0.55426794,1.031603,-0.04248047,-0.032922365,-0.08496094,106.0
23183,-0.4480404,-0.55426794,1.031603,-0.0361084,-0.040356446,-0.090270996,106.0
23184,-0.3518161,-0.48468634,0.92037517,-0.0361084,-0.040356446,-0.090270996,106.0
23185,-0.3518161,-0.48468634,0.92037517,-0.022302246,-0.04248047,-0.08814698,106.0
23186,-0.25734398,-0.41611823,0.84230596,-0.022302246,-0.04248047,-0.08814698,106.0
23187,-0.25734398,-0.41611823,0.84230596,-0.023364259,-0.032922365,-0.059472658,106.0
23188,-0.17922723,-0.34218413,0.657231,-0.023364259,-0.032922365,-0.059472658,106.0
23189,-0.17922723,-0.34218413,0.657231,-0.04141846,-0.02442627,-0.026550293,106.0
23190,-0.13333541,-0.28143775,0.41388294,-0.04141846,-0.02442627,-0.026550293,106.0
23191,-0.13333541,-0.28143775,0.41388294,-0.04991455,-0.026550293,0.04141846,106.0
23192,-0.12528406,-0.35668096,0.1999296,-0.04991455,-0.026550293,0.04141846,106.0
23193,-0.12528406,-0.35668096,0.1999296,-0.0010620117,-0.028674318,0.11682129,106.0
23194,-0.1984206,-0.50696343,0.030463696,-0.0010620117,-0.028674318,0.11682129,106.0
23195,-0.1984206,-0.50696343,0.030463696,0.14549561,-0.12000733,0.13168946,106.0
23196,-0.1712609,-0.41020942,-0.09436685,0.14549561,-0.12000733,0.13168946,106.0
23197,-0.1712609,-0.41020942,-0.09436685,0.010620117,-0.10407715,0.12956543,106.0
23198,-0.1053925,-0.14183941,-0.092510074,0.010620117,-0.10407715,0.12956543,106.0
23199,-0.1053925,-0.14183941,-0.092510074,-0.23364258,-0.019116212,0.11151123,106.0
23200,-0.21710208,-7.762164E-4,-0.0051726103,-0.23364258,-0.019116212,0.11151123,106.0
23201,-0.21710208,-7.762164E-4,-0.0051726103,-0.0998291,-0.09770508,0.17947999,106.0
23202,-0.21710208,-7.762164E-4,-0.0051726103,-0.04885254,-0.1274414,0.1731079,106.0
23203,-0.2872681,0.14028479,0.03276378,-0.04885254,-0.1274414,0.1731079,106.0
23204,-0.20731692,0.20275518,0.04791513,-0.04885254,-0.1274414,0.1731079,106.0
23205,-0.20731692,0.20275518,0.04791513,-0.052038576,-0.13168946,0.10089111,106.0
23206,-0.08329739,-0.02423384,0.11969197,-0.052038576,-0.13168946,0.10089111,106.0
23207,-0.08329739,-0.02423384,0.11969197,0.08814698,-0.18691407,0.121069334,106.0
23208,0.013098419,-0.2494652,0.17506267,0.08814698,-0.18691407,0.121069334,106.0
23209,0.013098419,-0.2494652,0.17506267,0.3164795,-0.2442627,0.14124756,106.0
23210,0.07650656,-0.16104677,0.16856577,0.3164795,-0.2442627,0.14124756,106.0
23211,0.07650656,-0.16104677,0.16856577,0.3154175,-0.24851075,0.15717773,106.0
23212,0.07398601,-0.0077924877,0.2011368,0.3154175,-0.24851075,0.15717773,106.0
23213,0.07398601,-0.0077924877,0.2011368,0.3717041,-0.32497558,0.19328614,106.0
23214,0.045126304,-0.06004259,0.26205692,0.3717041,-0.32497558,0.19328614,106.0
23215,0.045126304,-0.06004259,0.26205692,0.46728516,-0.3695801,0.24107666,106.0
23216,0.052348603,-0.34102726,0.23820998,0.46728516,-0.3695801,0.24107666,106.0
23217,0.052348603,-0.34102726,0.23820998,0.7327881,-0.4258667,0.3154175,106.0
23218,0.08888816,-0.7341011,0.033378042,0.7327881,-0.4258667,0.3154175,106.0
23219,0.08888816,-0.7341011,0.033378042,1.1915772,-0.4428589,0.39506838,106.0
23220,0.08888816,-0.7341011,0.033378042,1.3530029,-0.4428589,0.4354248,106.0
23221,0.065031424,-0.67614806,-0.19057052,1.3530029,-0.4428589,0.4354248,106.0
23222,-0.04607056,-0.0264287,-0.20775427,1.3530029,-0.4428589,0.4354248,106.0
23223,-0.04607056,-0.0264287,-0.20775427,1.1554688,-0.45347902,0.4885254,106.0
23224,-0.16589698,0.5447262,-0.06334697,1.1554688,-0.45347902,0.4885254,106.0
23225,-0.16589698,0.5447262,-0.06334697,0.8591675,-0.45135498,0.5543701,106.0
23226,-0.26355255,0.58595186,0.09849235,0.8591675,-0.45135498,0.5543701,106.0
23227,-0.26355255,0.58595186,0.09849235,0.67225343,-0.452417,0.6244629,106.0
23228,-0.3461936,0.25878838,0.18161371,0.67225343,-0.452417,0.6244629,106.0
23229,-0.3461936,0.25878838,0.18161371,0.6680054,-0.46834716,0.6775635,106.0
23230,-0.40085626,0.08311713,0.14337446,0.6680054,-0.46834716,0.6775635,106.0
23231,-0.40085626,0.08311713,0.14337446,0.58410645,-0.46622315,0.70942384,106.0
23232,-0.41200578,0.23902789,0.012197129,0.58410645,-0.46622315,0.70942384,106.0
23233,-0.41200578,0.23902789,0.012197129,0.3802002,-0.47471926,0.70942384,106.0
23234,-0.3906886,0.3911857,-0.07802306,0.3802002,-0.47471926,0.70942384,106.0
23235,-0.3906886,0.3911857,-0.07802306,0.19753419,-0.4885254,0.67650145,106.0
23236,-0.32916462,0.2621551,-0.009342276,0.19753419,-0.4885254,0.67650145,106.0
23237,-0.32916462,0.2621551,-0.009342276,0.13275146,-0.5097656,0.6924316,106.0
23238,-0.27212077,-0.07863042,0.058615047,0.13275146,-0.5097656,0.6924316,106.0
23239,-0.27212077,-0.07863042,0.058615047,0.1996582,-0.5511841,0.7317261,106.0
23240,-0.28256476,-0.29643705,0.022038523,0.1996582,-0.5511841,0.7317261,106.0
23241,-0.28256476,-0.29643705,0.022038523,0.2984253,-0.5883545,0.7805786,106.0
23242,-0.29439896,-0.17807981,0.022757772,0.2984253,-0.5883545,0.7805786,106.0
23243,-0.29439896,-0.17807981,0.022757772,0.28355715,-0.6244629,0.8230591,106.0
23244,-0.25562418,0.13495314,0.116301924,0.28355715,-0.6244629,0.8230591,106.0
23245,-0.25562418,0.13495314,0.116301924,0.11044922,-0.6149048,0.86766356,106.0
23246,-0.12912095,0.2173009,0.15176958,0.11044922,-0.6149048,0.86766356,106.0
23247,-0.12912095,0.2173009,0.15176958,-0.020178223,-0.5936646,0.90908206,106.0
23248,-0.004932523,-0.07866171,0.078703254,-0.020178223,-0.5936646,0.90908206,106.0
23249,-0.004932523,-0.07866171,0.078703254,-0.06159668,-0.58198243,0.9611206,106.0
23250,0.042672634,-0.40096647,-0.05123417,-0.06159668,-0.58198243,0.9611206,106.0
23251,0.042672634,-0.40096647,-0.05123417,-0.0031860352,-0.6159668,1.0365235,106.0
23252,-0.024760842,-0.3841765,-0.12415384,-0.0031860352,-0.6159668,1.0365235,106.0
23253,-0.024760842,-0.3841765,-0.12415384,0.040356446,-0.632959,1.0970582,106.0
23254,-0.12503332,-0.063542366,-0.10111751,0.040356446,-0.632959,1.0970582,106.0
23255,-0.12503332,-0.063542366,-0.10111751,0.0361084,-0.6403931,1.1395386,106.0
23256,-0.08916241,0.111153394,-0.046238247,0.0361084,-0.6403931,1.1395386,106.0
23257,-0.08916241,0.111153394,-0.046238247,0.021240234,-0.6573853,1.1289185,106.0
23258,0.17686343,-0.065777004,0.029379033,0.021240234,-0.6573853,1.1289185,106.0
23259,0.17686343,-0.065777004,0.029379033,-0.025488282,-0.6754395,1.0779419,106.0
23260,0.39514065,-0.34629834,0.1627,-0.025488282,-0.6754395,1.0779419,106.0
23261,0.39514065,-0.34629834,0.1627,-0.10407715,-0.6881836,1.0460815,106.0
23262,0.4411003,-0.4201051,0.31900278,-0.10407715,-0.6881836,1.0460815,106.0
23263,0.4411003,-0.4201051,0.31900278,-0.20284425,-0.6680054,1.0683838,106.0
23264,0.4008661,-0.3219117,0.46081746,-0.20284425,-0.6680054,1.0683838,106.0
23265,0.4008661,-0.3219117,0.46081746,-0.2824951,-0.6244629,1.1267945,106.0
23266,0.4677998,-0.2910865,0.58839273,-0.2824951,-0.6244629,1.1267945,106.0
23267,0.4677998,-0.2910865,0.58839273,-0.36002198,-0.54693604,1.179895,106.0
23268,0.7638761,-0.3406573,0.66406137,-0.36002198,-0.54693604,1.179895,106.0
23269,0.7638761,-0.3406573,0.66406137,-0.4959595,-0.45666504,1.2191895,106.0
23270,1.0773972,-0.2149697,0.5121695,-0.4959595,-0.45666504,1.2191895,106.0
23271,1.0773972,-0.2149697,0.5121695,-0.7317261,-0.37489015,1.2138795,106.0
23272,1.0983192,0.21066588,0.12702078,-0.7317261,-0.37489015,1.2138795,106.0
23273,1.0983192,0.21066588,0.12702078,-1.1575928,-0.24638672,1.2106934,106.0
23274,0.71232235,0.5335352,-0.23047566,-1.1575928,-0.24638672,1.2106934,106.0
23275,0.71232235,0.5335352,-0.23047566,-1.363623,-0.22408448,1.2489258,106.0
23276,0.116366684,0.42800003,-0.28575993,-1.363623,-0.22408448,1.2489258,106.0
23277,0.116366684,0.42800003,-0.28575993,-1.0736939,-0.38869628,1.2818482,106.0
23278,-0.18957269,0.091643214,0.0045341253,-1.0736939,-0.38869628,1.2818482,106.0
23279,-0.18957269,0.091643214,0.0045341253,-0.5331299,-0.6000366,1.3338867,106.0
23280,-0.09887496,0.11522129,0.35717952,-0.5331299,-0.6000366,1.3338867,106.0
