,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
17929,run,run,run,run,run,run,run
17930,-0.14472985,-0.047973633,-0.15649414,-0.0053100586,0.08496094,0.019116212,81.0
17931,-0.14472985,-0.047973633,-0.15649414,0.021240234,0.013806152,0.016992187,81.0
17932,-0.11834741,-0.034568787,-0.12456131,0.021240234,0.013806152,0.016992187,81.0
17933,-0.09893823,-0.027656555,-0.09875488,0.021240234,0.013806152,0.016992187,81.0
17934,-0.09893823,-0.027656555,-0.09875488,-0.014868164,0.023364259,-0.014868164,81.0
17935,-1.9627445,3.6607742,-0.22013092,-0.014868164,0.023364259,-0.014868164,81.0
17936,-1.9627445,3.6607742,-0.22013092,0.004248047,0.012744141,-0.03079834,81.0
17937,-1.5758841,2.883232,-0.09143829,0.004248047,0.012744141,-0.03079834,81.0
17938,-1.5758841,2.883232,-0.09143829,-0.020178223,0.010620117,-0.016992187,81.0
17939,-1.263161,2.2936935,-0.0038146973,-0.020178223,0.010620117,-0.016992187,81.0
17940,-1.263161,2.2936935,-0.0038146973,-0.043542482,0.013806152,-0.004248047,81.0
17941,-1.005414,1.7933884,0.16201401,-0.043542482,0.013806152,-0.004248047,81.0
17942,-1.005414,1.7933884,0.16201401,-0.04885254,0.013806152,0.013806152,81.0
17943,-0.8103857,1.415535,0.15295029,-0.04885254,0.013806152,0.013806152,81.0
17944,-0.8103857,1.415535,0.15295029,-0.029736329,0.011682129,0.011682129,81.0
17945,-0.6584892,1.1327591,0.11906433,-0.029736329,0.011682129,0.011682129,81.0
17946,-0.6584892,1.1327591,0.11906433,0.0010620117,0.015930176,0.004248047,81.0
17947,-0.6584892,1.1327591,0.11906433,0.0,0.014868164,0.004248047,81.0
17948,-0.5256562,0.91719055,0.08811951,0.0,0.014868164,0.004248047,81.0
17949,-0.42695808,0.76483154,-0.024719238,0.0,0.014868164,0.004248047,81.0
17950,-0.42695808,0.76483154,-0.024719238,0.0031860352,0.011682129,0.0031860352,81.0
17951,-0.34549713,0.61109924,-0.07339859,0.0031860352,0.011682129,0.0031860352,81.0
17952,-0.34549713,0.61109924,-0.07339859,-0.009558106,0.0010620117,0.012744141,81.0
17953,-0.3008728,0.38414,-0.1898117,-0.009558106,0.0010620117,0.012744141,81.0
17954,-0.3008728,0.38414,-0.1898117,-0.12531738,-0.019116212,-0.035046387,81.0
17955,-0.24895,0.21308899,-0.16059875,-0.12531738,-0.019116212,-0.035046387,81.0
17956,-0.24895,0.21308899,-0.16059875,-0.10513916,-0.022302246,-0.04141846,81.0
17957,-0.16812992,0.25740814,-0.03319168,-0.10513916,-0.022302246,-0.04141846,81.0
17958,-0.16812992,0.25740814,-0.03319168,-0.29948732,-0.023364259,0.0010620117,81.0
17959,-0.14324427,0.20258331,0.009700775,-0.29948732,-0.023364259,0.0010620117,81.0
17960,-0.14324427,0.20258331,0.009700775,-0.6605713,-0.0637207,-0.16673584,81.0
17961,-0.07427549,0.05369568,0.121860504,-0.6605713,-0.0637207,-0.16673584,81.0
17962,-0.07427549,0.05369568,0.121860504,0.004248047,-0.029736329,-0.021240234,81.0
17963,-0.068136215,0.018737793,0.12732315,0.004248047,-0.029736329,-0.021240234,81.0
17964,-0.068136215,0.018737793,0.12732315,-0.04248047,-0.020178223,-0.021240234,81.0
17965,-0.08994627,0.09616852,0.13484192,-0.04248047,-0.020178223,-0.021240234,81.0
17966,-0.08994627,0.09616852,0.13484192,-0.13168946,-0.020178223,-0.023364259,81.0
17967,-0.06842899,0.11432648,0.16417313,-0.13168946,-0.020178223,-0.023364259,81.0
17968,-0.06842899,0.11432648,0.16417313,-0.06796875,-0.02442627,-0.02442627,81.0
17969,-0.039423466,0.0767746,0.1807785,-0.06796875,-0.02442627,-0.02442627,81.0
17970,-0.039423466,0.0767746,0.1807785,-0.05522461,-0.011682129,-0.012744141,81.0
17971,-0.023762703,0.024513245,0.14426804,-0.05522461,-0.011682129,-0.012744141,81.0
17972,-0.023762703,0.024513245,0.14426804,-0.053100586,0.0021240234,-0.025488282,81.0
17973,-0.016703129,-0.005630493,0.08094025,-0.053100586,0.0021240234,-0.025488282,81.0
17974,-0.016703129,-0.005630493,0.08094025,-0.052038576,0.008496094,-0.025488282,81.0
17975,-0.019881248,-0.015731812,0.030647278,-0.052038576,0.008496094,-0.025488282,81.0
17976,-0.019881248,-0.015731812,0.030647278,-0.035046387,0.015930176,-0.022302246,81.0
17977,-0.015746117,-0.0015106201,0.008930206,-0.035046387,0.015930176,-0.022302246,81.0
17978,-0.015746117,-0.0015106201,0.008930206,-0.04141846,0.007434082,-0.03186035,81.0
17979,-0.012291908,0.0018692017,-0.019981384,-0.04141846,0.007434082,-0.03186035,81.0
17980,-0.012291908,0.0018692017,-0.019981384,-0.046728518,-0.0010620117,-0.046728518,81.0
17981,-0.012291908,0.0018692017,-0.019981384,-0.04141846,-0.0031860352,-0.06159668,81.0
17982,-0.001789093,-0.00957489,-0.06222534,-0.04141846,-0.0031860352,-0.06159668,81.0
17983,0.00679636,-0.014884949,-0.09222412,-0.04141846,-0.0031860352,-0.06159668,81.0
17984,0.00679636,-0.014884949,-0.09222412,-0.045666505,-0.010620117,-0.078588866,81.0
17985,0.018413067,-0.019317627,-0.12791443,-0.045666505,-0.010620117,-0.078588866,81.0
17986,0.018413067,-0.019317627,-0.12791443,-0.050976563,-0.011682129,-0.09133301,81.0
17987,0.028634071,-0.025352478,-0.1453247,-0.050976563,-0.011682129,-0.09133301,81.0
17988,0.028634071,-0.025352478,-0.1453247,-0.06796875,-0.012744141,-0.10195313,81.0
17989,0.01946497,-0.0033950806,-0.14431,-0.06796875,-0.012744141,-0.10195313,81.0
17990,0.01946497,-0.0033950806,-0.14431,-0.06796875,-0.028674318,-0.11257324,81.0
17991,0.0051350594,0.053718567,-0.1711998,-0.06796875,-0.028674318,-0.11257324,81.0
17992,0.0051350594,0.053718567,-0.1711998,-0.06584473,-0.052038576,-0.12850343,81.0
17993,-3.3521652E-4,0.12859344,-0.20476913,-0.06584473,-0.052038576,-0.12850343,81.0
17994,-3.3521652E-4,0.12859344,-0.20476913,-0.08496094,-0.070092775,-0.16036378,81.0
17995,0.025622845,0.18997955,-0.19807816,-0.08496094,-0.070092775,-0.16036378,81.0
17996,0.025622845,0.18997955,-0.19807816,-0.10513916,-0.08496094,-0.19434814,81.0
17997,0.07828617,0.22593689,-0.1435585,-0.10513916,-0.08496094,-0.19434814,81.0
17998,0.07828617,0.22593689,-0.1435585,-0.15930176,-0.09451904,-0.21346436,81.0
17999,0.07828617,0.22593689,-0.1435585,-0.20284425,-0.08814698,-0.21877442,81.0
18000,0.10467005,0.2691269,-0.12346268,-0.20284425,-0.08814698,-0.21877442,81.0
18001,0.08113575,0.34371948,-0.17575836,-0.20284425,-0.08814698,-0.21877442,81.0
18002,0.08113575,0.34371948,-0.17575836,-0.17841797,-0.06796875,-0.19753419,81.0
18003,0.04554844,0.43013,-0.27072144,-0.17841797,-0.06796875,-0.19753419,81.0
18004,0.04554844,0.43013,-0.27072144,-0.15080567,-0.0637207,-0.16036378,81.0
18005,0.04808426,0.49938965,-0.35065842,-0.15080567,-0.0637207,-0.16036378,81.0
18006,0.04808426,0.49938965,-0.35065842,-0.15505372,-0.07434082,-0.13275146,81.0
18007,0.11247873,0.5165863,-0.35858917,-0.15505372,-0.07434082,-0.13275146,81.0
18008,0.11247873,0.5165863,-0.35858917,-0.16779785,-0.11257324,-0.11257324,81.0
18009,0.20228767,0.49047852,-0.2849884,-0.16779785,-0.11257324,-0.11257324,81.0
18010,0.20228767,0.49047852,-0.2849884,-0.10301514,-0.13275146,-0.07540283,81.0
18011,0.26720142,0.4587021,-0.16442871,-0.10301514,-0.13275146,-0.07540283,81.0
18012,0.26720142,0.4587021,-0.16442871,-0.052038576,-0.14018555,-0.046728518,81.0
18013,0.27820206,0.4782791,-0.060447693,-0.052038576,-0.14018555,-0.046728518,81.0
18014,0.27820206,0.4782791,-0.060447693,-0.04141846,-0.1444336,-0.05628662,81.0
18015,0.22585773,0.5191574,-0.0184021,-0.04141846,-0.1444336,-0.05628662,81.0
18016,0.22585773,0.5191574,-0.0184021,-0.0361084,-0.1083252,-0.09239502,81.0
18017,0.117807865,0.52316284,-0.025939941,-0.0361084,-0.1083252,-0.09239502,81.0
18018,0.117807865,0.52316284,-0.025939941,-0.07540283,-0.07434082,-0.1539917,81.0
18019,-0.0033369064,0.46633148,-0.062171936,-0.07540283,-0.07434082,-0.1539917,81.0
18020,-0.0033369064,0.46633148,-0.062171936,-0.12956543,-0.04141846,-0.22302246,81.0
18021,-0.08413935,0.30428314,-0.06758499,-0.12956543,-0.04141846,-0.22302246,81.0
18022,-0.08413935,0.30428314,-0.06758499,-0.14868164,-0.020178223,-0.28674316,81.0
18023,-0.08388853,0.065826416,0.017040253,-0.14868164,-0.020178223,-0.28674316,81.0
