,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
14895,run,run,run,run,run,run,run
14896,-0.04973221,-0.29010963,0.83000183,0.08071289,-0.039294433,-0.21346436,109
14897,-0.040115356,-0.24510193,0.667099,0.08071289,-0.039294433,-0.21346436,109
14898,-0.040115356,-0.24510193,0.667099,-0.08071289,-0.02442627,-0.07115479,109
14899,-0.040115356,-0.24510193,0.667099,-0.07965088,-0.05522461,-0.08283692,109
14900,4.625171,-6.53224,-0.8146515,-0.07965088,-0.05522461,-0.08283692,109
14901,3.7193508,-5.3545876,-0.67774963,-0.07965088,-0.05522461,-0.08283692,109
14902,3.7193508,-5.3545876,-0.67774963,-0.04885254,-0.0637207,-0.08496094,109
14903,2.992961,-4.38538,-0.49398804,-0.04885254,-0.0637207,-0.08496094,109
14904,2.992961,-4.38538,-0.49398804,-0.007434082,-0.08920898,-0.08496094,109
14905,2.3757653,-3.5037994,-0.36413574,-0.007434082,-0.08920898,-0.08496094,109
14906,2.3757653,-3.5037994,-0.36413574,0.016992187,-0.11151123,-0.08602295,109
14907,1.8788595,-2.7698002,-0.2398529,0.016992187,-0.11151123,-0.08602295,109
14908,1.8788595,-2.7698002,-0.2398529,-0.022302246,-0.1083252,-0.08496094,109
14909,1.523217,-2.275177,-0.08988953,-0.022302246,-0.1083252,-0.08496094,109
14910,1.523217,-2.275177,-0.08988953,-0.06584473,-0.11044922,-0.081774905,109
14911,1.2716866,-1.97826,0.067108154,-0.06584473,-0.11044922,-0.081774905,109
14912,1.2716866,-1.97826,0.067108154,-0.033984374,-0.13912354,-0.08496094,109
14913,1.0539336,-1.6796417,0.16802979,-0.033984374,-0.13912354,-0.08496094,109
14914,1.0539336,-1.6796417,0.16802979,-0.045666505,-0.1539917,-0.05522461,109
14915,0.84179187,-1.3202877,0.13851929,-0.045666505,-0.1539917,-0.05522461,109
14916,0.84179187,-1.3202877,0.13851929,-0.05628662,-0.1539917,-0.0637207,109
14917,0.65850425,-0.96066093,-0.017990112,-0.05628662,-0.1539917,-0.0637207,109
14918,0.65850425,-0.96066093,-0.017990112,-0.059472658,-0.16567384,-0.050976563,109
14919,0.55425704,-0.6659908,-0.21569824,-0.059472658,-0.16567384,-0.050976563,109
14920,0.55425704,-0.6659908,-0.21569824,-0.027612304,-0.18266602,-0.06690674,109
14921,0.50745595,-0.48473358,-0.35101318,-0.027612304,-0.18266602,-0.06690674,109
14922,0.50745595,-0.48473358,-0.35101318,-0.02442627,-0.16673584,-0.1720459,109
14923,0.4812578,-0.4826355,-0.3716278,-0.02442627,-0.16673584,-0.1720459,109
