,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
14895,run,run,run,run,run,run,run
14896,0.17816353,0.025222778,0.018547058,-0.032922365,-0.070092775,0.04460449,127.0
14897,0.17816353,0.025222778,0.018547058,0.007434082,0.010620117,0.035046387,127.0
14898,0.13375378,0.015037537,0.018203735,0.007434082,0.010620117,0.035046387,127.0
14899,0.13375378,0.015037537,0.018203735,-0.028674318,-0.013806152,-0.07752686,127.0
14900,0.09782314,0.00881958,0.0079193115,-0.028674318,-0.013806152,-0.07752686,127.0
14901,0.09782314,0.00881958,0.0079193115,0.04248047,0.025488282,-0.0722168,127.0
14902,0.42330265,0.4952278,-0.020130157,0.04248047,0.025488282,-0.0722168,127.0
14903,0.42330265,0.4952278,-0.020130157,0.016992187,0.016992187,-0.06478272,127.0
14904,0.3284979,0.414299,-0.040420532,0.016992187,0.016992187,-0.06478272,127.0
14905,0.3284979,0.414299,-0.040420532,-0.0031860352,0.0180542,-0.078588866,127.0
14906,0.28219604,0.31261444,0.100479126,-0.0031860352,0.0180542,-0.078588866,127.0
14907,0.28219604,0.31261444,0.100479126,-0.013806152,0.011682129,-0.059472658,127.0
14908,0.2627077,0.26968384,0.22554779,-0.013806152,0.011682129,-0.059472658,127.0
14909,0.2627077,0.26968384,0.22554779,-0.043542482,0.0010620117,-0.043542482,127.0
14910,0.22536373,0.22449875,0.27957153,-0.043542482,0.0010620117,-0.043542482,127.0
14911,0.22536373,0.22449875,0.27957153,-0.022302246,0.0031860352,-0.04460449,127.0
14912,0.22536373,0.22449875,0.27957153,0.008496094,-0.026550293,-0.053100586,127.0
14913,0.14046001,0.1847992,0.24534607,0.008496094,-0.026550293,-0.053100586,127.0
14914,0.069802284,0.19090652,0.13835144,0.008496094,-0.026550293,-0.053100586,127.0
14915,0.069802284,0.19090652,0.13835144,-0.033984374,-0.027612304,-0.04991455,127.0
14916,0.03020668,0.12099838,0.018371582,-0.033984374,-0.027612304,-0.04991455,127.0
14917,0.03020668,0.12099838,0.018371582,-0.040356446,-0.04141846,-0.06690674,127.0
14918,0.026789665,-0.043426514,-0.067028046,-0.040356446,-0.04141846,-0.06690674,127.0
14919,0.026789665,-0.043426514,-0.067028046,0.039294433,-0.029736329,-0.04991455,127.0
14920,0.039925575,-0.09745026,-0.10758972,0.039294433,-0.029736329,-0.04991455,127.0
14921,0.039925575,-0.09745026,-0.10758972,0.02442627,-0.03717041,-0.053100586,127.0
14922,0.05853939,0.0071105957,-0.12386322,0.02442627,-0.03717041,-0.053100586,127.0
14923,0.05853939,0.0071105957,-0.12386322,-0.0361084,-0.03717041,-0.04885254,127.0
14924,0.10024929,0.09082031,-0.15631866,-0.0361084,-0.03717041,-0.04885254,127.0
14925,0.10024929,0.09082031,-0.15631866,-0.014868164,-0.021240234,-0.04248047,127.0
14926,0.10064602,0.06157303,-0.13298035,-0.014868164,-0.021240234,-0.04248047,127.0
14927,0.10064602,0.06157303,-0.13298035,0.05628662,0.010620117,-0.02442627,127.0
14928,0.034544945,0.0045318604,-0.008773804,0.05628662,0.010620117,-0.02442627,127.0
14929,0.034544945,0.0045318604,-0.008773804,0.019116212,-0.0053100586,-0.0063720704,127.0
14930,0.034544945,0.0045318604,-0.008773804,-0.007434082,-0.03079834,-0.004248047,127.0
14931,-0.052209854,-0.003856659,0.13534927,-0.007434082,-0.03079834,-0.004248047,127.0
14932,-0.064216614,0.037197113,0.18711472,-0.007434082,-0.03079834,-0.004248047,127.0
14933,-0.064216614,0.037197113,0.18711472,-0.06478272,-0.07115479,-0.029736329,127.0
14934,0.013506889,0.07709503,0.1029892,-0.06478272,-0.07115479,-0.029736329,127.0
