,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
16260,run,run,run,run,run,run,run
16261,0.008068085,0.19787598,-0.21116257,0.027612304,0.028674318,0.13168946,124.0
16262,0.008068085,0.19787598,-0.21116257,-0.16885987,-0.016992187,-0.11363526,124.0
16263,-0.009780884,0.17474365,-0.16656494,-0.16885987,-0.016992187,-0.11363526,124.0
16264,-0.009780884,0.17474365,-0.16656494,-0.13487549,-0.14655761,0.13168946,124.0
16265,-0.02347374,0.1556015,-0.12558746,-0.13487549,-0.14655761,0.13168946,124.0
16266,-0.02347374,0.1556015,-0.12558746,-0.04460449,-0.1263794,0.11682129,124.0
16267,1.5792923,-2.8144836,1.4891777,-0.04460449,-0.1263794,0.11682129,124.0
16268,1.5792923,-2.8144836,1.4891777,0.07646485,-0.10513916,0.07540283,124.0
16269,1.3844414,-2.300087,1.223175,0.07646485,-0.10513916,0.07540283,124.0
16270,1.3844414,-2.300087,1.223175,0.13806152,-0.07327881,0.028674318,124.0
16271,1.1567116,-1.7628021,1.0446663,0.13806152,-0.07327881,0.028674318,124.0
16272,1.1567116,-1.7628021,1.0446663,0.095581055,-0.015930176,0.070092775,124.0
16273,0.8905544,-1.2718048,0.83901596,0.095581055,-0.015930176,0.070092775,124.0
16274,0.8905544,-1.2718048,0.83901596,-0.009558106,-0.058410645,0.058410645,124.0
16275,0.65691376,-0.9197006,0.6590309,-0.009558106,-0.058410645,0.058410645,124.0
16276,0.65691376,-0.9197006,0.6590309,-0.027612304,-0.17841797,0.03717041,124.0
16277,0.5669975,-0.7272186,0.49993134,-0.027612304,-0.17841797,0.03717041,124.0
16278,0.5669975,-0.7272186,0.49993134,-0.081774905,-0.17629395,0.07115479,124.0
16279,0.5796242,-0.6345062,0.3676567,-0.081774905,-0.17629395,0.07115479,124.0
16280,0.5796242,-0.6345062,0.3676567,-0.13912354,-0.121069334,0.10407715,124.0
16281,0.5618801,-0.5859604,0.30654907,-0.13912354,-0.121069334,0.10407715,124.0
16282,0.5618801,-0.5859604,0.30654907,-0.10407715,-0.07540283,0.10089111,124.0
16283,0.48428154,-0.5374222,0.29172134,-0.10407715,-0.07540283,0.10089111,124.0
16284,0.48428154,-0.5374222,0.29172134,-0.04991455,-0.046728518,0.090270996,124.0
16285,0.36602688,-0.44245148,0.2628441,-0.04991455,-0.046728518,0.090270996,124.0
16286,0.36602688,-0.44245148,0.2628441,-0.026550293,-0.04991455,0.07540283,124.0
16287,0.28861046,-0.330101,0.20941925,-0.026550293,-0.04991455,0.07540283,124.0
16288,0.28861046,-0.330101,0.20941925,-0.06796875,-0.029736329,0.06159668,124.0
16289,0.24471855,-0.2274704,0.15759659,-0.06796875,-0.029736329,0.06159668,124.0
16290,0.24471855,-0.2274704,0.15759659,-0.052038576,0.008496094,0.07434082,124.0
16291,0.18211555,-0.14488983,0.12652588,-0.052038576,0.008496094,0.07434082,124.0
16292,0.18211555,-0.14488983,0.12652588,-0.050976563,-0.014868164,0.032922365,124.0
16293,0.13648891,-0.12545776,0.11025238,-0.050976563,-0.014868164,0.032922365,124.0
16294,0.13648891,-0.12545776,0.11025238,-0.03717041,-0.03079834,0.039294433,124.0
16295,0.13852406,-0.14089203,0.077228546,-0.03717041,-0.03079834,0.039294433,124.0
16296,0.13852406,-0.14089203,0.077228546,-0.021240234,-0.093457036,0.04460449,124.0
16297,0.22219658,-0.10067749,-0.015037537,-0.021240234,-0.093457036,0.04460449,124.0
16298,0.22219658,-0.10067749,-0.015037537,-0.087084964,-0.07327881,0.10301514,124.0
16299,0.3023672,-0.04273987,-0.08410263,-0.087084964,-0.07327881,0.10301514,124.0
16300,0.3023672,-0.04273987,-0.08410263,-0.16248779,0.011682129,0.15823975,124.0
16301,0.28482628,-0.059890747,-0.041488647,-0.16248779,0.011682129,0.15823975,124.0
16302,0.28482628,-0.059890747,-0.041488647,-0.1731079,0.0637207,0.16142578,124.0
16303,0.17745781,-0.06781769,0.041404724,-0.1731079,0.0637207,0.16142578,124.0
16304,0.17745781,-0.06781769,0.041404724,-0.19647217,0.14230958,0.18479005,124.0
16305,-0.12592888,-0.036956787,0.019878387,-0.19647217,0.14230958,0.18479005,124.0
16306,-0.12592888,-0.036956787,0.019878387,-0.20178223,0.010620117,0.11044922,124.0
16307,-0.33295727,-0.07663727,-0.121974945,-0.20178223,0.010620117,0.11044922,124.0
16308,-0.33295727,-0.07663727,-0.121974945,-0.098767094,-0.09770508,0.0063720704,124.0
16309,-0.20388985,-0.1036911,-0.2736168,-0.098767094,-0.09770508,0.0063720704,124.0
16310,-0.20388985,-0.1036911,-0.2736168,-0.028674318,-0.08814698,0.09451904,124.0
16311,0.008799553,-0.039718628,-0.29748535,-0.028674318,-0.08814698,0.09451904,124.0
16312,0.008799553,-0.039718628,-0.29748535,0.039294433,-0.09664307,0.04991455,124.0
16313,0.14743233,0.038757324,-0.14758301,0.039294433,-0.09664307,0.04991455,124.0
16314,0.14743233,0.038757324,-0.14758301,0.013806152,-0.13912354,0.032922365,124.0
16315,0.211977,0.048362732,0.05701828,0.013806152,-0.13912354,0.032922365,124.0
16316,0.211977,0.048362732,0.05701828,0.025488282,-0.16461182,0.045666505,124.0
16317,0.2350111,0.07304382,0.14823914,0.025488282,-0.16461182,0.045666505,124.0
16318,0.2350111,0.07304382,0.14823914,-0.07434082,-0.1720459,0.010620117,124.0
16319,0.25240135,0.08703613,0.15167236,-0.07434082,-0.1720459,0.010620117,124.0
16320,0.25240135,0.08703613,0.15167236,-0.19541016,-0.13487549,0.08814698,124.0
16321,0.21160126,-0.10025787,0.22447205,-0.19541016,-0.13487549,0.08814698,124.0
16322,0.21160126,-0.10025787,0.22447205,-0.10089111,-0.13912354,0.008496094,124.0
16323,0.10204506,-0.22447968,0.31361008,-0.10089111,-0.13912354,0.008496094,124.0
16324,0.10204506,-0.22447968,0.31361008,-0.07965088,-0.16036378,-0.07965088,124.0
16325,0.030379295,-0.048187256,0.251606,-0.07965088,-0.16036378,-0.07965088,124.0
16326,0.030379295,-0.048187256,0.251606,-0.18797608,-0.13699952,-0.012744141,124.0
16327,0.0153923035,0.11328125,0.0855484,-0.18797608,-0.13699952,-0.012744141,124.0
16328,0.0153923035,0.11328125,0.0855484,-0.1444336,-0.08814698,0.095581055,124.0
16329,0.0153923035,0.11328125,0.0855484,-0.10938721,-0.0361084,0.08814698,124.0
16330,-0.006082535,0.11047363,-0.028839111,-0.10938721,-0.0361084,0.08814698,124.0
