,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
16302,run,run,run,run,run,run,run
16303,-0.069761276,0.14514542,-0.22501755,0.17416993,0.028674318,-0.18372802,110.0
16304,-0.25414848,0.038978577,0.16213608,0.17416993,0.028674318,-0.18372802,110.0
16305,-0.19628716,0.034748077,0.13526154,0.17416993,0.028674318,-0.18372802,110.0
16306,-0.19628716,0.034748077,0.13526154,0.0063720704,-0.08496094,0.025488282,110.0
16307,-0.14771557,0.03294754,0.114227295,0.0063720704,-0.08496094,0.025488282,110.0
16308,-0.14771557,0.03294754,0.114227295,-0.0053100586,-0.07965088,0.04460449,110.0
16309,0.7844391,-0.9874611,-0.32614517,-0.0053100586,-0.07965088,0.04460449,110.0
16310,0.7844391,-0.9874611,-0.32614517,0.0,-0.08496094,0.045666505,110.0
16311,0.7101202,-0.80965805,-0.2562027,0.0,-0.08496094,0.045666505,110.0
16312,0.7101202,-0.80965805,-0.2562027,0.028674318,-0.04460449,0.053100586,110.0
16313,0.6273365,-0.66241455,-0.20086288,0.028674318,-0.04460449,0.053100586,110.0
16314,0.6273365,-0.66241455,-0.20086288,0.04248047,-0.025488282,0.057348635,110.0
16315,0.5022478,-0.52628326,-0.14212418,0.04248047,-0.025488282,0.057348635,110.0
16316,0.5022478,-0.52628326,-0.14212418,0.027612304,-0.021240234,0.052038576,110.0
16317,0.39534092,-0.42972946,-0.04459381,0.027612304,-0.021240234,0.052038576,110.0
16318,0.39534092,-0.42972946,-0.04459381,0.0,-0.013806152,0.05628662,110.0
16319,0.31505203,-0.3809662,-0.0054626465,0.0,-0.013806152,0.05628662,110.0
16320,0.31505203,-0.3809662,-0.0054626465,0.015930176,-0.016992187,0.028674318,110.0
16321,0.31505203,-0.3809662,-0.0054626465,-0.0031860352,-0.023364259,0.012744141,110.0
16322,0.24443626,-0.29032135,-0.054332733,-0.0031860352,-0.023364259,0.012744141,110.0
16323,0.19672108,-0.1481247,-0.111968994,-0.0031860352,-0.023364259,0.012744141,110.0
16324,0.19672108,-0.1481247,-0.111968994,-0.1178833,-0.03079834,0.02442627,110.0
16325,0.16440868,-0.07860565,-0.12414551,-0.1178833,-0.03079834,0.02442627,110.0
16326,0.16440868,-0.07860565,-0.12414551,-0.17841797,-0.050976563,0.035046387,110.0
16327,0.12771797,-0.15476608,-0.10519791,-0.17841797,-0.050976563,0.035046387,110.0
16328,0.12771797,-0.15476608,-0.10519791,-0.20603028,-0.060534667,0.02442627,110.0
16329,0.10337067,-0.29102325,-0.06577301,-0.20603028,-0.060534667,0.02442627,110.0
16330,0.10337067,-0.29102325,-0.06577301,-0.20921631,-0.06265869,0.013806152,110.0
16331,0.09542847,-0.33701706,0.0337677,-0.20921631,-0.06265869,0.013806152,110.0
16332,0.09542847,-0.33701706,0.0337677,-0.23789063,-0.09133301,0.04885254,110.0
16333,0.061365128,-0.28050232,0.11067963,-0.23789063,-0.09133301,0.04885254,110.0
16334,0.061365128,-0.28050232,0.11067963,-0.32072756,-0.14549561,0.043542482,110.0
16335,0.03289318,-0.3192482,0.07589722,-0.32072756,-0.14549561,0.043542482,110.0
16336,0.03289318,-0.3192482,0.07589722,-0.18266602,-0.13275146,0.0,110.0
