,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
16021,run,run,run,run,run,run,run
16022,0.2539174,-4.5800285,-6.8302274,2.0518067,-0.1178833,0.7688965,99.0
16023,0.21393716,-3.6392791,-5.4814305,2.0518067,-0.1178833,0.7688965,99.0
16024,0.21393716,-3.6392791,-5.4814305,-0.1985962,0.03079834,-0.08283692,99.0
16025,0.17936504,-2.8897438,-4.4002566,-0.1985962,0.03079834,-0.08283692,99.0
16026,0.17936504,-2.8897438,-4.4002566,-0.16567384,0.0053100586,-0.08283692,99.0
16027,1.001329,-1.7772491,3.9986057,-0.16567384,0.0053100586,-0.08283692,99.0
16028,1.001329,-1.7772491,3.9986057,-0.13168946,-0.033984374,-0.07965088,99.0
16029,0.8484142,-1.3936865,3.2328691,-0.13168946,-0.033984374,-0.07965088,99.0
16030,0.8484142,-1.3936865,3.2328691,-0.14230958,-0.040356446,-0.081774905,99.0
16031,0.74500334,-1.0996048,2.7578773,-0.14230958,-0.040356446,-0.081774905,99.0
16032,0.74500334,-1.0996048,2.7578773,-0.19647217,-0.016992187,-0.10195313,99.0
16033,0.6625432,-0.91230106,2.2852082,-0.19647217,-0.016992187,-0.10195313,99.0
16034,0.6625432,-0.91230106,2.2852082,-0.18266602,-0.009558106,-0.11257324,99.0
16035,0.5753226,-0.7790475,1.7880176,-0.18266602,-0.009558106,-0.11257324,99.0
16036,0.5753226,-0.7790475,1.7880176,-0.14974366,-0.020178223,-0.1083252,99.0
16037,0.4745648,-0.6168051,1.3621036,-0.14974366,-0.020178223,-0.1083252,99.0
16038,0.4745648,-0.6168051,1.3621036,-0.17841797,-0.016992187,-0.11044922,99.0
16039,-1.4732412,3.2025032,-0.25206518,-0.17841797,-0.016992187,-0.11044922,99.0
16040,-1.4732412,3.2025032,-0.25206518,-0.20178223,-0.011682129,-0.1083252,99.0
16041,-1.1473308,2.4859774,-0.18883476,-0.20178223,-0.011682129,-0.1083252,99.0
16042,-1.1473308,2.4859774,-0.18883476,-0.16779785,-0.009558106,-0.11257324,99.0
16043,-0.84384114,1.8906252,-0.18777436,-0.16779785,-0.009558106,-0.11257324,99.0
16044,-0.84384114,1.8906252,-0.18777436,-0.14974366,-0.004248047,-0.1263794,99.0
16045,-0.57823455,1.4805179,-0.24056374,-0.14974366,-0.004248047,-0.1263794,99.0
16046,-0.57823455,1.4805179,-0.24056374,-0.16248779,0.009558106,-0.1720459,99.0
16047,-0.35948706,1.210745,-0.29188946,-0.16248779,0.009558106,-0.1720459,99.0
16048,-0.35948706,1.210745,-0.29188946,-0.2623169,0.04991455,-0.23258057,99.0
16049,-0.35948706,1.210745,-0.29188946,-0.36745605,0.083898924,-0.29630128,99.0
16050,-0.19916195,0.99582994,-0.3304354,-0.36745605,0.083898924,-0.29630128,99.0
16051,-0.0949375,0.79338026,-0.388799,-0.36745605,0.083898924,-0.29630128,99.0
16052,-0.0949375,0.79338026,-0.388799,-0.48215333,0.1178833,-0.36108398,99.0
16053,0.008571446,0.6140499,-0.46600747,-0.48215333,0.1178833,-0.36108398,99.0
16054,0.008571446,0.6140499,-0.46600747,-0.6042847,0.15080567,-0.4364868,99.0
16055,0.08464038,0.4643234,-0.5705721,-0.6042847,0.15080567,-0.4364868,99.0
16056,0.08464038,0.4643234,-0.5705721,-0.72216797,0.18266602,-0.5299439,99.0
