,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
13028,run,run,run,run,run,run,run
13029,-0.0729208,-0.4049301,0.47121048,-0.06478272,-0.06690674,-0.011682129,128.0
13030,-0.0729208,-0.4049301,0.47121048,-0.45666504,0.06903076,-0.09239502,128.0
13031,-0.045262337,-0.3214569,0.30693817,-0.45666504,0.06903076,-0.09239502,128.0
13032,-0.039139748,-0.25266266,0.21076202,-0.45666504,0.06903076,-0.09239502,128.0
13033,-0.039139748,-0.25266266,0.21076202,-0.21558838,0.08496094,0.016992187,128.0
13034,-0.70142937,0.6065521,-0.81796265,-0.21558838,0.08496094,0.016992187,128.0
13035,-0.70142937,0.6065521,-0.81796265,-0.06265869,0.07646485,0.045666505,128.0
13036,-0.59477425,0.46761322,-0.73233795,-0.06265869,0.07646485,0.045666505,128.0
13037,-0.59477425,0.46761322,-0.73233795,0.083898924,0.053100586,0.039294433,128.0
13038,-0.47524548,0.41874695,-0.53316116,0.083898924,0.053100586,0.039294433,128.0
13039,-0.47524548,0.41874695,-0.53316116,0.052038576,0.04991455,-0.035046387,128.0
13040,-0.3510828,0.38124084,-0.4003067,0.052038576,0.04991455,-0.035046387,128.0
13041,-0.3510828,0.38124084,-0.4003067,-0.06584473,0.059472658,-0.11469727,128.0
13042,-0.3510828,0.38124084,-0.4003067,-0.078588866,0.04141846,-0.14655761,128.0
13043,-0.25676918,0.3227768,-0.32058716,-0.078588866,0.04141846,-0.14655761,128.0
13044,-0.19347668,0.2649231,-0.27331543,-0.078588866,0.04141846,-0.14655761,128.0
13045,-0.19347668,0.2649231,-0.27331543,-0.08602295,0.028674318,-0.13381349,128.0
13046,-0.15069199,0.2239914,-0.24461365,-0.08602295,0.028674318,-0.13381349,128.0
13047,-0.15069199,0.2239914,-0.24461365,-0.11257324,0.015930176,-0.10938721,128.0
13048,-0.12632751,0.19233704,-0.24033356,-0.11257324,0.015930176,-0.10938721,128.0
13049,-0.12632751,0.19233704,-0.24033356,-0.1274414,0.0063720704,-0.095581055,128.0
13050,-0.11428261,0.1607132,-0.2306366,-0.1274414,0.0063720704,-0.095581055,128.0
13051,-0.11428261,0.1607132,-0.2306366,-0.14549561,0.0021240234,-0.070092775,128.0
13052,-0.12179756,0.16333771,-0.2230835,-0.14549561,0.0021240234,-0.070092775,128.0
13053,-0.12179756,0.16333771,-0.2230835,-0.17416993,0.0063720704,-0.06584473,128.0
