,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
17651,run,run,run,run,run,run,run
17652,-0.056984186,0.09162903,-0.493618,-0.050976563,0.07540283,0.057348635,121.0
17653,0.014410257,0.124938965,-0.4526329,-0.050976563,0.07540283,0.057348635,121.0
17654,0.014410257,0.124938965,-0.4526329,-0.4598511,0.022302246,-0.45772704,121.0
17655,0.073503375,0.15179443,-0.41262054,-0.4598511,0.022302246,-0.45772704,121.0
17656,0.073503375,0.15179443,-0.41262054,-0.41843262,0.039294433,-0.4704712,121.0
17657,0.7289809,-2.505104,0.5817833,-0.41843262,0.039294433,-0.4704712,121.0
17658,0.7289809,-2.505104,0.5817833,-0.38338622,0.04991455,-0.4619751,121.0
17659,0.6277892,-1.96064,0.4213829,-0.38338622,0.04991455,-0.4619751,121.0
17660,0.6277892,-1.96064,0.4213829,-0.3802002,0.040356446,-0.45772704,121.0
17661,0.5250341,-1.4158401,0.3430252,-0.3802002,0.040356446,-0.45772704,121.0
17662,0.5250341,-1.4158401,0.3430252,-0.38975832,0.060534667,-0.47578126,121.0
17663,0.43156296,-0.96105194,0.304142,-0.38975832,0.060534667,-0.47578126,121.0
17664,0.43156296,-0.96105194,0.304142,-0.4056885,0.09133301,-0.4959595,121.0
17665,0.36910293,-0.6972351,0.29092026,-0.4056885,0.09133301,-0.4959595,121.0
17666,0.36910293,-0.6972351,0.29092026,-0.34940186,0.0998291,-0.49383545,121.0
17667,0.32553136,-0.5441055,0.27099228,-0.34940186,0.0998291,-0.49383545,121.0
17668,0.32553136,-0.5441055,0.27099228,-0.32603762,0.10513916,-0.44710693,121.0
17669,0.27332792,-0.35951233,0.22119904,-0.32603762,0.10513916,-0.44710693,121.0
17670,0.27332792,-0.35951233,0.22119904,-0.33134767,0.1083252,-0.3993164,121.0
17671,0.27332792,-0.35951233,0.22119904,-0.33771974,0.11151123,-0.35789797,121.0
17672,0.19092795,-0.115219116,0.14231873,-0.33771974,0.11151123,-0.35789797,121.0
17673,0.117354184,0.11067963,0.12786865,-0.33771974,0.11151123,-0.35789797,121.0
17674,0.117354184,0.11067963,0.12786865,-0.34833986,0.16461182,-0.35152587,121.0
17675,0.07615873,0.15306854,0.25621414,-0.34833986,0.16461182,-0.35152587,121.0
17676,0.07615873,0.15306854,0.25621414,-0.30373535,0.23151855,-0.29523927,121.0
17677,0.0054216236,-0.0077590942,0.40079498,-0.30373535,0.23151855,-0.29523927,121.0
17678,0.0054216236,-0.0077590942,0.40079498,-0.20390625,0.26762697,-0.21346436,121.0
17679,-0.16206896,-0.18218231,0.4301567,-0.20390625,0.26762697,-0.21346436,121.0
17680,-0.16206896,-0.18218231,0.4301567,-0.07965088,0.29630128,-0.10195313,121.0
17681,-0.36227238,-0.19023132,0.43243408,-0.07965088,0.29630128,-0.10195313,121.0
17682,-0.36227238,-0.19023132,0.43243408,-0.02442627,0.2793091,-0.06159668,121.0
17683,-0.47726908,-0.11445618,0.48101807,-0.02442627,0.2793091,-0.06159668,121.0
17684,-0.47726908,-0.11445618,0.48101807,-0.09770508,0.32391357,-0.17947999,121.0
17685,-0.42884898,-0.17739105,0.46878433,-0.09770508,0.32391357,-0.17947999,121.0
17686,-0.42884898,-0.17739105,0.46878433,-0.32497558,0.44710693,-0.32391357,121.0
17687,-0.2650274,-0.3644104,0.30513,-0.32497558,0.44710693,-0.32391357,121.0
