,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18420,run,run,run,run,run,run,run
18421,-0.7988014,0.03254509,-0.5198517,-0.47684327,0.32178956,-0.55755615,73.0
18422,-0.6391268,0.026035309,-0.4158783,-0.47684327,0.32178956,-0.55755615,73.0
18423,-0.54413843,0.13469505,-0.33706665,-0.47684327,0.32178956,-0.55755615,73.0
18424,-0.54413843,0.13469505,-0.33706665,-0.76677245,-0.23789063,-0.38869628,73.0
18425,0.9466963,-0.48278427,-0.32598877,-0.76677245,-0.23789063,-0.38869628,73.0
18426,0.9466963,-0.48278427,-0.32598877,-0.7858887,-0.22939454,-0.39188233,73.0
18427,0.73689795,-0.3029766,-0.19252014,-0.7858887,-0.22939454,-0.39188233,73.0
18428,0.73689795,-0.3029766,-0.19252014,-0.724292,-0.20178223,-0.40144044,73.0
18429,0.7019453,-0.0056495667,-0.011199951,-0.724292,-0.20178223,-0.40144044,73.0
18430,0.7019453,-0.0056495667,-0.011199951,-0.74659425,-0.18372802,-0.2888672,73.0
18431,0.6418905,0.32170105,0.06674194,-0.74659425,-0.18372802,-0.2888672,73.0
18432,0.6418905,0.32170105,0.06674194,-0.7890747,-0.1709839,-0.23789063,73.0
18433,0.42847824,0.4621086,0.058547974,-0.7890747,-0.1709839,-0.23789063,73.0
18434,0.42847824,0.4621086,0.058547974,-0.8071289,-0.19222413,-0.31116945,73.0
18435,0.062191486,0.4506073,0.12313843,-0.8071289,-0.19222413,-0.31116945,73.0
18436,0.062191486,0.4506073,0.12313843,-0.76677245,-0.29630128,-0.6595093,73.0
18437,0.058871746,0.32168007,0.2032013,-0.76677245,-0.29630128,-0.6595093,73.0
18438,0.058871746,0.32168007,0.2032013,-0.73597413,-0.270813,-0.6287109,73.0
18439,0.4165554,-0.081596375,0.5936432,-0.73597413,-0.270813,-0.6287109,73.0
18440,0.4165554,-0.081596375,0.5936432,-0.6924316,-0.20284425,-0.57561034,73.0
18441,0.4165554,-0.081596375,0.5936432,-0.7699585,-0.19222413,-0.53100586,73.0
18442,0.36885214,0.08065796,0.6022644,-0.7699585,-0.19222413,-0.53100586,73.0
18443,0.27190065,0.6998787,0.49752808,-0.7699585,-0.19222413,-0.53100586,73.0
18444,0.27190065,0.6998787,0.49752808,-1.0981201,-0.1720459,-0.3802002,73.0
18445,0.17295265,0.8058014,0.3197174,-1.0981201,-0.1720459,-0.3802002,73.0
18446,0.17295265,0.8058014,0.3197174,-1.1629028,-0.14868164,-0.32816163,73.0
18447,0.14323235,0.290308,-0.12815857,-1.1629028,-0.14868164,-0.32816163,73.0
18448,0.14323235,0.290308,-0.12815857,-1.0036011,-0.08496094,-0.2899292,73.0
18449,0.09044027,0.13235664,-0.21511841,-1.0036011,-0.08496094,-0.2899292,73.0
18450,0.09044027,0.13235664,-0.21511841,-0.9154541,-0.087084964,-0.2814331,73.0
18451,-0.21099758,0.15641022,-0.59402466,-0.9154541,-0.087084964,-0.2814331,73.0
18452,-0.21099758,0.15641022,-0.59402466,-1.0131592,-0.14868164,-0.25700685,73.0
18453,-0.35036564,0.37929153,-0.58906555,-1.0131592,-0.14868164,-0.25700685,73.0
18454,-0.35036564,0.37929153,-0.58906555,-1.1331666,-0.21027832,-0.2538208,73.0
18455,-0.5764108,-0.04652977,-0.568573,-1.1331666,-0.21027832,-0.2538208,73.0
18456,-0.5764108,-0.04652977,-0.568573,-1.2818482,-0.53100586,-0.29736328,73.0
18457,-0.42162657,-0.41172218,-0.24372864,-1.2818482,-0.53100586,-0.29736328,73.0
18458,-0.42162657,-0.41172218,-0.24372864,-1.2287476,-0.630835,-0.2824951,73.0
18459,0.08052111,-1.3112869,0.35673523,-1.2287476,-0.630835,-0.2824951,73.0
18460,0.08052111,-1.3112869,0.35673523,-1.0790039,-0.6754395,-0.32072756,73.0
18461,0.18343544,-1.3448067,0.52835083,-1.0790039,-0.6754395,-0.32072756,73.0
18462,0.18343544,-1.3448067,0.52835083,-0.9420044,-0.64570314,-0.33134767,73.0
18463,-0.3437791,-0.5561676,-0.004638672,-0.9420044,-0.64570314,-0.33134767,73.0
18464,-0.3437791,-0.5561676,-0.004638672,-0.8963379,-0.57561034,-0.3154175,73.0
18465,-0.8445058,-0.15806961,-0.6318512,-0.8963379,-0.57561034,-0.3154175,73.0
18466,-0.8445058,-0.15806961,-0.6318512,-0.60216063,-0.5331299,-0.33240968,73.0
