,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
16880,run,run,run,run,run,run,run
16881,-0.14466074,0.23699836,-0.08930443,-0.1709839,0.046728518,-0.02442627,115.0
16882,-0.13268417,0.21231599,-0.07724188,-0.1709839,0.046728518,-0.02442627,115.0
16883,-0.13268417,0.21231599,-0.07724188,-0.1529297,-0.10938721,0.03079834,115.0
16884,-0.12512927,0.18905446,-0.06677397,-0.1529297,-0.10938721,0.03079834,115.0
16885,-0.12512927,0.18905446,-0.06677397,-0.13381349,-0.1178833,0.040356446,115.0
16886,-0.1525326,0.99455416,-0.40313843,-0.13381349,-0.1178833,0.040356446,115.0
16887,-0.1525326,0.99455416,-0.40313843,-0.14549561,-0.10407715,0.040356446,115.0
16888,-0.06466526,0.8206555,-0.18204443,-0.14549561,-0.10407715,0.040356446,115.0
16889,-0.06466526,0.8206555,-0.18204443,-0.14549561,-0.08814698,0.04460449,115.0
16890,0.0036633052,0.6791807,-0.007537402,-0.14549561,-0.08814698,0.04460449,115.0
16891,0.0036633052,0.6791807,-0.007537402,-0.09770508,-0.07646485,0.045666505,115.0
16892,0.06920262,0.5639988,0.071338244,-0.09770508,-0.07646485,0.045666505,115.0
16893,0.06920262,0.5639988,0.071338244,-0.0998291,-0.050976563,0.04248047,115.0
16894,0.11067215,0.4594754,0.08420683,-0.0998291,-0.050976563,0.04248047,115.0
16895,0.11067215,0.4594754,0.08420683,-0.1178833,-0.02442627,0.04460449,115.0
16896,0.11067215,0.4594754,0.08420683,-0.10407715,-0.0053100586,0.045666505,115.0
16897,0.10863049,0.29247046,0.067182355,-0.10407715,-0.0053100586,0.045666505,115.0
16898,0.091836035,0.13827324,0.03024735,-0.10407715,-0.0053100586,0.045666505,115.0
16899,0.091836035,0.13827324,0.03024735,-0.095581055,0.014868164,0.04885254,115.0
16900,0.08836141,0.033995032,-0.019039426,-0.095581055,0.014868164,0.04885254,115.0
16901,0.08836141,0.033995032,-0.019039426,-0.09239502,0.029736329,0.046728518,115.0
16902,0.06728336,-0.024818182,-0.08932822,-0.09239502,0.029736329,0.046728518,115.0
16903,0.06728336,-0.024818182,-0.08932822,-0.081774905,0.035046387,0.04248047,115.0
16904,0.031536654,-0.044219732,-0.15711932,-0.081774905,0.035046387,0.04248047,115.0
16905,0.031536654,-0.044219732,-0.15711932,-0.08283692,0.032922365,0.039294433,115.0
16906,0.0040501207,-0.039892435,-0.21904263,-0.08283692,0.032922365,0.039294433,115.0
16907,0.0040501207,-0.039892435,-0.21904263,-0.08920898,0.028674318,0.022302246,115.0
16908,0.0015311092,-0.047160566,-0.2686423,-0.08920898,0.028674318,0.022302246,115.0
16909,0.0015311092,-0.047160566,-0.2686423,-0.10089111,0.021240234,0.007434082,115.0
16910,0.016337186,-0.07906151,-0.30461112,-0.10089111,0.021240234,0.007434082,115.0
16911,0.016337186,-0.07906151,-0.30461112,-0.1083252,0.0063720704,-0.011682129,115.0
16912,0.02049163,-0.07446748,-0.35109857,-0.1083252,0.0063720704,-0.011682129,115.0
16913,0.02049163,-0.07446748,-0.35109857,-0.15823975,-0.010620117,-0.032922365,115.0
16914,0.02049163,-0.07446748,-0.35109857,-0.21452637,-0.035046387,-0.05522461,115.0
16915,0.017687246,-0.030045152,-0.39909178,-0.21452637,-0.035046387,-0.05522461,115.0
16916,0.04358095,0.03896433,-0.50114596,-0.21452637,-0.035046387,-0.05522461,115.0
16917,0.04358095,0.03896433,-0.50114596,-0.29205322,-0.060534667,-0.10620117,115.0
16918,0.14078517,0.16969687,-0.7360242,-0.29205322,-0.060534667,-0.10620117,115.0
16919,0.14078517,0.16969687,-0.7360242,-0.41737062,-0.07752686,-0.20072022,115.0
16920,0.33883664,0.26325995,-1.0541393,-0.41737062,-0.07752686,-0.20072022,115.0
16921,0.33883664,0.26325995,-1.0541393,-0.540564,-0.124255374,-0.29948732,115.0
16922,0.5465088,0.29960942,-1.3592416,-0.540564,-0.124255374,-0.29948732,115.0
16923,0.5465088,0.29960942,-1.3592416,-0.74022216,-0.20072022,-0.41843262,115.0
16924,0.6878296,0.34843993,-1.6563752,-0.74022216,-0.20072022,-0.41843262,115.0
16925,0.6878296,0.34843993,-1.6563752,-1.075818,-0.29417726,-0.7051758,115.0
16926,0.7435254,0.3398726,-1.9167628,-1.075818,-0.29417726,-0.7051758,115.0
16927,0.7435254,0.3398726,-1.9167628,-1.4963745,-0.4056885,-0.84111327,115.0
16928,0.7083945,0.16636825,-2.0213132,-1.4963745,-0.4056885,-0.84111327,115.0
16929,0.7083945,0.16636825,-2.0213132,-1.809668,-0.5872925,-1.0641358,115.0
16930,0.7028606,-0.015538216,-1.8110693,-1.809668,-0.5872925,-1.0641358,115.0
16931,0.7028606,-0.015538216,-1.8110693,-2.1442018,-0.75296634,-1.2786621,115.0
16932,0.81394863,-0.046256304,-1.2197783,-2.1442018,-0.75296634,-1.2786621,115.0
16933,0.81394863,-0.046256304,-1.2197783,-2.5594482,-0.8814697,-1.4677002,115.0
16934,1.0088615,-0.06353092,-0.37556624,-2.5594482,-0.8814697,-1.4677002,115.0
16935,1.0088615,-0.06353092,-0.37556624,-2.9056642,-0.90058595,-1.6238159,115.0
16936,1.138327,-0.1808784,0.29979134,-2.9056642,-0.90058595,-1.6238159,115.0
16937,1.138327,-0.1808784,0.29979134,-3.0639038,-0.9791748,-1.8394043,115.0
16938,1.0267627,-0.24271297,0.500746,-3.0639038,-0.9791748,-1.8394043,115.0
16939,1.0267627,-0.24271297,0.500746,-3.0214233,-1.0875,-2.1218994,115.0
16940,1.0267627,-0.24271297,0.500746,-3.1159425,-1.1968873,-2.4543092,115.0
16941,0.77980876,-0.0071097612,0.40486932,-3.1159425,-1.1968873,-2.4543092,115.0
16942,0.57799745,0.45034242,0.2979555,-3.1159425,-1.1968873,-2.4543092,115.0
16943,0.57799745,0.45034242,0.2979555,-3.4929566,-1.2945923,-2.8430054,115.0
16944,0.52105284,0.7354326,0.2684183,-3.4929566,-1.2945923,-2.8430054,115.0
16945,0.52105284,0.7354326,0.2684183,-4.0250244,-1.2924683,-3.3166625,115.0
16946,0.6314783,0.44031143,0.40805745,-4.0250244,-1.2924683,-3.3166625,115.0
16947,0.6314783,0.44031143,0.40805745,-4.338318,-1.2945923,-3.797754,115.0
16948,0.8004463,-0.29518747,0.76456857,-4.338318,-1.2945923,-3.797754,115.0
16949,0.8004463,-0.29518747,0.76456857,-4.5751467,-1.357251,-4.1705203,115.0
16950,0.8494148,-0.83499026,1.116379,-4.5751467,-1.357251,-4.1705203,115.0
16951,0.8494148,-0.83499026,1.116379,-4.86189,-1.5059327,-4.610193,115.0
16952,0.7783723,-0.8237295,1.2323,-4.86189,-1.5059327,-4.610193,115.0
16953,0.7783723,-0.8237295,1.2323,-5.352539,-1.4358399,-5.0498657,115.0
16954,0.7004199,-0.67017746,1.1375368,-5.352539,-1.4358399,-5.0498657,115.0
16955,0.7004199,-0.67017746,1.1375368,-5.793274,-1.3753052,-5.4863524,115.0
16956,0.7004199,-0.67017746,1.1375368,-6.3784423,-1.2945923,-5.6382203,115.0
16957,0.733871,-0.7992279,0.96645033,-6.3784423,-1.2945923,-5.6382203,115.0
16958,0.90576124,-1.3532617,0.75109005,-6.3784423,-1.2945923,-5.6382203,115.0
16959,0.90576124,-1.3532617,0.75109005,-6.796875,-1.1214844,-5.9037232,115.0
16960,1.0203733,-1.8996626,0.59191203,-6.796875,-1.1214844,-5.9037232,115.0
16961,1.0203733,-1.8996626,0.59191203,-7.3841677,-0.91864014,-6.142676,115.0
16962,1.1076927,-2.010038,0.44950616,-7.3841677,-0.91864014,-6.142676,115.0
16963,1.1076927,-2.010038,0.44950616,-8.189173,-0.35046387,-6.1915283,115.0
16964,1.2918549,-2.1533427,0.27648723,-8.189173,-0.35046387,-6.1915283,115.0
16965,1.2918549,-2.1533427,0.27648723,-8.638404,0.1529297,-6.2871094,115.0
16966,1.377234,-2.9051204,0.23367763,-8.638404,0.1529297,-6.2871094,115.0
16967,1.377234,-2.9051204,0.23367763,-8.25077,0.9632446,-6.0428467,115.0
16968,1.2239671,-4.0770016,0.28577018,-8.25077,0.9632446,-6.0428467,115.0
16969,1.2239671,-4.0770016,0.28577018,-6.355078,1.2999023,-6.0927615,115.0
16970,0.9285388,-4.4321456,0.022024393,-6.355078,1.2999023,-6.0927615,115.0
16971,0.9285388,-4.4321456,0.022024393,-4.7556887,1.6588624,-6.0184207,115.0
16972,0.5994835,-3.687086,-0.5395582,-4.7556887,1.6588624,-6.0184207,115.0
16973,0.5994835,-3.687086,-0.5395582,-3.516321,1.7799317,-5.549011,115.0
16974,0.307724,-2.9220324,-0.96594834,-3.516321,1.7799317,-5.549011,115.0
16975,0.307724,-2.9220324,-0.96594834,-2.5668824,1.7586914,-5.0148196,115.0
16976,-0.15281963,-2.533585,-0.9942918,-2.5668824,1.7586914,-5.0148196,115.0
16977,-0.15281963,-2.533585,-0.9942918,-2.0273805,1.6004517,-4.506116,115.0
16978,-0.7850485,-2.0728397,-0.81301165,-2.0273805,1.6004517,-4.506116,115.0
16979,-0.7850485,-2.0728397,-0.81301165,-1.9339234,1.3168945,-3.8306763,115.0
16980,-1.3464227,-1.432661,-0.6286075,-1.9339234,1.3168945,-3.8306763,115.0
16981,-1.3464227,-1.432661,-0.6286075,-2.2323487,1.1554688,-3.1998413,115.0
16982,-1.7355366,-1.0367298,-0.47610378,-2.2323487,1.1554688,-3.1998413,115.0
16983,-1.7355366,-1.0367298,-0.47610378,-2.4543092,0.97067875,-2.6051147,115.0
16984,-10.748903,4.2283554,-0.40943527,-2.4543092,0.97067875,-2.6051147,115.0
16985,-10.748903,4.2283554,-0.40943527,-2.162256,0.7540283,-1.9997681,115.0
16986,-0.13425422,-1.994,-0.5368867,-2.162256,0.7540283,-1.9997681,115.0
16987,-0.13425422,-1.994,-0.5368867,-1.806482,0.56605226,-1.5696534,115.0
16988,-0.5240905,-1.6665134,-0.7272999,-1.806482,0.56605226,-1.5696534,115.0
16989,-0.5240905,-1.6665134,-0.7272999,-1.4294678,0.42161867,-1.2372437,115.0
16990,-0.8736181,-1.5468216,-0.6624675,-1.4294678,0.42161867,-1.2372437,115.0
16991,-0.8736181,-1.5468216,-0.6624675,-0.8793457,0.22939454,-0.994043,115.0
16992,-1.0269829,-1.5155582,-0.35284996,-0.8793457,0.22939454,-0.994043,115.0
16993,-1.0269829,-1.5155582,-0.35284996,-0.2782471,0.087084964,-0.80606693,115.0
16994,-0.8831464,-1.1246052,0.012275696,-0.2782471,0.087084964,-0.80606693,115.0
16995,-0.8831464,-1.1246052,0.012275696,0.1709839,-0.03079834,-0.7880127,115.0
16996,-0.45549178,-0.49520397,0.35001826,0.1709839,-0.03079834,-0.7880127,115.0
16997,-0.45549178,-0.49520397,0.35001826,0.2623169,-0.18160401,-0.65844727,115.0
16998,0.10175645,-0.43203926,0.61532974,0.2623169,-0.18160401,-0.65844727,115.0
16999,0.10175645,-0.43203926,0.61532974,0.12000733,-0.32709962,-0.37382814,115.0
17000,0.4550135,-1.0800552,0.73531795,0.12000733,-0.32709962,-0.37382814,115.0
17001,0.4550135,-1.0800552,0.73531795,0.0031860352,-0.45135498,0.040356446,115.0
17002,0.47998977,-1.6052799,0.8405371,0.0031860352,-0.45135498,0.040356446,115.0
17003,0.47998977,-1.6052799,0.8405371,0.44498292,-0.60109866,0.2527588,115.0
17004,0.1987257,-1.487874,1.0130913,0.44498292,-0.60109866,0.2527588,115.0
17005,0.1987257,-1.487874,1.0130913,1.3349488,-0.817749,0.5787964,115.0
17006,-0.28646624,-1.223978,1.224804,1.3349488,-0.817749,0.5787964,115.0
17007,-0.28646624,-1.223978,1.224804,2.1941164,-0.99085695,1.3137085,115.0
17008,-0.43093085,-1.0854568,1.5760591,2.1941164,-0.99085695,1.3137085,115.0
17009,-0.43093085,-1.0854568,1.5760591,3.2093995,-1.1289185,2.073047,115.0
17010,0.19922495,-0.6169987,1.7374709,3.2093995,-1.1289185,2.073047,115.0
17011,0.19922495,-0.6169987,1.7374709,4.3340697,-1.1671509,2.8918579,115.0
17012,1.2226247,0.3740406,1.4590075,4.3340697,-1.1671509,2.8918579,115.0
17013,1.2226247,0.3740406,1.4590075,5.238904,-1.1214844,3.7542114,115.0
17014,2.0255363,1.6976948,1.0989077,5.238904,-1.1214844,3.7542114,115.0
17015,2.0255363,1.6976948,1.0989077,5.5713134,-0.9143921,4.341504,115.0
17016,2.5019965,3.064662,0.88332534,5.5713134,-0.9143921,4.341504,115.0
17017,2.5019965,3.064662,0.88332534,5.624414,-0.54693604,4.680286,115.0
17018,3.0010724,4.160592,0.4977736,5.624414,-0.54693604,4.680286,115.0
17019,3.0010724,4.160592,0.4977736,5.431128,-0.15505372,5.420508,115.0
17020,3.282157,5.2688303,-0.26269424,5.431128,-0.15505372,5.420508,115.0
17021,3.282157,5.2688303,-0.26269424,3.1849732,0.47684327,5.1199584,115.0
17022,2.4985528,6.0604744,-0.6926993,3.1849732,0.47684327,5.1199584,115.0
17023,2.4985528,6.0604744,-0.6926993,0.41206056,1.3391968,5.261206,115.0
17024,1.1543355,5.4044585,-0.40009454,0.41206056,1.3391968,5.261206,115.0
17025,1.1543355,5.4044585,-0.40009454,-0.70092773,1.1161743,5.779468,115.0
17026,0.63275814,3.8506298,-0.47696042,-0.70092773,1.1161743,5.779468,115.0
17027,0.63275814,3.8506298,-0.47696042,-0.7582764,0.75721437,5.784778,115.0
17028,0.7030082,2.9697495,-1.2749643,-0.7582764,0.75721437,5.784778,115.0
17029,0.7030082,2.9697495,-1.2749643,-0.62552494,0.7593384,5.4555545,115.0
17030,0.24518251,3.0649598,-1.6064827,-0.62552494,0.7593384,5.4555545,115.0
17031,0.24518251,3.0649598,-1.6064827,-0.13806152,0.7954468,5.1964235,115.0
17032,-0.72500896,3.29833,-1.0246394,-0.13806152,0.7954468,5.1964235,115.0
17033,-0.72500896,3.29833,-1.0246394,0.5331299,0.7593384,4.9436646,115.0
17034,-1.5545921,3.4394577,-0.3701265,0.5331299,0.7593384,4.9436646,115.0
17035,-1.5545921,3.4394577,-0.3701265,0.8867798,0.6796875,4.409473,115.0
17036,-1.841867,3.5444007,-0.49624765,0.8867798,0.6796875,4.409473,115.0
17037,-1.841867,3.5444007,-0.49624765,0.6446411,0.65419924,3.8381104,115.0
17038,-1.6122632,3.4044657,-1.0166026,0.6446411,0.65419924,3.8381104,115.0
17039,-1.6122632,3.4044657,-1.0166026,0.45560303,0.6573853,3.259314,115.0
17040,-1.2771153,3.0533211,-1.0861826,0.45560303,0.6573853,3.259314,115.0
17041,-1.2771153,3.0533211,-1.0861826,0.40356445,0.5607422,2.7771606,115.0
17042,-1.1268559,2.7364435,-0.8162973,0.40356445,0.5607422,2.7771606,115.0
17043,-1.1268559,2.7364435,-0.8162973,0.1985962,0.4067505,2.2270386,115.0
17044,-1.0663407,2.665339,-0.71470785,0.1985962,0.4067505,2.2270386,115.0
17045,-1.0663407,2.665339,-0.71470785,-0.0998291,0.17735596,1.6461182,115.0
17046,-0.90293837,2.8196735,-0.7458873,-0.0998291,0.17735596,1.6461182,115.0
17047,-0.90293837,2.8196735,-0.7458873,-0.22939454,-0.09133301,1.0821899,115.0
17048,-0.64532447,2.773097,-0.5862241,-0.22939454,-0.09133301,1.0821899,115.0
17049,-0.64532447,2.773097,-0.5862241,-0.18372802,-0.35152587,0.62340087,115.0
17050,-0.51077867,2.2240806,-0.28946257,-0.18372802,-0.35152587,0.62340087,115.0
17051,-0.51077867,2.2240806,-0.28946257,0.07434082,-0.59472656,0.124255374,115.0
17052,-0.48101068,1.6300459,-0.12702894,0.07434082,-0.59472656,0.124255374,115.0
17053,-0.48101068,1.6300459,-0.12702894,0.2548828,-0.69136965,-0.1274414,115.0
17054,0.06035757,0.7050867,0.34141874,0.2548828,-0.69136965,-0.1274414,115.0
17055,0.06035757,0.7050867,0.34141874,0.9281983,-1.0779419,-0.8007569,115.0
17056,0.43743396,0.25690365,0.4162624,0.9281983,-1.0779419,-0.8007569,115.0
17057,0.43743396,0.25690365,0.4162624,1.1480347,-1.1873292,-0.97492677,115.0
17058,2.4504476,-0.42580032,1.0268211,1.1480347,-1.1873292,-0.97492677,115.0
17059,2.4504476,-0.42580032,1.0268211,1.540979,-1.4655762,-1.4708862,115.0
17060,2.5216618,-0.68382883,1.0680635,1.540979,-1.4655762,-1.4708862,115.0
17061,2.5216618,-0.68382883,1.0680635,1.5717773,-1.6206299,-1.6790406,115.0
17062,4.164815,-0.6774831,1.5025221,1.5717773,-1.6206299,-1.6790406,115.0
17063,4.164815,-0.6774831,1.5025221,1.0014771,-1.9710938,-2.4936035,115.0
17064,3.5423746,-0.6007509,1.3958287,1.0014771,-1.9710938,-2.4936035,115.0
17065,3.5423746,-0.6007509,1.3958287,0.49489745,-1.988086,-2.6932619,115.0
17066,3.1623297,-1.3741922,2.0148687,0.49489745,-1.988086,-2.6932619,115.0
17067,3.1623297,-1.3741922,2.0148687,-0.5957886,-1.899939,-3.4239259,115.0
17068,2.137066,-2.1900034,2.3289237,-0.5957886,-1.899939,-3.4239259,115.0
