,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18753,run,run,run,run,run,run,run
18754,1.7116883,-1.040062,-7.5883636,0.26444092,-0.10089111,-0.095581055,97.0
18755,1.7116883,-1.040062,-7.5883636,0.17523193,-0.04141846,-0.107263185,97.0
18756,1.368838,-0.8305359,-6.0660133,0.17523193,-0.04141846,-0.107263185,97.0
18757,1.368838,-0.8305359,-6.0660133,-0.046728518,0.047790527,0.0021240234,97.0
18758,1.0903096,-0.6748276,-4.8489647,-0.046728518,0.047790527,0.0021240234,97.0
18759,1.0903096,-0.6748276,-4.8489647,-0.019116212,0.019116212,0.053100586,97.0
18760,-2.3016536,-0.9788742,3.2853546,-0.019116212,0.019116212,0.053100586,97.0
18761,-2.3016536,-0.9788742,3.2853546,0.057348635,-0.025488282,-0.0637207,97.0
18762,-1.9096823,-0.82276154,2.75029,0.057348635,-0.025488282,-0.0637207,97.0
18763,-1.9096823,-0.82276154,2.75029,0.12319336,-0.023364259,-0.08920898,97.0
18764,-1.5247307,-0.52433777,2.2643547,0.12319336,-0.023364259,-0.08920898,97.0
18765,-1.5247307,-0.52433777,2.2643547,0.0722168,0.014868164,-0.15080567,97.0
18766,-1.207663,-0.19062805,1.8416481,0.0722168,0.014868164,-0.15080567,97.0
18767,-1.207663,-0.19062805,1.8416481,0.045666505,-0.009558106,-0.08071289,97.0
18768,-0.9195484,-0.073654175,1.4849625,0.045666505,-0.009558106,-0.08071289,97.0
18769,-0.9195484,-0.073654175,1.4849625,-0.033984374,-0.03186035,-0.08920898,97.0
18770,-0.62092924,-0.22910309,1.1907997,-0.033984374,-0.03186035,-0.08920898,97.0
18771,-0.62092924,-0.22910309,1.1907997,0.022302246,-0.04460449,-0.14230958,97.0
18772,-0.37986112,-0.34256744,0.95765686,0.022302246,-0.04460449,-0.14230958,97.0
18773,-0.37986112,-0.34256744,0.95765686,0.040356446,-0.0053100586,-0.098767094,97.0
18774,-0.3041575,-0.19422913,0.73683167,0.040356446,-0.0053100586,-0.098767094,97.0
18775,-0.3041575,-0.19422913,0.73683167,0.0053100586,-0.012744141,-0.08283692,97.0
18776,-0.31927824,0.03513336,0.5171242,0.0053100586,-0.012744141,-0.08283692,97.0
18777,-0.31927824,0.03513336,0.5171242,-0.0063720704,-0.03079834,-0.081774905,97.0
18778,-0.27683377,0.13808441,0.31237793,-0.0063720704,-0.03079834,-0.081774905,97.0
18779,-0.27683377,0.13808441,0.31237793,0.083898924,-0.043542482,-0.10513916,97.0
18780,-0.27683377,0.13808441,0.31237793,0.18372802,-0.0021240234,-0.20603028,97.0
18781,-0.15438938,0.11503601,0.13700104,0.18372802,-0.0021240234,-0.20603028,97.0
18782,-0.07793045,0.15055084,-0.022491455,0.18372802,-0.0021240234,-0.20603028,97.0
18783,-0.07793045,0.15055084,-0.022491455,0.06159668,0.019116212,-0.010620117,97.0
18784,-0.07965398,0.25434875,-0.1615982,0.06159668,0.019116212,-0.010620117,97.0
18785,-0.07965398,0.25434875,-0.1615982,0.1985962,-0.04141846,0.14549561,97.0
18786,-0.101418495,0.21980286,-0.11815643,0.1985962,-0.04141846,0.14549561,97.0
18787,-0.101418495,0.21980286,-0.11815643,0.24638672,0.035046387,0.30054933,97.0
18788,-0.13228226,0.1492157,-0.015106201,0.24638672,0.035046387,0.30054933,97.0
18789,-0.13228226,0.1492157,-0.015106201,-0.6265869,0.033984374,-0.08071289,97.0
18790,-0.24658501,-0.42277527,0.35718918,-0.6265869,0.033984374,-0.08071289,97.0
18791,-0.24658501,-0.42277527,0.35718918,0.33028564,0.06690674,0.18160401,97.0
18792,-0.32490468,-0.99468994,0.7583084,0.33028564,0.06690674,0.18160401,97.0
18793,-0.32490468,-0.99468994,0.7583084,0.46516114,0.022302246,-0.06478272,97.0
18794,-0.21757746,-0.3435669,0.71499634,0.46516114,0.022302246,-0.06478272,97.0
18795,-0.21757746,-0.3435669,0.71499634,0.20709229,0.016992187,0.008496094,97.0
18796,-0.05124712,0.44245148,0.54286957,0.20709229,0.016992187,0.008496094,97.0
18797,-0.05124712,0.44245148,0.54286957,0.54693604,0.019116212,-0.09451904,97.0
18798,0.015569687,0.5952835,0.39836884,0.54693604,0.019116212,-0.09451904,97.0
18799,0.015569687,0.5952835,0.39836884,-0.34833986,-0.033984374,-0.19647217,97.0
18800,0.04272914,0.4404602,0.21997833,-0.34833986,-0.033984374,-0.19647217,97.0
18801,0.04272914,0.4404602,0.21997833,-0.3982544,-0.058410645,0.09451904,97.0
18802,-0.022310972,-0.092796326,0.03844452,-0.3982544,-0.058410645,0.09451904,97.0
18803,-0.022310972,-0.092796326,0.03844452,0.058410645,0.0010620117,-0.090270996,97.0
18804,-0.16790986,-0.22875214,-0.19458771,0.058410645,0.0010620117,-0.090270996,97.0
18805,-0.16790986,-0.22875214,-0.19458771,-0.04460449,-0.13487549,-0.059472658,97.0
18806,-0.052077055,0.19554901,-0.42226028,-0.04460449,-0.13487549,-0.059472658,97.0
18807,-0.052077055,0.19554901,-0.42226028,0.060534667,-0.08920898,-0.060534667,97.0
18808,0.07939553,0.4547882,-0.53557587,0.060534667,-0.08920898,-0.060534667,97.0
18809,0.07939553,0.4547882,-0.53557587,-0.15611573,-0.0541626,-0.1083252,97.0
18810,0.047586203,0.470726,-0.52295685,-0.15611573,-0.0541626,-0.1083252,97.0
18811,0.047586203,0.470726,-0.52295685,-0.29630128,-0.08283692,-0.09451904,97.0
18812,0.10147238,0.24507141,-0.48124313,-0.29630128,-0.08283692,-0.09451904,97.0
18813,0.10147238,0.24507141,-0.48124313,0.040356446,-0.004248047,-0.025488282,97.0
18814,0.10147238,0.24507141,-0.48124313,0.07327881,0.083898924,-0.03186035,97.0
18815,0.15651965,0.05342102,-0.44208908,0.07327881,0.083898924,-0.03186035,97.0
18816,-0.0266397,0.20554352,-0.3807106,0.07327881,0.083898924,-0.03186035,97.0
18817,-0.0266397,0.20554352,-0.3807106,-0.32072756,0.13168946,0.05628662,97.0
18818,-0.30135322,0.26561737,-0.28445053,-0.32072756,0.13168946,0.05628662,97.0
18819,-0.30135322,0.26561737,-0.28445053,-0.27612305,0.17735596,0.0021240234,97.0
18820,-0.37841177,0.23899841,-0.22634125,-0.27612305,0.17735596,0.0021240234,97.0
18821,-0.37841177,0.23899841,-0.22634125,-0.33984375,0.2824951,-0.035046387,97.0
18822,-0.17625237,0.21221161,-0.24642944,-0.33984375,0.2824951,-0.035046387,97.0
18823,-0.17625237,0.21221161,-0.24642944,-0.32391357,0.2782471,0.022302246,97.0
18824,-0.17625237,0.21221161,-0.24642944,-0.37807617,0.35683593,0.03186035,97.0
18825,0.16396642,0.04473114,-0.22109222,-0.37807617,0.35683593,0.03186035,97.0
18826,0.28482294,-0.25640106,-0.032341003,-0.37807617,0.35683593,0.03186035,97.0
18827,0.28482294,-0.25640106,-0.032341003,-0.54587406,0.44073486,0.26762697,97.0
18828,0.042836428,-0.71668243,0.3973465,-0.54587406,0.44073486,0.26762697,97.0
18829,0.042836428,-0.71668243,0.3973465,0.08071289,0.50445557,0.21240234,97.0
18830,-0.23432207,-0.9055939,0.940815,0.08071289,0.50445557,0.21240234,97.0
18831,-0.23432207,-0.9055939,0.940815,0.53737795,0.5129517,0.118945315,97.0
18832,-0.41533852,-0.55708313,1.331131,0.53737795,0.5129517,0.118945315,97.0
18833,-0.41533852,-0.55708313,1.331131,0.42055663,0.542688,0.22302246,97.0
18834,-0.8452592,-0.085617065,1.3872223,0.42055663,0.542688,0.22302246,97.0
18835,-0.8452592,-0.085617065,1.3872223,0.11469727,0.46409914,0.22408448,97.0
18836,-1.6543202,0.22229004,1.164772,0.11469727,0.46409914,0.22408448,97.0
18837,-1.6543202,0.22229004,1.164772,-0.44710693,0.22514649,0.08283692,97.0
18838,-1.8852968,0.2146225,0.7147293,-0.44710693,0.22514649,0.08283692,97.0
18839,-1.8852968,0.2146225,0.7147293,-0.6223389,-0.121069334,-0.24851075,97.0
18840,-0.681968,0.32057953,0.19178009,-0.6223389,-0.121069334,-0.24851075,97.0
18841,-0.681968,0.32057953,0.19178009,-0.15186767,-0.1996582,-0.52675784,97.0
18842,1.0567937,0.99635315,-0.08967972,-0.15186767,-0.1996582,-0.52675784,97.0
18843,1.0567937,0.99635315,-0.08967972,-0.44816896,-0.2177124,-0.16248779,97.0
18844,1.6769779,1.2803345,0.0451622,-0.44816896,-0.2177124,-0.16248779,97.0
18845,1.6769779,1.2803345,0.0451622,-0.8527954,-0.13699952,0.31329346,97.0
18846,1.2450004,0.81391144,0.35141373,-0.8527954,-0.13699952,0.31329346,97.0
18847,1.2450004,0.81391144,0.35141373,-0.97492677,-0.26444092,0.4959595,97.0
18848,0.653239,0.40947723,0.3779564,-0.97492677,-0.26444092,0.4959595,97.0
18849,0.653239,0.40947723,0.3779564,-1.5027466,-0.33240968,0.74447024,97.0
18850,0.06723237,0.28339386,-0.38525772,-1.5027466,-0.33240968,0.74447024,97.0
