,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
17155,run,run,run,run,run,run,run
17156,-0.09655094,-0.10277176,-0.09749222,-0.028674318,0.098767094,0.008496094,102.0
17157,-0.09655094,-0.10277176,-0.09749222,-0.05628662,0.0637207,-0.047790527,102.0
17158,-0.069806576,-0.07795715,-0.075870514,-0.05628662,0.0637207,-0.047790527,102.0
17159,-0.069806576,-0.07795715,-0.075870514,-0.04460449,0.07115479,-0.043542482,102.0
17160,-0.046580315,-0.062332153,-0.061294556,-0.04460449,0.07115479,-0.043542482,102.0
17161,-0.046580315,-0.062332153,-0.061294556,0.0021240234,0.07327881,-0.020178223,102.0
17162,-0.15091181,-0.559227,-0.399292,0.0021240234,0.07327881,-0.020178223,102.0
17163,-0.15091181,-0.559227,-0.399292,0.059472658,0.093457036,0.0,102.0
17164,-0.03358364,-0.3570938,-0.26120758,0.059472658,0.093457036,0.0,102.0
17165,-0.03358364,-0.3570938,-0.26120758,0.052038576,0.115759276,0.027612304,102.0
17166,-0.057005882,-0.21898651,-0.1664505,0.052038576,0.115759276,0.027612304,102.0
17167,-0.057005882,-0.21898651,-0.1664505,0.083898924,0.12850343,0.010620117,102.0
17168,-0.18321466,-0.21289825,-0.22306442,0.083898924,0.12850343,0.010620117,102.0
17169,-0.18321466,-0.21289825,-0.22306442,0.21452637,0.14230958,-0.021240234,102.0
17170,-0.28083706,-0.10877991,-0.17447281,0.21452637,0.14230958,-0.021240234,102.0
17171,-0.28083706,-0.10877991,-0.17447281,0.1985962,0.08920898,-0.06584473,102.0
17172,-0.28083706,-0.10877991,-0.17447281,0.07327881,0.03186035,-0.032922365,102.0
17173,-0.19809484,0.13370514,0.076179504,0.07327881,0.03186035,-0.032922365,102.0
17174,-6.752014E-4,0.3268509,0.3052559,0.07327881,0.03186035,-0.032922365,102.0
17175,-6.752014E-4,0.3268509,0.3052559,-0.08920898,0.023364259,0.007434082,102.0
17176,0.12256813,0.32821655,0.301445,-0.08920898,0.023364259,0.007434082,102.0
17177,0.12256813,0.32821655,0.301445,-0.093457036,0.047790527,0.022302246,102.0
17178,0.124946594,0.21686554,0.12332153,-0.093457036,0.047790527,0.022302246,102.0
17179,0.124946594,0.21686554,0.12332153,0.060534667,0.10407715,0.019116212,102.0
17180,0.03136587,0.27228546,0.07291412,0.060534667,0.10407715,0.019116212,102.0
17181,0.03136587,0.27228546,0.07291412,0.11151123,0.124255374,-0.040356446,102.0
17182,-0.023467064,0.48843384,0.24317169,0.11151123,0.124255374,-0.040356446,102.0
17183,-0.023467064,0.48843384,0.24317169,0.09770508,0.124255374,-0.08602295,102.0
17184,0.06329441,0.6429558,0.34854126,0.09770508,0.124255374,-0.08602295,102.0
17185,0.06329441,0.6429558,0.34854126,0.0021240234,0.15080567,-0.14230958,102.0
17186,0.2030282,0.75601196,0.15377045,0.0021240234,0.15080567,-0.14230958,102.0
17187,0.2030282,0.75601196,0.15377045,-0.20284425,0.12213135,-0.1709839,102.0
17188,0.34400225,0.7630501,-0.25691605,-0.20284425,0.12213135,-0.1709839,102.0
17189,0.34400225,0.7630501,-0.25691605,-0.36639404,0.09451904,-0.2177124,102.0
17190,0.50084877,0.5927048,-0.67956924,-0.36639404,0.09451904,-0.2177124,102.0
17191,0.50084877,0.5927048,-0.67956924,-0.42055663,0.10407715,-0.32497558,102.0
17192,0.6098833,0.49710083,-1.0245895,-0.42055663,0.10407715,-0.32497558,102.0
17193,0.6098833,0.49710083,-1.0245895,-0.5915405,0.09664307,-0.45878908,102.0
17194,0.6388831,0.522995,-1.3840866,-0.5915405,0.09664307,-0.45878908,102.0
17195,0.6388831,0.522995,-1.3840866,-0.77314454,0.0722168,-0.61278075,102.0
17196,0.5873394,0.6522484,-1.7234535,-0.77314454,0.0722168,-0.61278075,102.0
17197,0.5873394,0.6522484,-1.7234535,-1.0736939,0.009558106,-0.7688965,102.0
17198,0.491539,0.8205185,-1.8717575,-1.0736939,0.009558106,-0.7688965,102.0
17199,0.491539,0.8205185,-1.8717575,-1.4910644,-0.098767094,-0.96218264,102.0
17200,0.3984189,0.8834152,-1.7787895,-1.4910644,-0.098767094,-0.96218264,102.0
17201,0.3984189,0.8834152,-1.7787895,-1.9848999,-0.1985962,-1.1692749,102.0
17202,0.39555407,0.8743324,-1.4962997,-1.9848999,-0.1985962,-1.1692749,102.0
17203,0.39555407,0.8743324,-1.4962997,-2.6688354,-0.3164795,-1.3880494,102.0
17204,0.5311773,0.79362106,-1.1439285,-2.6688354,-0.3164795,-1.3880494,102.0
17205,0.5311773,0.79362106,-1.1439285,-3.3262208,-0.45454103,-1.629126,102.0
17206,0.6607573,0.31617355,-0.9998703,-3.3262208,-0.45454103,-1.629126,102.0
17207,0.6607573,0.31617355,-0.9998703,-3.348523,-0.54693604,-1.9615357,102.0
17208,0.72731185,-0.6633072,-1.0032768,-3.348523,-0.54693604,-1.9615357,102.0
17209,0.72731185,-0.6633072,-1.0032768,-2.794153,-0.5501221,-2.2960694,102.0
17210,0.7138686,-1.369381,-0.56601334,-2.794153,-0.5501221,-2.2960694,102.0
17211,0.7138686,-1.369381,-0.56601334,-2.3587282,-0.5065796,-2.4872315,102.0
17212,0.49006462,-1.1309776,0.50961685,-2.3587282,-0.5065796,-2.4872315,102.0
17213,0.49006462,-1.1309776,0.50961685,-2.6826417,-0.66588134,-2.6624634,102.0
17214,0.18369007,-0.59267426,1.6786041,-2.6826417,-0.66588134,-2.6624634,102.0
17215,0.18369007,-0.59267426,1.6786041,-3.1913452,-0.8379273,-2.7283082,102.0
17216,0.038517,-1.0711365,2.7038193,-3.1913452,-0.8379273,-2.7283082,102.0
17217,0.038517,-1.0711365,2.7038193,-3.3198488,-0.9197022,-2.8355713,102.0
17218,-0.34059763,-1.3004646,2.8344307,-3.3198488,-0.9197022,-2.8355713,102.0
17219,-0.34059763,-1.3004646,2.8344307,-3.1817873,-0.9197022,-2.8546875,102.0
17220,-0.7148733,-1.8535652,3.048378,-3.1817873,-0.9197022,-2.8546875,102.0
17221,-0.7148733,-1.8535652,3.048378,-2.9258423,-0.84323734,-2.8366334,102.0
17222,-1.1141472,-1.8856964,3.2767258,-2.9258423,-0.84323734,-2.8366334,102.0
17223,-1.1141472,-1.8856964,3.2767258,-3.1446168,-0.7975708,-2.72937,102.0
17224,-1.4293671,-1.9018326,3.8573189,-3.1446168,-0.7975708,-2.72937,102.0
17225,-1.4293671,-1.9018326,3.8573189,-3.7234132,-0.79013675,-2.4776733,102.0
17226,-1.4716554,-1.864006,3.7875252,-3.7234132,-0.79013675,-2.4776733,102.0
17227,-1.4716554,-1.864006,3.7875252,-3.8689086,-0.77739257,-2.4043946,102.0
17228,-1.4420338,-2.3557053,3.4484863,-3.8689086,-0.77739257,-2.4043946,102.0
17229,-1.4420338,-2.3557053,3.4484863,-3.4048097,-0.71791995,-2.3066895,102.0
17230,-1.4426165,-2.8150177,2.659935,-3.4048097,-0.71791995,-2.3066895,102.0
17231,-1.4426165,-2.8150177,2.659935,-2.6327271,-0.5607422,-2.1346436,102.0
17232,-1.7498817,-2.5233383,2.1100655,-2.6327271,-0.5607422,-2.1346436,102.0
17233,-1.7498817,-2.5233383,2.1100655,-2.3927124,-0.5341919,-1.8903809,102.0
17234,-2.2429109,-1.7271423,2.0218048,-2.3927124,-0.5341919,-1.8903809,102.0
17235,-2.2429109,-1.7271423,2.0218048,-2.6943238,-0.5798584,-1.7109009,102.0
17236,-2.3792772,-1.1968384,2.075756,-2.6943238,-0.5798584,-1.7109009,102.0
17237,-2.3792772,-1.1968384,2.075756,-3.3920655,-0.7072998,-1.5728394,102.0
17238,-1.9348183,-1.4853516,2.0009232,-3.3920655,-0.7072998,-1.5728394,102.0
17239,-1.9348183,-1.4853516,2.0009232,-3.535437,-0.9589966,-1.3965454,102.0
17240,-0.5580845,-3.1750946,1.2671089,-3.535437,-0.9589966,-1.3965454,102.0
17241,-0.5580845,-3.1750946,1.2671089,-2.0433106,-0.8973999,-1.4443359,102.0
17242,-0.16319132,-3.0826797,1.0199852,-2.0433106,-0.8973999,-1.4443359,102.0
17243,-0.16319132,-3.0826797,1.0199852,-1.6482422,-0.8336792,-1.3954834,102.0
17244,0.18796492,-2.2817307,0.7785492,-1.6482422,-0.8336792,-1.3954834,102.0
17245,0.18796492,-2.2817307,0.7785492,-1.8744507,-0.77951664,-1.3317627,102.0
17246,0.14589214,-0.87345886,1.0939217,-1.8744507,-0.77951664,-1.3317627,102.0
17247,0.14589214,-0.87345886,1.0939217,-3.2051513,-0.7742066,-1.1352905,102.0
17248,0.014797211,-0.27101898,2.0334358,-3.2051513,-0.7742066,-1.1352905,102.0
17249,0.014797211,-0.27101898,2.0334358,-4.2034426,-1.1852051,-1.0089111,102.0
17250,0.12172508,-1.2292862,2.851223,-4.2034426,-1.1852051,-1.0089111,102.0
17251,0.12172508,-1.2292862,2.851223,-3.6798706,-1.0333375,-0.9281983,102.0
17252,0.044462204,-2.0930939,3.1779518,-3.6798706,-1.0333375,-0.9281983,102.0
17253,0.044462204,-2.0930939,3.1779518,-2.52334,-0.51082766,-0.4364868,102.0
17254,-0.74952507,-1.6799774,3.4447327,-2.52334,-0.51082766,-0.4364868,102.0
17255,-0.74952507,-1.6799774,3.4447327,-2.0656128,0.087084964,0.023364259,102.0
17256,-1.5277328,-0.9211273,3.5528908,-2.0656128,0.087084964,0.023364259,102.0
17257,-1.5277328,-0.9211273,3.5528908,-2.257837,0.67331547,0.45878908,102.0
17258,-1.650238,-0.75379944,3.0762596,-2.257837,0.67331547,0.45878908,102.0
17259,-1.650238,-0.75379944,3.0762596,-2.5690064,1.0089111,0.61702883,102.0
17260,-1.101367,-1.3424606,1.6539879,-2.5690064,1.0089111,0.61702883,102.0
17261,-1.101367,-1.3424606,1.6539879,-1.8181641,1.3381348,0.85704345,102.0
17262,0.09582329,-2.021614,-0.2751503,-1.8181641,1.3381348,0.85704345,102.0
17263,0.09582329,-2.021614,-0.2751503,-0.71367186,1.7597535,1.2191895,102.0
17264,1.8207016,-2.065422,-1.9149551,-0.71367186,1.7597535,1.2191895,102.0
17265,1.8207016,-2.065422,-1.9149551,-0.61702883,2.0305665,1.6822265,102.0
17266,3.431952,-1.6385803,-3.629219,-0.61702883,2.0305665,1.6822265,102.0
17267,3.431952,-1.6385803,-3.629219,-1.0418335,2.0369384,2.1155274,102.0
17268,4.409002,-1.4609756,-5.819599,-1.0418335,2.0369384,2.1155274,102.0
17269,4.409002,-1.4609756,-5.819599,-0.6244629,1.8436524,2.350232,102.0
17270,4.4041667,-0.88619995,-7.442154,-0.6244629,1.8436524,2.350232,102.0
17271,4.4041667,-0.88619995,-7.442154,0.7083618,1.0949341,2.3141236,102.0
17272,2.9865046,1.1652985,-7.6294174,0.7083618,1.0949341,2.3141236,102.0
