,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18164,run,run,run,run,run,run,run
18165,0.41161597,0.31506228,1.8883876,-0.0361084,-0.032922365,-0.08920898,86.0
18166,-0.056681275,-2.5552378,-7.373714,-0.0361084,-0.032922365,-0.08920898,86.0
18167,-0.046797633,-2.039576,-5.8999724,-0.0361084,-0.032922365,-0.08920898,86.0
18168,-0.046797633,-2.039576,-5.8999724,-0.059472658,-0.029736329,-0.08283692,86.0
18169,0.5247688,0.36597103,2.717937,-0.059472658,-0.029736329,-0.08283692,86.0
18170,0.5247688,0.36597103,2.717937,-0.052038576,-0.022302246,-0.0722168,86.0
18171,0.4746735,0.24266696,2.1847255,-0.052038576,-0.022302246,-0.0722168,86.0
18172,0.4746735,0.24266696,2.1847255,-0.040356446,-0.008496094,-0.060534667,86.0
18173,0.38501227,0.22654325,1.830361,-0.040356446,-0.008496094,-0.060534667,86.0
18174,0.38501227,0.22654325,1.830361,-0.057348635,-0.0021240234,-0.04248047,86.0
18175,0.2552144,0.28168625,1.4619206,-0.057348635,-0.0021240234,-0.04248047,86.0
18176,0.2552144,0.28168625,1.4619206,-0.07327881,-0.007434082,-0.03079834,86.0
18177,0.16689128,0.2946605,1.1213187,-0.07327881,-0.007434082,-0.03079834,86.0
18178,0.16689128,0.2946605,1.1213187,-0.06265869,-0.009558106,-0.039294433,86.0
18179,0.16689128,0.2946605,1.1213187,-0.052038576,-0.011682129,-0.0541626,86.0
18180,0.6679124,-0.29737708,0.9892425,-0.052038576,-0.011682129,-0.0541626,86.0
18181,0.5826576,-0.25035286,0.81959224,-0.052038576,-0.011682129,-0.0541626,86.0
18182,0.5826576,-0.25035286,0.81959224,-0.06159668,-0.010620117,-0.059472658,86.0
18183,0.49492246,-0.21016999,0.6677343,-0.06159668,-0.010620117,-0.059472658,86.0
18184,0.49492246,-0.21016999,0.6677343,-0.07965088,-0.007434082,-0.0541626,86.0
18185,0.39723194,-0.20085084,0.5309526,-0.07965088,-0.007434082,-0.0541626,86.0
18186,0.39723194,-0.20085084,0.5309526,-0.07115479,-0.004248047,-0.040356446,86.0
18187,0.2909423,-0.20775099,0.41493544,-0.07115479,-0.004248047,-0.040356446,86.0
18188,0.2909423,-0.20775099,0.41493544,-0.04885254,-0.012744141,-0.033984374,86.0
18189,0.215664,-0.18072715,0.32676038,-0.04885254,-0.012744141,-0.033984374,86.0
18190,0.215664,-0.18072715,0.32676038,-0.033984374,-0.019116212,-0.03186035,86.0
18191,0.19391792,-0.12870038,0.25244835,-0.033984374,-0.019116212,-0.03186035,86.0
18192,0.19391792,-0.12870038,0.25244835,-0.03717041,-0.015930176,-0.032922365,86.0
18193,0.19964117,-0.08654185,0.1851496,-0.03717041,-0.015930176,-0.032922365,86.0
18194,0.19964117,-0.08654185,0.1851496,-0.039294433,-0.012744141,-0.029736329,86.0
18195,0.20539165,-0.08777596,0.14285845,-0.039294433,-0.012744141,-0.029736329,86.0
18196,0.20539165,-0.08777596,0.14285845,-0.035046387,-0.009558106,-0.023364259,86.0
18197,0.18627377,-0.07864362,0.12745816,-0.035046387,-0.009558106,-0.023364259,86.0
18198,0.18627377,-0.07864362,0.12745816,-0.058410645,-0.010620117,-0.023364259,86.0
18199,0.14962937,-0.028625347,0.04495968,-0.058410645,-0.010620117,-0.023364259,86.0
18200,0.14962937,-0.028625347,0.04495968,-0.087084964,-0.015930176,-0.025488282,86.0
18201,0.12242567,0.0650758,-0.08723782,-0.087084964,-0.015930176,-0.025488282,86.0
18202,0.12242567,0.0650758,-0.08723782,-0.12213135,-0.029736329,-0.040356446,86.0
18203,0.14377794,0.1346412,-0.15772972,-0.12213135,-0.029736329,-0.040356446,86.0
18204,0.14377794,0.1346412,-0.15772972,-0.11257324,-0.047790527,-0.06796875,86.0
18205,0.14377794,0.1346412,-0.15772972,-0.11682129,-0.05628662,-0.11044922,86.0
18206,0.21884316,0.1588116,-0.15098846,-0.11682129,-0.05628662,-0.11044922,86.0
18207,0.25562873,0.21745455,-0.14287329,-0.11682129,-0.05628662,-0.11044922,86.0
18208,0.25562873,0.21745455,-0.14287329,-0.19753419,-0.05522461,-0.14337158,86.0
18209,0.1635606,0.23761111,-0.18061942,-0.19753419,-0.05522461,-0.14337158,86.0
18210,0.1635606,0.23761111,-0.18061942,-0.2793091,-0.060534667,-0.16673584,86.0
18211,-0.06122917,0.103357926,-0.18116546,-0.2793091,-0.060534667,-0.16673584,86.0
18212,-0.06122917,0.103357926,-0.18116546,-0.26656494,-0.09133301,-0.17629395,86.0
18213,-0.29117084,-0.10303144,-0.06326732,-0.26656494,-0.09133301,-0.17629395,86.0
18214,-0.29117084,-0.10303144,-0.06326732,-0.20496826,-0.13275146,-0.18372802,86.0
18215,-0.39457,-0.20898765,0.11646378,-0.20496826,-0.13275146,-0.18372802,86.0
18216,-0.39457,-0.20898765,0.11646378,-0.17416993,-0.16461182,-0.16461182,86.0
18217,-0.3773015,-0.21200214,0.27947474,-0.17416993,-0.16461182,-0.16461182,86.0
18218,-0.3773015,-0.21200214,0.27947474,-0.18797608,-0.1720459,-0.13168946,86.0
18219,-0.32793984,-0.20761442,0.39143866,-0.18797608,-0.1720459,-0.13168946,86.0
18220,-0.32793984,-0.20761442,0.39143866,-0.16567384,-0.18266602,-0.10089111,86.0
18221,-0.24042805,-0.26521263,0.4835367,-0.16567384,-0.18266602,-0.10089111,86.0
18222,-0.24042805,-0.26521263,0.4835367,-0.10620117,-0.18160401,-0.07434082,86.0
18223,-0.24042805,-0.26521263,0.4835367,-0.050976563,-0.14549561,-0.052038576,86.0
18224,-0.0639855,-0.3046872,0.5480354,-0.050976563,-0.14549561,-0.052038576,86.0
18225,0.09477108,-0.2193113,0.49609435,-0.050976563,-0.14549561,-0.052038576,86.0
18226,0.09477108,-0.2193113,0.49609435,-0.04991455,-0.09770508,-0.03186035,86.0
18227,0.15793356,-0.07706037,0.33868456,-0.04991455,-0.09770508,-0.03186035,86.0
