,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18562,run,run,run,run,run,run,run
18563,-2.0559847,1.1477127,-7.660034,-0.2814331,0.03717041,-0.038232423,122.0
18564,-2.0559847,1.1477127,-7.660034,0.13912354,-0.004248047,-0.025488282,122.0
18565,-1.6446048,0.90457916,-6.1261215,0.13912354,-0.004248047,-0.025488282,122.0
18566,-1.3152933,0.71640015,-4.8995323,0.13912354,-0.004248047,-0.025488282,122.0
18567,-1.3152933,0.71640015,-4.8995323,0.083898924,-0.0063720704,-0.043542482,122.0
18568,0.34642267,-2.4093246,3.172329,0.083898924,-0.0063720704,-0.043542482,122.0
18569,0.34642267,-2.4093246,3.172329,0.09770508,-0.0063720704,-0.04248047,122.0
18570,0.30200386,-1.9516144,2.5330544,0.09770508,-0.0063720704,-0.04248047,122.0
18571,0.30200386,-1.9516144,2.5330544,0.057348635,0.026550293,-0.050976563,122.0
18572,0.30200386,-1.9516144,2.5330544,-0.0031860352,0.04248047,-0.09664307,122.0
18573,0.26988673,-1.6384506,2.2117958,-0.0031860352,0.04248047,-0.09664307,122.0
18574,0.19294798,-1.3017349,1.8913116,-0.0031860352,0.04248047,-0.09664307,122.0
18575,0.19294798,-1.3017349,1.8913116,-0.052038576,0.06584473,-0.1263794,122.0
18576,0.124390125,-0.9936218,1.4709816,-0.052038576,0.06584473,-0.1263794,122.0
18577,0.124390125,-0.9936218,1.4709816,-0.04991455,0.06478272,-0.118945315,122.0
18578,0.07585478,-0.7964325,1.0723038,-0.04991455,0.06478272,-0.118945315,122.0
18579,0.07585478,-0.7964325,1.0723038,-0.057348635,0.050976563,-0.081774905,122.0
18580,0.03921163,-0.6738205,0.8205147,-0.057348635,0.050976563,-0.081774905,122.0
18581,0.03921163,-0.6738205,0.8205147,-0.046728518,0.04460449,-0.08920898,122.0
18582,0.0397799,-0.5653763,0.71837616,-0.046728518,0.04460449,-0.08920898,122.0
18583,0.0397799,-0.5653763,0.71837616,0.027612304,0.025488282,-0.09239502,122.0
18584,0.054638863,-0.39965057,0.6438408,0.027612304,0.025488282,-0.09239502,122.0
18585,0.054638863,-0.39965057,0.6438408,0.045666505,0.028674318,-0.07965088,122.0
18586,0.059213996,-0.23871613,0.53510284,0.045666505,0.028674318,-0.07965088,122.0
