,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
16705,run,run,run,run,run,run,run
16706,1.277446,0.25439453,-0.4700775,-0.78376466,-0.30479738,0.12319336,57.0
16707,1.277446,0.25439453,-0.4700775,-0.1901001,0.032922365,0.09239502,57.0
16708,1.0530603,0.19026184,-0.32990646,-0.1901001,0.032922365,0.09239502,57.0
16709,0.86051464,0.14561462,-0.22592545,-0.1901001,0.032922365,0.09239502,57.0
16710,0.86051464,0.14561462,-0.22592545,-0.26444092,0.04885254,0.118945315,57.0
16711,-2.835331,1.9532585,-1.2633209,-0.26444092,0.04885254,0.118945315,57.0
16712,-2.835331,1.9532585,-1.2633209,-0.26656494,0.124255374,0.16885987,57.0
16713,-2.835331,1.9532585,-1.2633209,-0.22727051,0.1985962,0.23258057,57.0
16714,-2.02482,1.4281845,-1.1453018,-0.22727051,0.1985962,0.23258057,57.0
16715,-1.5908155,1.1096115,-0.82022095,-0.22727051,0.1985962,0.23258057,57.0
16716,-1.5908155,1.1096115,-0.82022095,-0.15823975,0.25700685,0.2803711,57.0
16717,-1.2734213,1.0264435,-0.44794846,-0.15823975,0.25700685,0.2803711,57.0
16718,-1.2734213,1.0264435,-0.44794846,-0.23682861,0.2548828,0.27506104,57.0
16719,-0.890563,1.106823,-0.21200943,-0.23682861,0.2548828,0.27506104,57.0
16720,-0.890563,1.106823,-0.21200943,-0.50870365,0.23258057,0.2357666,57.0
16721,-0.890563,1.106823,-0.21200943,-0.634021,0.21027832,0.24532472,57.0
16722,-0.47792912,0.91913605,-0.10967255,-0.634021,0.21027832,0.24532472,57.0
16723,-0.18904495,0.36532593,-0.027412415,-0.634021,0.21027832,0.24532472,57.0
16724,-0.18904495,0.36532593,-0.027412415,-0.4895874,0.271875,0.29630128,57.0
16725,-0.18102121,-0.031066895,0.0913887,-0.4895874,0.271875,0.29630128,57.0
16726,-0.18102121,-0.031066895,0.0913887,-0.30479738,0.3090454,0.35152587,57.0
16727,-0.31962156,-0.011096954,0.12071991,-0.30479738,0.3090454,0.35152587,57.0
16728,-0.31962156,-0.011096954,0.12071991,-0.15186767,0.26656494,0.4163086,57.0
16729,-0.318295,0.19919205,-0.10695267,-0.15186767,0.26656494,0.4163086,57.0
16730,-0.318295,0.19919205,-0.10695267,-0.07434082,0.2548828,0.45666504,57.0
16731,-0.11322975,0.22073364,-0.590847,-0.07434082,0.2548828,0.45666504,57.0
16732,-0.11322975,0.22073364,-0.590847,0.08602295,0.2357666,0.4991455,57.0
16733,0.17369843,-0.0666008,-1.1844177,0.08602295,0.2357666,0.4991455,57.0
16734,0.17369843,-0.0666008,-1.1844177,0.37382814,0.3345337,0.48640138,57.0
16735,0.30377817,-0.3531456,-1.6421623,0.37382814,0.3345337,0.48640138,57.0
16736,0.30377817,-0.3531456,-1.6421623,0.72960204,0.48640138,0.452417,57.0
16737,0.18804216,-0.40842056,-1.8954201,0.72960204,0.48640138,0.452417,57.0
16738,0.18804216,-0.40842056,-1.8954201,1.1236085,0.68287355,0.3971924,57.0
16739,0.18804216,-0.40842056,-1.8954201,1.717273,0.8857178,0.38657227,57.0
16740,-0.035625935,-0.38358307,-2.2124176,1.717273,0.8857178,0.38657227,57.0
16741,-0.31298542,-0.4659233,-2.8533783,1.717273,0.8857178,0.38657227,57.0
16742,-0.31298542,-0.4659233,-2.8533783,2.443689,1.2468017,0.25063476,57.0
16743,-0.8747659,-0.5054283,-3.8549805,2.443689,1.2468017,0.25063476,57.0
16744,-0.8747659,-0.5054283,-3.8549805,3.2731202,1.6896607,0.038232423,57.0
16745,-1.9414268,-0.30458832,-4.9631195,3.2731202,1.6896607,0.038232423,57.0
16746,-1.9414268,-0.30458832,-4.9631195,4.0515747,2.1834962,-0.33878174,57.0
16747,-1.9414268,-0.30458832,-4.9631195,4.9988894,2.6645875,-0.85704345,57.0
16748,-3.3765054,-0.04404831,-5.77837,4.9988894,2.6645875,-0.85704345,57.0
