,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18409,run,run,run,run,run,run,run
18410,0.08790207,0.040382385,0.04296112,-0.058410645,-0.04991455,0.012744141,70.0
18411,0.06923485,0.008598328,0.05543518,-0.058410645,-0.04991455,0.012744141,70.0
18412,0.06923485,0.008598328,0.05543518,-0.12956543,-0.16567384,-0.20072022,70.0
18413,0.053764343,-0.020706177,0.07090759,-0.12956543,-0.16567384,-0.20072022,70.0
18414,0.053764343,-0.020706177,0.07090759,-0.15611573,-0.21134034,-0.2357666,70.0
18415,-1.1911926,1.4494476,-0.50148773,-0.15611573,-0.21134034,-0.2357666,70.0
18416,-1.1911926,1.4494476,-0.50148773,-0.2357666,-0.1985962,-0.2516968,70.0
18417,-1.1911926,1.4494476,-0.50148773,-0.3090454,-0.16461182,-0.23364258,70.0
18418,-0.91815186,1.2851181,-0.2766533,-0.3090454,-0.16461182,-0.23364258,70.0
18419,-0.734375,1.0416107,-0.08256531,-0.3090454,-0.16461182,-0.23364258,70.0
18420,-0.734375,1.0416107,-0.08256531,-0.37489015,-0.18691407,-0.24851075,70.0
18421,-0.60572433,0.6961441,0.08108902,-0.37489015,-0.18691407,-0.24851075,70.0
18422,-0.60572433,0.6961441,0.08108902,-0.37595215,-0.23258057,-0.31966552,70.0
18423,-0.47028542,0.41931915,0.23015213,-0.37595215,-0.23258057,-0.31966552,70.0
18424,-0.47028542,0.41931915,0.23015213,-0.37595215,-0.2538208,-0.4364868,70.0
18425,-0.47031975,0.47494507,0.352993,-0.37595215,-0.2538208,-0.4364868,70.0
18426,-0.47031975,0.47494507,0.352993,-0.47471926,-0.24001466,-0.42799073,70.0
18427,-0.6775627,0.64512634,0.3621292,-0.47471926,-0.24001466,-0.42799073,70.0
18428,-0.6775627,0.64512634,0.3621292,-0.6690674,-0.2984253,-0.3079834,70.0
18429,-1.0183563,0.61383057,0.33009338,-0.6690674,-0.2984253,-0.3079834,70.0
18430,-1.0183563,0.61383057,0.33009338,-0.5777344,-0.69349366,-0.040356446,70.0
18431,-0.8079586,0.46453094,0.31230164,-0.5777344,-0.69349366,-0.040356446,70.0
18432,-0.8079586,0.46453094,0.31230164,-0.4970215,-0.7582764,-0.093457036,70.0
18433,-0.24402237,0.20101929,0.36229324,-0.4970215,-0.7582764,-0.093457036,70.0
18434,-0.24402237,0.20101929,0.36229324,-0.38657227,-0.8007569,0.15080567,70.0
18435,-0.24402237,0.20101929,0.36229324,-0.5214478,-0.6796875,-0.015930176,70.0
18436,0.061971664,0.13026428,0.22261047,-0.5214478,-0.6796875,-0.015930176,70.0
18437,0.046684265,0.11917877,-0.4040184,-0.5214478,-0.6796875,-0.015930176,70.0
18438,0.046684265,0.11917877,-0.4040184,-0.56817627,-0.4619751,0.20496826,70.0
18439,-0.56978226,-0.23955536,-0.99931335,-0.56817627,-0.4619751,0.20496826,70.0
18440,-0.56978226,-0.23955536,-0.99931335,-0.55968016,-0.59260255,0.21558838,70.0
18441,-1.1681557,-0.2836609,-1.4156113,-0.55968016,-0.59260255,0.21558838,70.0
18442,-1.1681557,-0.2836609,-1.4156113,-0.71154785,-0.5894165,0.270813,70.0
18443,-1.2086468,0.18058014,-1.740448,-0.71154785,-0.5894165,0.270813,70.0
18444,-1.2086468,0.18058014,-1.740448,-1.1129884,-0.49064943,0.34727785,70.0
18445,-0.9490471,0.6138458,-1.9195824,-1.1129884,-0.49064943,0.34727785,70.0
18446,-0.9490471,0.6138458,-1.9195824,-1.716211,-0.3355957,0.49383545,70.0
18447,-0.7838707,0.7246475,-2.0132065,-1.716211,-0.3355957,0.49383545,70.0
18448,-0.7838707,0.7246475,-2.0132065,-2.4585571,-0.16248779,0.7391602,70.0
18449,-0.7937355,0.51488495,-2.2231865,-2.4585571,-0.16248779,0.7391602,70.0
18450,-0.7937355,0.51488495,-2.2231865,-3.2837403,0.09133301,0.9228882,70.0
18451,-0.8702545,0.08882904,-2.427208,-3.2837403,0.09133301,0.9228882,70.0
18452,-0.8702545,0.08882904,-2.427208,-4.0218387,0.28461915,1.0651978,70.0
18453,-0.9001465,-0.34015656,-2.3758392,-4.0218387,0.28461915,1.0651978,70.0
18454,-0.9001465,-0.34015656,-2.3758392,-4.725952,0.44179687,1.2967163,70.0
18455,-0.82541656,-0.6207733,-2.2175674,-4.725952,0.44179687,1.2967163,70.0
18456,-0.82541656,-0.6207733,-2.2175674,-5.2813845,0.6287109,1.5728394,70.0
18457,-0.73522186,-0.6509018,-2.1558304,-5.2813845,0.6287109,1.5728394,70.0
18458,-0.73522186,-0.6509018,-2.1558304,-5.820886,0.7986328,1.5728394,70.0
18459,-0.88555336,-0.45983124,-2.0027542,-5.820886,0.7986328,1.5728394,70.0
18460,-0.88555336,-0.45983124,-2.0027542,-6.2106447,0.998291,1.9317993,70.0
18461,-1.4500561,-0.53352356,-1.3625526,-6.2106447,0.998291,1.9317993,70.0
18462,-1.4500561,-0.53352356,-1.3625526,-6.423047,1.0365235,2.0411866,70.0
18463,-2.1000595,-1.0140152,-0.4458542,-6.423047,1.0365235,2.0411866,70.0
18464,-2.1000595,-1.0140152,-0.4458542,-6.5749145,0.61278075,2.4235108,70.0
18465,-2.2079277,-1.4307785,0.1544342,-6.5749145,0.61278075,2.4235108,70.0
18466,-2.2079277,-1.4307785,0.1544342,-6.2117066,0.15930176,3.0182374,70.0
18467,-1.9720058,-1.5767899,0.61063385,-6.2117066,0.15930176,3.0182374,70.0
18468,-1.9720058,-1.5767899,0.61063385,-5.9132814,0.18160401,3.5768554,70.0
18469,-2.2119923,-1.8540344,1.3065224,-5.9132814,0.18160401,3.5768554,70.0
18470,-2.2119923,-1.8540344,1.3065224,-5.6552124,-0.07540283,4.089807,70.0
18471,-2.315773,-1.9481354,2.124195,-5.6552124,-0.07540283,4.089807,70.0
18472,-2.315773,-1.9481354,2.124195,-5.1114626,-0.6616333,4.882068,70.0
18473,-0.81770515,-1.311203,2.6520042,-5.1114626,-0.6616333,4.882068,70.0
18474,-0.81770515,-1.311203,2.6520042,-4.506116,-0.7986328,5.4831667,70.0
18475,1.8148556,-0.90966797,3.0863228,-4.506116,-0.7986328,5.4831667,70.0
18476,1.8148556,-0.90966797,3.0863228,-3.8657227,-0.99935305,5.695569,70.0
18477,3.9056435,-1.7855072,3.3471565,-3.8657227,-0.99935305,5.695569,70.0
18478,3.9056435,-1.7855072,3.3471565,-5.0381837,-1.4284058,5.345105,70.0
18479,6.890957,-5.155113,3.527542,-5.0381837,-1.4284058,5.345105,70.0
18480,6.890957,-5.155113,3.527542,-4.530542,-1.7916138,5.513965,70.0
18481,10.71837,-9.978691,4.775284,-4.530542,-1.7916138,5.513965,70.0
18482,10.71837,-9.978691,4.775284,-1.8319702,-0.94412845,3.2221437,70.0
18483,10.1844015,-11.521599,6.6178703,-1.8319702,-0.94412845,3.2221437,70.0
18484,10.1844015,-11.521599,6.6178703,-1.7969239,0.4439209,1.1480347,70.0
18485,4.9281855,-10.40081,5.97966,-1.7969239,0.4439209,1.1480347,70.0
18486,4.9281855,-10.40081,5.97966,-3.5789795,-1.6811646,-0.8729736,70.0
18487,2.075263,-11.118149,1.925415,-3.5789795,-1.6811646,-0.8729736,70.0
18488,2.075263,-11.118149,1.925415,-0.7338501,-2.4033325,-2.5010376,70.0
18489,2.1489067,-11.698845,-0.9289932,-0.7338501,-2.4033325,-2.5010376,70.0
18490,2.1489067,-11.698845,-0.9289932,1.263794,-0.6223389,-4.9829593,70.0
18491,-1.1588163,-8.887932,-0.041145325,1.263794,-0.6223389,-4.9829593,70.0
18492,-1.1588163,-8.887932,-0.041145325,0.84536135,-0.724292,-6.2817993,70.0
18493,-11.493069,-1.7664871,1.2301102,0.84536135,-0.724292,-6.2817993,70.0
18494,-11.493069,-1.7664871,1.2301102,1.0131592,-0.94412845,-5.9292116,70.0
18495,-12.547287,0.9042053,0.59342575,1.0131592,-0.94412845,-5.9292116,70.0
18496,-12.547287,0.9042053,0.59342575,1.4878784,-0.83049315,-5.3206787,70.0
18497,-13.43866,6.774658,-1.2496986,1.4878784,-0.83049315,-5.3206787,70.0
18498,-13.43866,6.774658,-1.2496986,2.4224489,-1.1352905,-4.3616824,70.0
18499,-10.775463,11.973358,-4.0287857,2.4224489,-1.1352905,-4.3616824,70.0
18500,-10.775463,11.973358,-4.0287857,2.2854493,-0.8931519,-3.5726075,70.0
18501,-6.6678696,16.463158,-6.701824,2.2854493,-0.8931519,-3.5726075,70.0
18502,-6.6678696,16.463158,-6.701824,2.061365,-1.5696534,-1.8733886,70.0
18503,-2.8625927,19.95942,-8.10268,2.061365,-1.5696534,-1.8733886,70.0
18504,-2.8625927,19.95942,-8.10268,0.77526855,-1.3806152,-0.14761963,70.0
18505,-0.027038574,20.471329,-7.9633102,0.77526855,-1.3806152,-0.14761963,70.0
18506,-0.027038574,20.471329,-7.9633102,-1.9732178,-0.26019287,0.16142578,70.0
18507,1.7018318,17.857689,-6.1799774,-1.9732178,-0.26019287,0.16142578,70.0
18508,1.7018318,17.857689,-6.1799774,-3.8519166,0.0722168,0.7582764,70.0
18509,1.5177879,14.585152,-3.933632,-3.8519166,0.0722168,0.7582764,70.0
18510,1.5177879,14.585152,-3.933632,-4.358496,0.18585205,2.269519,70.0
18511,-0.88965225,11.012459,-2.8741379,-4.358496,0.18585205,2.269519,70.0
18512,-0.88965225,11.012459,-2.8741379,-2.4702394,-0.15080567,2.7835329,70.0
18513,-3.2104645,6.2763596,-2.8057404,-2.4702394,-0.15080567,2.7835329,70.0
18514,-3.2104645,6.2763596,-2.8057404,-1.177771,-1.084314,4.190698,70.0
18515,-2.45298,1.9072952,-2.283947,-1.177771,-1.084314,4.190698,70.0
18516,-2.45298,1.9072952,-2.283947,-0.7678345,-1.5123047,5.881421,70.0
18517,-0.29337692,-0.44472122,-0.55503845,-0.7678345,-1.5123047,5.881421,70.0
18518,-0.29337692,-0.44472122,-0.55503845,-1.4050416,-0.7742066,6.3094115,70.0
18519,-2.0103855,-1.9656067,0.17510986,-1.4050416,-0.7742066,6.3094115,70.0
18520,-2.0103855,-1.9656067,0.17510986,-1.5654052,-1.3168945,6.967859,70.0
18521,-8.077181,-8.037243,-1.1397705,-1.5654052,-1.3168945,6.967859,70.0
18522,-8.077181,-8.037243,-1.1397705,-2.163318,-0.5957886,7.239734,70.0
18523,-12.014332,-17.282616,-2.1081314,-2.163318,-0.5957886,7.239734,70.0
18524,-12.014332,-17.282616,-2.1081314,-2.2907593,-0.50233155,9.369067,70.0
18525,-11.247696,-23.774483,-0.22302628,-2.2907593,-0.50233155,9.369067,70.0
18526,-11.247696,-23.774483,-0.22302628,-6.8478518,0.33134767,6.7458987,70.0
18527,-5.6795654,-25.953201,3.737362,-6.8478518,0.33134767,6.7458987,70.0
18528,-5.6795654,-25.953201,3.737362,-4.4678836,0.9483765,5.80177,70.0
18529,3.5848007,-22.630455,6.99868,-4.4678836,0.9483765,5.80177,70.0
18530,3.5848007,-22.630455,6.99868,-1.3285767,1.4135376,4.9192386,70.0
18531,12.4164505,-15.318909,8.764652,-1.3285767,1.4135376,4.9192386,70.0
18532,12.4164505,-15.318909,8.764652,-0.33240968,0.5979126,4.2990236,70.0
18533,19.84356,-8.624657,10.047913,-0.33240968,0.5979126,4.2990236,70.0
18534,19.84356,-8.624657,10.047913,-0.18585205,-1.5877075,4.0452027,70.0
18535,28.072102,-3.767891,9.517029,-0.18585205,-1.5877075,4.0452027,70.0
18536,28.072102,-3.767891,9.517029,-1.6376221,-1.910559,2.899292,70.0
18537,34.132267,-0.97566223,7.168625,-1.6376221,-1.910559,2.899292,70.0
18538,34.132267,-0.97566223,7.168625,0.10089111,0.10089111,-0.7317261,70.0
18539,30.330448,0.59923553,5.2561264,0.10089111,0.10089111,-0.7317261,70.0
18540,30.330448,0.59923553,5.2561264,1.8691406,0.05628662,-2.0985353,70.0
18541,15.783463,3.169464,2.1791916,1.8691406,0.05628662,-2.0985353,70.0
18542,15.783463,3.169464,2.1791916,-0.070092775,-0.5543701,-3.888025,70.0
18543,8.849451,2.6641998,0.69625854,-0.070092775,-0.5543701,-3.888025,70.0
18544,8.849451,2.6641998,0.69625854,-0.5501221,-0.6138428,-4.336194,70.0
18545,-0.49076396,-0.5749359,-0.5410423,-0.5501221,-0.6138428,-4.336194,70.0
18546,-0.49076396,-0.5749359,-0.5410423,0.9876709,-0.4333008,-6.246753,70.0
18547,-8.488742,-5.181473,-0.5950165,0.9876709,-0.4333008,-6.246753,70.0
18548,-8.488742,-5.181473,-0.5950165,3.2178955,2.0422485,-8.754163,70.0
18549,-17.340958,-9.181381,-0.45394135,3.2178955,2.0422485,-8.754163,70.0
18550,-17.340958,-9.181381,-0.45394135,3.1095703,2.2992554,-9.537928,70.0
18551,-31.780956,-12.084808,-1.5512009,3.1095703,2.2992554,-9.537928,70.0
18552,-31.780956,-12.084808,-1.5512009,2.0581787,-0.92713624,-7.06875,70.0
18553,-39.17108,-9.28875,-5.5010796,2.0581787,-0.92713624,-7.06875,70.0
18554,-39.17108,-9.28875,-5.5010796,3.0639038,-1.2945923,-7.8992434,70.0
18555,-31.205845,1.1206284,-9.072067,3.0639038,-1.2945923,-7.8992434,70.0
18556,-31.205845,1.1206284,-9.072067,1.2754761,-0.71367186,-7.0878663,70.0
18557,-18.709625,13.6124115,-9.100281,1.2754761,-0.71367186,-7.0878663,70.0
18558,-18.709625,13.6124115,-9.100281,1.3816773,-0.30054933,-6.7660766,70.0
18559,-7.030651,23.132858,-5.899643,1.3816773,-0.30054933,-6.7660766,70.0
18560,-7.030651,23.132858,-5.899643,1.4443359,0.39082032,-5.317493,70.0
18561,0.95669174,28.357582,-2.5872307,1.4443359,0.39082032,-5.317493,70.0
18562,0.95669174,28.357582,-2.5872307,1.0004151,0.41949463,-3.0086792,70.0
18563,6.120945,28.299774,-1.5386581,1.0004151,0.41949463,-3.0086792,70.0
18564,6.120945,28.299774,-1.5386581,1.8372803,0.028674318,-0.86766356,70.0
18565,9.385403,25.390198,-2.9762497,1.8372803,0.028674318,-0.86766356,70.0
18566,9.385403,25.390198,-2.9762497,2.3735962,-0.1083252,1.4953126,70.0
18567,9.76572,22.274063,-5.4288177,2.3735962,-0.1083252,1.4953126,70.0
18568,9.76572,22.274063,-5.4288177,1.1278565,0.7508423,2.5583863,70.0
18569,6.912796,17.439697,-6.1108284,1.1278565,0.7508423,2.5583863,70.0
18570,6.912796,17.439697,-6.1108284,-0.39188233,0.45135498,2.9470825,70.0
18571,3.1474495,10.0909195,-3.6165543,-0.39188233,0.45135498,2.9470825,70.0
18572,3.1474495,10.0909195,-3.6165543,-0.9303223,0.35895997,3.719165,70.0
18573,1.3896141,3.734356,0.82943726,-0.9303223,0.35895997,3.719165,70.0
18574,1.3896141,3.734356,0.82943726,-1.1575928,0.13699952,4.7418823,70.0
18575,1.4832611,-0.49792862,3.4265366,-1.1575928,0.13699952,4.7418823,70.0
18576,1.4832611,-0.49792862,3.4265366,-1.4793824,0.25700685,4.520984,70.0
18577,-0.77706337,-6.218216,0.92768097,-1.4793824,0.25700685,4.520984,70.0
18578,-0.77706337,-6.218216,0.92768097,-2.4298828,1.2096313,4.6399293,70.0
18579,-5.800434,-14.185291,-2.5916061,-2.4298828,1.2096313,4.6399293,70.0
18580,-5.800434,-14.185291,-2.5916061,-3.0617797,0.41843262,7.152649,70.0
18581,-8.877346,-19.132683,-1.4412804,-3.0617797,0.41843262,7.152649,70.0
18582,-8.877346,-19.132683,-1.4412804,-3.258252,1.2085694,5.8559327,70.0
18583,-7.4538803,-19.853775,2.9401398,-3.258252,1.2085694,5.8559327,70.0
18584,-7.4538803,-19.853775,2.9401398,-4.213001,1.0981201,4.466821,70.0
18585,-1.7576485,-18.004135,5.7002563,-4.213001,1.0981201,4.466821,70.0
18586,-1.7576485,-18.004135,5.7002563,-4.7535644,0.82836914,2.4989135,70.0
18587,5.603756,-13.4611435,5.5479126,-4.7535644,0.82836914,2.4989135,70.0
18588,5.603756,-13.4611435,5.5479126,-4.347876,0.6531372,1.3944215,70.0
18589,11.161448,-8.710587,4.17461,-4.347876,0.6531372,1.3944215,70.0
18590,11.161448,-8.710587,4.17461,-3.6511962,0.2357666,1.4634522,70.0
18591,14.848751,-5.2493515,3.3904572,-3.6511962,0.2357666,1.4634522,70.0
18592,14.848751,-5.2493515,3.3904572,-4.0345826,-0.24213867,1.7990478,70.0
18593,17.323984,-2.0586624,3.9035988,-4.0345826,-0.24213867,1.7990478,70.0
18594,17.323984,-2.0586624,3.9035988,-4.061133,-0.2824951,0.7317261,70.0
18595,17.897226,1.3613129,5.3002853,-4.061133,-0.2824951,0.7317261,70.0
18596,17.897226,1.3613129,5.3002853,-3.248694,0.0637207,-0.44604492,70.0
18597,16.060665,3.8061523,6.15506,-3.248694,0.0637207,-0.44604492,70.0
18598,16.060665,3.8061523,6.15506,-2.356604,-0.07434082,-0.727478,70.0
18599,14.01218,3.6454315,5.763977,-2.356604,-0.07434082,-0.727478,70.0
18600,14.01218,3.6454315,5.763977,-2.265271,-0.4980835,-0.36108398,70.0
18601,12.199807,0.7676544,5.130848,-2.265271,-0.4980835,-0.36108398,70.0
18602,12.199807,0.7676544,5.130848,-1.717273,-0.23895264,-0.6425171,70.0
18603,8.650959,-1.7371521,4.3333664,-1.717273,-0.23895264,-0.6425171,70.0
18604,8.650959,-1.7371521,4.3333664,-0.50870365,-0.09451904,-0.124255374,70.0
18605,3.954544,-2.392479,2.8513718,-0.50870365,-0.09451904,-0.124255374,70.0
18606,3.954544,-2.392479,2.8513718,0.26656494,0.2803711,-0.61915284,70.0
18607,-0.90238047,-3.4755936,1.0644989,0.26656494,0.2803711,-0.61915284,70.0
18608,-0.90238047,-3.4755936,1.0644989,0.9632446,0.99298096,-2.1027832,70.0
18609,-6.330535,-5.092354,-0.70751953,0.9632446,0.99298096,-2.1027832,70.0
18610,-6.330535,-5.092354,-0.70751953,2.2960694,1.8893188,-2.8759277,70.0
18611,-14.620348,-5.004471,-2.4078865,2.2960694,1.8893188,-2.8759277,70.0
18612,-14.620348,-5.004471,-2.4078865,3.3166625,2.2960694,-2.5031617,70.0
18613,-27.267397,-2.0972748,-5.8741837,3.3166625,2.2960694,-2.5031617,70.0
18614,-27.267397,-2.0972748,-5.8741837,4.2661014,0.18479005,-0.12000733,70.0
18615,-28.301014,3.901268,-9.957268,4.2661014,0.18479005,-0.12000733,70.0
18616,-28.301014,3.901268,-9.957268,3.8742187,-2.817517,-2.4118288,70.0
18617,-12.898014,10.513641,-9.319084,3.8742187,-2.817517,-2.4118288,70.0
18618,-12.898014,10.513641,-9.319084,2.6890137,-1.803296,-2.7229981,70.0
18619,0.6337509,13.444229,-3.8513489,2.6890137,-1.803296,-2.7229981,70.0
18620,0.6337509,13.444229,-3.8513489,3.6522584,-1.179895,-4.410535,70.0
18621,5.423212,14.4657135,0.0807991,3.6522584,-1.179895,-4.410535,70.0
