,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18115,run,run,run,run,run,run,run
18116,-0.3920684,0.3344574,-7.900635,0.07540283,-0.040356446,-0.004248047,104.0
18117,-0.3370433,0.28554726,-6.3032227,0.07540283,-0.040356446,-0.004248047,104.0
18118,-0.3370433,0.28554726,-6.3032227,0.13487549,-0.06265869,0.20603028,104.0
18119,-0.3370433,0.28554726,-6.3032227,0.08814698,-0.052038576,0.271875,104.0
18120,-0.30123854,0.2532177,-5.019684,0.08814698,-0.052038576,0.271875,104.0
18121,-1.2682858,-0.47467232,3.6306458,0.08814698,-0.052038576,0.271875,104.0
18122,-1.2682858,-0.47467232,3.6306458,0.19753419,-0.13062744,0.21134034,104.0
18123,-1.1062665,-0.49378872,2.9827423,0.19753419,-0.13062744,0.21134034,104.0
18124,-1.1062665,-0.49378872,2.9827423,0.16779785,-0.16673584,0.2527588,104.0
18125,-0.9799962,-0.31287766,2.545639,0.16779785,-0.16673584,0.2527588,104.0
18126,-0.9799962,-0.31287766,2.545639,0.1444336,-0.19116211,0.2899292,104.0
18127,-0.8458133,-0.121896744,2.1837463,0.1444336,-0.19116211,0.2899292,104.0
18128,-0.8458133,-0.121896744,2.1837463,0.012744141,-0.19116211,0.3525879,104.0
18129,-0.8059964,-0.07699776,1.8082733,0.012744141,-0.19116211,0.3525879,104.0
18130,-0.8059964,-0.07699776,1.8082733,0.12956543,-0.16779785,0.45029297,104.0
18131,-0.7666359,-0.12820053,1.4946442,0.12956543,-0.16779785,0.45029297,104.0
18132,-0.7666359,-0.12820053,1.4946442,0.33984375,-0.16354981,0.46728516,104.0
18133,-0.5068388,0.019191742,1.2855835,0.33984375,-0.16354981,0.46728516,104.0
18134,-0.5068388,0.019191742,1.2855835,0.21134034,-0.05522461,0.4354248,104.0
18135,-0.12840796,0.18180847,1.095047,0.21134034,-0.05522461,0.4354248,104.0
18136,-0.12840796,0.18180847,1.095047,-0.022302246,0.033984374,0.31223145,104.0
18137,0.06829405,0.12432861,0.92726135,-0.022302246,0.033984374,0.31223145,104.0
18138,0.06829405,0.12432861,0.92726135,-0.010620117,0.032922365,0.26444092,104.0
18139,-0.053604126,0.09899902,0.75894165,-0.010620117,0.032922365,0.26444092,104.0
18140,-0.053604126,0.09899902,0.75894165,0.08496094,0.010620117,0.31329346,104.0
18141,-0.35539532,0.2638178,0.45306396,0.08496094,0.010620117,0.31329346,104.0
18142,-0.35539532,0.2638178,0.45306396,0.11363526,0.010620117,0.35895997,104.0
18143,-0.6574483,0.36881733,0.12992859,0.11363526,0.010620117,0.35895997,104.0
18144,-0.6574483,0.36881733,0.12992859,0.121069334,0.004248047,0.38338622,104.0
18145,-0.79265785,0.26686764,0.09246826,0.121069334,0.004248047,0.38338622,104.0
18146,-0.79265785,0.26686764,0.09246826,0.13381349,-0.012744141,0.44710693,104.0
18147,-0.7704787,0.10775757,0.30117798,0.13381349,-0.012744141,0.44710693,104.0
18148,-0.7704787,0.10775757,0.30117798,0.1263794,0.011682129,0.5331299,104.0
18149,-0.8307266,-0.024597168,0.4431305,0.1263794,0.011682129,0.5331299,104.0
18150,-0.8307266,-0.024597168,0.4431305,0.23789063,-0.028674318,0.62340087,104.0
18151,-0.969965,-0.0851326,0.4032135,0.23789063,-0.028674318,0.62340087,104.0
18152,-0.969965,-0.0851326,0.4032135,0.33134767,-0.03717041,0.6956177,104.0
