,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
15001,run,run,run,run,run,run,run
15002,0.124302864,0.36409378,-0.24417114,0.2166504,-0.115759276,0.107263185,122.0
15003,0.08564854,0.3148594,-0.2325592,0.2166504,-0.115759276,0.107263185,122.0
15004,0.08564854,0.3148594,-0.2325592,-0.13168946,0.2081543,0.14655761,122.0
15005,0.055067062,0.275362,-0.22401428,-0.13168946,0.2081543,0.14655761,122.0
15006,0.055067062,0.275362,-0.22401428,-0.16248779,0.18585205,0.1709839,122.0
15007,-0.02481842,-1.6210556,-0.5062256,-0.16248779,0.18585205,0.1709839,122.0
15008,-0.02481842,-1.6210556,-0.5062256,-0.0722168,0.19434814,0.19116211,122.0
15009,-0.0019960403,-1.1465149,-0.4805603,-0.0722168,0.19434814,0.19116211,122.0
15010,-0.0019960403,-1.1465149,-0.4805603,-0.011682129,0.20390625,0.22089843,122.0
15011,-0.0019960403,-1.1465149,-0.4805603,-0.038232423,0.22196046,0.25913087,122.0
15012,0.0177145,-0.7577019,-0.50468445,-0.038232423,0.22196046,0.25913087,122.0
15013,0.051317215,-0.50863934,-0.6043701,-0.038232423,0.22196046,0.25913087,122.0
15014,0.051317215,-0.50863934,-0.6043701,-0.07327881,0.22514649,0.19222413,122.0
15015,0.13028717,-0.4595356,-0.6395111,-0.07327881,0.22514649,0.19222413,122.0
15016,0.13028717,-0.4595356,-0.6395111,-0.17841797,0.21558838,0.11151123,122.0
15017,0.21754742,-0.53765965,-0.57829285,-0.17841797,0.21558838,0.11151123,122.0
15018,0.21754742,-0.53765965,-0.57829285,-0.18372802,0.22196046,-0.022302246,122.0
15019,0.25792408,-0.5948248,-0.5289459,-0.18372802,0.22196046,-0.022302246,122.0
15020,0.25792408,-0.5948248,-0.5289459,-0.124255374,0.2081543,-0.07434082,122.0
15021,0.3181553,-0.504509,-0.51734924,-0.124255374,0.2081543,-0.07434082,122.0
15022,0.3181553,-0.504509,-0.51734924,-0.11044922,0.1709839,-0.07965088,122.0
15023,0.43664074,-0.28151226,-0.5675049,-0.11044922,0.1709839,-0.07965088,122.0
15024,0.43664074,-0.28151226,-0.5675049,-0.12956543,0.16248779,-0.10089111,122.0
15025,0.5305748,-0.05896187,-0.6405029,-0.12956543,0.16248779,-0.10089111,122.0
15026,0.5305748,-0.05896187,-0.6405029,-0.24851075,0.15717773,-0.15080567,122.0
15027,0.52774334,0.049791336,-0.6132965,-0.24851075,0.15717773,-0.15080567,122.0
15028,0.52774334,0.049791336,-0.6132965,-0.42905274,0.14549561,-0.17523193,122.0
15029,0.4694481,0.016162872,-0.45368958,-0.42905274,0.14549561,-0.17523193,122.0
15030,0.4694481,0.016162872,-0.45368958,-0.5140137,0.11363526,-0.18797608,122.0
15031,0.43244267,-0.09395409,-0.27931213,-0.5140137,0.11363526,-0.18797608,122.0
15032,0.43244267,-0.09395409,-0.27931213,-0.6265869,0.08602295,-0.1529297,122.0
15033,0.46539974,-0.2209034,-0.19355774,-0.6265869,0.08602295,-0.1529297,122.0
15034,0.46539974,-0.2209034,-0.19355774,-0.8092529,0.10301514,-0.11151123,122.0
15035,0.46482468,-0.4448986,-0.12095642,-0.8092529,0.10301514,-0.11151123,122.0
15036,0.46482468,-0.4448986,-0.12095642,-1.0099732,0.16461182,-0.032922365,122.0
15037,0.46482468,-0.4448986,-0.12095642,-1.176709,0.22514649,0.090270996,122.0
15038,0.23874187,-0.80755424,0.11328125,-1.176709,0.22514649,0.090270996,122.0
15039,-0.17924595,-1.1655626,0.46879578,-1.176709,0.22514649,0.090270996,122.0
15040,-0.17924595,-1.1655626,0.46879578,-1.5898316,0.2782471,0.29417726,122.0
15041,-0.89616776,-1.3003216,0.8873291,-1.5898316,0.2782471,0.29417726,122.0
15042,-0.89616776,-1.3003216,0.8873291,-2.2907593,0.39082032,-0.09133301,122.0
15043,-1.55054,-1.394249,1.1639557,-2.2907593,0.39082032,-0.09133301,122.0
15044,-1.55054,-1.394249,1.1639557,-2.981067,0.12000733,-0.016992187,122.0
15045,-1.2746363,-1.6433296,0.7321167,-2.981067,0.12000733,-0.016992187,122.0
15046,-1.2746363,-1.6433296,0.7321167,-2.991687,0.115759276,0.2814331,122.0
15047,-0.62759495,-1.593338,-0.17224121,-2.991687,0.115759276,0.2814331,122.0
15048,-0.62759495,-1.593338,-0.17224121,-3.3294067,0.19222413,0.36108398,122.0
15049,-0.09163952,-1.1877079,-0.69662476,-3.3294067,0.19222413,0.36108398,122.0
