,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
15739,run,run,run,run,run,run,run
15740,0.2806368,-0.15979004,0.3628235,-0.51826173,-0.4354248,-0.07434082,61.0
15741,0.2806368,-0.15979004,0.3628235,-0.02442627,0.04991455,0.02442627,61.0
15742,0.17085981,-0.04347992,0.3951645,-0.02442627,0.04991455,0.02442627,61.0
15743,0.17085981,-0.04347992,0.3951645,-0.8644776,-0.09664307,-0.37382814,61.0
15744,0.074920654,0.039115906,0.41184616,-0.8644776,-0.09664307,-0.37382814,61.0
15745,0.074920654,0.039115906,0.41184616,-0.7508423,-0.08814698,-0.46834716,61.0
15746,0.55179405,2.156086,-1.6460953,-0.7508423,-0.08814698,-0.46834716,61.0
15747,0.55179405,2.156086,-1.6460953,-0.6435791,-0.118945315,-0.57242435,61.0
15748,0.23938417,1.8512383,-1.0558548,-0.6435791,-0.118945315,-0.57242435,61.0
15749,0.23938417,1.8512383,-1.0558548,-0.7604004,-0.16992188,-0.61278075,61.0
15750,-0.02448368,1.5368271,-0.5206375,-0.7604004,-0.16992188,-0.61278075,61.0
15751,-0.02448368,1.5368271,-0.5206375,-0.7954468,-0.22408448,-0.7434082,61.0
15752,-0.16343498,1.180378,-0.14661407,-0.7954468,-0.22408448,-0.7434082,61.0
15753,-0.16343498,1.180378,-0.14661407,-0.7604004,-0.26868898,-0.75721437,61.0
15754,-0.25807953,0.93424225,0.068473816,-0.7604004,-0.26868898,-0.75721437,61.0
15755,-0.25807953,0.93424225,0.068473816,-0.61278075,-0.28568116,-0.7763306,61.0
15756,-0.4433899,0.8810463,0.16752243,-0.61278075,-0.28568116,-0.7763306,61.0
15757,-0.4433899,0.8810463,0.16752243,-0.56817627,-0.29630128,-0.81243896,61.0
15758,-0.7248411,0.8583412,0.17623138,-0.56817627,-0.29630128,-0.81243896,61.0
15759,-0.7248411,0.8583412,0.17623138,-0.5097656,-0.2888672,-0.813501,61.0
15760,-1.056118,0.77405167,0.1810379,-0.5097656,-0.2888672,-0.813501,61.0
15761,-1.056118,0.77405167,0.1810379,-0.4619751,-0.30479738,-0.89421386,61.0
15762,-1.3074918,0.72008514,0.21865845,-0.4619751,-0.30479738,-0.89421386,61.0
15763,-1.3074918,0.72008514,0.21865845,-0.4619751,-0.32497558,-0.9430664,61.0
15764,-1.3980808,0.6255684,0.17653656,-0.4619751,-0.32497558,-0.9430664,61.0
15765,-1.3980808,0.6255684,0.17653656,-0.5734863,-0.33028564,-0.96643066,61.0
15766,-1.387825,0.37363434,-0.03060913,-0.5734863,-0.33028564,-0.96643066,61.0
