,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18761,run,run,run,run,run,run,run
18762,-0.06880319,-0.24475098,-0.06398392,-0.07434082,0.02442627,0.06478272,117.0
18763,-0.06880319,-0.24475098,-0.06398392,-0.043542482,-0.007434082,0.0031860352,117.0
18764,-0.049903393,-0.19443512,-0.04990387,-0.043542482,-0.007434082,0.0031860352,117.0
18765,-0.049903393,-0.19443512,-0.04990387,0.0361084,-0.13168946,-0.057348635,117.0
18766,-0.049903393,-0.19443512,-0.04990387,0.16142578,-0.17416993,-0.059472658,117.0
18767,-0.03417325,-0.15516663,-0.02539444,0.16142578,-0.17416993,-0.059472658,117.0
18768,-4.4297924,-4.5681,-0.4229889,0.16142578,-0.17416993,-0.059472658,117.0
18769,-4.4297924,-4.5681,-0.4229889,0.23364258,-0.18691407,-0.07752686,117.0
18770,-3.4339828,-3.5231857,-0.3265648,0.23364258,-0.18691407,-0.07752686,117.0
18771,-3.4339828,-3.5231857,-0.3265648,0.17629395,-0.18266602,-0.10089111,117.0
18772,-2.7123842,-2.7434006,-0.14013672,0.17629395,-0.18266602,-0.10089111,117.0
18773,-2.7123842,-2.7434006,-0.14013672,0.115759276,-0.14549561,-0.098767094,117.0
18774,-2.7123842,-2.7434006,-0.14013672,0.021240234,-0.0722168,-0.10089111,117.0
18775,-2.1342998,-2.1721115,-0.03964615,0.021240234,-0.0722168,-0.10089111,117.0
18776,-1.6512022,-1.7542267,-0.053138733,0.021240234,-0.0722168,-0.10089111,117.0
18777,-1.6512022,-1.7542267,-0.053138733,0.05522461,-0.058410645,-0.07115479,117.0
18778,-1.2741113,-1.4027557,-0.09749222,0.05522461,-0.058410645,-0.07115479,117.0
18779,-1.2741113,-1.4027557,-0.09749222,0.06584473,-0.028674318,-0.04248047,117.0
18780,-1.0064349,-1.1338959,-0.10067749,0.06584473,-0.028674318,-0.04248047,117.0
18781,-1.0064349,-1.1338959,-0.10067749,0.04248047,0.0010620117,-0.019116212,117.0
18782,-0.7997155,-0.9838867,-0.049266815,0.04248047,0.0010620117,-0.019116212,117.0
18783,-0.7997155,-0.9838867,-0.049266815,0.03079834,0.028674318,-0.028674318,117.0
18784,-0.5987568,-0.8780136,-1.8310547E-4,0.03079834,0.028674318,-0.028674318,117.0
18785,-0.5987568,-0.8780136,-1.8310547E-4,-0.07327881,0.04141846,-0.028674318,117.0
18786,-0.4334731,-0.76988983,-0.009971619,-0.07327881,0.04141846,-0.028674318,117.0
18787,-0.4334731,-0.76988983,-0.009971619,-0.011682129,-0.03186035,-0.03079834,117.0
18788,-0.37711287,-0.6113434,-0.04953003,-0.011682129,-0.03186035,-0.03079834,117.0
18789,-0.37711287,-0.6113434,-0.04953003,0.30161133,-0.16673584,0.015930176,117.0
18790,-0.38377047,-0.31756592,0.035057068,0.30161133,-0.16673584,0.015930176,117.0
18791,-0.38377047,-0.31756592,0.035057068,0.7975708,-0.36533204,0.0180542,117.0
18792,-0.24886179,-0.024124146,0.3155098,0.7975708,-0.36533204,0.0180542,117.0
18793,-0.24886179,-0.024124146,0.3155098,1.2468017,-0.62340087,-0.05522461,117.0
18794,-0.01158905,0.26834106,0.6017494,1.2468017,-0.62340087,-0.05522461,117.0
