,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
15021,run,run,run,run,run,run,run
15022,-0.014663514,0.087489605,0.9915192,-0.22196046,0.121069334,0.020178223,110.0
15023,-0.014663514,0.087489605,0.9915192,0.02442627,0.009558106,0.039294433,110.0
15024,-0.06351304,0.0036830902,0.64475346,0.02442627,0.009558106,0.039294433,110.0
15025,-0.052702524,-0.012422204,0.5172432,0.02442627,0.009558106,0.039294433,110.0
15026,-0.052702524,-0.012422204,0.5172432,0.1274414,-0.016992187,0.06478272,110.0
15027,1.3495128,-1.8272474,-0.9509516,0.1274414,-0.016992187,0.06478272,110.0
15028,1.3495128,-1.8272474,-0.9509516,0.13699952,-0.04460449,0.08071289,110.0
15029,1.0734823,-1.2804502,-0.7284004,0.13699952,-0.04460449,0.08071289,110.0
15030,1.0734823,-1.2804502,-0.7284004,0.012744141,-0.029736329,0.06903076,110.0
15031,1.0734823,-1.2804502,-0.7284004,-0.047790527,-0.0180542,0.053100586,110.0
15032,0.8897795,-0.8796092,-0.42544496,-0.047790527,-0.0180542,0.053100586,110.0
15033,0.74108386,-0.7052499,-0.22559768,-0.047790527,-0.0180542,0.053100586,110.0
15034,0.74108386,-0.7052499,-0.22559768,-0.03717041,-0.0021240234,0.039294433,110.0
15035,-0.817338,0.15263356,0.2843534,-0.03717041,-0.0021240234,0.039294433,110.0
15036,-0.817338,0.15263356,0.2843534,-0.032922365,0.020178223,0.023364259,110.0
15037,-0.65876544,0.073413014,0.22490706,-0.032922365,0.020178223,0.023364259,110.0
15038,-0.65876544,0.073413014,0.22490706,-0.029736329,0.04991455,0.011682129,110.0
15039,-0.55632144,0.032912552,0.17996226,-0.029736329,0.04991455,0.011682129,110.0
15040,-0.55632144,0.032912552,0.17996226,0.047790527,0.059472658,0.0,110.0
15041,-0.4656016,0.001378879,0.12025155,0.047790527,0.059472658,0.0,110.0
15042,-0.4656016,0.001378879,0.12025155,0.093457036,0.07115479,0.0,110.0
15043,-0.37420246,-0.032905683,0.053256907,0.093457036,0.07115479,0.0,110.0
