,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
17180,run,run,run,run,run,run,run
17181,-1.1317339,0.5805054,-0.25190735,-0.0722168,0.2177124,0.118945315,113.0
17182,-1.1317339,0.5805054,-0.25190735,-0.23364258,0.045666505,0.013806152,113.0
17183,-0.9094639,0.46290588,-0.23995209,-0.23364258,0.045666505,0.013806152,113.0
17184,-0.9094639,0.46290588,-0.23995209,-0.25913087,0.050976563,0.012744141,113.0
17185,-0.7310257,0.36826324,-0.23533249,-0.25913087,0.050976563,0.012744141,113.0
17186,-0.7310257,0.36826324,-0.23533249,-0.29523927,0.0637207,0.004248047,113.0
17187,0.22653198,-2.907402,0.37618637,-0.29523927,0.0637207,0.004248047,113.0
17188,0.22653198,-2.907402,0.37618637,-0.29630128,0.06159668,-0.014868164,113.0
17189,0.20946026,-2.387436,0.33575058,-0.29630128,0.06159668,-0.014868164,113.0
17190,0.20946026,-2.387436,0.33575058,-0.26762697,0.07327881,-0.027612304,113.0
17191,0.18730736,-1.9153671,0.29568863,-0.26762697,0.07327881,-0.027612304,113.0
17192,0.18730736,-1.9153671,0.29568863,-0.271875,0.07965088,-0.058410645,113.0
17193,0.14155674,-1.4969177,0.14980698,-0.271875,0.07965088,-0.058410645,113.0
17194,0.14155674,-1.4969177,0.14980698,-0.28780517,0.08602295,-0.07434082,113.0
17195,0.111255646,-1.1748047,0.023166656,-0.28780517,0.08602295,-0.07434082,113.0
17196,0.111255646,-1.1748047,0.023166656,-0.30161133,0.093457036,-0.08920898,113.0
17197,0.09425354,-0.90522766,-0.0052337646,-0.30161133,0.093457036,-0.08920898,113.0
17198,0.09425354,-0.90522766,-0.0052337646,-0.32391357,0.10620117,-0.078588866,113.0
17199,0.06645584,-0.6648636,-0.0040664673,-0.32391357,0.10620117,-0.078588866,113.0
17200,0.06645584,-0.6648636,-0.0040664673,-0.33771974,0.1083252,-0.06159668,113.0
17201,0.034305573,-0.4824524,-0.015506744,-0.33771974,0.1083252,-0.06159668,113.0
17202,0.034305573,-0.4824524,-0.015506744,-0.33878174,0.115759276,-0.04141846,113.0
17203,-0.0061244965,-0.345932,-0.023651123,-0.33878174,0.115759276,-0.04141846,113.0
17204,-0.0061244965,-0.345932,-0.023651123,-0.36533204,0.12000733,-0.019116212,113.0
17205,-0.05452156,-0.22621155,-0.030944824,-0.36533204,0.12000733,-0.019116212,113.0
17206,-0.05452156,-0.22621155,-0.030944824,-0.39188233,0.12000733,0.022302246,113.0
17207,-0.05452156,-0.22621155,-0.030944824,-0.38551027,0.124255374,0.053100586,113.0
17208,-0.10162449,-0.1887207,-0.03294754,-0.38551027,0.124255374,0.053100586,113.0
17209,-0.09943962,-0.27186584,-0.029117584,-0.38551027,0.124255374,0.053100586,113.0
17210,-0.09943962,-0.27186584,-0.029117584,-0.33134767,0.13699952,0.06478272,113.0
17211,-0.09280872,-0.37298584,-0.046295166,-0.33134767,0.13699952,0.06478272,113.0
17212,-0.09280872,-0.37298584,-0.046295166,-0.29736328,0.18160401,0.053100586,113.0
17213,-0.18884659,-0.36627197,-0.101451874,-0.29736328,0.18160401,0.053100586,113.0
17214,-0.18884659,-0.36627197,-0.101451874,-0.38232422,0.2357666,0.04460449,113.0
17215,-0.4578762,-0.17710114,-0.16830826,-0.38232422,0.2357666,0.04460449,113.0
17216,-0.4578762,-0.17710114,-0.16830826,-0.5171997,0.29630128,0.0998291,113.0
17217,-0.8229656,0.05570221,-0.20510483,-0.5171997,0.29630128,0.0998291,113.0
17218,-0.8229656,0.05570221,-0.20510483,-0.6531372,0.32816163,0.1996582,113.0
17219,-1.0826521,0.17591095,-0.2598343,-0.6531372,0.32816163,0.1996582,113.0
17220,-1.0826521,0.17591095,-0.2598343,-0.7678345,0.34940186,0.3069214,113.0
17221,-1.1991787,0.2438736,-0.5085373,-0.7678345,0.34940186,0.3069214,113.0
17222,-1.1991787,0.2438736,-0.5085373,-0.94731444,0.40993652,0.44923097,113.0
17223,-1.3857346,0.45022583,-1.0284271,-0.94731444,0.40993652,0.44923097,113.0
17224,-1.3857346,0.45022583,-1.0284271,-1.3200806,0.48427734,0.6287109,113.0
17225,-1.8296814,0.86639404,-1.6496582,-1.3200806,0.48427734,0.6287109,113.0
17226,-1.8296814,0.86639404,-1.6496582,-2.005078,0.5501221,0.8772217,113.0
17227,-2.4264402,1.137001,-2.1000633,-2.005078,0.5501221,0.8772217,113.0
17228,-2.4264402,1.137001,-2.1000633,-3.076648,0.4630371,0.9897949,113.0
17229,-2.8207293,0.77812195,-2.5188446,-3.076648,0.4630371,0.9897949,113.0
17230,-2.8207293,0.77812195,-2.5188446,-3.8497925,0.30054933,1.0875,113.0
17231,-2.754301,-0.060935974,-3.2831192,-3.8497925,0.30054933,1.0875,113.0
17232,-2.754301,-0.060935974,-3.2831192,-4.0420165,0.16992188,1.1937011,113.0
17233,-2.754301,-0.060935974,-3.2831192,-4.725952,0.2782471,1.3455689,113.0
17234,-2.3358269,-0.6242981,-4.261467,-4.725952,0.2782471,1.3455689,113.0
